ID,FXID,PLID,playerName,team_id,teamName,ps_timestamp,ps_endstamp,MatchTime,period,x_coord,y_coord,x_coord_end,y_coord_end,action,actionName,ActionType,ActionTypeName,Actionresult,ActionResultName,qualifier3,qualifier3Name,qualifier4,qualifier4Name,qualifier5,qualifier5Name,qualifier6,qualifier6Name,qualifier7,qualifier7Name,qualifier8,qualifier8Name,qualifier9,qualifier9Name,qualifier10,qualifier10Name,Metres,Metres2,Metres3,Metres4,UTCTime,PlayNum,SetNum,sequence_id,player_advantage,score_advantage,homeTeamID,homeTeamName,awayTeamID,awayTeamName,datePlayed,kickofftime,hometeamHTscore,awayteamHTscore,hometeamFTscore,awayteamFTscore,hometeamCurrentScore,awayteamCurrentScore,venueID,venueName,cityID,cityName,roundNumber,season,playerShirtNumber,playerpositionID,playerpositionName,homecoachID,homecoachName,awaycoachID,awaycoachName,refereeID,refereeName,assistantreferee1ID,assistantreferee1Name,assistantreferee2ID,assistantreferee2Name,videoReferee1ID,videoreferee1Name,competitionID,competitionName,isHome,result,assoc_player,assoc_playerName,assoc_playerTeam,assoc_playerTeamName,assoc_event_id
0,948749,5211,,5211,Toyota Verblitz,0.00,3.84,2,1,50,34,0,0,17,,407,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2025-12-13T05:30:23Z,0,0,0,0,0,5211,Toyota Verblitz,5202,Mie Honda Heat,13/12/2025,14:30,23,12,44,33,0,0,395,City of Toyota Stadium,-1,,1,2026,,,,0,,0,,1001490,Ibuki Tetsuka,1001986,Yuma Higashimura,1001580,Ano Kuwai,1000999,Yosuke Kimura,421,Japan Rugby League One D1,Y,W,0,,0,,
1,948749,25307,Rikiya Matsuda,5211,Toyota Verblitz,0.00,3.84,2,1,50,34,78,6,14,Restart,281,50m Restart,286,Restart Opp Collection,288,Long,752,Kicked Left,795,Kick Receipt Not Contested,0,,0,,0,,0,,0,,28,40,29,0,2025-12-13T05:30:23Z,1,0,1,0,0,5211,Toyota Verblitz,5202,Mie Honda Heat,13/12/2025,14:30,23,12,44,33,0,0,395,City of Toyota Stadium,-1,,1,2026,10,10,Fly Half,0,,0,,1001490,Ibuki Tetsuka,1001986,Yuma Higashimura,1001580,Ano Kuwai,1000999,Yosuke Kimura,421,Japan Rugby League One D1,Y,W,0,,0,,
2,948749,34873,Dawid Kellerman,5202,Mie Honda Heat,3.84,3.84,6,1,22,62,0,0,18,Collection,275,Restart Catch,277,Success,797,Kick Receipt Not Contested,1092,Non-Kicking Team,0,,0,,0,,0,,0,,0,,0,0,0,0,2025-12-13T05:30:28Z,1,1,1,0,0,5211,Toyota Verblitz,5202,Mie Honda Heat,13/12/2025,14:30,23,12,44,33,0,0,395,City of Toyota Stadium,-1,,1,2026,13,13,Outside Centre,0,,0,,1001490,Ibuki Tetsuka,1001986,Yuma Higashimura,1001580,Ano Kuwai,1000999,Yosuke Kimura,421,Japan Rugby League One D1,N,L,0,,0,,
3,948749,0,,5202,Mie Honda Heat,3.84,3.84,6,1,22,62,0,0,45,Defensive Exits,630,Kicked out of 22,0,,0,,0,,0,,0,,0,,0,,0,,0,,36,0,0,0,2025-12-13T05:30:28Z,1,1,1,0,0,5211,Toyota Verblitz,5202,Mie Honda Heat,13/12/2025,14:30,23,12,44,33,0,0,395,City of Toyota Stadium,-1,,1,2026,,,,0,,0,,1001490,Ibuki Tetsuka,1001986,Yuma Higashimura,1001580,Ano Kuwai,1000999,Yosuke Kimura,421,Japan Rugby League One D1,N,L,0,,0,,
4,948749,34873,Dawid Kellerman,5202,Mie Honda Heat,3.84,5.12,6,1,22,62,25,62,1,Carry,105,Restart Return,108,Tackled Neutral,109,Crossed Gain line,461,Neutral Contact,502,2 Tacklers Committed,700,0th Receiver,0,,0,,0,,0,,4,4,1,1,2025-12-13T05:30:28Z,1,1,1,0,0,5211,Toyota Verblitz,5202,Mie Honda Heat,13/12/2025,14:30,23,12,44,33,0,0,395,City of Toyota Stadium,-1,,1,2026,13,13,Outside Centre,0,,0,,1001490,Ibuki Tetsuka,1001986,Yuma Higashimura,1001580,Ano Kuwai,1000999,Yosuke Kimura,421,Japan Rugby League One D1,N,L,21728,Josh Dickson,5211,Toyota Verblitz,8
5,948749,26150,Mark Tele'a,5211,Toyota Verblitz,4.28,4.28,6,1,75,6,0,0,2,Tackle,142,Chase,161,Missed,0,,475,Ineffective Tackle,708,1st Tackler,0,,0,,0,,0,,0,,0,0,0,0,2025-12-13T05:30:27Z,1,1,1,0,0,5211,Toyota Verblitz,5202,Mie Honda Heat,13/12/2025,14:30,23,12,44,33,0,0,395,City of Toyota Stadium,-1,,1,2026,11,11,Left Wing,0,,0,,1001490,Ibuki Tetsuka,1001986,Yuma Higashimura,1001580,Ano Kuwai,1000999,Yosuke Kimura,421,Japan Rugby League One D1,Y,W,34873,Dawid Kellerman,5202,Mie Honda Heat,4
6,948749,26150,Mark Tele'a,5211,Toyota Verblitz,4.28,4.28,6,1,75,6,0,0,12,Missed Tackle,163,Stepped,166,Tackled,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2025-12-13T05:30:27Z,1,1,1,0,0,5211,Toyota Verblitz,5202,Mie Honda Heat,13/12/2025,14:30,23,12,44,33,0,0,395,City of Toyota Stadium,-1,,1,2026,11,11,Left Wing,0,,0,,1001490,Ibuki Tetsuka,1001986,Yuma Higashimura,1001580,Ano Kuwai,1000999,Yosuke Kimura,421,Japan Rugby League One D1,Y,W,34873,Dawid Kellerman,5202,Mie Honda Heat,4
7,948749,34873,Dawid Kellerman,5202,Mie Honda Heat,4.60,4.60,7,1,25,62,0,0,10,Attacking Qualities,116,Defender Beaten,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2025-12-13T05:30:28Z,1,1,1,0,0,5211,Toyota Verblitz,5202,Mie Honda Heat,13/12/2025,14:30,23,12,44,33,0,0,395,City of Toyota Stadium,-1,,1,2026,13,13,Outside Centre,0,,0,,1001490,Ibuki Tetsuka,1001986,Yuma Higashimura,1001580,Ano Kuwai,1000999,Yosuke Kimura,421,Japan Rugby League One D1,N,L,0,,0,,
8,948749,21728,Josh Dickson,5211,Toyota Verblitz,5.08,5.08,7,1,76,8,0,0,2,Tackle,142,Chase,153,Complete,441,Assist,474,Neutral Tackle,709,2nd Tackler,715,Upper Torso,0,,0,,0,,0,,0,0,0,0,2025-12-13T05:30:28Z,1,1,1,0,0,5211,Toyota Verblitz,5202,Mie Honda Heat,13/12/2025,14:30,23,12,44,33,0,0,395,City of Toyota Stadium,-1,,1,2026,05,5,Lock (5),0,,0,,1001490,Ibuki Tetsuka,1001986,Yuma Higashimura,1001580,Ano Kuwai,1000999,Yosuke Kimura,421,Japan Rugby League One D1,Y,W,34873,Dawid Kellerman,5202,Mie Honda Heat,4
9,948749,34873,Dawid Kellerman,5202,Mie Honda Heat,5.12,8.72,7,1,25,62,0,0,23,Ruck,0,,401,Won Outright,551,N/A Gainline,555,3-4 Seconds,661,Mid Left Open Movement Ruck,0,,0,,0,,0,,0,,0,0,-4,14,2025-12-13T05:30:30Z,1,1,1,0,0,5211,Toyota Verblitz,5202,Mie Honda Heat,13/12/2025,14:30,23,12,44,33,0,0,395,City of Toyota Stadium,-1,,1,2026,13,13,Outside Centre,0,,0,,1001490,Ibuki Tetsuka,1001986,Yuma Higashimura,1001580,Ano Kuwai,1000999,Yosuke Kimura,421,Japan Rugby League One D1,N,L,43682,Azuma Doei,5202,Mie Honda Heat,13
