ID,FXID,PLID,playerName,team_id,teamName,ps_timestamp,ps_endstamp,MatchTime,period,x_coord,y_coord,x_coord_end,y_coord_end,action,actionName,ActionType,ActionTypeName,Actionresult,ActionResultName,qualifier3,qualifier3Name,qualifier4,qualifier4Name,qualifier5,qualifier5Name,qualifier6,qualifier6Name,qualifier7,qualifier7Name,qualifier8,qualifier8Name,qualifier9,qualifier9Name,qualifier10,qualifier10Name,Metres,Metres2,Metres3,Metres4,UTCTime,PlayNum,SetNum,sequence_id,player_advantage,score_advantage,homeTeamID,homeTeamName,awayTeamID,awayTeamName,datePlayed,kickofftime,hometeamHTscore,awayteamHTscore,hometeamFTscore,awayteamFTscore,hometeamCurrentScore,awayteamCurrentScore,venueID,venueName,cityID,cityName,roundNumber,season,playerShirtNumber,playerpositionID,playerpositionName,homecoachID,homecoachName,awaycoachID,awaycoachName,refereeID,refereeName,assistantreferee1ID,assistantreferee1Name,assistantreferee2ID,assistantreferee2Name,videoReferee1ID,videoreferee1Name,competitionID,competitionName,isHome,result,assoc_player,assoc_playerName,assoc_playerTeam,assoc_playerTeamName,assoc_event_id
0,948750,19702,,19702,Toshiba Brave Lupus Tokyo,0.00,3.40,0,1,50,33,0,0,17,,407,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2025-12-14T06:05:54Z,0,0,0,0,0,19702,Toshiba Brave Lupus Tokyo,19567,Saitama Wild Knights,14/12/2025,15:00,0,33,0,46,0,0,449,Ajinomoto Stadium,-1,,1,2026,,,,0,,0,,1001473,Takehito Namekawa,1001500,Koki Yamauchi,1001498,Takahiro Kano,1000818,Tasuku Kawahara,421,Japan Rugby League One D1,Y,L,0,,0,,
1,948750,21077,Richie Mo'unga,19702,Toshiba Brave Lupus Tokyo,0.00,3.40,0,1,50,33,76,9,14,Restart,281,50m Restart,286,Restart Opp Collection,289,Short,752,Kicked Left,795,Kick Receipt Not Contested,0,,0,,0,,0,,0,,26,36,25,0,2025-12-14T06:05:54Z,1,0,1,0,0,19702,Toshiba Brave Lupus Tokyo,19567,Saitama Wild Knights,14/12/2025,15:00,0,33,0,46,0,0,449,Ajinomoto Stadium,-1,,1,2026,10,10,Fly Half,0,,0,,1001473,Takehito Namekawa,1001500,Koki Yamauchi,1001498,Takahiro Kano,1000818,Tasuku Kawahara,421,Japan Rugby League One D1,Y,L,0,,0,,
2,948750,27745,Esei Haangana,19567,Saitama Wild Knights,3.40,3.40,3,1,24,59,0,0,18,Collection,275,Restart Catch,277,Success,797,Kick Receipt Not Contested,1092,Non-Kicking Team,0,,0,,0,,0,,0,,0,,0,0,0,0,2025-12-14T06:05:57Z,1,1,1,0,0,19702,Toshiba Brave Lupus Tokyo,19567,Saitama Wild Knights,14/12/2025,15:00,0,33,0,46,0,0,449,Ajinomoto Stadium,-1,,1,2026,05,5,Lock (5),0,,0,,1001473,Takehito Namekawa,1001500,Koki Yamauchi,1001498,Takahiro Kano,1000818,Tasuku Kawahara,421,Japan Rugby League One D1,N,W,0,,0,,
3,948750,27745,Esei Haangana,19567,Saitama Wild Knights,3.40,6.28,3,1,24,59,26,60,1,Carry,105,Restart Return,108,Tackled Neutral,109,Crossed Gain line,461,Neutral Contact,501,1 Tacklers Committed,700,0th Receiver,0,,0,,0,,0,,2,2,1,1,2025-12-14T06:05:57Z,1,1,1,0,0,19702,Toshiba Brave Lupus Tokyo,19567,Saitama Wild Knights,14/12/2025,15:00,0,33,0,46,0,0,449,Ajinomoto Stadium,-1,,1,2026,05,5,Lock (5),0,,0,,1001473,Takehito Namekawa,1001500,Koki Yamauchi,1001498,Takahiro Kano,1000818,Tasuku Kawahara,421,Japan Rugby League One D1,N,W,26173,Shannon Frizell,19702,Toshiba Brave Lupus Tokyo,4
4,948750,26173,Shannon Frizell,19702,Toshiba Brave Lupus Tokyo,4.96,4.96,5,1,75,9,0,0,2,Tackle,142,Chase,153,Complete,0,,474,Neutral Tackle,708,1st Tackler,714,Lower Torso,0,,0,,0,,0,,0,0,0,0,2025-12-14T06:05:59Z,1,1,1,0,0,19702,Toshiba Brave Lupus Tokyo,19567,Saitama Wild Knights,14/12/2025,15:00,0,33,0,46,0,0,449,Ajinomoto Stadium,-1,,1,2026,06,6,Blindside Flanker,0,,0,,1001473,Takehito Namekawa,1001500,Koki Yamauchi,1001498,Takahiro Kano,1000818,Tasuku Kawahara,421,Japan Rugby League One D1,Y,L,27745,Esei Haangana,19567,Saitama Wild Knights,3
5,948750,27745,Esei Haangana,19567,Saitama Wild Knights,6.28,10.24,6,1,26,60,0,0,23,Ruck,0,,401,Won Outright,551,N/A Gainline,555,3-4 Seconds,663,Close Left Open Movement Ruck,0,,0,,0,,0,,0,,0,0,2,2,2025-12-14T06:06:00Z,1,1,1,0,0,19702,Toshiba Brave Lupus Tokyo,19567,Saitama Wild Knights,14/12/2025,15:00,0,33,0,46,0,0,449,Ajinomoto Stadium,-1,,1,2026,05,5,Lock (5),0,,0,,1001473,Takehito Namekawa,1001500,Koki Yamauchi,1001498,Takahiro Kano,1000818,Tasuku Kawahara,421,Japan Rugby League One D1,N,W,28928,Taiki Koyama,19567,Saitama Wild Knights,9
6,948750,26232,Asaeli Ai Valu,19567,Saitama Wild Knights,7.52,7.52,7,1,26,60,0,0,43,Ruck OOA,574,Secured,583,Own Team 1st Entry,588,OOA Entry 1st Entry- Att,632,Attacking OOA,0,,0,1,0,,0,,0,,0,,0,0,0,0,2025-12-14T06:05:57Z,1,1,1,0,0,19702,Toshiba Brave Lupus Tokyo,19567,Saitama Wild Knights,14/12/2025,15:00,0,33,0,46,0,0,449,Ajinomoto Stadium,-1,,1,2026,03,3,Tighthead Prop,0,,0,,1001473,Takehito Namekawa,1001500,Koki Yamauchi,1001498,Takahiro Kano,1000818,Tasuku Kawahara,421,Japan Rugby League One D1,N,W,0,,0,,
7,948750,24939,Atsushi Sakate,19567,Saitama Wild Knights,8.28,8.28,8,1,26,60,0,0,43,Ruck OOA,574,Secured,584,Own Team 2nd Entry,589,OOA Entry 2nd Entry- Att,632,Attacking OOA,0,,0,2,0,,0,,0,,0,,0,0,0,0,2025-12-14T06:05:58Z,1,1,1,0,0,19702,Toshiba Brave Lupus Tokyo,19567,Saitama Wild Knights,14/12/2025,15:00,0,33,0,46,0,0,449,Ajinomoto Stadium,-1,,1,2026,02,2,Hooker,0,,0,,1001473,Takehito Namekawa,1001500,Koki Yamauchi,1001498,Takahiro Kano,1000818,Tasuku Kawahara,421,Japan Rugby League One D1,N,W,0,,0,,
8,948750,25294,Taichi Mano,19702,Toshiba Brave Lupus Tokyo,8.76,8.76,9,1,74,8,0,0,43,Ruck OOA,800,Other Defensive Arrival,583,Own Team 1st Entry,603,OOA Entry 1st Entry- Def,633,Defensive OOA,803,Other/No Intention,0,3,0,,0,,0,,0,,0,0,0,0,2025-12-14T06:05:58Z,1,1,1,0,0,19702,Toshiba Brave Lupus Tokyo,19567,Saitama Wild Knights,14/12/2025,15:00,0,33,0,46,0,0,449,Ajinomoto Stadium,-1,,1,2026,12,12,Inside Centre,0,,0,,1001473,Takehito Namekawa,1001500,Koki Yamauchi,1001498,Takahiro Kano,1000818,Tasuku Kawahara,421,Japan Rugby League One D1,Y,L,0,,0,,
9,948750,28928,Taiki Koyama,19567,Saitama Wild Knights,10.24,10.24,10,1,26,60,0,0,18,Collection,631,General Catch,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2025-12-14T06:06:04Z,2,1,1,0,0,19702,Toshiba Brave Lupus Tokyo,19567,Saitama Wild Knights,14/12/2025,15:00,0,33,0,46,0,0,449,Ajinomoto Stadium,-1,,1,2026,09,9,Scrum Half,0,,0,,1001473,Takehito Namekawa,1001500,Koki Yamauchi,1001498,Takahiro Kano,1000818,Tasuku Kawahara,421,Japan Rugby League One D1,N,W,0,,0,,
