ID,FXID,PLID,playerName,team_id,teamName,ps_timestamp,ps_endstamp,MatchTime,period,x_coord,y_coord,x_coord_end,y_coord_end,action,actionName,ActionType,ActionTypeName,Actionresult,ActionResultName,qualifier3,qualifier3Name,qualifier4,qualifier4Name,qualifier5,qualifier5Name,qualifier6,qualifier6Name,qualifier7,qualifier7Name,qualifier8,qualifier8Name,qualifier9,qualifier9Name,qualifier10,qualifier10Name,Metres,Metres2,Metres3,Metres4,UTCTime,PlayNum,SetNum,sequence_id,player_advantage,score_advantage,homeTeamID,homeTeamName,awayTeamID,awayTeamName,datePlayed,kickofftime,hometeamHTscore,awayteamHTscore,hometeamFTscore,awayteamFTscore,hometeamCurrentScore,awayteamCurrentScore,venueID,venueName,cityID,cityName,roundNumber,season,playerShirtNumber,playerpositionID,playerpositionName,homecoachID,homecoachName,awaycoachID,awaycoachName,refereeID,refereeName,assistantreferee1ID,assistantreferee1Name,assistantreferee2ID,assistantreferee2Name,videoReferee1ID,videoreferee1Name,competitionID,competitionName,isHome,result,assoc_player,assoc_playerName,assoc_playerTeam,assoc_playerTeamName,assoc_event_id
0,948754,5209,,5209,Tokyo Sungoliath,0.00,4.08,1,1,50,34,0,0,17,,407,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2025-12-20T05:30:35Z,0,0,0,0,0,5209,Tokyo Sungoliath,5211,Toyota Verblitz,20/12/2025,14:30,15,11,43,25,0,0,449,Ajinomoto Stadium,-1,,2,2026,,,,0,,0,,1001683,Masaki Kondo,1001498,Takahiro Kano,1001986,Yuma Higashimura,1000818,Tasuku Kawahara,421,Japan Rugby League One D1,Y,W,0,,0,,
1,948754,20584,Cheslin Kolbe,5209,Tokyo Sungoliath,0.00,4.08,1,1,50,34,86,58,14,Restart,281,50m Restart,286,Restart Opp Collection,288,Long,753,Kicked Right,795,Kick Receipt Not Contested,0,,0,,0,,0,,0,,36,44,26,0,2025-12-20T05:30:35Z,1,0,1,0,0,5209,Tokyo Sungoliath,5211,Toyota Verblitz,20/12/2025,14:30,15,11,43,25,0,0,449,Ajinomoto Stadium,-1,,2,2026,11,11,Left Wing,0,,0,,1001683,Masaki Kondo,1001498,Takahiro Kano,1001986,Yuma Higashimura,1000818,Tasuku Kawahara,421,Japan Rugby League One D1,Y,W,0,,0,,
2,948754,25307,Rikiya Matsuda,5211,Toyota Verblitz,4.08,4.08,5,1,14,10,0,0,18,Collection,275,Restart Catch,277,Success,797,Kick Receipt Not Contested,1092,Non-Kicking Team,0,,0,,0,,0,,0,,0,,0,0,0,0,2025-12-20T05:30:39Z,1,1,1,0,0,5209,Tokyo Sungoliath,5211,Toyota Verblitz,20/12/2025,14:30,15,11,43,25,0,0,449,Ajinomoto Stadium,-1,,2,2026,10,10,Fly Half,0,,0,,1001683,Masaki Kondo,1001498,Takahiro Kano,1001986,Yuma Higashimura,1000818,Tasuku Kawahara,421,Japan Rugby League One D1,N,L,0,,0,,
3,948754,0,,5211,Toyota Verblitz,4.08,4.08,5,1,14,10,0,0,45,Defensive Exits,630,Kicked out of 22,0,,0,,0,,0,,0,,0,,0,,0,,0,,51,0,0,0,2025-12-20T05:30:39Z,1,1,1,0,0,5209,Tokyo Sungoliath,5211,Toyota Verblitz,20/12/2025,14:30,15,11,43,25,0,0,449,Ajinomoto Stadium,-1,,2,2026,,,,0,,0,,1001683,Masaki Kondo,1001498,Takahiro Kano,1001986,Yuma Higashimura,1000818,Tasuku Kawahara,421,Japan Rugby League One D1,N,L,0,,0,,
4,948754,25307,Rikiya Matsuda,5211,Toyota Verblitz,4.76,9.00,6,1,16,11,65,0,4,Kick,347,Touch Kick,193,Kick in Touch (Full),186,Kick in Play (Own 22),0,,795,Kick Receipt Not Contested,0,,0,,0,,0,,0,,49,50,0,0,2025-12-20T05:30:39Z,1,1,1,0,0,5209,Tokyo Sungoliath,5211,Toyota Verblitz,20/12/2025,14:30,15,11,43,25,0,0,449,Ajinomoto Stadium,-1,,2,2026,10,10,Fly Half,0,,0,,1001683,Masaki Kondo,1001498,Takahiro Kano,1001986,Yuma Higashimura,1000818,Tasuku Kawahara,421,Japan Rugby League One D1,N,L,0,,0,,
5,948754,0,,5209,Tokyo Sungoliath,0.00,9.00,10,1,50,34,36,68,26,Sequences,307,50m Restart,315,Kick Out of Play,0,,0,,0,,0,,0,,0,,0,,0,,-14,0,0,0,2025-12-20T05:30:35Z,1,1,1,0,0,5209,Tokyo Sungoliath,5211,Toyota Verblitz,20/12/2025,14:30,15,11,43,25,0,0,449,Ajinomoto Stadium,-1,,2,2026,,,,0,,0,,1001683,Masaki Kondo,1001498,Takahiro Kano,1001986,Yuma Higashimura,1000818,Tasuku Kawahara,421,Japan Rugby League One D1,Y,W,0,,0,,
6,948754,0,,5211,Toyota Verblitz,4.08,9.00,10,1,14,10,65,0,15,Possession,307,50m Restart,315,Kick Out of Play,0,,684,Fails to enter into Opposition 22,0,,0,,0,,0,,0,,0,,51,0,0,0,2025-12-20T05:30:39Z,1,1,1,0,0,5209,Tokyo Sungoliath,5211,Toyota Verblitz,20/12/2025,14:30,15,11,43,25,0,0,449,Ajinomoto Stadium,-1,,2,2026,,,,0,,0,,1001683,Masaki Kondo,1001498,Takahiro Kano,1001986,Yuma Higashimura,1000818,Tasuku Kawahara,421,Japan Rugby League One D1,N,L,0,,0,,
7,948754,21961,Kotaro Matsushima,5209,Tokyo Sungoliath,10.00,11.92,11,1,36,68,33,52,6,Lineout Throw,375,Throw Quick,376,Won Clean Catch,420,Catch and Run,0,1,663,Close Left Open Movement Lineout,726,1 Player,0,,0,,0,,0,,16,0,36,4,2025-12-20T05:30:45Z,1,2,2,0,0,5209,Tokyo Sungoliath,5211,Toyota Verblitz,20/12/2025,14:30,15,11,43,25,0,0,449,Ajinomoto Stadium,-1,,2,2026,15,15,Full Back,0,,0,,1001683,Masaki Kondo,1001498,Takahiro Kano,1001986,Yuma Higashimura,1000818,Tasuku Kawahara,421,Japan Rugby League One D1,Y,W,20584,Cheslin Kolbe,5209,Tokyo Sungoliath,8
8,948754,20584,Cheslin Kolbe,5209,Tokyo Sungoliath,11.92,11.92,13,1,33,52,0,0,27,Lineout Take,390,Lineout Win Quick,376,Won Clean,420,Catch and Run,396,Clean Catch,0,,0,,0,,0,,0,,0,,0,0,0,0,2025-12-20T05:30:47Z,1,2,2,0,0,5209,Tokyo Sungoliath,5211,Toyota Verblitz,20/12/2025,14:30,15,11,43,25,0,0,449,Ajinomoto Stadium,-1,,2,2026,11,11,Left Wing,0,,0,,1001683,Masaki Kondo,1001498,Takahiro Kano,1001986,Yuma Higashimura,1000818,Tasuku Kawahara,421,Japan Rugby League One D1,Y,W,21961,Kotaro Matsushima,5209,Tokyo Sungoliath,7
9,948754,20584,Cheslin Kolbe,5209,Tokyo Sungoliath,13.32,17.84,14,1,36,52,62,53,4,Kick,187,Bomb,201,Own Player - Collected,185,Kick in Play,0,,796,Kick Receipt Contested,0,,0,,0,,0,,0,,26,26,0,0,2025-12-20T05:30:48Z,1,2,2,0,0,5209,Tokyo Sungoliath,5211,Toyota Verblitz,20/12/2025,14:30,15,11,43,25,0,0,449,Ajinomoto Stadium,-1,,2,2026,11,11,Left Wing,0,,0,,1001683,Masaki Kondo,1001498,Takahiro Kano,1001986,Yuma Higashimura,1000818,Tasuku Kawahara,421,Japan Rugby League One D1,Y,W,0,,0,,
10,948754,26109,Tiaan Falcon,5211,Toyota Verblitz,17.72,17.72,19,1,37,15,0,0,40,Defensive Action,561,Aerial Kick Contest,0,,798,Kick Receipt Contested,1092,Non-Kicking Team,0,,0,,0,,0,,0,,0,,0,0,0,0,2025-12-20T05:30:48Z,1,2,2,0,0,5209,Tokyo Sungoliath,5211,Toyota Verblitz,20/12/2025,14:30,15,11,43,25,0,0,449,Ajinomoto Stadium,-1,,2,2026,15,15,Full Back,0,,0,,1001683,Masaki Kondo,1001498,Takahiro Kano,1001986,Yuma Higashimura,1000818,Tasuku Kawahara,421,Japan Rugby League One D1,N,L,0,,0,,
11,948754,21961,Kotaro Matsushima,5209,Tokyo Sungoliath,17.84,17.84,19,1,62,53,0,0,18,Collection,437,Tap Back,277,Success,798,Kick Receipt Contested,1091,Kicking Team,0,,0,,0,,0,,0,,0,,0,0,0,0,2025-12-20T05:30:53Z,1,2,2,0,0,5209,Tokyo Sungoliath,5211,Toyota Verblitz,20/12/2025,14:30,15,11,43,25,0,0,449,Ajinomoto Stadium,-1,,2,2026,15,15,Full Back,0,,0,,1001683,Masaki Kondo,1001498,Takahiro Kano,1001986,Yuma Higashimura,1000818,Tasuku Kawahara,421,Japan Rugby League One D1,Y,W,0,,0,,
12,948754,21961,Kotaro Matsushima,5209,Tokyo Sungoliath,17.84,18.84,19,1,62,53,61,51,3,Pass,169,Complete,0,,679,Short Pass,681,Left Pass,700,0th Receiver,0,,0,,0,,0,,0,,3,3,2,0,2025-12-20T05:30:53Z,1,2,2,0,0,5209,Tokyo Sungoliath,5211,Toyota Verblitz,20/12/2025,14:30,15,11,43,25,0,0,449,Ajinomoto Stadium,-1,,2,2026,15,15,Full Back,0,,0,,1001683,Masaki Kondo,1001498,Takahiro Kano,1001986,Yuma Higashimura,1000818,Tasuku Kawahara,421,Japan Rugby League One D1,Y,W,30962,Kanji Shimokawa,5209,Tokyo Sungoliath,13
13,948754,30962,Kanji Shimokawa,5209,Tokyo Sungoliath,18.84,18.84,20,1,61,51,0,0,18,Collection,272,Attacking Loose Ball,277,Success,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2025-12-20T05:30:54Z,1,2,2,0,0,5209,Tokyo Sungoliath,5211,Toyota Verblitz,20/12/2025,14:30,15,11,43,25,0,0,449,Ajinomoto Stadium,-1,,2,2026,06,6,Blindside Flanker,0,,0,,1001683,Masaki Kondo,1001498,Takahiro Kano,1001986,Yuma Higashimura,1000818,Tasuku Kawahara,421,Japan Rugby League One D1,Y,W,0,,0,,
