ID,FXID,PLID,playerName,team_id,teamName,ps_timestamp,ps_endstamp,MatchTime,period,x_coord,y_coord,x_coord_end,y_coord_end,action,actionName,ActionType,ActionTypeName,Actionresult,ActionResultName,qualifier3,qualifier3Name,qualifier4,qualifier4Name,qualifier5,qualifier5Name,qualifier6,qualifier6Name,qualifier7,qualifier7Name,qualifier8,qualifier8Name,qualifier9,qualifier9Name,qualifier10,qualifier10Name,Metres,Metres2,Metres3,Metres4,UTCTime,PlayNum,SetNum,sequence_id,player_advantage,score_advantage,homeTeamID,homeTeamName,awayTeamID,awayTeamName,datePlayed,kickofftime,hometeamHTscore,awayteamHTscore,hometeamFTscore,awayteamFTscore,hometeamCurrentScore,awayteamCurrentScore,venueID,venueName,cityID,cityName,roundNumber,season,playerShirtNumber,playerpositionID,playerpositionName,homecoachID,homecoachName,awaycoachID,awaycoachName,refereeID,refereeName,assistantreferee1ID,assistantreferee1Name,assistantreferee2ID,assistantreferee2Name,videoReferee1ID,videoreferee1Name,competitionID,competitionName,isHome,result,assoc_player,assoc_playerName,assoc_playerTeam,assoc_playerTeamName,assoc_event_id
0,948755,19567,,19567,Saitama Wild Knights,0.00,3.24,0,1,50,33,0,0,17,,407,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2025-12-21T05:31:27Z,0,0,0,0,0,19567,Saitama Wild Knights,5207,Urayasu D-Rocks,21/12/2025,14:30,20,7,37,19,0,0,505,Kumagaya Rugby Stadium,-1,,2,2026,,,,0,,0,,1001490,Ibuki Tetsuka,1001683,Masaki Kondo,1001498,Takahiro Kano,1001507,Daiki Kako,421,Japan Rugby League One D1,Y,W,0,,0,,
1,948755,26651,Hikaru Tamura,5207,Urayasu D-Rocks,0.00,3.24,0,1,50,33,72,16,14,Restart,281,50m Restart,286,Restart Opp Collection,289,Short,752,Kicked Left,795,Kick Receipt Not Contested,0,,0,,0,,0,,0,,22,29,18,0,2025-12-21T05:31:27Z,1,0,1,0,0,19567,Saitama Wild Knights,5207,Urayasu D-Rocks,21/12/2025,14:30,20,7,37,19,0,0,505,Kumagaya Rugby Stadium,-1,,2,2026,10,10,Fly Half,0,,0,,1001490,Ibuki Tetsuka,1001683,Masaki Kondo,1001498,Takahiro Kano,1001507,Daiki Kako,421,Japan Rugby League One D1,N,L,0,,0,,
2,948755,26283,Ben Gunter,19567,Saitama Wild Knights,3.24,3.24,4,1,28,52,0,0,18,Collection,275,Restart Catch,277,Success,797,Kick Receipt Not Contested,1092,Non-Kicking Team,0,,0,,0,,0,,0,,0,,0,0,0,0,2025-12-21T05:31:30Z,1,1,1,0,0,19567,Saitama Wild Knights,5207,Urayasu D-Rocks,21/12/2025,14:30,20,7,37,19,0,0,505,Kumagaya Rugby Stadium,-1,,2,2026,06,6,Blindside Flanker,0,,0,,1001490,Ibuki Tetsuka,1001683,Masaki Kondo,1001498,Takahiro Kano,1001507,Daiki Kako,421,Japan Rugby League One D1,Y,W,0,,0,,
3,948755,26283,Ben Gunter,19567,Saitama Wild Knights,3.24,6.64,4,1,28,52,32,52,1,Carry,105,Restart Return,108,Tackled Neutral,109,Crossed Gain line,461,Neutral Contact,501,1 Tacklers Committed,700,0th Receiver,0,,0,,0,,0,,5,5,1,1,2025-12-21T05:31:30Z,1,1,1,0,0,19567,Saitama Wild Knights,5207,Urayasu D-Rocks,21/12/2025,14:30,20,7,37,19,0,0,505,Kumagaya Rugby Stadium,-1,,2,2026,06,6,Blindside Flanker,0,,0,,1001490,Ibuki Tetsuka,1001683,Masaki Kondo,1001498,Takahiro Kano,1001507,Daiki Kako,421,Japan Rugby League One D1,Y,W,59843,Yuzuki Sasaki,5207,Urayasu D-Rocks,4
4,948755,59843,Yuzuki Sasaki,5207,Urayasu D-Rocks,4.60,4.60,5,1,69,16,0,0,2,Tackle,142,Chase,153,Complete,0,,474,Neutral Tackle,708,1st Tackler,713,Legs,0,,0,,0,,0,,0,0,0,0,2025-12-21T05:31:31Z,1,1,1,0,0,19567,Saitama Wild Knights,5207,Urayasu D-Rocks,21/12/2025,14:30,20,7,37,19,0,0,505,Kumagaya Rugby Stadium,-1,,2,2026,06,6,Blindside Flanker,0,,0,,1001490,Ibuki Tetsuka,1001683,Masaki Kondo,1001498,Takahiro Kano,1001507,Daiki Kako,421,Japan Rugby League One D1,N,L,26283,Ben Gunter,19567,Saitama Wild Knights,3
5,948755,26283,Ben Gunter,19567,Saitama Wild Knights,6.64,13.12,7,1,32,52,0,0,23,Ruck,0,,401,Won Outright,551,N/A Gainline,558,6+ Seconds,663,Close Left Open Movement Ruck,0,,0,,0,,0,,0,,0,0,1,9,2025-12-21T05:31:33Z,1,1,1,0,0,19567,Saitama Wild Knights,5207,Urayasu D-Rocks,21/12/2025,14:30,20,7,37,19,0,0,505,Kumagaya Rugby Stadium,-1,,2,2026,06,6,Blindside Flanker,0,,0,,1001490,Ibuki Tetsuka,1001683,Masaki Kondo,1001498,Takahiro Kano,1001507,Daiki Kako,421,Japan Rugby League One D1,Y,W,61906,Shu Hagihara,19567,Saitama Wild Knights,11
6,948755,28904,Manaaki Selby-Rickit,5207,Urayasu D-Rocks,7.60,7.60,8,1,68,16,0,0,43,Ruck OOA,800,Other Defensive Arrival,583,Own Team 1st Entry,603,OOA Entry 1st Entry- Def,633,Defensive OOA,801,Jackal Attempt,0,1,0,,0,,0,,0,,0,0,0,0,2025-12-21T05:31:27Z,1,1,1,0,0,19567,Saitama Wild Knights,5207,Urayasu D-Rocks,21/12/2025,14:30,20,7,37,19,0,0,505,Kumagaya Rugby Stadium,-1,,2,2026,05,5,Lock (5),0,,0,,1001490,Ibuki Tetsuka,1001683,Masaki Kondo,1001498,Takahiro Kano,1001507,Daiki Kako,421,Japan Rugby League One D1,N,L,0,,0,,
7,948755,26232,Asaeli Ai Valu,19567,Saitama Wild Knights,8.00,8.00,8,1,32,52,0,0,43,Ruck OOA,574,Secured,583,Own Team 1st Entry,588,OOA Entry 1st Entry- Att,632,Attacking OOA,0,,0,2,0,,0,,0,,0,,0,0,0,0,2025-12-21T05:31:27Z,1,1,1,0,0,19567,Saitama Wild Knights,5207,Urayasu D-Rocks,21/12/2025,14:30,20,7,37,19,0,0,505,Kumagaya Rugby Stadium,-1,,2,2026,03,3,Tighthead Prop,0,,0,,1001490,Ibuki Tetsuka,1001683,Masaki Kondo,1001498,Takahiro Kano,1001507,Daiki Kako,421,Japan Rugby League One D1,Y,W,0,,0,,
8,948755,27745,Esei Haangana,19567,Saitama Wild Knights,8.16,8.16,9,1,32,52,0,0,43,Ruck OOA,572,Cleaned Out,584,Own Team 2nd Entry,589,OOA Entry 2nd Entry- Att,632,Attacking OOA,0,,0,3,0,,0,,0,,0,,0,0,0,0,2025-12-21T05:31:27Z,1,1,1,0,0,19567,Saitama Wild Knights,5207,Urayasu D-Rocks,21/12/2025,14:30,20,7,37,19,0,0,505,Kumagaya Rugby Stadium,-1,,2,2026,05,5,Lock (5),0,,0,,1001490,Ibuki Tetsuka,1001683,Masaki Kondo,1001498,Takahiro Kano,1001507,Daiki Kako,421,Japan Rugby League One D1,Y,W,0,,0,,
9,948755,24939,Atsushi Sakate,19567,Saitama Wild Knights,8.68,8.68,9,1,32,52,0,0,43,Ruck OOA,574,Secured,585,Own Team 3rd Entry,590,OOA Entry 3rd Entry- Att,632,Attacking OOA,0,,0,4,0,,0,,0,,0,,0,0,0,0,2025-12-21T05:31:28Z,1,1,1,0,0,19567,Saitama Wild Knights,5207,Urayasu D-Rocks,21/12/2025,14:30,20,7,37,19,0,0,505,Kumagaya Rugby Stadium,-1,,2,2026,02,2,Hooker,0,,0,,1001490,Ibuki Tetsuka,1001683,Masaki Kondo,1001498,Takahiro Kano,1001507,Daiki Kako,421,Japan Rugby League One D1,Y,W,0,,0,,
