ID,FXID,PLID,playerName,team_id,teamName,ps_timestamp,ps_endstamp,MatchTime,period,x_coord,y_coord,x_coord_end,y_coord_end,action,actionName,ActionType,ActionTypeName,Actionresult,ActionResultName,qualifier3,qualifier3Name,qualifier4,qualifier4Name,qualifier5,qualifier5Name,qualifier6,qualifier6Name,qualifier7,qualifier7Name,qualifier8,qualifier8Name,qualifier9,qualifier9Name,qualifier10,qualifier10Name,Metres,Metres2,Metres3,Metres4,UTCTime,PlayNum,SetNum,sequence_id,player_advantage,score_advantage,homeTeamID,homeTeamName,awayTeamID,awayTeamName,datePlayed,kickofftime,hometeamHTscore,awayteamHTscore,hometeamFTscore,awayteamFTscore,hometeamCurrentScore,awayteamCurrentScore,venueID,venueName,cityID,cityName,roundNumber,season,playerShirtNumber,playerpositionID,playerpositionName,homecoachID,homecoachName,awaycoachID,awaycoachName,refereeID,refereeName,assistantreferee1ID,assistantreferee1Name,assistantreferee2ID,assistantreferee2Name,videoReferee1ID,videoreferee1Name,competitionID,competitionName,isHome,result,assoc_player,assoc_playerName,assoc_playerTeam,assoc_playerTeamName,assoc_event_id
0,948760,5200,,5200,Yokohama Canon Eagles,0.00,3.68,0,1,50,34,0,0,17,,407,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2025-12-28T05:32:16Z,0,0,0,0,0,5200,Yokohama Canon Eagles,19702,Toshiba Brave Lupus Tokyo,28/12/2025,14:30,12,24,19,41,0,0,69,Prince Chichibu Memorial Stadium,-1,,3,2026,,,,0,,0,,1001473,Takehito Namekawa,1001500,Koki Yamauchi,1001100,Atsushi Yamamoto,1001491,Katsuki Furuse,421,Japan Rugby League One D1,Y,L,0,,0,,
1,948760,21077,Richie Mo'unga,19702,Toshiba Brave Lupus Tokyo,0.00,3.68,0,1,50,34,75,63,14,Restart,281,50m Restart,286,Restart Opp Collection,289,Short,753,Kicked Right,795,Kick Receipt Not Contested,0,,0,,0,,0,,0,,25,39,30,0,2025-12-28T05:32:16Z,1,0,1,0,0,5200,Yokohama Canon Eagles,19702,Toshiba Brave Lupus Tokyo,28/12/2025,14:30,12,24,19,41,0,0,69,Prince Chichibu Memorial Stadium,-1,,3,2026,10,10,Fly Half,0,,0,,1001473,Takehito Namekawa,1001500,Koki Yamauchi,1001100,Atsushi Yamamoto,1001491,Katsuki Furuse,421,Japan Rugby League One D1,N,W,0,,0,,
2,948760,26111,Billy Harmon,5200,Yokohama Canon Eagles,3.68,3.68,3,1,25,5,0,0,18,Collection,275,Restart Catch,277,Success,797,Kick Receipt Not Contested,1092,Non-Kicking Team,0,,0,,0,,0,,0,,0,,0,0,0,0,2025-12-28T05:32:20Z,1,1,1,0,0,5200,Yokohama Canon Eagles,19702,Toshiba Brave Lupus Tokyo,28/12/2025,14:30,12,24,19,41,0,0,69,Prince Chichibu Memorial Stadium,-1,,3,2026,06,6,Blindside Flanker,0,,0,,1001473,Takehito Namekawa,1001500,Koki Yamauchi,1001100,Atsushi Yamamoto,1001491,Katsuki Furuse,421,Japan Rugby League One D1,Y,L,0,,0,,
3,948760,26111,Billy Harmon,5200,Yokohama Canon Eagles,3.68,5.48,3,1,25,5,28,6,1,Carry,105,Restart Return,108,Tackled Neutral,109,Crossed Gain line,461,Neutral Contact,501,1 Tacklers Committed,700,0th Receiver,0,,0,,0,,0,,3,3,0,0,2025-12-28T05:32:20Z,1,1,1,0,0,5200,Yokohama Canon Eagles,19702,Toshiba Brave Lupus Tokyo,28/12/2025,14:30,12,24,19,41,0,0,69,Prince Chichibu Memorial Stadium,-1,,3,2026,06,6,Blindside Flanker,0,,0,,1001473,Takehito Namekawa,1001500,Koki Yamauchi,1001100,Atsushi Yamamoto,1001491,Katsuki Furuse,421,Japan Rugby League One D1,Y,L,29261,Takeshi Sasaki,19702,Toshiba Brave Lupus Tokyo,4
4,948760,29261,Takeshi Sasaki,19702,Toshiba Brave Lupus Tokyo,4.32,4.32,4,1,72,64,0,0,2,Tackle,142,Chase,153,Complete,0,,474,Neutral Tackle,708,1st Tackler,715,Upper Torso,0,,0,,0,,0,,0,0,0,0,2025-12-28T05:32:20Z,1,1,1,0,0,5200,Yokohama Canon Eagles,19702,Toshiba Brave Lupus Tokyo,28/12/2025,14:30,12,24,19,41,0,0,69,Prince Chichibu Memorial Stadium,-1,,3,2026,07,7,Openside Flanker,0,,0,,1001473,Takehito Namekawa,1001500,Koki Yamauchi,1001100,Atsushi Yamamoto,1001491,Katsuki Furuse,421,Japan Rugby League One D1,N,W,26111,Billy Harmon,5200,Yokohama Canon Eagles,3
5,948760,26111,Billy Harmon,5200,Yokohama Canon Eagles,5.48,8.16,5,1,28,6,0,0,23,Ruck,0,,401,Won Outright,551,N/A Gainline,554,2-3 Seconds,662,Mid Right Open Movement Ruck,0,,0,,0,,0,,0,,0,0,-6,17,2025-12-28T05:32:22Z,1,1,1,0,0,5200,Yokohama Canon Eagles,19702,Toshiba Brave Lupus Tokyo,28/12/2025,14:30,12,24,19,41,0,0,69,Prince Chichibu Memorial Stadium,-1,,3,2026,06,6,Blindside Flanker,0,,0,,1001473,Takehito Namekawa,1001500,Koki Yamauchi,1001100,Atsushi Yamamoto,1001491,Katsuki Furuse,421,Japan Rugby League One D1,Y,L,59853,Asahi Doei,5200,Yokohama Canon Eagles,10
6,948760,63758,Randall Baker,5200,Yokohama Canon Eagles,6.32,6.32,6,1,28,6,0,0,43,Ruck OOA,574,Secured,583,Own Team 1st Entry,588,OOA Entry 1st Entry- Att,632,Attacking OOA,0,,0,1,0,,0,,0,,0,,0,0,0,0,2025-12-28T05:32:20Z,1,1,1,0,0,5200,Yokohama Canon Eagles,19702,Toshiba Brave Lupus Tokyo,28/12/2025,14:30,12,24,19,41,0,0,69,Prince Chichibu Memorial Stadium,-1,,3,2026,04,4,Lock (4),0,,0,,1001473,Takehito Namekawa,1001500,Koki Yamauchi,1001100,Atsushi Yamamoto,1001491,Katsuki Furuse,421,Japan Rugby League One D1,Y,L,0,,0,,
7,948760,36584,Tatsuro Sugimoto,5200,Yokohama Canon Eagles,6.36,6.36,6,1,28,6,0,0,43,Ruck OOA,574,Secured,584,Own Team 2nd Entry,589,OOA Entry 2nd Entry- Att,632,Attacking OOA,0,,0,2,0,,0,,0,,0,,0,0,0,0,2025-12-28T05:32:20Z,1,1,1,0,0,5200,Yokohama Canon Eagles,19702,Toshiba Brave Lupus Tokyo,28/12/2025,14:30,12,24,19,41,0,0,69,Prince Chichibu Memorial Stadium,-1,,3,2026,03,3,Tighthead Prop,0,,0,,1001473,Takehito Namekawa,1001500,Koki Yamauchi,1001100,Atsushi Yamamoto,1001491,Katsuki Furuse,421,Japan Rugby League One D1,Y,L,0,,0,,
8,948760,28966,Amanaki Saumaki,5200,Yokohama Canon Eagles,6.40,6.40,6,1,28,6,0,0,43,Ruck OOA,574,Secured,585,Own Team 3rd Entry,590,OOA Entry 3rd Entry- Att,632,Attacking OOA,0,,0,3,0,,0,,0,,0,,0,0,0,0,2025-12-28T05:32:20Z,1,1,1,0,0,5200,Yokohama Canon Eagles,19702,Toshiba Brave Lupus Tokyo,28/12/2025,14:30,12,24,19,41,0,0,69,Prince Chichibu Memorial Stadium,-1,,3,2026,08,8,Number 8,0,,0,,1001473,Takehito Namekawa,1001500,Koki Yamauchi,1001100,Atsushi Yamamoto,1001491,Katsuki Furuse,421,Japan Rugby League One D1,Y,L,0,,0,,
9,948760,25083,Masato Furukawa,5200,Yokohama Canon Eagles,6.44,6.44,6,1,28,6,0,0,43,Ruck OOA,574,Secured,586,Own Team 4th Entry,591,OOA Entry 4th Entry- Att,632,Attacking OOA,0,,0,4,0,,0,,0,,0,,0,0,0,0,2025-12-28T05:32:20Z,1,1,1,0,0,5200,Yokohama Canon Eagles,19702,Toshiba Brave Lupus Tokyo,28/12/2025,14:30,12,24,19,41,0,0,69,Prince Chichibu Memorial Stadium,-1,,3,2026,07,7,Openside Flanker,0,,0,,1001473,Takehito Namekawa,1001500,Koki Yamauchi,1001100,Atsushi Yamamoto,1001491,Katsuki Furuse,421,Japan Rugby League One D1,Y,L,0,,0,,
