ID,FXID,PLID,playerName,team_id,teamName,ps_timestamp,ps_endstamp,MatchTime,period,x_coord,y_coord,x_coord_end,y_coord_end,action,actionName,ActionType,ActionTypeName,Actionresult,ActionResultName,qualifier3,qualifier3Name,qualifier4,qualifier4Name,qualifier5,qualifier5Name,qualifier6,qualifier6Name,qualifier7,qualifier7Name,qualifier8,qualifier8Name,qualifier9,qualifier9Name,qualifier10,qualifier10Name,Metres,Metres2,Metres3,Metres4,UTCTime,PlayNum,SetNum,sequence_id,player_advantage,score_advantage,homeTeamID,homeTeamName,awayTeamID,awayTeamName,datePlayed,kickofftime,hometeamHTscore,awayteamHTscore,hometeamFTscore,awayteamFTscore,hometeamCurrentScore,awayteamCurrentScore,venueID,venueName,cityID,cityName,roundNumber,season,playerShirtNumber,playerpositionID,playerpositionName,homecoachID,homecoachName,awaycoachID,awaycoachName,refereeID,refereeName,assistantreferee1ID,assistantreferee1Name,assistantreferee2ID,assistantreferee2Name,videoReferee1ID,videoreferee1Name,competitionID,competitionName,isHome,result,assoc_player,assoc_playerName,assoc_playerTeam,assoc_playerTeamName,assoc_event_id
0,948762,594,,594,Mitsubishi Sagamihara Dynaboars,0.00,3.64,2,1,50,33,0,0,17,,407,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2025-12-28T05:30:27Z,0,0,0,0,0,594,Mitsubishi Sagamihara Dynaboars,19567,Saitama Wild Knights,28/12/2025,14:30,3,21,3,33,0,0,785,Sagamihara Gion Stadium,-1,,3,2026,,,,0,,0,,1000990,Toshimasa Sekiya,1001505,Tetsuya Hirakawa,1001498,Takahiro Kano,396,Mayumi Takahashi,421,Japan Rugby League One D1,Y,L,0,,0,,
1,948762,61564,Takaya Saito,19567,Saitama Wild Knights,0.00,3.64,2,1,50,33,83,13,14,Restart,281,50m Restart,286,Restart Opp Collection,288,Long,752,Kicked Left,795,Kick Receipt Not Contested,0,,0,,0,,0,,0,,33,39,21,0,2025-12-28T05:30:27Z,1,0,1,0,0,594,Mitsubishi Sagamihara Dynaboars,19567,Saitama Wild Knights,28/12/2025,14:30,3,21,3,33,0,0,785,Sagamihara Gion Stadium,-1,,3,2026,10,10,Fly Half,0,,0,,1000990,Toshimasa Sekiya,1001505,Tetsuya Hirakawa,1001498,Takahiro Kano,396,Mayumi Takahashi,421,Japan Rugby League One D1,N,W,0,,0,,
2,948762,24945,Marino Mikaele-Tu'u,594,Mitsubishi Sagamihara Dynaboars,3.64,3.64,6,1,17,55,0,0,18,Collection,275,Restart Catch,277,Success,797,Kick Receipt Not Contested,1092,Non-Kicking Team,0,,0,,0,,0,,0,,0,,0,0,0,0,2025-12-28T05:30:30Z,1,1,1,0,0,594,Mitsubishi Sagamihara Dynaboars,19567,Saitama Wild Knights,28/12/2025,14:30,3,21,3,33,0,0,785,Sagamihara Gion Stadium,-1,,3,2026,08,8,Number 8,0,,0,,1000990,Toshimasa Sekiya,1001505,Tetsuya Hirakawa,1001498,Takahiro Kano,396,Mayumi Takahashi,421,Japan Rugby League One D1,Y,L,0,,0,,
3,948762,0,,594,Mitsubishi Sagamihara Dynaboars,3.64,3.64,6,1,17,55,0,0,45,Defensive Exits,630,Kicked out of 22,0,,0,,0,,0,,0,,0,,0,,0,,0,,22,0,0,0,2025-12-28T05:30:30Z,1,1,1,0,0,594,Mitsubishi Sagamihara Dynaboars,19567,Saitama Wild Knights,28/12/2025,14:30,3,21,3,33,0,0,785,Sagamihara Gion Stadium,-1,,3,2026,,,,0,,0,,1000990,Toshimasa Sekiya,1001505,Tetsuya Hirakawa,1001498,Takahiro Kano,396,Mayumi Takahashi,421,Japan Rugby League One D1,Y,L,0,,0,,
4,948762,24945,Marino Mikaele-Tu'u,594,Mitsubishi Sagamihara Dynaboars,3.64,6.28,6,1,17,55,21,53,1,Carry,105,Restart Return,108,Tackled Neutral,109,Crossed Gain line,461,Neutral Contact,502,2 Tacklers Committed,700,0th Receiver,0,,0,,0,,0,,4,4,1,1,2025-12-28T05:30:30Z,1,1,1,0,0,594,Mitsubishi Sagamihara Dynaboars,19567,Saitama Wild Knights,28/12/2025,14:30,3,21,3,33,0,0,785,Sagamihara Gion Stadium,-1,,3,2026,08,8,Number 8,0,,0,,1000990,Toshimasa Sekiya,1001505,Tetsuya Hirakawa,1001498,Takahiro Kano,396,Mayumi Takahashi,421,Japan Rugby League One D1,Y,L,21724,Lachlan Boshier,19567,Saitama Wild Knights,5
5,948762,21724,Lachlan Boshier,19567,Saitama Wild Knights,5.80,5.80,8,1,80,14,0,0,2,Tackle,142,Chase,153,Complete,0,,474,Neutral Tackle,708,1st Tackler,714,Lower Torso,0,,0,,0,,0,,0,0,0,0,2025-12-28T05:30:33Z,1,1,1,0,0,594,Mitsubishi Sagamihara Dynaboars,19567,Saitama Wild Knights,28/12/2025,14:30,3,21,3,33,0,0,785,Sagamihara Gion Stadium,-1,,3,2026,07,7,Openside Flanker,0,,0,,1000990,Toshimasa Sekiya,1001505,Tetsuya Hirakawa,1001498,Takahiro Kano,396,Mayumi Takahashi,421,Japan Rugby League One D1,N,W,24945,Marino Mikaele-Tu'u,594,Mitsubishi Sagamihara Dynaboars,4
6,948762,28850,Liam Mitchell,19567,Saitama Wild Knights,5.84,5.84,8,1,80,14,0,0,2,Tackle,142,Chase,153,Complete,441,Assist,474,Neutral Tackle,709,2nd Tackler,714,Lower Torso,0,,0,,0,,0,,0,0,0,0,2025-12-28T05:30:33Z,1,1,1,0,0,594,Mitsubishi Sagamihara Dynaboars,19567,Saitama Wild Knights,28/12/2025,14:30,3,21,3,33,0,0,785,Sagamihara Gion Stadium,-1,,3,2026,04,4,Lock (4),0,,0,,1000990,Toshimasa Sekiya,1001505,Tetsuya Hirakawa,1001498,Takahiro Kano,396,Mayumi Takahashi,421,Japan Rugby League One D1,N,W,24945,Marino Mikaele-Tu'u,594,Mitsubishi Sagamihara Dynaboars,4
7,948762,24945,Marino Mikaele-Tu'u,594,Mitsubishi Sagamihara Dynaboars,6.28,10.56,8,1,21,53,0,0,23,Ruck,0,,401,Won Outright,551,N/A Gainline,556,4-5 Seconds,676,N/A Movement Ruck,0,,0,,0,,0,,0,,0,0,0,0,2025-12-28T05:30:33Z,1,1,1,0,0,594,Mitsubishi Sagamihara Dynaboars,19567,Saitama Wild Knights,28/12/2025,14:30,3,21,3,33,0,0,785,Sagamihara Gion Stadium,-1,,3,2026,08,8,Number 8,0,,0,,1000990,Toshimasa Sekiya,1001505,Tetsuya Hirakawa,1001498,Takahiro Kano,396,Mayumi Takahashi,421,Japan Rugby League One D1,Y,L,26342,Kota Iwamura,594,Mitsubishi Sagamihara Dynaboars,12
8,948762,21724,Lachlan Boshier,19567,Saitama Wild Knights,6.44,6.44,8,1,79,15,0,0,43,Ruck OOA,800,Other Defensive Arrival,583,Own Team 1st Entry,603,OOA Entry 1st Entry- Def,633,Defensive OOA,801,Jackal Attempt,0,1,0,,0,,0,,0,,0,0,0,0,2025-12-28T05:30:29Z,1,1,1,0,0,594,Mitsubishi Sagamihara Dynaboars,19567,Saitama Wild Knights,28/12/2025,14:30,3,21,3,33,0,0,785,Sagamihara Gion Stadium,-1,,3,2026,07,7,Openside Flanker,0,,0,,1000990,Toshimasa Sekiya,1001505,Tetsuya Hirakawa,1001498,Takahiro Kano,396,Mayumi Takahashi,421,Japan Rugby League One D1,N,W,0,,0,,
9,948762,26154,Epineri Uluiviti,594,Mitsubishi Sagamihara Dynaboars,6.52,6.52,8,1,21,53,0,0,43,Ruck OOA,572,Cleaned Out,583,Own Team 1st Entry,588,OOA Entry 1st Entry- Att,632,Attacking OOA,0,,0,2,0,,0,,0,,0,,0,0,0,0,2025-12-28T05:30:29Z,1,1,1,0,0,594,Mitsubishi Sagamihara Dynaboars,19567,Saitama Wild Knights,28/12/2025,14:30,3,21,3,33,0,0,785,Sagamihara Gion Stadium,-1,,3,2026,04,4,Lock (4),0,,0,,1000990,Toshimasa Sekiya,1001505,Tetsuya Hirakawa,1001498,Takahiro Kano,396,Mayumi Takahashi,421,Japan Rugby League One D1,Y,L,0,,0,,
