ID,FXID,PLID,playerName,team_id,teamName,ps_timestamp,ps_endstamp,MatchTime,period,x_coord,y_coord,x_coord_end,y_coord_end,action,actionName,ActionType,ActionTypeName,Actionresult,ActionResultName,qualifier3,qualifier3Name,qualifier4,qualifier4Name,qualifier5,qualifier5Name,qualifier6,qualifier6Name,qualifier7,qualifier7Name,qualifier8,qualifier8Name,qualifier9,qualifier9Name,qualifier10,qualifier10Name,Metres,Metres2,Metres3,Metres4,UTCTime,PlayNum,SetNum,sequence_id,player_advantage,score_advantage,homeTeamID,homeTeamName,awayTeamID,awayTeamName,datePlayed,kickofftime,hometeamHTscore,awayteamHTscore,hometeamFTscore,awayteamFTscore,hometeamCurrentScore,awayteamCurrentScore,venueID,venueName,cityID,cityName,roundNumber,season,playerShirtNumber,playerpositionID,playerpositionName,homecoachID,homecoachName,awaycoachID,awaycoachName,refereeID,refereeName,assistantreferee1ID,assistantreferee1Name,assistantreferee2ID,assistantreferee2Name,videoReferee1ID,videoreferee1Name,competitionID,competitionName,isHome,result,assoc_player,assoc_playerName,assoc_playerTeam,assoc_playerTeamName,assoc_event_id
0,948764,5203,,5203,Kobelco Kobe Steelers,0.00,3.56,2,1,50,34,0,0,17,,407,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2025-12-27T05:30:21Z,0,0,0,0,0,5203,Kobelco Kobe Steelers,5211,Toyota Verblitz,27/12/2025,14:30,28,17,49,29,0,0,330,Kobe Misaki Stadium,-1,,3,2026,,,,0,,0,,1001491,Katsuki Furuse,1001799,Souta Ouchi,1001985,Rikito Nobehara,1001626,Tomohiro Koyama,421,Japan Rugby League One D1,Y,W,0,,0,,
1,948764,25307,Rikiya Matsuda,5211,Toyota Verblitz,0.00,3.56,2,1,50,34,80,51,14,Restart,281,50m Restart,286,Restart Opp Collection,288,Long,753,Kicked Right,795,Kick Receipt Not Contested,0,,0,,0,,0,,0,,30,34,17,0,2025-12-27T05:30:21Z,1,0,1,0,0,5203,Kobelco Kobe Steelers,5211,Toyota Verblitz,27/12/2025,14:30,28,17,49,29,0,0,330,Kobe Misaki Stadium,-1,,3,2026,10,10,Fly Half,0,,0,,1001491,Katsuki Furuse,1001799,Souta Ouchi,1001985,Rikito Nobehara,1001626,Tomohiro Koyama,421,Japan Rugby League One D1,N,L,0,,0,,
2,948764,37841,Seungsin Lee,5203,Kobelco Kobe Steelers,3.56,3.56,5,1,20,17,0,0,18,Collection,275,Restart Catch,277,Success,797,Kick Receipt Not Contested,1092,Non-Kicking Team,0,,0,,0,,0,,0,,0,,0,0,0,0,2025-12-27T05:30:25Z,1,1,1,0,0,5203,Kobelco Kobe Steelers,5211,Toyota Verblitz,27/12/2025,14:30,28,17,49,29,0,0,330,Kobe Misaki Stadium,-1,,3,2026,12,12,Inside Centre,0,,0,,1001491,Katsuki Furuse,1001799,Souta Ouchi,1001985,Rikito Nobehara,1001626,Tomohiro Koyama,421,Japan Rugby League One D1,Y,W,0,,0,,
3,948764,0,,5203,Kobelco Kobe Steelers,3.56,3.56,5,1,20,17,0,0,45,Defensive Exits,630,Kicked out of 22,0,,0,,0,,0,,0,,0,,0,,0,,0,,41,0,0,0,2025-12-27T05:30:25Z,1,1,1,0,0,5203,Kobelco Kobe Steelers,5211,Toyota Verblitz,27/12/2025,14:30,28,17,49,29,0,0,330,Kobe Misaki Stadium,-1,,3,2026,,,,0,,0,,1001491,Katsuki Furuse,1001799,Souta Ouchi,1001985,Rikito Nobehara,1001626,Tomohiro Koyama,421,Japan Rugby League One D1,Y,W,0,,0,,
4,948764,37841,Seungsin Lee,5203,Kobelco Kobe Steelers,3.56,6.40,5,1,20,17,23,18,1,Carry,105,Restart Return,107,Tackled Dominant,109,Crossed Gain line,460,Dominant Contact,501,1 Tacklers Committed,700,0th Receiver,0,,0,,0,,0,,3,3,0,0,2025-12-27T05:30:25Z,1,1,1,0,0,5203,Kobelco Kobe Steelers,5211,Toyota Verblitz,27/12/2025,14:30,28,17,49,29,0,0,330,Kobe Misaki Stadium,-1,,3,2026,12,12,Inside Centre,0,,0,,1001491,Katsuki Furuse,1001799,Souta Ouchi,1001985,Rikito Nobehara,1001626,Tomohiro Koyama,421,Japan Rugby League One D1,Y,W,21728,Josh Dickson,5211,Toyota Verblitz,5
5,948764,21728,Josh Dickson,5211,Toyota Verblitz,4.84,4.84,7,1,77,49,0,0,2,Tackle,142,Chase,160,Passive,0,,475,Ineffective Tackle,708,1st Tackler,715,Upper Torso,0,,0,,0,,0,,0,0,0,0,2025-12-27T05:30:26Z,1,1,1,0,0,5203,Kobelco Kobe Steelers,5211,Toyota Verblitz,27/12/2025,14:30,28,17,49,29,0,0,330,Kobe Misaki Stadium,-1,,3,2026,04,4,Lock (4),0,,0,,1001491,Katsuki Furuse,1001799,Souta Ouchi,1001985,Rikito Nobehara,1001626,Tomohiro Koyama,421,Japan Rugby League One D1,N,L,37841,Seungsin Lee,5203,Kobelco Kobe Steelers,4
6,948764,37841,Seungsin Lee,5203,Kobelco Kobe Steelers,6.40,8.92,8,1,23,18,0,0,23,Ruck,0,,401,Won Outright,551,N/A Gainline,554,2-3 Seconds,662,Mid Right Open Movement Ruck,0,,0,,0,,0,,0,,0,0,-1,21,2025-12-27T05:30:28Z,1,1,1,0,0,5203,Kobelco Kobe Steelers,5211,Toyota Verblitz,27/12/2025,14:30,28,17,49,29,0,0,330,Kobe Misaki Stadium,-1,,3,2026,12,12,Inside Centre,0,,0,,1001491,Katsuki Furuse,1001799,Souta Ouchi,1001985,Rikito Nobehara,1001626,Tomohiro Koyama,421,Japan Rugby League One D1,Y,W,62011,Itsuki Kamimura,5203,Kobelco Kobe Steelers,10
7,948764,21728,Josh Dickson,5211,Toyota Verblitz,6.60,6.60,8,1,77,50,0,0,43,Ruck OOA,800,Other Defensive Arrival,583,Own Team 1st Entry,603,OOA Entry 1st Entry- Def,633,Defensive OOA,803,Other/No Intention,0,1,0,,0,,0,,0,,0,0,0,0,2025-12-27T05:30:26Z,1,1,1,0,0,5203,Kobelco Kobe Steelers,5211,Toyota Verblitz,27/12/2025,14:30,28,17,49,29,0,0,330,Kobe Misaki Stadium,-1,,3,2026,04,4,Lock (4),0,,0,,1001491,Katsuki Furuse,1001799,Souta Ouchi,1001985,Rikito Nobehara,1001626,Tomohiro Koyama,421,Japan Rugby League One D1,N,L,0,,0,,
8,948764,22418,Gerard Cowley-Tuioti,5203,Kobelco Kobe Steelers,7.72,7.72,10,1,23,18,0,0,43,Ruck OOA,572,Cleaned Out,583,Own Team 1st Entry,588,OOA Entry 1st Entry- Att,632,Attacking OOA,0,,0,2,0,,0,,0,,0,,0,0,0,0,2025-12-27T05:30:27Z,1,1,1,0,0,5203,Kobelco Kobe Steelers,5211,Toyota Verblitz,27/12/2025,14:30,28,17,49,29,0,0,330,Kobe Misaki Stadium,-1,,3,2026,05,5,Lock (5),0,,0,,1001491,Katsuki Furuse,1001799,Souta Ouchi,1001985,Rikito Nobehara,1001626,Tomohiro Koyama,421,Japan Rugby League One D1,Y,W,0,,0,,
9,948764,36558,Shigure Takao,5203,Kobelco Kobe Steelers,7.76,7.76,10,1,23,18,0,0,43,Ruck OOA,574,Secured,584,Own Team 2nd Entry,589,OOA Entry 2nd Entry- Att,632,Attacking OOA,0,,0,3,0,,0,,0,,0,,0,0,0,0,2025-12-27T05:30:27Z,1,1,1,0,0,5203,Kobelco Kobe Steelers,5211,Toyota Verblitz,27/12/2025,14:30,28,17,49,29,0,0,330,Kobe Misaki Stadium,-1,,3,2026,01,1,Loosehead Prop,0,,0,,1001491,Katsuki Furuse,1001799,Souta Ouchi,1001985,Rikito Nobehara,1001626,Tomohiro Koyama,421,Japan Rugby League One D1,Y,W,0,,0,,
