ID,FXID,PLID,playerName,team_id,teamName,ps_timestamp,ps_endstamp,MatchTime,period,x_coord,y_coord,x_coord_end,y_coord_end,action,actionName,ActionType,ActionTypeName,Actionresult,ActionResultName,qualifier3,qualifier3Name,qualifier4,qualifier4Name,qualifier5,qualifier5Name,qualifier6,qualifier6Name,qualifier7,qualifier7Name,qualifier8,qualifier8Name,qualifier9,qualifier9Name,qualifier10,qualifier10Name,Metres,Metres2,Metres3,Metres4,UTCTime,PlayNum,SetNum,sequence_id,player_advantage,score_advantage,homeTeamID,homeTeamName,awayTeamID,awayTeamName,datePlayed,kickofftime,hometeamHTscore,awayteamHTscore,hometeamFTscore,awayteamFTscore,hometeamCurrentScore,awayteamCurrentScore,venueID,venueName,cityID,cityName,roundNumber,season,playerShirtNumber,playerpositionID,playerpositionName,homecoachID,homecoachName,awaycoachID,awaycoachName,refereeID,refereeName,assistantreferee1ID,assistantreferee1Name,assistantreferee2ID,assistantreferee2Name,videoReferee1ID,videoreferee1Name,competitionID,competitionName,isHome,result,assoc_player,assoc_playerName,assoc_playerTeam,assoc_playerTeamName,assoc_event_id
0,948766,19567,,19567,Saitama Wild Knights,0.00,4.00,1,1,50,35,0,0,17,,407,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-01-10T05:30:26Z,0,0,0,0,0,19567,Saitama Wild Knights,5212,Shizuoka BlueRevs,10/01/2026,14:30,8,15,37,22,0,0,505,Kumagaya Rugby Stadium,-1,,4,2026,,,,0,,0,,1001490,Ibuki Tetsuka,1001498,Takahiro Kano,1002085,Meitetsu Shimizu,1000758,Minoru Fuji,421,Japan Rugby League One D1,Y,W,0,,0,,
1,948766,22606,Sam Greene,5212,Shizuoka BlueRevs,0.00,4.00,1,1,50,35,74,45,14,Restart,281,50m Restart,286,Restart Opp Collection,289,Short,753,Kicked Right,795,Kick Receipt Not Contested,0,,0,,0,,0,,0,,24,26,11,0,2026-01-10T05:30:26Z,1,0,1,0,0,19567,Saitama Wild Knights,5212,Shizuoka BlueRevs,10/01/2026,14:30,8,15,37,22,0,0,505,Kumagaya Rugby Stadium,-1,,4,2026,10,10,Fly Half,0,,0,,1001490,Ibuki Tetsuka,1001498,Takahiro Kano,1002085,Meitetsu Shimizu,1000758,Minoru Fuji,421,Japan Rugby League One D1,N,L,0,,0,,
2,948766,23697,Jack Cornelsen,19567,Saitama Wild Knights,4.00,4.00,5,1,26,23,0,0,18,Collection,275,Restart Catch,277,Success,797,Kick Receipt Not Contested,1092,Non-Kicking Team,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-01-10T05:30:30Z,1,1,1,0,0,19567,Saitama Wild Knights,5212,Shizuoka BlueRevs,10/01/2026,14:30,8,15,37,22,0,0,505,Kumagaya Rugby Stadium,-1,,4,2026,04,4,Lock (4),0,,0,,1001490,Ibuki Tetsuka,1001498,Takahiro Kano,1002085,Meitetsu Shimizu,1000758,Minoru Fuji,421,Japan Rugby League One D1,Y,W,0,,0,,
3,948766,23697,Jack Cornelsen,19567,Saitama Wild Knights,4.00,5.24,5,1,26,23,28,23,1,Carry,105,Restart Return,108,Tackled Neutral,109,Crossed Gain line,461,Neutral Contact,502,2 Tacklers Committed,700,0th Receiver,0,,0,,0,,0,,2,2,1,1,2026-01-10T05:30:30Z,1,1,1,0,0,19567,Saitama Wild Knights,5212,Shizuoka BlueRevs,10/01/2026,14:30,8,15,37,22,0,0,505,Kumagaya Rugby Stadium,-1,,4,2026,04,4,Lock (4),0,,0,,1001490,Ibuki Tetsuka,1001498,Takahiro Kano,1002085,Meitetsu Shimizu,1000758,Minoru Fuji,421,Japan Rugby League One D1,Y,W,26310,Takeshi Hino,5212,Shizuoka BlueRevs,4
4,948766,26310,Takeshi Hino,5212,Shizuoka BlueRevs,4.56,4.56,6,1,73,45,0,0,2,Tackle,142,Chase,153,Complete,0,,474,Neutral Tackle,708,1st Tackler,713,Legs,0,,0,,0,,0,,0,0,0,0,2026-01-10T05:30:31Z,1,1,1,0,0,19567,Saitama Wild Knights,5212,Shizuoka BlueRevs,10/01/2026,14:30,8,15,37,22,0,0,505,Kumagaya Rugby Stadium,-1,,4,2026,02,2,Hooker,0,,0,,1001490,Ibuki Tetsuka,1001498,Takahiro Kano,1002085,Meitetsu Shimizu,1000758,Minoru Fuji,421,Japan Rugby League One D1,N,L,23697,Jack Cornelsen,19567,Saitama Wild Knights,3
5,948766,38476,Kakeru Okumura,5212,Shizuoka BlueRevs,4.60,4.60,6,1,73,45,0,0,2,Tackle,142,Chase,153,Complete,441,Assist,474,Neutral Tackle,709,2nd Tackler,714,Lower Torso,0,,0,,0,,0,,0,0,0,0,2026-01-10T05:30:31Z,1,1,1,0,0,19567,Saitama Wild Knights,5212,Shizuoka BlueRevs,10/01/2026,14:30,8,15,37,22,0,0,505,Kumagaya Rugby Stadium,-1,,4,2026,14,14,Right Wing,0,,0,,1001490,Ibuki Tetsuka,1001498,Takahiro Kano,1002085,Meitetsu Shimizu,1000758,Minoru Fuji,421,Japan Rugby League One D1,N,L,23697,Jack Cornelsen,19567,Saitama Wild Knights,3
6,948766,23697,Jack Cornelsen,19567,Saitama Wild Knights,5.24,7.44,7,1,28,23,0,0,23,Ruck,0,,401,Won Outright,551,N/A Gainline,554,2-3 Seconds,662,Mid Right Open Movement Ruck,0,,0,,0,,0,,0,,0,0,-4,20,2026-01-10T05:30:31Z,1,1,1,0,0,19567,Saitama Wild Knights,5212,Shizuoka BlueRevs,10/01/2026,14:30,8,15,37,22,0,0,505,Kumagaya Rugby Stadium,-1,,4,2026,04,4,Lock (4),0,,0,,1001490,Ibuki Tetsuka,1001498,Takahiro Kano,1002085,Meitetsu Shimizu,1000758,Minoru Fuji,421,Japan Rugby League One D1,Y,W,61956,Kumsu Lee,19567,Saitama Wild Knights,10
7,948766,20930,Craig Millar,19567,Saitama Wild Knights,6.12,6.12,7,1,28,23,0,0,43,Ruck OOA,574,Secured,583,Own Team 1st Entry,588,OOA Entry 1st Entry- Att,632,Attacking OOA,0,,0,1,0,,0,,0,,0,,0,0,0,0,2026-01-10T05:30:32Z,1,1,1,0,0,19567,Saitama Wild Knights,5212,Shizuoka BlueRevs,10/01/2026,14:30,8,15,37,22,0,0,505,Kumagaya Rugby Stadium,-1,,4,2026,01,1,Loosehead Prop,0,,0,,1001490,Ibuki Tetsuka,1001498,Takahiro Kano,1002085,Meitetsu Shimizu,1000758,Minoru Fuji,421,Japan Rugby League One D1,Y,W,0,,0,,
8,948766,37820,Viliami Afu Kaipouli,19567,Saitama Wild Knights,6.24,6.24,8,1,28,23,0,0,43,Ruck OOA,574,Secured,584,Own Team 2nd Entry,589,OOA Entry 2nd Entry- Att,632,Attacking OOA,0,,0,2,0,,0,,0,,0,,0,0,0,0,2026-01-10T05:30:32Z,1,1,1,0,0,19567,Saitama Wild Knights,5212,Shizuoka BlueRevs,10/01/2026,14:30,8,15,37,22,0,0,505,Kumagaya Rugby Stadium,-1,,4,2026,08,8,Number 8,0,,0,,1001490,Ibuki Tetsuka,1001498,Takahiro Kano,1002085,Meitetsu Shimizu,1000758,Minoru Fuji,421,Japan Rugby League One D1,Y,W,0,,0,,
9,948766,21724,Lachlan Boshier,19567,Saitama Wild Knights,7.08,7.08,8,1,28,23,0,0,43,Ruck OOA,574,Secured,585,Own Team 3rd Entry,590,OOA Entry 3rd Entry- Att,632,Attacking OOA,0,,0,3,0,,0,,0,,0,,0,0,0,0,2026-01-10T05:30:33Z,1,1,1,0,0,19567,Saitama Wild Knights,5212,Shizuoka BlueRevs,10/01/2026,14:30,8,15,37,22,0,0,505,Kumagaya Rugby Stadium,-1,,4,2026,07,7,Openside Flanker,0,,0,,1001490,Ibuki Tetsuka,1001498,Takahiro Kano,1002085,Meitetsu Shimizu,1000758,Minoru Fuji,421,Japan Rugby League One D1,Y,W,0,,0,,
