ID,FXID,PLID,playerName,team_id,teamName,ps_timestamp,ps_endstamp,MatchTime,period,x_coord,y_coord,x_coord_end,y_coord_end,action,actionName,ActionType,ActionTypeName,Actionresult,ActionResultName,qualifier3,qualifier3Name,qualifier4,qualifier4Name,qualifier5,qualifier5Name,qualifier6,qualifier6Name,qualifier7,qualifier7Name,qualifier8,qualifier8Name,qualifier9,qualifier9Name,qualifier10,qualifier10Name,Metres,Metres2,Metres3,Metres4,UTCTime,PlayNum,SetNum,sequence_id,player_advantage,score_advantage,homeTeamID,homeTeamName,awayTeamID,awayTeamName,datePlayed,kickofftime,hometeamHTscore,awayteamHTscore,hometeamFTscore,awayteamFTscore,hometeamCurrentScore,awayteamCurrentScore,venueID,venueName,cityID,cityName,roundNumber,season,playerShirtNumber,playerpositionID,playerpositionName,homecoachID,homecoachName,awaycoachID,awaycoachName,refereeID,refereeName,assistantreferee1ID,assistantreferee1Name,assistantreferee2ID,assistantreferee2Name,videoReferee1ID,videoreferee1Name,competitionID,competitionName,isHome,result,assoc_player,assoc_playerName,assoc_playerTeam,assoc_playerTeamName,assoc_event_id
0,948769,5211,,5211,Toyota Verblitz,0.00,3.52,1,1,50,34,0,0,17,,407,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-01-10T05:32:57Z,0,0,0,0,0,5211,Toyota Verblitz,5208,BlackRams Tokyo,10/01/2026,14:30,29,10,29,37,0,0,577,Mikuni World Stadium Kitakyushu,-1,,4,2026,,,,0,,0,,1001491,Katsuki Furuse,1001798,Shuhei Hamada,1001807,Teruki Inanishi,1001626,Tomohiro Koyama,421,Japan Rugby League One D1,Y,L,0,,0,,
1,948769,61472,Ichigo Nakakusu,5208,BlackRams Tokyo,0.00,3.52,1,1,50,34,94,52,14,Restart,281,50m Restart,286,Restart Opp Collection,288,Long,753,Kicked Right,795,Kick Receipt Not Contested,0,,0,,0,,0,,0,,44,48,19,0,2026-01-10T05:32:57Z,1,0,1,0,0,5211,Toyota Verblitz,5208,BlackRams Tokyo,10/01/2026,14:30,29,10,29,37,0,0,577,Mikuni World Stadium Kitakyushu,-1,,4,2026,10,10,Fly Half,0,,0,,1001491,Katsuki Furuse,1001798,Shuhei Hamada,1001807,Teruki Inanishi,1001626,Tomohiro Koyama,421,Japan Rugby League One D1,N,W,0,,0,,
2,948769,36482,Taichi Takahashi,5211,Toyota Verblitz,3.52,3.52,5,1,6,16,0,0,18,Collection,275,Restart Catch,277,Success,797,Kick Receipt Not Contested,1092,Non-Kicking Team,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-01-10T05:33:01Z,1,1,1,0,0,5211,Toyota Verblitz,5208,BlackRams Tokyo,10/01/2026,14:30,29,10,29,37,0,0,577,Mikuni World Stadium Kitakyushu,-1,,4,2026,15,15,Full Back,0,,0,,1001491,Katsuki Furuse,1001798,Shuhei Hamada,1001807,Teruki Inanishi,1001626,Tomohiro Koyama,421,Japan Rugby League One D1,Y,L,0,,0,,
3,948769,0,,5211,Toyota Verblitz,3.52,3.52,5,1,6,16,0,0,45,Defensive Exits,630,Kicked out of 22,0,,0,,0,,0,,0,,0,,0,,0,,0,,49,0,0,0,2026-01-10T05:33:01Z,1,1,1,0,0,5211,Toyota Verblitz,5208,BlackRams Tokyo,10/01/2026,14:30,29,10,29,37,0,0,577,Mikuni World Stadium Kitakyushu,-1,,4,2026,,,,0,,0,,1001491,Katsuki Furuse,1001798,Shuhei Hamada,1001807,Teruki Inanishi,1001626,Tomohiro Koyama,421,Japan Rugby League One D1,Y,L,0,,0,,
4,948769,36482,Taichi Takahashi,5211,Toyota Verblitz,4.56,8.04,6,1,7,16,55,0,4,Kick,347,Touch Kick,193,Kick in Touch (Full),186,Kick in Play (Own 22),0,,795,Kick Receipt Not Contested,0,,0,,0,,0,,0,,48,51,0,0,2026-01-10T05:33:02Z,1,1,1,0,0,5211,Toyota Verblitz,5208,BlackRams Tokyo,10/01/2026,14:30,29,10,29,37,0,0,577,Mikuni World Stadium Kitakyushu,-1,,4,2026,15,15,Full Back,0,,0,,1001491,Katsuki Furuse,1001798,Shuhei Hamada,1001807,Teruki Inanishi,1001626,Tomohiro Koyama,421,Japan Rugby League One D1,Y,L,0,,0,,
5,948769,0,,5208,BlackRams Tokyo,0.00,8.04,9,1,50,34,45,68,26,Sequences,307,50m Restart,315,Kick Out of Play,0,,0,,0,,0,,0,,0,,0,,0,,-5,0,0,0,2026-01-10T05:32:57Z,1,1,1,0,0,5211,Toyota Verblitz,5208,BlackRams Tokyo,10/01/2026,14:30,29,10,29,37,0,0,577,Mikuni World Stadium Kitakyushu,-1,,4,2026,,,,0,,0,,1001491,Katsuki Furuse,1001798,Shuhei Hamada,1001807,Teruki Inanishi,1001626,Tomohiro Koyama,421,Japan Rugby League One D1,N,W,0,,0,,
6,948769,0,,5211,Toyota Verblitz,3.52,8.04,9,1,6,16,55,0,15,Possession,307,50m Restart,315,Kick Out of Play,0,,684,Fails to enter into Opposition 22,0,,0,,0,,0,,0,,0,,49,0,0,0,2026-01-10T05:33:01Z,1,1,1,0,0,5211,Toyota Verblitz,5208,BlackRams Tokyo,10/01/2026,14:30,29,10,29,37,0,0,577,Mikuni World Stadium Kitakyushu,-1,,4,2026,,,,0,,0,,1001491,Katsuki Furuse,1001798,Shuhei Hamada,1001807,Teruki Inanishi,1001626,Tomohiro Koyama,421,Japan Rugby League One D1,Y,L,0,,0,,
7,948769,32641,Shin Ouchi,5208,BlackRams Tokyo,27.36,28.08,28,1,45,68,45,61,6,Lineout Throw,371,Throw Front,376,Won Clean Catch,208,Catch and Pass,0,5,659,Wide Left Open Movement Lineout,730,5 Players,724,Halfback in Position,0,,0,,0,,7,0,55,37,2026-01-10T05:33:24Z,1,2,2,0,0,5211,Toyota Verblitz,5208,BlackRams Tokyo,10/01/2026,14:30,29,10,29,37,0,0,577,Mikuni World Stadium Kitakyushu,-1,,4,2026,02,2,Hooker,0,,0,,1001491,Katsuki Furuse,1001798,Shuhei Hamada,1001807,Teruki Inanishi,1001626,Tomohiro Koyama,421,Japan Rugby League One D1,N,W,34491,Shu Yamamoto,5208,BlackRams Tokyo,8
8,948769,34491,Shu Yamamoto,5208,BlackRams Tokyo,28.08,28.08,29,1,45,61,0,0,27,Lineout Take,386,Lineout Win Front,376,Won Clean,208,Catch and Pass,396,Clean Catch,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-01-10T05:33:25Z,1,2,2,0,0,5211,Toyota Verblitz,5208,BlackRams Tokyo,10/01/2026,14:30,29,10,29,37,0,0,577,Mikuni World Stadium Kitakyushu,-1,,4,2026,06,6,Blindside Flanker,0,,0,,1001491,Katsuki Furuse,1001798,Shuhei Hamada,1001807,Teruki Inanishi,1001626,Tomohiro Koyama,421,Japan Rugby League One D1,N,W,32641,Shin Ouchi,5208,BlackRams Tokyo,7
9,948769,34491,Shu Yamamoto,5208,BlackRams Tokyo,29.00,29.32,30,1,45,61,42,61,3,Pass,169,Complete,0,,679,Short Pass,687,Neutral Pass,700,0th Receiver,0,,0,,0,,0,,0,,0,3,3,0,2026-01-10T05:33:26Z,1,2,2,0,0,5211,Toyota Verblitz,5208,BlackRams Tokyo,10/01/2026,14:30,29,10,29,37,0,0,577,Mikuni World Stadium Kitakyushu,-1,,4,2026,06,6,Blindside Flanker,0,,0,,1001491,Katsuki Furuse,1001798,Shuhei Hamada,1001807,Teruki Inanishi,1001626,Tomohiro Koyama,421,Japan Rugby League One D1,N,W,18502,TJ Perenara,5208,BlackRams Tokyo,10
10,948769,18502,TJ Perenara,5208,BlackRams Tokyo,29.32,29.32,30,1,42,61,0,0,18,Collection,631,General Catch,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-01-10T05:33:27Z,1,2,2,0,0,5211,Toyota Verblitz,5208,BlackRams Tokyo,10/01/2026,14:30,29,10,29,37,0,0,577,Mikuni World Stadium Kitakyushu,-1,,4,2026,09,9,Scrum Half,0,,0,,1001491,Katsuki Furuse,1001798,Shuhei Hamada,1001807,Teruki Inanishi,1001626,Tomohiro Koyama,421,Japan Rugby League One D1,N,W,0,,0,,
11,948769,18502,TJ Perenara,5208,BlackRams Tokyo,29.96,30.80,31,1,42,61,42,46,3,Pass,169,Complete,0,,680,Long Pass,681,Left Pass,701,1st Receiver,0,,0,,0,,0,,0,,16,16,1,0,2026-01-10T05:33:27Z,1,2,2,0,0,5211,Toyota Verblitz,5208,BlackRams Tokyo,10/01/2026,14:30,29,10,29,37,0,0,577,Mikuni World Stadium Kitakyushu,-1,,4,2026,09,9,Scrum Half,0,,0,,1001491,Katsuki Furuse,1001798,Shuhei Hamada,1001807,Teruki Inanishi,1001626,Tomohiro Koyama,421,Japan Rugby League One D1,N,W,61472,Ichigo Nakakusu,5208,BlackRams Tokyo,12
12,948769,61472,Ichigo Nakakusu,5208,BlackRams Tokyo,30.80,30.80,32,1,42,46,0,0,18,Collection,631,General Catch,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-01-10T05:33:28Z,1,2,2,0,0,5211,Toyota Verblitz,5208,BlackRams Tokyo,10/01/2026,14:30,29,10,29,37,0,0,577,Mikuni World Stadium Kitakyushu,-1,,4,2026,10,10,Fly Half,0,,0,,1001491,Katsuki Furuse,1001798,Shuhei Hamada,1001807,Teruki Inanishi,1001626,Tomohiro Koyama,421,Japan Rugby League One D1,N,W,0,,0,,
