ID,FXID,PLID,playerName,team_id,teamName,ps_timestamp,ps_endstamp,MatchTime,period,x_coord,y_coord,x_coord_end,y_coord_end,action,actionName,ActionType,ActionTypeName,Actionresult,ActionResultName,qualifier3,qualifier3Name,qualifier4,qualifier4Name,qualifier5,qualifier5Name,qualifier6,qualifier6Name,qualifier7,qualifier7Name,qualifier8,qualifier8Name,qualifier9,qualifier9Name,qualifier10,qualifier10Name,Metres,Metres2,Metres3,Metres4,UTCTime,PlayNum,SetNum,sequence_id,player_advantage,score_advantage,homeTeamID,homeTeamName,awayTeamID,awayTeamName,datePlayed,kickofftime,hometeamHTscore,awayteamHTscore,hometeamFTscore,awayteamFTscore,hometeamCurrentScore,awayteamCurrentScore,venueID,venueName,cityID,cityName,roundNumber,season,playerShirtNumber,playerpositionID,playerpositionName,homecoachID,homecoachName,awaycoachID,awaycoachName,refereeID,refereeName,assistantreferee1ID,assistantreferee1Name,assistantreferee2ID,assistantreferee2Name,videoReferee1ID,videoreferee1Name,competitionID,competitionName,isHome,result,assoc_player,assoc_playerName,assoc_playerTeam,assoc_playerTeamName,assoc_event_id
0,948774,5204,,5204,Kubota Spears,0.00,6.12,0,1,75,16,0,0,17,,407,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-01-17T05:30:38Z,0,0,0,0,0,5204,Kubota Spears,5211,Toyota Verblitz,17/01/2026,14:30,32,0,39,10,0,0,729,Edogawa Stadium,-1,,5,2026,,,,0,,0,,1001683,Masaki Kondo,1002085,Meitetsu Shimizu,1001506,Shinji Iida,1001626,Tomohiro Koyama,421,Japan Rugby League One D1,Y,W,0,,0,,
1,948774,34494,Yota Kamimori,5204,Kubota Spears,0.00,6.12,0,1,75,16,75,7,3,Pass,169,Complete,0,,686,Medium Pass,681,Left Pass,0,,0,,0,,0,,0,,0,,9,9,0,0,2026-01-17T05:30:38Z,1,0,0,0,0,5204,Kubota Spears,5211,Toyota Verblitz,17/01/2026,14:30,32,0,39,10,0,0,729,Edogawa Stadium,-1,,5,2026,01,1,Loosehead Prop,0,,0,,1001683,Masaki Kondo,1002085,Meitetsu Shimizu,1001506,Shinji Iida,1001626,Tomohiro Koyama,421,Japan Rugby League One D1,Y,W,34476,Haruto Kida,5204,Kubota Spears,4
2,948774,19015,Bernard Foley,5204,Kubota Spears,2.60,6.12,2,1,49,34,75,7,14,Restart,281,50m Restart,284,Restart Retained,289,Short,752,Kicked Left,796,Kick Receipt Contested,0,,0,,0,,0,,0,,26,38,28,0,2026-01-17T05:30:38Z,1,1,1,0,0,5204,Kubota Spears,5211,Toyota Verblitz,17/01/2026,14:30,32,0,39,10,0,0,729,Edogawa Stadium,-1,,5,2026,10,10,Fly Half,0,,0,,1001683,Masaki Kondo,1002085,Meitetsu Shimizu,1001506,Shinji Iida,1001626,Tomohiro Koyama,421,Japan Rugby League One D1,Y,W,0,,0,,
3,948774,26150,Mark Tele'a,5211,Toyota Verblitz,5.92,5.92,5,1,23,59,0,0,40,Defensive Action,561,Aerial Kick Contest,0,,798,Kick Receipt Contested,1092,Non-Kicking Team,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-01-17T05:30:38Z,1,1,1,0,0,5204,Kubota Spears,5211,Toyota Verblitz,17/01/2026,14:30,32,0,39,10,0,0,729,Edogawa Stadium,-1,,5,2026,14,14,Right Wing,0,,0,,1001683,Masaki Kondo,1002085,Meitetsu Shimizu,1001506,Shinji Iida,1001626,Tomohiro Koyama,421,Japan Rugby League One D1,N,L,0,,0,,
4,948774,34476,Haruto Kida,5204,Kubota Spears,6.12,6.12,5,1,75,7,0,0,18,Collection,275,Restart Catch,278,Fail,798,Kick Receipt Contested,1091,Kicking Team,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-01-17T05:30:41Z,1,1,1,0,0,5204,Kubota Spears,5211,Toyota Verblitz,17/01/2026,14:30,32,0,39,10,0,0,729,Edogawa Stadium,-1,,5,2026,11,11,Left Wing,0,,0,,1001683,Masaki Kondo,1002085,Meitetsu Shimizu,1001506,Shinji Iida,1001626,Tomohiro Koyama,421,Japan Rugby League One D1,Y,W,0,,0,,
5,948774,30945,Rikus Pretorius,5204,Kubota Spears,7.84,7.84,7,1,77,6,0,0,18,Collection,272,Attacking Loose Ball,277,Success,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-01-17T05:30:43Z,1,1,1,0,0,5204,Kubota Spears,5211,Toyota Verblitz,17/01/2026,14:30,32,0,39,10,0,0,729,Edogawa Stadium,-1,,5,2026,12,12,Inside Centre,0,,0,,1001683,Masaki Kondo,1002085,Meitetsu Shimizu,1001506,Shinji Iida,1001626,Tomohiro Koyama,421,Japan Rugby League One D1,Y,W,0,,0,,
6,948774,30945,Rikus Pretorius,5204,Kubota Spears,7.84,10.60,7,1,77,6,93,12,1,Carry,103,Other Carry,122,Off Load,109,Crossed Gain line,460,Dominant Contact,503,3 Tacklers Committed,700,0th Receiver,0,,0,,0,,0,,16,16,13,0,2026-01-17T05:30:43Z,1,1,1,0,0,5204,Kubota Spears,5211,Toyota Verblitz,17/01/2026,14:30,32,0,39,10,0,0,729,Edogawa Stadium,-1,,5,2026,12,12,Inside Centre,0,,0,,1001683,Masaki Kondo,1002085,Meitetsu Shimizu,1001506,Shinji Iida,1001626,Tomohiro Koyama,421,Japan Rugby League One D1,Y,W,61969,Shinya Komura,5211,Toyota Verblitz,15
7,948774,30945,Rikus Pretorius,5204,Kubota Spears,7.88,7.88,7,1,78,7,0,0,10,Attacking Qualities,112,Initial Break,530,Line Break,746,Try Scored,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-01-17T05:30:40Z,1,1,1,0,0,5204,Kubota Spears,5211,Toyota Verblitz,17/01/2026,14:30,32,0,39,10,0,0,729,Edogawa Stadium,-1,,5,2026,12,12,Inside Centre,0,,0,,1001683,Masaki Kondo,1002085,Meitetsu Shimizu,1001506,Shinji Iida,1001626,Tomohiro Koyama,421,Japan Rugby League One D1,Y,W,0,,0,,
8,948774,0,,5204,Kubota Spears,7.88,12.44,7,1,78,7,103,13,46,Attacking 22 Entry,645,22 Entry Outcome - Try,650,22 Entry Points - Try and Conversion,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-01-17T05:30:45Z,1,1,1,0,0,5204,Kubota Spears,5211,Toyota Verblitz,17/01/2026,14:30,32,0,39,10,0,0,729,Edogawa Stadium,-1,,5,2026,,,,0,,0,,1001683,Masaki Kondo,1002085,Meitetsu Shimizu,1001506,Shinji Iida,1001626,Tomohiro Koyama,421,Japan Rugby League One D1,Y,W,0,,0,,
9,948774,23590,Kaito Shigeno,5211,Toyota Verblitz,8.32,8.32,7,1,20,61,0,0,2,Tackle,143,Cover,161,Missed,0,,475,Ineffective Tackle,708,1st Tackler,0,,0,,0,,0,,0,,0,0,0,0,2026-01-17T05:30:41Z,1,1,1,0,0,5204,Kubota Spears,5211,Toyota Verblitz,17/01/2026,14:30,32,0,39,10,0,0,729,Edogawa Stadium,-1,,5,2026,09,9,Scrum Half,0,,0,,1001683,Masaki Kondo,1002085,Meitetsu Shimizu,1001506,Shinji Iida,1001626,Tomohiro Koyama,421,Japan Rugby League One D1,N,L,30945,Rikus Pretorius,5204,Kubota Spears,6
