ID,FXID,PLID,playerName,team_id,teamName,ps_timestamp,ps_endstamp,MatchTime,period,x_coord,y_coord,x_coord_end,y_coord_end,action,actionName,ActionType,ActionTypeName,Actionresult,ActionResultName,qualifier3,qualifier3Name,qualifier4,qualifier4Name,qualifier5,qualifier5Name,qualifier6,qualifier6Name,qualifier7,qualifier7Name,qualifier8,qualifier8Name,qualifier9,qualifier9Name,qualifier10,qualifier10Name,Metres,Metres2,Metres3,Metres4,UTCTime,PlayNum,SetNum,sequence_id,player_advantage,score_advantage,homeTeamID,homeTeamName,awayTeamID,awayTeamName,datePlayed,kickofftime,hometeamHTscore,awayteamHTscore,hometeamFTscore,awayteamFTscore,hometeamCurrentScore,awayteamCurrentScore,venueID,venueName,cityID,cityName,roundNumber,season,playerShirtNumber,playerpositionID,playerpositionName,homecoachID,homecoachName,awaycoachID,awaycoachName,refereeID,refereeName,assistantreferee1ID,assistantreferee1Name,assistantreferee2ID,assistantreferee2Name,videoReferee1ID,videoreferee1Name,competitionID,competitionName,isHome,result,assoc_player,assoc_playerName,assoc_playerTeam,assoc_playerTeamName,assoc_event_id
0,948775,5203,,5203,Kobelco Kobe Steelers,0.00,3.72,1,1,50,34,0,0,17,,407,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-01-17T03:08:27Z,0,0,0,0,0,5203,Kobelco Kobe Steelers,5208,BlackRams Tokyo,17/01/2026,12:05,34,7,67,21,0,0,491,Kobe Universiade,-1,,5,2026,,,,0,,0,,1000990,Toshimasa Sekiya,1001985,Rikito Nobehara,1001489,Masamichi Tatekawa,396,Mayumi Takahashi,421,Japan Rugby League One D1,Y,W,0,,0,,
1,948775,37841,Seungsin Lee,5203,Kobelco Kobe Steelers,0.00,3.72,1,1,50,34,87,8,14,Restart,281,50m Restart,286,Restart Opp Collection,288,Long,752,Kicked Left,795,Kick Receipt Not Contested,0,,0,,0,,0,,0,,37,45,26,0,2026-01-17T03:08:27Z,1,0,1,0,0,5203,Kobelco Kobe Steelers,5208,BlackRams Tokyo,17/01/2026,12:05,34,7,67,21,0,0,491,Kobe Universiade,-1,,5,2026,12,12,Inside Centre,0,,0,,1000990,Toshimasa Sekiya,1001985,Rikito Nobehara,1001489,Masamichi Tatekawa,396,Mayumi Takahashi,421,Japan Rugby League One D1,Y,W,0,,0,,
2,948775,37810,Taira Main,5208,BlackRams Tokyo,3.72,3.72,4,1,13,60,0,0,18,Collection,275,Restart Catch,277,Success,797,Kick Receipt Not Contested,1092,Non-Kicking Team,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-01-17T03:08:30Z,1,1,1,0,0,5203,Kobelco Kobe Steelers,5208,BlackRams Tokyo,17/01/2026,12:05,34,7,67,21,0,0,491,Kobe Universiade,-1,,5,2026,14,14,Right Wing,0,,0,,1000990,Toshimasa Sekiya,1001985,Rikito Nobehara,1001489,Masamichi Tatekawa,396,Mayumi Takahashi,421,Japan Rugby League One D1,N,L,0,,0,,
3,948775,0,,5208,BlackRams Tokyo,3.72,3.72,4,1,13,60,0,0,45,Defensive Exits,630,Kicked out of 22,0,,0,,0,,0,,0,,0,,0,,0,,0,,35,0,0,0,2026-01-17T03:08:30Z,1,1,1,0,0,5203,Kobelco Kobe Steelers,5208,BlackRams Tokyo,17/01/2026,12:05,34,7,67,21,0,0,491,Kobe Universiade,-1,,5,2026,,,,0,,0,,1000990,Toshimasa Sekiya,1001985,Rikito Nobehara,1001489,Masamichi Tatekawa,396,Mayumi Takahashi,421,Japan Rugby League One D1,N,L,0,,0,,
4,948775,37810,Taira Main,5208,BlackRams Tokyo,3.72,7.08,4,1,13,60,15,54,1,Carry,105,Restart Return,108,Tackled Neutral,109,Crossed Gain line,461,Neutral Contact,501,1 Tacklers Committed,700,0th Receiver,0,,0,,0,,0,,2,2,0,0,2026-01-17T03:08:30Z,1,1,1,0,0,5203,Kobelco Kobe Steelers,5208,BlackRams Tokyo,17/01/2026,12:05,34,7,67,21,0,0,491,Kobe Universiade,-1,,5,2026,14,14,Right Wing,0,,0,,1000990,Toshimasa Sekiya,1001985,Rikito Nobehara,1001489,Masamichi Tatekawa,396,Mayumi Takahashi,421,Japan Rugby League One D1,N,L,58972,Tiennan Costley,5203,Kobelco Kobe Steelers,5
5,948775,58972,Tiennan Costley,5203,Kobelco Kobe Steelers,5.36,5.36,6,1,85,12,0,0,2,Tackle,142,Chase,153,Complete,0,,474,Neutral Tackle,708,1st Tackler,713,Legs,0,,0,,0,,0,,0,0,0,0,2026-01-17T03:08:34Z,1,1,1,0,0,5203,Kobelco Kobe Steelers,5208,BlackRams Tokyo,17/01/2026,12:05,34,7,67,21,0,0,491,Kobe Universiade,-1,,5,2026,06,6,Blindside Flanker,0,,0,,1000990,Toshimasa Sekiya,1001985,Rikito Nobehara,1001489,Masamichi Tatekawa,396,Mayumi Takahashi,421,Japan Rugby League One D1,Y,W,37810,Taira Main,5208,BlackRams Tokyo,4
6,948775,37810,Taira Main,5208,BlackRams Tokyo,7.08,11.40,8,1,15,54,0,0,23,Ruck,0,,401,Won Outright,551,N/A Gainline,556,4-5 Seconds,663,Close Left Open Movement Ruck,0,,0,,0,,0,,0,,0,0,1,7,2026-01-17T03:08:33Z,1,1,1,0,0,5203,Kobelco Kobe Steelers,5208,BlackRams Tokyo,17/01/2026,12:05,34,7,67,21,0,0,491,Kobe Universiade,-1,,5,2026,14,14,Right Wing,0,,0,,1000990,Toshimasa Sekiya,1001985,Rikito Nobehara,1001489,Masamichi Tatekawa,396,Mayumi Takahashi,421,Japan Rugby League One D1,N,L,18502,TJ Perenara,5208,BlackRams Tokyo,11
7,948775,37094,Samuel Waqabaca,5208,BlackRams Tokyo,7.40,7.40,8,1,15,54,0,0,43,Ruck OOA,574,Secured,583,Own Team 1st Entry,588,OOA Entry 1st Entry- Att,632,Attacking OOA,0,,0,1,0,,0,,0,,0,,0,0,0,0,2026-01-17T03:08:29Z,1,1,1,0,0,5203,Kobelco Kobe Steelers,5208,BlackRams Tokyo,17/01/2026,12:05,34,7,67,21,0,0,491,Kobe Universiade,-1,,5,2026,08,8,Number 8,0,,0,,1000990,Toshimasa Sekiya,1001985,Rikito Nobehara,1001489,Masamichi Tatekawa,396,Mayumi Takahashi,421,Japan Rugby League One D1,N,L,0,,0,,
8,948775,37807,Daigo Sasagawa,5208,BlackRams Tokyo,8.16,8.16,9,1,15,54,0,0,43,Ruck OOA,574,Secured,584,Own Team 2nd Entry,589,OOA Entry 2nd Entry- Att,632,Attacking OOA,0,,0,2,0,,0,,0,,0,,0,0,0,0,2026-01-17T03:08:30Z,1,1,1,0,0,5203,Kobelco Kobe Steelers,5208,BlackRams Tokyo,17/01/2026,12:05,34,7,67,21,0,0,491,Kobe Universiade,-1,,5,2026,03,3,Tighthead Prop,0,,0,,1000990,Toshimasa Sekiya,1001985,Rikito Nobehara,1001489,Masamichi Tatekawa,396,Mayumi Takahashi,421,Japan Rugby League One D1,N,L,0,,0,,
9,948775,32641,Shin Ouchi,5208,BlackRams Tokyo,8.96,8.96,9,1,15,54,0,0,43,Ruck OOA,574,Secured,585,Own Team 3rd Entry,590,OOA Entry 3rd Entry- Att,632,Attacking OOA,0,,0,3,0,,0,,0,,0,,0,0,0,0,2026-01-17T03:08:31Z,1,1,1,0,0,5203,Kobelco Kobe Steelers,5208,BlackRams Tokyo,17/01/2026,12:05,34,7,67,21,0,0,491,Kobe Universiade,-1,,5,2026,02,2,Hooker,0,,0,,1000990,Toshimasa Sekiya,1001985,Rikito Nobehara,1001489,Masamichi Tatekawa,396,Mayumi Takahashi,421,Japan Rugby League One D1,N,L,0,,0,,
