ID,FXID,PLID,playerName,team_id,teamName,ps_timestamp,ps_endstamp,MatchTime,period,x_coord,y_coord,x_coord_end,y_coord_end,action,actionName,ActionType,ActionTypeName,Actionresult,ActionResultName,qualifier3,qualifier3Name,qualifier4,qualifier4Name,qualifier5,qualifier5Name,qualifier6,qualifier6Name,qualifier7,qualifier7Name,qualifier8,qualifier8Name,qualifier9,qualifier9Name,qualifier10,qualifier10Name,Metres,Metres2,Metres3,Metres4,UTCTime,PlayNum,SetNum,sequence_id,player_advantage,score_advantage,homeTeamID,homeTeamName,awayTeamID,awayTeamName,datePlayed,kickofftime,hometeamHTscore,awayteamHTscore,hometeamFTscore,awayteamFTscore,hometeamCurrentScore,awayteamCurrentScore,venueID,venueName,cityID,cityName,roundNumber,season,playerShirtNumber,playerpositionID,playerpositionName,homecoachID,homecoachName,awaycoachID,awaycoachName,refereeID,refereeName,assistantreferee1ID,assistantreferee1Name,assistantreferee2ID,assistantreferee2Name,videoReferee1ID,videoreferee1Name,competitionID,competitionName,isHome,result,assoc_player,assoc_playerName,assoc_playerTeam,assoc_playerTeamName,assoc_event_id
0,948782,5212,,5212,Shizuoka BlueRevs,0.00,4.16,2,1,50,33,0,0,17,,407,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-01-25T05:00:42Z,0,0,0,0,0,5212,Shizuoka BlueRevs,5211,Toyota Verblitz,25/01/2026,14:00,24,7,43,19,0,0,501,Yamaha Stadium,-1,,6,2026,,,,0,,0,,1001490,Ibuki Tetsuka,1001500,Koki Yamauchi,1001100,Atsushi Yamamoto,1000999,Yosuke Kimura,421,Japan Rugby League One D1,Y,W,0,,0,,
1,948782,58920,Kenta Iemura,5212,Shizuoka BlueRevs,0.00,4.16,2,1,50,33,86,46,14,Restart,281,50m Restart,286,Restart Opp Collection,288,Long,753,Kicked Right,795,Kick Receipt Not Contested,0,,0,,0,,0,,0,,37,39,13,0,2026-01-25T05:00:42Z,1,0,1,0,0,5212,Shizuoka BlueRevs,5211,Toyota Verblitz,25/01/2026,14:00,24,7,43,19,0,0,501,Yamaha Stadium,-1,,6,2026,10,10,Fly Half,0,,0,,1001490,Ibuki Tetsuka,1001500,Koki Yamauchi,1001100,Atsushi Yamamoto,1000999,Yosuke Kimura,421,Japan Rugby League One D1,Y,W,0,,0,,
2,948782,61969,Shinya Komura,5211,Toyota Verblitz,4.16,4.16,6,1,14,22,0,0,18,Collection,275,Restart Catch,277,Success,797,Kick Receipt Not Contested,1092,Non-Kicking Team,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-01-25T05:00:46Z,1,1,1,0,0,5212,Shizuoka BlueRevs,5211,Toyota Verblitz,25/01/2026,14:00,24,7,43,19,0,0,501,Yamaha Stadium,-1,,6,2026,15,15,Full Back,0,,0,,1001490,Ibuki Tetsuka,1001500,Koki Yamauchi,1001100,Atsushi Yamamoto,1000999,Yosuke Kimura,421,Japan Rugby League One D1,N,L,0,,0,,
3,948782,0,,5211,Toyota Verblitz,4.16,4.16,6,1,14,22,0,0,45,Defensive Exits,629,Carried out of 22,0,,0,,0,,0,,0,,0,,0,,0,,0,,27,0,0,0,2026-01-25T05:00:46Z,1,1,1,0,0,5212,Shizuoka BlueRevs,5211,Toyota Verblitz,25/01/2026,14:00,24,7,43,19,0,0,501,Yamaha Stadium,-1,,6,2026,,,,0,,0,,1001490,Ibuki Tetsuka,1001500,Koki Yamauchi,1001100,Atsushi Yamamoto,1000999,Yosuke Kimura,421,Japan Rugby League One D1,N,L,0,,0,,
4,948782,61969,Shinya Komura,5211,Toyota Verblitz,5.12,8.48,7,1,16,22,43,0,4,Kick,190,Territorial,194,Error - Charged Down,186,Kick in Play (Own 22),0,,795,Kick Receipt Not Contested,0,,0,,0,,0,,0,,27,35,0,0,2026-01-25T05:00:47Z,1,1,1,0,0,5212,Shizuoka BlueRevs,5211,Toyota Verblitz,25/01/2026,14:00,24,7,43,19,0,0,501,Yamaha Stadium,-1,,6,2026,15,15,Full Back,0,,0,,1001490,Ibuki Tetsuka,1001500,Koki Yamauchi,1001100,Atsushi Yamamoto,1000999,Yosuke Kimura,421,Japan Rugby League One D1,N,L,0,,0,,
5,948782,62194,Shuntaro Kitamura,5212,Shizuoka BlueRevs,5.16,5.16,7,1,83,46,0,0,18,Collection,438,Charge Down,278,Fail,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-01-25T05:00:44Z,1,1,1,0,0,5212,Shizuoka BlueRevs,5211,Toyota Verblitz,25/01/2026,14:00,24,7,43,19,0,0,501,Yamaha Stadium,-1,,6,2026,09,9,Scrum Half,0,,0,,1001490,Ibuki Tetsuka,1001500,Koki Yamauchi,1001100,Atsushi Yamamoto,1000999,Yosuke Kimura,421,Japan Rugby League One D1,Y,W,0,,0,,
6,948782,62194,Shuntaro Kitamura,5212,Shizuoka BlueRevs,8.48,8.48,11,1,57,68,0,0,8,Turnover,253,Carried in Touch,678,Error on Defence,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-01-25T05:00:50Z,1,1,1,0,0,5212,Shizuoka BlueRevs,5211,Toyota Verblitz,25/01/2026,14:00,24,7,43,19,0,0,501,Yamaha Stadium,-1,,6,2026,09,9,Scrum Half,0,,0,,1001490,Ibuki Tetsuka,1001500,Koki Yamauchi,1001100,Atsushi Yamamoto,1000999,Yosuke Kimura,421,Japan Rugby League One D1,Y,W,0,,0,,
7,948782,0,,5212,Shizuoka BlueRevs,0.00,9.28,12,1,50,33,57,68,26,Sequences,307,50m Restart,415,Own Lineout,0,,0,,0,,0,,0,,0,,0,,0,,7,0,0,0,2026-01-25T05:00:42Z,1,1,1,0,0,5212,Shizuoka BlueRevs,5211,Toyota Verblitz,25/01/2026,14:00,24,7,43,19,0,0,501,Yamaha Stadium,-1,,6,2026,,,,0,,0,,1001490,Ibuki Tetsuka,1001500,Koki Yamauchi,1001100,Atsushi Yamamoto,1000999,Yosuke Kimura,421,Japan Rugby League One D1,Y,W,0,,0,,
8,948782,0,,5211,Toyota Verblitz,4.16,9.28,12,1,14,22,43,0,15,Possession,307,50m Restart,415,Own Lineout,0,,684,Fails to enter into Opposition 22,0,,0,,0,,0,,0,,0,,30,0,0,0,2026-01-25T05:00:46Z,1,1,1,0,0,5212,Shizuoka BlueRevs,5211,Toyota Verblitz,25/01/2026,14:00,24,7,43,19,0,0,501,Yamaha Stadium,-1,,6,2026,,,,0,,0,,1001490,Ibuki Tetsuka,1001500,Koki Yamauchi,1001100,Atsushi Yamamoto,1000999,Yosuke Kimura,421,Japan Rugby League One D1,N,L,0,,0,,
9,948782,30948,Schalk Erasmus,5211,Toyota Verblitz,34.52,35.52,37,1,41,0,41,7,6,Lineout Throw,371,Throw Front,376,Won Clean Catch,207,Catch and Drive,0,5+1,676,N/A Movement Lineout,730,5 Players,725,Forward at Halfback (+1),0,,0,,0,,7,0,0,0,2026-01-25T05:01:16Z,1,2,2,0,0,5212,Shizuoka BlueRevs,5211,Toyota Verblitz,25/01/2026,14:00,24,7,43,19,0,0,501,Yamaha Stadium,-1,,6,2026,02,2,Hooker,0,,0,,1001490,Ibuki Tetsuka,1001500,Koki Yamauchi,1001100,Atsushi Yamamoto,1000999,Yosuke Kimura,421,Japan Rugby League One D1,N,L,36009,Zach Gallagher,5211,Toyota Verblitz,10
