ID,FXID,PLID,playerName,team_id,teamName,ps_timestamp,ps_endstamp,MatchTime,period,x_coord,y_coord,x_coord_end,y_coord_end,action,actionName,ActionType,ActionTypeName,Actionresult,ActionResultName,qualifier3,qualifier3Name,qualifier4,qualifier4Name,qualifier5,qualifier5Name,qualifier6,qualifier6Name,qualifier7,qualifier7Name,qualifier8,qualifier8Name,qualifier9,qualifier9Name,qualifier10,qualifier10Name,Metres,Metres2,Metres3,Metres4,UTCTime,PlayNum,SetNum,sequence_id,player_advantage,score_advantage,homeTeamID,homeTeamName,awayTeamID,awayTeamName,datePlayed,kickofftime,hometeamHTscore,awayteamHTscore,hometeamFTscore,awayteamFTscore,hometeamCurrentScore,awayteamCurrentScore,venueID,venueName,cityID,cityName,roundNumber,season,playerShirtNumber,playerpositionID,playerpositionName,homecoachID,homecoachName,awaycoachID,awaycoachName,refereeID,refereeName,assistantreferee1ID,assistantreferee1Name,assistantreferee2ID,assistantreferee2Name,videoReferee1ID,videoreferee1Name,competitionID,competitionName,isHome,result,assoc_player,assoc_playerName,assoc_playerTeam,assoc_playerTeamName,assoc_event_id
0,948785,5203,,5203,Kobelco Kobe Steelers,0.00,5.08,2,1,50,34,0,0,17,,407,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-02-07T03:03:18Z,0,0,0,0,0,5203,Kobelco Kobe Steelers,5212,Shizuoka BlueRevs,07/02/2026,12:00,38,21,60,45,0,0,491,Kobe Universiade,-1,,7,2026,,,,0,,0,,1001500,Koki Yamauchi,1001807,Teruki Inanishi,1001968,Ryosuke Yamatani,1001507,Daiki Kako,421,Japan Rugby League One D1,Y,W,0,,0,,
1,948785,58920,Kenta Iemura,5212,Shizuoka BlueRevs,0.00,5.08,2,1,50,34,96,49,14,Restart,281,50m Restart,286,Restart Opp Collection,288,Long,753,Kicked Right,795,Kick Receipt Not Contested,0,,0,,0,,0,,0,,46,48,16,0,2026-02-07T03:03:18Z,1,0,1,0,0,5203,Kobelco Kobe Steelers,5212,Shizuoka BlueRevs,07/02/2026,12:00,38,21,60,45,0,0,491,Kobe Universiade,-1,,7,2026,10,10,Fly Half,0,,0,,1001500,Koki Yamauchi,1001807,Teruki Inanishi,1001968,Ryosuke Yamatani,1001507,Daiki Kako,421,Japan Rugby League One D1,N,L,0,,0,,
2,948785,61614,Tali Ioasa,5203,Kobelco Kobe Steelers,5.08,5.08,7,1,4,19,0,0,18,Collection,275,Restart Catch,277,Success,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-02-07T03:03:24Z,1,1,1,0,0,5203,Kobelco Kobe Steelers,5212,Shizuoka BlueRevs,07/02/2026,12:00,38,21,60,45,0,0,491,Kobe Universiade,-1,,7,2026,12,12,Inside Centre,0,,0,,1001500,Koki Yamauchi,1001807,Teruki Inanishi,1001968,Ryosuke Yamatani,1001507,Daiki Kako,421,Japan Rugby League One D1,Y,W,0,,0,,
3,948785,0,,5203,Kobelco Kobe Steelers,5.08,5.08,7,1,4,19,0,0,45,Defensive Exits,630,Kicked out of 22,0,,0,,0,,0,,0,,0,,0,,0,,0,,37,0,0,0,2026-02-07T03:03:24Z,1,1,1,0,0,5203,Kobelco Kobe Steelers,5212,Shizuoka BlueRevs,07/02/2026,12:00,38,21,60,45,0,0,491,Kobe Universiade,-1,,7,2026,,,,0,,0,,1001500,Koki Yamauchi,1001807,Teruki Inanishi,1001968,Ryosuke Yamatani,1001507,Daiki Kako,421,Japan Rugby League One D1,Y,W,0,,0,,
4,948785,61614,Tali Ioasa,5203,Kobelco Kobe Steelers,5.08,8.52,7,1,4,19,6,14,1,Carry,105,Restart Return,108,Tackled Neutral,109,Crossed Gain line,461,Neutral Contact,502,2 Tacklers Committed,700,0th Receiver,0,,0,,0,,0,,1,1,0,0,2026-02-07T03:03:24Z,1,1,1,0,0,5203,Kobelco Kobe Steelers,5212,Shizuoka BlueRevs,07/02/2026,12:00,38,21,60,45,0,0,491,Kobe Universiade,-1,,7,2026,12,12,Inside Centre,0,,0,,1001500,Koki Yamauchi,1001807,Teruki Inanishi,1001968,Ryosuke Yamatani,1001507,Daiki Kako,421,Japan Rugby League One D1,Y,W,38476,Kakeru Okumura,5212,Shizuoka BlueRevs,5
5,948785,38476,Kakeru Okumura,5212,Shizuoka BlueRevs,6.68,6.68,9,1,94,54,0,0,2,Tackle,142,Chase,153,Complete,0,,474,Neutral Tackle,708,1st Tackler,713,Legs,0,,0,,0,,0,,0,0,0,0,2026-02-07T03:03:25Z,1,1,1,0,0,5203,Kobelco Kobe Steelers,5212,Shizuoka BlueRevs,07/02/2026,12:00,38,21,60,45,0,0,491,Kobe Universiade,-1,,7,2026,14,14,Right Wing,0,,0,,1001500,Koki Yamauchi,1001807,Teruki Inanishi,1001968,Ryosuke Yamatani,1001507,Daiki Kako,421,Japan Rugby League One D1,N,L,61614,Tali Ioasa,5203,Kobelco Kobe Steelers,4
6,948785,26310,Takeshi Hino,5212,Shizuoka BlueRevs,7.64,7.64,10,1,94,54,0,0,2,Tackle,142,Chase,153,Complete,441,Assist,474,Neutral Tackle,709,2nd Tackler,715,Upper Torso,0,,0,,0,,0,,0,0,0,0,2026-02-07T03:03:26Z,1,1,1,0,0,5203,Kobelco Kobe Steelers,5212,Shizuoka BlueRevs,07/02/2026,12:00,38,21,60,45,0,0,491,Kobe Universiade,-1,,7,2026,02,2,Hooker,0,,0,,1001500,Koki Yamauchi,1001807,Teruki Inanishi,1001968,Ryosuke Yamatani,1001507,Daiki Kako,421,Japan Rugby League One D1,N,L,61614,Tali Ioasa,5203,Kobelco Kobe Steelers,4
7,948785,61614,Tali Ioasa,5203,Kobelco Kobe Steelers,8.52,14.44,10,1,6,14,0,0,23,Ruck,0,,401,Won Outright,551,N/A Gainline,557,5-6 Seconds,664,Close Right Open Movement Ruck,0,,0,,0,,0,,0,,0,0,-1,5,2026-02-07T03:03:27Z,1,1,1,0,0,5203,Kobelco Kobe Steelers,5212,Shizuoka BlueRevs,07/02/2026,12:00,38,21,60,45,0,0,491,Kobe Universiade,-1,,7,2026,12,12,Inside Centre,0,,0,,1001500,Koki Yamauchi,1001807,Teruki Inanishi,1001968,Ryosuke Yamatani,1001507,Daiki Kako,421,Japan Rugby League One D1,Y,W,62011,Itsuki Kamimura,5203,Kobelco Kobe Steelers,13
8,948785,58103,Inoke Burua,5203,Kobelco Kobe Steelers,9.08,9.08,11,1,6,14,0,0,43,Ruck OOA,574,Secured,583,Own Team 1st Entry,588,OOA Entry 1st Entry- Att,632,Attacking OOA,0,,0,1,0,,0,,0,,0,,0,0,0,0,2026-02-07T03:03:22Z,1,1,1,0,0,5203,Kobelco Kobe Steelers,5212,Shizuoka BlueRevs,07/02/2026,12:00,38,21,60,45,0,0,491,Kobe Universiade,-1,,7,2026,11,11,Left Wing,0,,0,,1001500,Koki Yamauchi,1001807,Teruki Inanishi,1001968,Ryosuke Yamatani,1001507,Daiki Kako,421,Japan Rugby League One D1,Y,W,0,,0,,
9,948785,36558,Shigure Takao,5203,Kobelco Kobe Steelers,9.12,9.12,11,1,6,14,0,0,43,Ruck OOA,574,Secured,584,Own Team 2nd Entry,589,OOA Entry 2nd Entry- Att,632,Attacking OOA,0,,0,2,0,,0,,0,,0,,0,0,0,0,2026-02-07T03:03:22Z,1,1,1,0,0,5203,Kobelco Kobe Steelers,5212,Shizuoka BlueRevs,07/02/2026,12:00,38,21,60,45,0,0,491,Kobe Universiade,-1,,7,2026,01,1,Loosehead Prop,0,,0,,1001500,Koki Yamauchi,1001807,Teruki Inanishi,1001968,Ryosuke Yamatani,1001507,Daiki Kako,421,Japan Rugby League One D1,Y,W,0,,0,,
10,948785,39245,Justin Sangster,5212,Shizuoka BlueRevs,9.16,9.16,11,1,94,54,0,0,43,Ruck OOA,800,Other Defensive Arrival,583,Own Team 1st Entry,603,OOA Entry 1st Entry- Def,633,Defensive OOA,802,Counter Ruck Attempt,0,3,0,,0,,0,,0,,0,0,0,0,2026-02-07T03:03:22Z,1,1,1,0,0,5203,Kobelco Kobe Steelers,5212,Shizuoka BlueRevs,07/02/2026,12:00,38,21,60,45,0,0,491,Kobe Universiade,-1,,7,2026,04,4,Lock (4),0,,0,,1001500,Koki Yamauchi,1001807,Teruki Inanishi,1001968,Ryosuke Yamatani,1001507,Daiki Kako,421,Japan Rugby League One D1,N,L,0,,0,,
