ID,FXID,PLID,playerName,team_id,teamName,ps_timestamp,ps_endstamp,MatchTime,period,x_coord,y_coord,x_coord_end,y_coord_end,action,actionName,ActionType,ActionTypeName,Actionresult,ActionResultName,qualifier3,qualifier3Name,qualifier4,qualifier4Name,qualifier5,qualifier5Name,qualifier6,qualifier6Name,qualifier7,qualifier7Name,qualifier8,qualifier8Name,qualifier9,qualifier9Name,qualifier10,qualifier10Name,Metres,Metres2,Metres3,Metres4,UTCTime,PlayNum,SetNum,sequence_id,player_advantage,score_advantage,homeTeamID,homeTeamName,awayTeamID,awayTeamName,datePlayed,kickofftime,hometeamHTscore,awayteamHTscore,hometeamFTscore,awayteamFTscore,hometeamCurrentScore,awayteamCurrentScore,venueID,venueName,cityID,cityName,roundNumber,season,playerShirtNumber,playerpositionID,playerpositionName,homecoachID,homecoachName,awaycoachID,awaycoachName,refereeID,refereeName,assistantreferee1ID,assistantreferee1Name,assistantreferee2ID,assistantreferee2Name,videoReferee1ID,videoreferee1Name,competitionID,competitionName,isHome,result,assoc_player,assoc_playerName,assoc_playerTeam,assoc_playerTeamName,assoc_event_id
0,948788,5209,,5209,Tokyo Sungoliath,0.00,3.52,2,1,49,35,0,0,17,,407,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-03-07T04:00:23Z,0,0,0,0,0,5209,Tokyo Sungoliath,594,Mitsubishi Sagamihara Dynaboars,07/03/2026,13:00,5,22,15,34,0,0,69,Prince Chichibu Memorial Stadium,-1,,7,2026,,,,0,,0,,1001683,Masaki Kondo,1001491,Katsuki Furuse,1001100,Atsushi Yamamoto,1001626,Tomohiro Koyama,421,Japan Rugby League One D1,Y,L,0,,0,,
1,948788,60472,Shun Miyake,594,Mitsubishi Sagamihara Dynaboars,0.00,3.52,2,1,49,35,72,54,14,Restart,281,50m Restart,286,Restart Opp Collection,289,Short,753,Kicked Right,795,Kick Receipt Not Contested,0,,0,,0,,0,,0,,23,30,19,0,2026-03-07T04:00:23Z,1,0,1,0,0,5209,Tokyo Sungoliath,594,Mitsubishi Sagamihara Dynaboars,07/03/2026,13:00,5,22,15,34,0,0,69,Prince Chichibu Memorial Stadium,-1,,7,2026,10,10,Fly Half,0,,0,,1001683,Masaki Kondo,1001491,Katsuki Furuse,1001100,Atsushi Yamamoto,1001626,Tomohiro Koyama,421,Japan Rugby League One D1,N,W,0,,0,,
2,948788,24957,Harry Hockings,5209,Tokyo Sungoliath,3.52,3.52,5,1,28,14,0,0,18,Collection,275,Restart Catch,277,Success,797,Kick Receipt Not Contested,1092,Non-Kicking Team,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-03-07T04:00:27Z,1,1,1,0,0,5209,Tokyo Sungoliath,594,Mitsubishi Sagamihara Dynaboars,07/03/2026,13:00,5,22,15,34,0,0,69,Prince Chichibu Memorial Stadium,-1,,7,2026,05,5,Lock (5),0,,0,,1001683,Masaki Kondo,1001491,Katsuki Furuse,1001100,Atsushi Yamamoto,1001626,Tomohiro Koyama,421,Japan Rugby League One D1,Y,L,0,,0,,
3,948788,24957,Harry Hockings,5209,Tokyo Sungoliath,3.52,5.60,5,1,28,14,25,15,1,Carry,105,Restart Return,409,Tackled Ineffective,111,Failed Gain line,462,Ineffective Contact,502,2 Tacklers Committed,700,0th Receiver,0,,0,,0,,0,,0,0,0,0,2026-03-07T04:00:27Z,1,1,1,0,0,5209,Tokyo Sungoliath,594,Mitsubishi Sagamihara Dynaboars,07/03/2026,13:00,5,22,15,34,0,0,69,Prince Chichibu Memorial Stadium,-1,,7,2026,05,5,Lock (5),0,,0,,1001683,Masaki Kondo,1001491,Katsuki Furuse,1001100,Atsushi Yamamoto,1001626,Tomohiro Koyama,421,Japan Rugby League One D1,Y,L,26154,Epineri Uluiviti,594,Mitsubishi Sagamihara Dynaboars,4
4,948788,26154,Epineri Uluiviti,594,Mitsubishi Sagamihara Dynaboars,5.40,5.40,7,1,72,54,0,0,2,Tackle,142,Chase,159,Sack,0,,473,Dominant Tackle,708,1st Tackler,715,Upper Torso,0,,0,,0,,0,,0,0,0,0,2026-03-07T04:00:29Z,1,1,1,0,0,5209,Tokyo Sungoliath,594,Mitsubishi Sagamihara Dynaboars,07/03/2026,13:00,5,22,15,34,0,0,69,Prince Chichibu Memorial Stadium,-1,,7,2026,04,4,Lock (4),0,,0,,1001683,Masaki Kondo,1001491,Katsuki Furuse,1001100,Atsushi Yamamoto,1001626,Tomohiro Koyama,421,Japan Rugby League One D1,N,W,24957,Harry Hockings,5209,Tokyo Sungoliath,3
5,948788,26687,Masataka Tsuruya,594,Mitsubishi Sagamihara Dynaboars,5.56,5.56,7,1,72,54,0,0,2,Tackle,142,Chase,153,Complete,441,Assist,474,Neutral Tackle,709,2nd Tackler,715,Upper Torso,0,,0,,0,,0,,0,0,0,0,2026-03-07T04:00:29Z,1,1,1,0,0,5209,Tokyo Sungoliath,594,Mitsubishi Sagamihara Dynaboars,07/03/2026,13:00,5,22,15,34,0,0,69,Prince Chichibu Memorial Stadium,-1,,7,2026,07,7,Openside Flanker,0,,0,,1001683,Masaki Kondo,1001491,Katsuki Furuse,1001100,Atsushi Yamamoto,1001626,Tomohiro Koyama,421,Japan Rugby League One D1,N,W,24957,Harry Hockings,5209,Tokyo Sungoliath,3
6,948788,24957,Harry Hockings,5209,Tokyo Sungoliath,5.60,9.04,8,1,25,15,0,0,23,Ruck,0,,401,Won Outright,551,N/A Gainline,555,3-4 Seconds,664,Close Right Open Movement Ruck,0,,0,,0,,0,,0,,0,0,-2,8,2026-03-07T04:00:29Z,1,1,1,0,0,5209,Tokyo Sungoliath,594,Mitsubishi Sagamihara Dynaboars,07/03/2026,13:00,5,22,15,34,0,0,69,Prince Chichibu Memorial Stadium,-1,,7,2026,05,5,Lock (5),0,,0,,1001683,Masaki Kondo,1001491,Katsuki Furuse,1001100,Atsushi Yamamoto,1001626,Tomohiro Koyama,421,Japan Rugby League One D1,Y,L,26492,Yutaka Nagare,5209,Tokyo Sungoliath,11
7,948788,30962,Kanji Shimokawa,5209,Tokyo Sungoliath,6.72,6.72,9,1,25,15,0,0,43,Ruck OOA,574,Secured,583,Own Team 1st Entry,588,OOA Entry 1st Entry- Att,632,Attacking OOA,0,,0,1,0,,0,,0,,0,,0,0,0,0,2026-03-07T04:00:30Z,1,1,1,0,0,5209,Tokyo Sungoliath,594,Mitsubishi Sagamihara Dynaboars,07/03/2026,13:00,5,22,15,34,0,0,69,Prince Chichibu Memorial Stadium,-1,,7,2026,06,6,Blindside Flanker,0,,0,,1001683,Masaki Kondo,1001491,Katsuki Furuse,1001100,Atsushi Yamamoto,1001626,Tomohiro Koyama,421,Japan Rugby League One D1,Y,L,0,,0,,
8,948788,11609,Sam Cane,5209,Tokyo Sungoliath,6.88,6.88,9,1,25,15,0,0,43,Ruck OOA,574,Secured,584,Own Team 2nd Entry,589,OOA Entry 2nd Entry- Att,632,Attacking OOA,0,,0,2,0,,0,,0,,0,,0,0,0,0,2026-03-07T04:00:30Z,1,1,1,0,0,5209,Tokyo Sungoliath,594,Mitsubishi Sagamihara Dynaboars,07/03/2026,13:00,5,22,15,34,0,0,69,Prince Chichibu Memorial Stadium,-1,,7,2026,07,7,Openside Flanker,0,,0,,1001683,Masaki Kondo,1001491,Katsuki Furuse,1001100,Atsushi Yamamoto,1001626,Tomohiro Koyama,421,Japan Rugby League One D1,Y,L,0,,0,,
9,948788,24945,Marino Mikaele-Tu'u,594,Mitsubishi Sagamihara Dynaboars,7.32,7.32,9,1,75,53,0,0,43,Ruck OOA,800,Other Defensive Arrival,583,Own Team 1st Entry,603,OOA Entry 1st Entry- Def,633,Defensive OOA,802,Counter Ruck Attempt,0,3,0,,0,,0,,0,,0,0,0,0,2026-03-07T04:00:30Z,1,1,1,0,0,5209,Tokyo Sungoliath,594,Mitsubishi Sagamihara Dynaboars,07/03/2026,13:00,5,22,15,34,0,0,69,Prince Chichibu Memorial Stadium,-1,,7,2026,08,8,Number 8,0,,0,,1001683,Masaki Kondo,1001491,Katsuki Furuse,1001100,Atsushi Yamamoto,1001626,Tomohiro Koyama,421,Japan Rugby League One D1,N,W,0,,0,,
