ID,FXID,PLID,playerName,team_id,teamName,ps_timestamp,ps_endstamp,MatchTime,period,x_coord,y_coord,x_coord_end,y_coord_end,action,actionName,ActionType,ActionTypeName,Actionresult,ActionResultName,qualifier3,qualifier3Name,qualifier4,qualifier4Name,qualifier5,qualifier5Name,qualifier6,qualifier6Name,qualifier7,qualifier7Name,qualifier8,qualifier8Name,qualifier9,qualifier9Name,qualifier10,qualifier10Name,Metres,Metres2,Metres3,Metres4,UTCTime,PlayNum,SetNum,sequence_id,player_advantage,score_advantage,homeTeamID,homeTeamName,awayTeamID,awayTeamName,datePlayed,kickofftime,hometeamHTscore,awayteamHTscore,hometeamFTscore,awayteamFTscore,hometeamCurrentScore,awayteamCurrentScore,venueID,venueName,cityID,cityName,roundNumber,season,playerShirtNumber,playerpositionID,playerpositionName,homecoachID,homecoachName,awaycoachID,awaycoachName,refereeID,refereeName,assistantreferee1ID,assistantreferee1Name,assistantreferee2ID,assistantreferee2Name,videoReferee1ID,videoreferee1Name,competitionID,competitionName,isHome,result,assoc_player,assoc_playerName,assoc_playerTeam,assoc_playerTeamName,assoc_event_id
0,948789,19567,,19567,Saitama Wild Knights,0.00,2.84,3,1,50,34,0,0,17,,407,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-02-14T05:30:36Z,0,0,0,0,0,19567,Saitama Wild Knights,5211,Toyota Verblitz,14/02/2026,14:30,5,7,26,20,0,0,505,Kumagaya Rugby Stadium,-1,,8,2026,,,,0,,0,,1000990,Toshimasa Sekiya,1001505,Tetsuya Hirakawa,1001498,Takahiro Kano,1000999,Yosuke Kimura,421,Japan Rugby League One D1,Y,W,0,,0,,
1,948789,26760,Takuya Yamasawa,19567,Saitama Wild Knights,0.00,2.84,3,1,50,34,84,15,14,Restart,281,50m Restart,286,Restart Opp Collection,288,Long,752,Kicked Left,795,Kick Receipt Not Contested,0,,0,,0,,0,,0,,34,39,20,0,2026-02-14T05:30:36Z,1,0,1,0,0,19567,Saitama Wild Knights,5211,Toyota Verblitz,14/02/2026,14:30,5,7,26,20,0,0,505,Kumagaya Rugby Stadium,-1,,8,2026,10,10,Fly Half,0,,0,,1000990,Toshimasa Sekiya,1001505,Tetsuya Hirakawa,1001498,Takahiro Kano,1000999,Yosuke Kimura,421,Japan Rugby League One D1,Y,W,0,,0,,
2,948789,25307,Rikiya Matsuda,5211,Toyota Verblitz,2.84,2.84,6,1,16,53,0,0,18,Collection,275,Restart Catch,277,Success,797,Kick Receipt Not Contested,1092,Non-Kicking Team,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-02-14T05:30:39Z,1,1,1,0,0,19567,Saitama Wild Knights,5211,Toyota Verblitz,14/02/2026,14:30,5,7,26,20,0,0,505,Kumagaya Rugby Stadium,-1,,8,2026,10,10,Fly Half,0,,0,,1000990,Toshimasa Sekiya,1001505,Tetsuya Hirakawa,1001498,Takahiro Kano,1000999,Yosuke Kimura,421,Japan Rugby League One D1,N,L,0,,0,,
3,948789,0,,5211,Toyota Verblitz,2.84,2.84,6,1,16,53,0,0,45,Defensive Exits,629,Carried out of 22,0,,0,,0,,0,,0,,0,,0,,0,,0,,23,0,0,0,2026-02-14T05:30:39Z,1,1,1,0,0,19567,Saitama Wild Knights,5211,Toyota Verblitz,14/02/2026,14:30,5,7,26,20,0,0,505,Kumagaya Rugby Stadium,-1,,8,2026,,,,0,,0,,1000990,Toshimasa Sekiya,1001505,Tetsuya Hirakawa,1001498,Takahiro Kano,1000999,Yosuke Kimura,421,Japan Rugby League One D1,N,L,0,,0,,
4,948789,25307,Rikiya Matsuda,5211,Toyota Verblitz,3.44,4.80,6,1,19,53,17,48,3,Pass,169,Complete,0,,686,Medium Pass,681,Left Pass,700,0th Receiver,0,,0,,0,,0,,0,,5,6,2,0,2026-02-14T05:30:40Z,1,1,1,0,0,19567,Saitama Wild Knights,5211,Toyota Verblitz,14/02/2026,14:30,5,7,26,20,0,0,505,Kumagaya Rugby Stadium,-1,,8,2026,10,10,Fly Half,0,,0,,1000990,Toshimasa Sekiya,1001505,Tetsuya Hirakawa,1001498,Takahiro Kano,1000999,Yosuke Kimura,421,Japan Rugby League One D1,N,L,28962,Kazuki Himeno,5211,Toyota Verblitz,5
5,948789,28962,Kazuki Himeno,5211,Toyota Verblitz,4.80,4.80,8,1,17,48,0,0,18,Collection,631,General Catch,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-02-14T05:30:41Z,1,1,1,0,0,19567,Saitama Wild Knights,5211,Toyota Verblitz,14/02/2026,14:30,5,7,26,20,0,0,505,Kumagaya Rugby Stadium,-1,,8,2026,08,8,Number 8,0,,0,,1000990,Toshimasa Sekiya,1001505,Tetsuya Hirakawa,1001498,Takahiro Kano,1000999,Yosuke Kimura,421,Japan Rugby League One D1,N,L,0,,0,,
6,948789,28962,Kazuki Himeno,5211,Toyota Verblitz,4.80,6.12,8,1,17,48,21,52,1,Carry,105,Restart Return,108,Tackled Neutral,109,Crossed Gain line,461,Neutral Contact,501,1 Tacklers Committed,701,1st Receiver,0,,0,,0,,0,,2,4,1,1,2026-02-14T05:30:41Z,1,1,1,0,0,19567,Saitama Wild Knights,5211,Toyota Verblitz,14/02/2026,14:30,5,7,26,20,0,0,505,Kumagaya Rugby Stadium,-1,,8,2026,08,8,Number 8,0,,0,,1000990,Toshimasa Sekiya,1001505,Tetsuya Hirakawa,1001498,Takahiro Kano,1000999,Yosuke Kimura,421,Japan Rugby League One D1,N,L,65334,Lisala Finau,19567,Saitama Wild Knights,7
7,948789,65334,Lisala Finau,19567,Saitama Wild Knights,5.04,5.04,8,1,80,17,0,0,2,Tackle,142,Chase,153,Complete,0,,474,Neutral Tackle,708,1st Tackler,713,Legs,0,,0,,0,,0,,0,0,0,0,2026-02-14T05:30:41Z,1,1,1,0,0,19567,Saitama Wild Knights,5211,Toyota Verblitz,14/02/2026,14:30,5,7,26,20,0,0,505,Kumagaya Rugby Stadium,-1,,8,2026,03,3,Tighthead Prop,0,,0,,1000990,Toshimasa Sekiya,1001505,Tetsuya Hirakawa,1001498,Takahiro Kano,1000999,Yosuke Kimura,421,Japan Rugby League One D1,Y,W,28962,Kazuki Himeno,5211,Toyota Verblitz,6
8,948789,28962,Kazuki Himeno,5211,Toyota Verblitz,6.12,14.08,9,1,21,52,0,0,23,Ruck,0,,401,Won Outright,551,N/A Gainline,558,6+ Seconds,667,Tight Left Open Movement Ruck,0,,0,,0,,0,,0,,0,0,-2,0,2026-02-14T05:30:43Z,1,1,1,0,0,19567,Saitama Wild Knights,5211,Toyota Verblitz,14/02/2026,14:30,5,7,26,20,0,0,505,Kumagaya Rugby Stadium,-1,,8,2026,08,8,Number 8,0,,0,,1000990,Toshimasa Sekiya,1001505,Tetsuya Hirakawa,1001498,Takahiro Kano,1000999,Yosuke Kimura,421,Japan Rugby League One D1,N,L,11580,Aaron Smith,5211,Toyota Verblitz,13
9,948789,925127,Hingano Lolohea,5211,Toyota Verblitz,6.64,6.64,10,1,21,52,0,0,43,Ruck OOA,574,Secured,583,Own Team 1st Entry,588,OOA Entry 1st Entry- Att,632,Attacking OOA,0,,0,1,0,,0,,0,,0,,0,0,0,0,2026-02-14T05:30:43Z,1,1,1,0,0,19567,Saitama Wild Knights,5211,Toyota Verblitz,14/02/2026,14:30,5,7,26,20,0,0,505,Kumagaya Rugby Stadium,-1,,8,2026,04,4,Lock (4),0,,0,,1000990,Toshimasa Sekiya,1001505,Tetsuya Hirakawa,1001498,Takahiro Kano,1000999,Yosuke Kimura,421,Japan Rugby League One D1,N,L,0,,0,,
