ID,FXID,PLID,playerName,team_id,teamName,ps_timestamp,ps_endstamp,MatchTime,period,x_coord,y_coord,x_coord_end,y_coord_end,action,actionName,ActionType,ActionTypeName,Actionresult,ActionResultName,qualifier3,qualifier3Name,qualifier4,qualifier4Name,qualifier5,qualifier5Name,qualifier6,qualifier6Name,qualifier7,qualifier7Name,qualifier8,qualifier8Name,qualifier9,qualifier9Name,qualifier10,qualifier10Name,Metres,Metres2,Metres3,Metres4,UTCTime,PlayNum,SetNum,sequence_id,player_advantage,score_advantage,homeTeamID,homeTeamName,awayTeamID,awayTeamName,datePlayed,kickofftime,hometeamHTscore,awayteamHTscore,hometeamFTscore,awayteamFTscore,hometeamCurrentScore,awayteamCurrentScore,venueID,venueName,cityID,cityName,roundNumber,season,playerShirtNumber,playerpositionID,playerpositionName,homecoachID,homecoachName,awaycoachID,awaycoachName,refereeID,refereeName,assistantreferee1ID,assistantreferee1Name,assistantreferee2ID,assistantreferee2Name,videoReferee1ID,videoreferee1Name,competitionID,competitionName,isHome,result,assoc_player,assoc_playerName,assoc_playerTeam,assoc_playerTeamName,assoc_event_id
0,948792,594,,594,Mitsubishi Sagamihara Dynaboars,0.00,3.84,3,1,50,34,0,0,17,,407,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-02-14T05:33:25Z,0,0,0,0,0,594,Mitsubishi Sagamihara Dynaboars,5202,Mie Honda Heat,14/02/2026,14:30,15,17,44,34,0,0,785,Sagamihara Gion Stadium,-1,,8,2026,,,,0,,0,,1001491,Katsuki Furuse,1001986,Yuma Higashimura,1001664,Yohei Yonekura,1001473,Takehito Namekawa,421,Japan Rugby League One D1,Y,W,0,,0,,
1,948792,24193,Lomano Lemeki,5202,Mie Honda Heat,0.00,3.84,3,1,50,34,73,2,14,Restart,281,50m Restart,286,Restart Opp Collection,289,Short,752,Kicked Left,795,Kick Receipt Not Contested,0,,0,,0,,0,,0,,23,40,33,0,2026-02-14T05:33:25Z,1,0,1,0,0,594,Mitsubishi Sagamihara Dynaboars,5202,Mie Honda Heat,14/02/2026,14:30,15,17,44,34,0,0,785,Sagamihara Gion Stadium,-1,,8,2026,15,15,Full Back,0,,0,,1001491,Katsuki Furuse,1001986,Yuma Higashimura,1001664,Yohei Yonekura,1001473,Takehito Namekawa,421,Japan Rugby League One D1,N,L,0,,0,,
2,948792,22419,Matt Vaega,594,Mitsubishi Sagamihara Dynaboars,3.84,3.84,7,1,27,66,0,0,18,Collection,275,Restart Catch,277,Success,797,Kick Receipt Not Contested,1092,Non-Kicking Team,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-02-14T05:33:29Z,1,1,1,0,0,594,Mitsubishi Sagamihara Dynaboars,5202,Mie Honda Heat,14/02/2026,14:30,15,17,44,34,0,0,785,Sagamihara Gion Stadium,-1,,8,2026,14,14,Right Wing,0,,0,,1001491,Katsuki Furuse,1001986,Yuma Higashimura,1001664,Yohei Yonekura,1001473,Takehito Namekawa,421,Japan Rugby League One D1,Y,W,0,,0,,
3,948792,22419,Matt Vaega,594,Mitsubishi Sagamihara Dynaboars,3.84,4.24,7,1,27,66,25,68,1,Carry,105,Restart Return,119,Error,111,Failed Gain line,462,Ineffective Contact,501,1 Tacklers Committed,700,0th Receiver,0,,0,,0,,0,,0,0,0,0,2026-02-14T05:33:29Z,1,1,1,0,0,594,Mitsubishi Sagamihara Dynaboars,5202,Mie Honda Heat,14/02/2026,14:30,15,17,44,34,0,0,785,Sagamihara Gion Stadium,-1,,8,2026,14,14,Right Wing,0,,0,,1001491,Katsuki Furuse,1001986,Yuma Higashimura,1001664,Yohei Yonekura,1001473,Takehito Namekawa,421,Japan Rugby League One D1,Y,W,20834,Tevita Li,5202,Mie Honda Heat,4
4,948792,20834,Tevita Li,5202,Mie Honda Heat,4.08,4.08,7,1,74,1,0,0,2,Tackle,142,Chase,154,Forced in Touch,0,,473,Dominant Tackle,708,1st Tackler,714,Lower Torso,0,,0,,0,,0,,0,0,0,0,2026-02-14T05:33:29Z,1,1,1,0,0,594,Mitsubishi Sagamihara Dynaboars,5202,Mie Honda Heat,14/02/2026,14:30,15,17,44,34,0,0,785,Sagamihara Gion Stadium,-1,,8,2026,11,11,Left Wing,0,,0,,1001491,Katsuki Furuse,1001986,Yuma Higashimura,1001664,Yohei Yonekura,1001473,Takehito Namekawa,421,Japan Rugby League One D1,N,L,22419,Matt Vaega,594,Mitsubishi Sagamihara Dynaboars,3
5,948792,22419,Matt Vaega,594,Mitsubishi Sagamihara Dynaboars,4.24,4.24,7,1,25,68,0,0,8,Turnover,253,Carried in Touch,677,Error on Attack,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-02-14T05:33:29Z,1,1,1,0,0,594,Mitsubishi Sagamihara Dynaboars,5202,Mie Honda Heat,14/02/2026,14:30,15,17,44,34,0,0,785,Sagamihara Gion Stadium,-1,,8,2026,14,14,Right Wing,0,,0,,1001491,Katsuki Furuse,1001986,Yuma Higashimura,1001664,Yohei Yonekura,1001473,Takehito Namekawa,421,Japan Rugby League One D1,Y,W,0,,0,,
6,948792,0,,5202,Mie Honda Heat,0.00,5.76,9,1,50,34,75,0,26,Sequences,307,50m Restart,318,Turnover,0,,0,,0,,0,,0,,0,,0,,0,,25,0,0,0,2026-02-14T05:33:25Z,1,1,1,0,0,594,Mitsubishi Sagamihara Dynaboars,5202,Mie Honda Heat,14/02/2026,14:30,15,17,44,34,0,0,785,Sagamihara Gion Stadium,-1,,8,2026,,,,0,,0,,1001491,Katsuki Furuse,1001986,Yuma Higashimura,1001664,Yohei Yonekura,1001473,Takehito Namekawa,421,Japan Rugby League One D1,N,L,0,,0,,
7,948792,0,,594,Mitsubishi Sagamihara Dynaboars,3.84,5.76,9,1,27,66,25,68,15,Possession,307,50m Restart,318,Turnover,0,,684,Fails to enter into Opposition 22,0,,0,,0,,0,,0,,0,,-2,0,0,0,2026-02-14T05:33:29Z,1,1,1,0,0,594,Mitsubishi Sagamihara Dynaboars,5202,Mie Honda Heat,14/02/2026,14:30,15,17,44,34,0,0,785,Sagamihara Gion Stadium,-1,,8,2026,,,,0,,0,,1001491,Katsuki Furuse,1001986,Yuma Higashimura,1001664,Yohei Yonekura,1001473,Takehito Namekawa,421,Japan Rugby League One D1,Y,W,0,,0,,
8,948792,61460,Koki Hida,5202,Mie Honda Heat,24.00,26.32,27,1,74,0,75,18,6,Lineout Throw,374,Throw 15m+,376,Won Clean Catch,420,Catch and Run,0,4+1,669,Tight Left Blindside Movement Lineout,729,4 Players,725,Forward at Halfback (+1),0,,0,,0,,18,0,2,2,2026-02-14T05:33:49Z,1,2,2,0,0,594,Mitsubishi Sagamihara Dynaboars,5202,Mie Honda Heat,14/02/2026,14:30,15,17,44,34,0,0,785,Sagamihara Gion Stadium,-1,,8,2026,02,2,Hooker,0,,0,,1001491,Katsuki Furuse,1001986,Yuma Higashimura,1001664,Yohei Yonekura,1001473,Takehito Namekawa,421,Japan Rugby League One D1,N,L,23384,Johnny Fa'auli,5202,Mie Honda Heat,9
9,948792,23384,Johnny Fa'auli,5202,Mie Honda Heat,26.32,26.32,30,1,75,18,0,0,27,Lineout Take,389,Lineout Win 15m+,376,Won Clean,420,Catch and Run,396,Clean Catch,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-02-14T05:33:51Z,1,2,2,0,0,594,Mitsubishi Sagamihara Dynaboars,5202,Mie Honda Heat,14/02/2026,14:30,15,17,44,34,0,0,785,Sagamihara Gion Stadium,-1,,8,2026,12,12,Inside Centre,0,,0,,1001491,Katsuki Furuse,1001986,Yuma Higashimura,1001664,Yohei Yonekura,1001473,Takehito Namekawa,421,Japan Rugby League One D1,N,L,61460,Koki Hida,5202,Mie Honda Heat,8
