ID,FXID,PLID,playerName,team_id,teamName,ps_timestamp,ps_endstamp,MatchTime,period,x_coord,y_coord,x_coord_end,y_coord_end,action,actionName,ActionType,ActionTypeName,Actionresult,ActionResultName,qualifier3,qualifier3Name,qualifier4,qualifier4Name,qualifier5,qualifier5Name,qualifier6,qualifier6Name,qualifier7,qualifier7Name,qualifier8,qualifier8Name,qualifier9,qualifier9Name,qualifier10,qualifier10Name,Metres,Metres2,Metres3,Metres4,UTCTime,PlayNum,SetNum,sequence_id,player_advantage,score_advantage,homeTeamID,homeTeamName,awayTeamID,awayTeamName,datePlayed,kickofftime,hometeamHTscore,awayteamHTscore,hometeamFTscore,awayteamFTscore,hometeamCurrentScore,awayteamCurrentScore,venueID,venueName,cityID,cityName,roundNumber,season,playerShirtNumber,playerpositionID,playerpositionName,homecoachID,homecoachName,awaycoachID,awaycoachName,refereeID,refereeName,assistantreferee1ID,assistantreferee1Name,assistantreferee2ID,assistantreferee2Name,videoReferee1ID,videoreferee1Name,competitionID,competitionName,isHome,result,assoc_player,assoc_playerName,assoc_playerTeam,assoc_playerTeamName,assoc_event_id
0,948794,5207,,5207,Urayasu D-Rocks,0.00,4.04,2,1,50,33,0,0,17,,407,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-02-14T05:37:33Z,0,0,0,0,0,5207,Urayasu D-Rocks,5209,Tokyo Sungoliath,14/02/2026,14:35,5,26,19,41,0,0,1040,Miyazaki Prefectural Yamanokuchi Athletics Stadium,-1,,8,2026,,,,0,,0,,1001500,Koki Yamauchi,1001798,Shuhei Hamada,1002109,Taiga Hirose,1001626,Tomohiro Koyama,421,Japan Rugby League One D1,Y,L,0,,0,,
1,948794,26651,Hikaru Tamura,5207,Urayasu D-Rocks,0.00,4.04,2,1,50,33,87,54,14,Restart,281,50m Restart,286,Restart Opp Collection,288,Long,753,Kicked Right,795,Kick Receipt Not Contested,0,,0,,0,,0,,0,,38,44,22,0,2026-02-14T05:37:33Z,1,0,1,0,0,5207,Urayasu D-Rocks,5209,Tokyo Sungoliath,14/02/2026,14:35,5,26,19,41,0,0,1040,Miyazaki Prefectural Yamanokuchi Athletics Stadium,-1,,8,2026,10,10,Fly Half,0,,0,,1001500,Koki Yamauchi,1001798,Shuhei Hamada,1002109,Taiga Hirose,1001626,Tomohiro Koyama,421,Japan Rugby League One D1,Y,L,0,,0,,
2,948794,61559,Mikiya Takamoto,5209,Tokyo Sungoliath,4.04,4.04,6,1,13,14,0,0,18,Collection,275,Restart Catch,277,Success,797,Kick Receipt Not Contested,1092,Non-Kicking Team,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-02-14T05:37:37Z,1,1,1,0,0,5207,Urayasu D-Rocks,5209,Tokyo Sungoliath,14/02/2026,14:35,5,26,19,41,0,0,1040,Miyazaki Prefectural Yamanokuchi Athletics Stadium,-1,,8,2026,10,10,Fly Half,0,,0,,1001500,Koki Yamauchi,1001798,Shuhei Hamada,1002109,Taiga Hirose,1001626,Tomohiro Koyama,421,Japan Rugby League One D1,N,W,0,,0,,
3,948794,0,,5209,Tokyo Sungoliath,4.04,4.04,6,1,13,14,0,0,45,Defensive Exits,630,Kicked out of 22,0,,0,,0,,0,,0,,0,,0,,0,,0,,50,0,0,0,2026-02-14T05:37:37Z,1,1,1,0,0,5207,Urayasu D-Rocks,5209,Tokyo Sungoliath,14/02/2026,14:35,5,26,19,41,0,0,1040,Miyazaki Prefectural Yamanokuchi Athletics Stadium,-1,,8,2026,,,,0,,0,,1001500,Koki Yamauchi,1001798,Shuhei Hamada,1002109,Taiga Hirose,1001626,Tomohiro Koyama,421,Japan Rugby League One D1,N,W,0,,0,,
4,948794,61559,Mikiya Takamoto,5209,Tokyo Sungoliath,5.00,7.92,7,1,15,13,63,4,4,Kick,190,Territorial,198,Caught Full,186,Kick in Play (Own 22),0,,795,Kick Receipt Not Contested,0,,0,,0,,0,,0,,48,49,0,0,2026-02-14T05:37:38Z,1,1,1,0,0,5207,Urayasu D-Rocks,5209,Tokyo Sungoliath,14/02/2026,14:35,5,26,19,41,0,0,1040,Miyazaki Prefectural Yamanokuchi Athletics Stadium,-1,,8,2026,10,10,Fly Half,0,,0,,1001500,Koki Yamauchi,1001798,Shuhei Hamada,1002109,Taiga Hirose,1001626,Tomohiro Koyama,421,Japan Rugby League One D1,N,W,0,,0,,
5,948794,0,,5209,Tokyo Sungoliath,4.04,7.92,10,1,13,14,63,4,15,Possession,307,50m Restart,351,Kick in Play,0,,684,Fails to enter into Opposition 22,0,,0,,0,,0,,0,,0,,50,0,0,0,2026-02-14T05:37:37Z,1,1,1,0,0,5207,Urayasu D-Rocks,5209,Tokyo Sungoliath,14/02/2026,14:35,5,26,19,41,0,0,1040,Miyazaki Prefectural Yamanokuchi Athletics Stadium,-1,,8,2026,,,,0,,0,,1001500,Koki Yamauchi,1001798,Shuhei Hamada,1002109,Taiga Hirose,1001626,Tomohiro Koyama,421,Japan Rugby League One D1,N,W,0,,0,,
6,948794,22646,Ryohei Yamanaka,5207,Urayasu D-Rocks,7.92,7.92,10,1,37,64,0,0,18,Collection,273,Defensive Catch,277,Success,797,Kick Receipt Not Contested,1092,Non-Kicking Team,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-02-14T05:37:41Z,1,2,1,0,0,5207,Urayasu D-Rocks,5209,Tokyo Sungoliath,14/02/2026,14:35,5,26,19,41,0,0,1040,Miyazaki Prefectural Yamanokuchi Athletics Stadium,-1,,8,2026,15,15,Full Back,0,,0,,1001500,Koki Yamauchi,1001798,Shuhei Hamada,1002109,Taiga Hirose,1001626,Tomohiro Koyama,421,Japan Rugby League One D1,Y,L,0,,0,,
7,948794,22646,Ryohei Yamanaka,5207,Urayasu D-Rocks,7.92,7.92,10,1,37,64,0,0,44,Counter Attack,626,Outcome - Turnover,0,,0,,0,,0,,0,,0,,0,,0,,0,,17,17,0,0,2026-02-14T05:37:41Z,1,2,1,0,0,5207,Urayasu D-Rocks,5209,Tokyo Sungoliath,14/02/2026,14:35,5,26,19,41,0,0,1040,Miyazaki Prefectural Yamanokuchi Athletics Stadium,-1,,8,2026,15,15,Full Back,0,,0,,1001500,Koki Yamauchi,1001798,Shuhei Hamada,1002109,Taiga Hirose,1001626,Tomohiro Koyama,421,Japan Rugby League One D1,Y,L,0,,0,,
8,948794,22646,Ryohei Yamanaka,5207,Urayasu D-Rocks,7.92,13.96,10,1,37,64,56,57,1,Carry,104,Kick Return,122,Off Load,109,Crossed Gain line,461,Neutral Contact,501,1 Tacklers Committed,700,0th Receiver,0,,0,,0,,0,,19,19,2,2,2026-02-14T05:37:41Z,1,2,1,0,0,5207,Urayasu D-Rocks,5209,Tokyo Sungoliath,14/02/2026,14:35,5,26,19,41,0,0,1040,Miyazaki Prefectural Yamanokuchi Athletics Stadium,-1,,8,2026,15,15,Full Back,0,,0,,1001500,Koki Yamauchi,1001798,Shuhei Hamada,1002109,Taiga Hirose,1001626,Tomohiro Koyama,421,Japan Rugby League One D1,Y,L,37874,Shuhei Takeuchi,5209,Tokyo Sungoliath,9
9,948794,37874,Shuhei Takeuchi,5209,Tokyo Sungoliath,13.80,13.80,16,1,45,12,0,0,2,Tackle,142,Chase,155,Offload Allowed,0,,474,Neutral Tackle,708,1st Tackler,713,Legs,0,,0,,0,,0,,0,0,0,0,2026-02-14T05:37:47Z,1,2,1,0,0,5207,Urayasu D-Rocks,5209,Tokyo Sungoliath,14/02/2026,14:35,5,26,19,41,0,0,1040,Miyazaki Prefectural Yamanokuchi Athletics Stadium,-1,,8,2026,03,3,Tighthead Prop,0,,0,,1001500,Koki Yamauchi,1001798,Shuhei Hamada,1002109,Taiga Hirose,1001626,Tomohiro Koyama,421,Japan Rugby League One D1,N,W,22646,Ryohei Yamanaka,5207,Urayasu D-Rocks,8
