ID,FXID,PLID,playerName,team_id,teamName,ps_timestamp,ps_endstamp,MatchTime,period,x_coord,y_coord,x_coord_end,y_coord_end,action,actionName,ActionType,ActionTypeName,Actionresult,ActionResultName,qualifier3,qualifier3Name,qualifier4,qualifier4Name,qualifier5,qualifier5Name,qualifier6,qualifier6Name,qualifier7,qualifier7Name,qualifier8,qualifier8Name,qualifier9,qualifier9Name,qualifier10,qualifier10Name,Metres,Metres2,Metres3,Metres4,UTCTime,PlayNum,SetNum,sequence_id,player_advantage,score_advantage,homeTeamID,homeTeamName,awayTeamID,awayTeamName,datePlayed,kickofftime,hometeamHTscore,awayteamHTscore,hometeamFTscore,awayteamFTscore,hometeamCurrentScore,awayteamCurrentScore,venueID,venueName,cityID,cityName,roundNumber,season,playerShirtNumber,playerpositionID,playerpositionName,homecoachID,homecoachName,awaycoachID,awaycoachName,refereeID,refereeName,assistantreferee1ID,assistantreferee1Name,assistantreferee2ID,assistantreferee2Name,videoReferee1ID,videoreferee1Name,competitionID,competitionName,isHome,result,assoc_player,assoc_playerName,assoc_playerTeam,assoc_playerTeamName,assoc_event_id
0,948796,5208,,5208,BlackRams Tokyo,0.00,3.96,2,1,48,34,0,0,17,,407,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-02-21T04:00:47Z,0,0,0,0,0,5208,BlackRams Tokyo,5207,Urayasu D-Rocks,21/02/2026,13:00,12,14,41,19,0,0,518,Komazawa Olympic Park Stadium,-1,,9,2026,,,,0,,0,,1001473,Takehito Namekawa,1001100,Atsushi Yamamoto,1001798,Shuhei Hamada,1000758,Minoru Fuji,421,Japan Rugby League One D1,Y,W,0,,0,,
1,948796,26651,Hikaru Tamura,5207,Urayasu D-Rocks,0.00,3.96,2,1,48,34,88,16,14,Restart,281,50m Restart,286,Restart Opp Collection,288,Long,752,Kicked Left,795,Kick Receipt Not Contested,0,,0,,0,,0,,0,,40,44,19,0,2026-02-21T04:00:47Z,1,0,1,0,0,5208,BlackRams Tokyo,5207,Urayasu D-Rocks,21/02/2026,13:00,12,14,41,19,0,0,518,Komazawa Olympic Park Stadium,-1,,9,2026,10,10,Fly Half,0,,0,,1001473,Takehito Namekawa,1001100,Atsushi Yamamoto,1001798,Shuhei Hamada,1000758,Minoru Fuji,421,Japan Rugby League One D1,N,L,0,,0,,
2,948796,36500,Amato Fakatava,5208,BlackRams Tokyo,3.96,3.96,6,1,12,52,0,0,18,Collection,275,Restart Catch,277,Success,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-02-21T04:00:51Z,1,1,1,0,0,5208,BlackRams Tokyo,5207,Urayasu D-Rocks,21/02/2026,13:00,12,14,41,19,0,0,518,Komazawa Olympic Park Stadium,-1,,9,2026,08,8,Number 8,0,,0,,1001473,Takehito Namekawa,1001100,Atsushi Yamamoto,1001798,Shuhei Hamada,1000758,Minoru Fuji,421,Japan Rugby League One D1,Y,W,0,,0,,
3,948796,0,,5208,BlackRams Tokyo,3.96,3.96,6,1,12,52,0,0,45,Defensive Exits,630,Kicked out of 22,0,,0,,0,,0,,0,,0,,0,,0,,0,,33,0,0,0,2026-02-21T04:00:51Z,1,1,1,0,0,5208,BlackRams Tokyo,5207,Urayasu D-Rocks,21/02/2026,13:00,12,14,41,19,0,0,518,Komazawa Olympic Park Stadium,-1,,9,2026,,,,0,,0,,1001473,Takehito Namekawa,1001100,Atsushi Yamamoto,1001798,Shuhei Hamada,1000758,Minoru Fuji,421,Japan Rugby League One D1,Y,W,0,,0,,
4,948796,36500,Amato Fakatava,5208,BlackRams Tokyo,3.96,7.44,6,1,12,52,21,55,1,Carry,105,Restart Return,108,Tackled Neutral,109,Crossed Gain line,461,Neutral Contact,502,2 Tacklers Committed,700,0th Receiver,0,,0,,0,,0,,9,9,3,3,2026-02-21T04:00:51Z,1,1,1,0,0,5208,BlackRams Tokyo,5207,Urayasu D-Rocks,21/02/2026,13:00,12,14,41,19,0,0,518,Komazawa Olympic Park Stadium,-1,,9,2026,08,8,Number 8,0,,0,,1001473,Takehito Namekawa,1001100,Atsushi Yamamoto,1001798,Shuhei Hamada,1000758,Minoru Fuji,421,Japan Rugby League One D1,Y,W,43579,Tetta Shigematsu,5207,Urayasu D-Rocks,5
5,948796,43579,Tetta Shigematsu,5207,Urayasu D-Rocks,6.04,6.04,8,1,82,14,0,0,2,Tackle,142,Chase,153,Complete,0,,474,Neutral Tackle,708,1st Tackler,713,Legs,0,,0,,0,,0,,0,0,0,0,2026-02-21T04:00:53Z,1,1,1,0,0,5208,BlackRams Tokyo,5207,Urayasu D-Rocks,21/02/2026,13:00,12,14,41,19,0,0,518,Komazawa Olympic Park Stadium,-1,,9,2026,06,6,Blindside Flanker,0,,0,,1001473,Takehito Namekawa,1001100,Atsushi Yamamoto,1001798,Shuhei Hamada,1000758,Minoru Fuji,421,Japan Rugby League One D1,N,L,36500,Amato Fakatava,5208,BlackRams Tokyo,4
6,948796,18971,Shane Gates,5207,Urayasu D-Rocks,6.72,6.72,8,1,82,14,0,0,2,Tackle,142,Chase,153,Complete,441,Assist,474,Neutral Tackle,709,2nd Tackler,715,Upper Torso,0,,0,,0,,0,,0,0,0,0,2026-02-21T04:00:53Z,1,1,1,0,0,5208,BlackRams Tokyo,5207,Urayasu D-Rocks,21/02/2026,13:00,12,14,41,19,0,0,518,Komazawa Olympic Park Stadium,-1,,9,2026,13,13,Outside Centre,0,,0,,1001473,Takehito Namekawa,1001100,Atsushi Yamamoto,1001798,Shuhei Hamada,1000758,Minoru Fuji,421,Japan Rugby League One D1,N,L,36500,Amato Fakatava,5208,BlackRams Tokyo,4
7,948796,36500,Amato Fakatava,5208,BlackRams Tokyo,7.44,13.28,9,1,21,55,0,0,23,Ruck,0,,401,Won Outright,551,N/A Gainline,557,5-6 Seconds,663,Close Left Open Movement Ruck,0,,0,,0,,0,,0,,0,0,-1,3,2026-02-21T04:00:54Z,1,1,1,0,0,5208,BlackRams Tokyo,5207,Urayasu D-Rocks,21/02/2026,13:00,12,14,41,19,0,0,518,Komazawa Olympic Park Stadium,-1,,9,2026,08,8,Number 8,0,,0,,1001473,Takehito Namekawa,1001100,Atsushi Yamamoto,1001798,Shuhei Hamada,1000758,Minoru Fuji,421,Japan Rugby League One D1,Y,W,18502,TJ Perenara,5208,BlackRams Tokyo,10
8,948796,23339,Josh Goodhue,5208,BlackRams Tokyo,8.16,8.16,10,1,21,55,0,0,43,Ruck OOA,574,Secured,583,Own Team 1st Entry,588,OOA Entry 1st Entry- Att,632,Attacking OOA,0,,0,1,0,,0,,0,,0,,0,0,0,0,2026-02-21T04:00:55Z,1,1,1,0,0,5208,BlackRams Tokyo,5207,Urayasu D-Rocks,21/02/2026,13:00,12,14,41,19,0,0,518,Komazawa Olympic Park Stadium,-1,,9,2026,05,5,Lock (5),0,,0,,1001473,Takehito Namekawa,1001100,Atsushi Yamamoto,1001798,Shuhei Hamada,1000758,Minoru Fuji,421,Japan Rugby League One D1,Y,W,0,,0,,
9,948796,28937,Masashi Onishi,5208,BlackRams Tokyo,9.44,9.44,11,1,21,55,0,0,43,Ruck OOA,574,Secured,584,Own Team 2nd Entry,589,OOA Entry 2nd Entry- Att,632,Attacking OOA,0,,0,2,0,,0,,0,,0,,0,0,0,0,2026-02-21T04:00:56Z,1,1,1,0,0,5208,BlackRams Tokyo,5207,Urayasu D-Rocks,21/02/2026,13:00,12,14,41,19,0,0,518,Komazawa Olympic Park Stadium,-1,,9,2026,02,2,Hooker,0,,0,,1001473,Takehito Namekawa,1001100,Atsushi Yamamoto,1001798,Shuhei Hamada,1000758,Minoru Fuji,421,Japan Rugby League One D1,Y,W,0,,0,,
