ID,FXID,PLID,playerName,team_id,teamName,ps_timestamp,ps_endstamp,MatchTime,period,x_coord,y_coord,x_coord_end,y_coord_end,action,actionName,ActionType,ActionTypeName,Actionresult,ActionResultName,qualifier3,qualifier3Name,qualifier4,qualifier4Name,qualifier5,qualifier5Name,qualifier6,qualifier6Name,qualifier7,qualifier7Name,qualifier8,qualifier8Name,qualifier9,qualifier9Name,qualifier10,qualifier10Name,Metres,Metres2,Metres3,Metres4,UTCTime,PlayNum,SetNum,sequence_id,player_advantage,score_advantage,homeTeamID,homeTeamName,awayTeamID,awayTeamName,datePlayed,kickofftime,hometeamHTscore,awayteamHTscore,hometeamFTscore,awayteamFTscore,hometeamCurrentScore,awayteamCurrentScore,venueID,venueName,cityID,cityName,roundNumber,season,playerShirtNumber,playerpositionID,playerpositionName,homecoachID,homecoachName,awaycoachID,awaycoachName,refereeID,refereeName,assistantreferee1ID,assistantreferee1Name,assistantreferee2ID,assistantreferee2Name,videoReferee1ID,videoreferee1Name,competitionID,competitionName,isHome,result,assoc_player,assoc_playerName,assoc_playerTeam,assoc_playerTeamName,assoc_event_id
0,948805,594,,594,Mitsubishi Sagamihara Dynaboars,0.00,2.44,2,1,50,33,0,0,17,,407,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-03-01T04:30:24Z,0,0,0,0,0,594,Mitsubishi Sagamihara Dynaboars,5211,Toyota Verblitz,01/03/2026,13:30,12,14,29,31,0,0,502,Takebishi Stadium,-1,,10,2026,,,,0,,0,,1001490,Ibuki Tetsuka,1001683,Masaki Kondo,1001985,Rikito Nobehara,1000999,Yosuke Kimura,421,Japan Rugby League One D1,Y,L,0,,0,,
1,948805,60472,Shun Miyake,594,Mitsubishi Sagamihara Dynaboars,0.00,2.44,2,1,50,33,83,8,14,Restart,281,50m Restart,286,Restart Opp Collection,288,Long,752,Kicked Left,795,Kick Receipt Not Contested,0,,0,,0,,0,,0,,33,42,26,0,2026-03-01T04:30:24Z,1,0,1,0,0,594,Mitsubishi Sagamihara Dynaboars,5211,Toyota Verblitz,01/03/2026,13:30,12,14,29,31,0,0,502,Takebishi Stadium,-1,,10,2026,10,10,Fly Half,0,,0,,1001490,Ibuki Tetsuka,1001683,Masaki Kondo,1001985,Rikito Nobehara,1000999,Yosuke Kimura,421,Japan Rugby League One D1,Y,L,0,,0,,
2,948805,36482,Taichi Takahashi,5211,Toyota Verblitz,2.44,2.44,4,1,17,60,0,0,18,Collection,275,Restart Catch,277,Success,797,Kick Receipt Not Contested,1092,Non-Kicking Team,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-03-01T04:30:27Z,1,1,1,0,0,594,Mitsubishi Sagamihara Dynaboars,5211,Toyota Verblitz,01/03/2026,13:30,12,14,29,31,0,0,502,Takebishi Stadium,-1,,10,2026,14,14,Right Wing,0,,0,,1001490,Ibuki Tetsuka,1001683,Masaki Kondo,1001985,Rikito Nobehara,1000999,Yosuke Kimura,421,Japan Rugby League One D1,N,W,0,,0,,
3,948805,0,,5211,Toyota Verblitz,2.44,2.44,4,1,17,60,0,0,45,Defensive Exits,630,Kicked out of 22,0,,0,,0,,0,,0,,0,,0,,0,,0,,28,0,0,0,2026-03-01T04:30:27Z,1,1,1,0,0,594,Mitsubishi Sagamihara Dynaboars,5211,Toyota Verblitz,01/03/2026,13:30,12,14,29,31,0,0,502,Takebishi Stadium,-1,,10,2026,,,,0,,0,,1001490,Ibuki Tetsuka,1001683,Masaki Kondo,1001985,Rikito Nobehara,1000999,Yosuke Kimura,421,Japan Rugby League One D1,N,W,0,,0,,
4,948805,36482,Taichi Takahashi,5211,Toyota Verblitz,3.72,4.96,5,1,18,59,16,53,3,Pass,169,Complete,0,,686,Medium Pass,681,Left Pass,700,0th Receiver,0,,0,,0,,0,,0,,6,6,2,0,2026-03-01T04:30:28Z,1,1,1,0,0,594,Mitsubishi Sagamihara Dynaboars,5211,Toyota Verblitz,01/03/2026,13:30,12,14,29,31,0,0,502,Takebishi Stadium,-1,,10,2026,14,14,Right Wing,0,,0,,1001490,Ibuki Tetsuka,1001683,Masaki Kondo,1001985,Rikito Nobehara,1000999,Yosuke Kimura,421,Japan Rugby League One D1,N,W,61979,Keito Aoki,5211,Toyota Verblitz,5
5,948805,61979,Keito Aoki,5211,Toyota Verblitz,4.96,4.96,7,1,16,53,0,0,18,Collection,631,General Catch,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-03-01T04:30:29Z,1,1,1,0,0,594,Mitsubishi Sagamihara Dynaboars,5211,Toyota Verblitz,01/03/2026,13:30,12,14,29,31,0,0,502,Takebishi Stadium,-1,,10,2026,06,6,Blindside Flanker,0,,0,,1001490,Ibuki Tetsuka,1001683,Masaki Kondo,1001985,Rikito Nobehara,1000999,Yosuke Kimura,421,Japan Rugby League One D1,N,W,0,,0,,
6,948805,61979,Keito Aoki,5211,Toyota Verblitz,4.96,6.76,7,1,16,53,22,50,1,Carry,105,Restart Return,108,Tackled Neutral,109,Crossed Gain line,461,Neutral Contact,502,2 Tacklers Committed,701,1st Receiver,0,,0,,0,,0,,5,6,2,2,2026-03-01T04:30:29Z,1,1,1,0,0,594,Mitsubishi Sagamihara Dynaboars,5211,Toyota Verblitz,01/03/2026,13:30,12,14,29,31,0,0,502,Takebishi Stadium,-1,,10,2026,06,6,Blindside Flanker,0,,0,,1001490,Ibuki Tetsuka,1001683,Masaki Kondo,1001985,Rikito Nobehara,1000999,Yosuke Kimura,421,Japan Rugby League One D1,N,W,43664,Seunghyok Lee,594,Mitsubishi Sagamihara Dynaboars,7
7,948805,43664,Seunghyok Lee,594,Mitsubishi Sagamihara Dynaboars,6.48,6.48,8,1,79,17,0,0,2,Tackle,142,Chase,153,Complete,0,,474,Neutral Tackle,708,1st Tackler,714,Lower Torso,0,,0,,0,,0,,0,0,0,0,2026-03-01T04:30:31Z,1,1,1,0,0,594,Mitsubishi Sagamihara Dynaboars,5211,Toyota Verblitz,01/03/2026,13:30,12,14,29,31,0,0,502,Takebishi Stadium,-1,,10,2026,02,2,Hooker,0,,0,,1001490,Ibuki Tetsuka,1001683,Masaki Kondo,1001985,Rikito Nobehara,1000999,Yosuke Kimura,421,Japan Rugby League One D1,Y,L,61979,Keito Aoki,5211,Toyota Verblitz,6
8,948805,61943,Kohki Matsumoto,594,Mitsubishi Sagamihara Dynaboars,6.56,6.56,8,1,79,17,0,0,2,Tackle,142,Chase,153,Complete,441,Assist,474,Neutral Tackle,709,2nd Tackler,713,Legs,0,,0,,0,,0,,0,0,0,0,2026-03-01T04:30:31Z,1,1,1,0,0,594,Mitsubishi Sagamihara Dynaboars,5211,Toyota Verblitz,01/03/2026,13:30,12,14,29,31,0,0,502,Takebishi Stadium,-1,,10,2026,05,5,Lock (5),0,,0,,1001490,Ibuki Tetsuka,1001683,Masaki Kondo,1001985,Rikito Nobehara,1000999,Yosuke Kimura,421,Japan Rugby League One D1,Y,L,61979,Keito Aoki,5211,Toyota Verblitz,6
9,948805,61979,Keito Aoki,5211,Toyota Verblitz,6.76,14.00,8,1,22,50,0,0,23,Ruck,0,,401,Won Outright,551,N/A Gainline,558,6+ Seconds,666,Close Right Blindside Movement Ruck,0,,0,,0,,0,,0,,0,0,-4,2,2026-03-01T04:30:31Z,1,1,1,0,0,594,Mitsubishi Sagamihara Dynaboars,5211,Toyota Verblitz,01/03/2026,13:30,12,14,29,31,0,0,502,Takebishi Stadium,-1,,10,2026,06,6,Blindside Flanker,0,,0,,1001490,Ibuki Tetsuka,1001683,Masaki Kondo,1001985,Rikito Nobehara,1000999,Yosuke Kimura,421,Japan Rugby League One D1,N,W,11580,Aaron Smith,5211,Toyota Verblitz,14
