ID,FXID,PLID,playerName,team_id,teamName,ps_timestamp,ps_endstamp,MatchTime,period,x_coord,y_coord,x_coord_end,y_coord_end,action,actionName,ActionType,ActionTypeName,Actionresult,ActionResultName,qualifier3,qualifier3Name,qualifier4,qualifier4Name,qualifier5,qualifier5Name,qualifier6,qualifier6Name,qualifier7,qualifier7Name,qualifier8,qualifier8Name,qualifier9,qualifier9Name,qualifier10,qualifier10Name,Metres,Metres2,Metres3,Metres4,UTCTime,PlayNum,SetNum,sequence_id,player_advantage,score_advantage,homeTeamID,homeTeamName,awayTeamID,awayTeamName,datePlayed,kickofftime,hometeamHTscore,awayteamHTscore,hometeamFTscore,awayteamFTscore,hometeamCurrentScore,awayteamCurrentScore,venueID,venueName,cityID,cityName,roundNumber,season,playerShirtNumber,playerpositionID,playerpositionName,homecoachID,homecoachName,awaycoachID,awaycoachName,refereeID,refereeName,assistantreferee1ID,assistantreferee1Name,assistantreferee2ID,assistantreferee2Name,videoReferee1ID,videoreferee1Name,competitionID,competitionName,isHome,result,assoc_player,assoc_playerName,assoc_playerTeam,assoc_playerTeamName,assoc_event_id
0,948810,5203,,5203,Kobelco Kobe Steelers,0.00,4.16,1,1,50,34,0,0,17,,407,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-03-14T05:30:23Z,0,0,0,0,0,5203,Kobelco Kobe Steelers,594,Mitsubishi Sagamihara Dynaboars,14/03/2026,14:30,47,0,61,10,0,0,491,Kobe Universiade,-1,,11,2026,,,,0,,0,,1001668,Motonori Mizutani,1001798,Shuhei Hamada,1001968,Ryosuke Yamatani,1000999,Yosuke Kimura,421,Japan Rugby League One D1,Y,W,0,,0,,
1,948810,37841,Seungsin Lee,5203,Kobelco Kobe Steelers,0.00,4.16,1,1,50,34,77,37,14,Restart,281,50m Restart,287,Restart Own Error,289,Short,754,Kicked Straight,796,Kick Receipt Contested,0,,0,,0,,0,,0,,27,27,2,0,2026-03-14T05:30:23Z,1,0,1,0,0,5203,Kobelco Kobe Steelers,594,Mitsubishi Sagamihara Dynaboars,14/03/2026,14:30,47,0,61,10,0,0,491,Kobe Universiade,-1,,11,2026,10,10,Fly Half,0,,0,,1001668,Motonori Mizutani,1001798,Shuhei Hamada,1001968,Ryosuke Yamatani,1000999,Yosuke Kimura,421,Japan Rugby League One D1,Y,W,0,,0,,
2,948810,65408,Haniteli Filatoa Vailea,594,Mitsubishi Sagamihara Dynaboars,3.92,3.92,5,1,21,31,0,0,40,Defensive Action,561,Aerial Kick Contest,0,,798,Kick Receipt Contested,1092,Non-Kicking Team,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-03-14T05:30:23Z,1,0,1,0,0,5203,Kobelco Kobe Steelers,594,Mitsubishi Sagamihara Dynaboars,14/03/2026,14:30,47,0,61,10,0,0,491,Kobe Universiade,-1,,11,2026,13,13,Outside Centre,0,,0,,1001668,Motonori Mizutani,1001798,Shuhei Hamada,1001968,Ryosuke Yamatani,1000999,Yosuke Kimura,421,Japan Rugby League One D1,N,L,0,,0,,
3,948810,24945,Marino Mikaele-Tu'u,594,Mitsubishi Sagamihara Dynaboars,3.96,3.96,5,1,21,31,0,0,40,Defensive Action,561,Aerial Kick Contest,0,,798,Kick Receipt Contested,1092,Non-Kicking Team,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-03-14T05:30:23Z,1,0,1,0,0,5203,Kobelco Kobe Steelers,594,Mitsubishi Sagamihara Dynaboars,14/03/2026,14:30,47,0,61,10,0,0,491,Kobe Universiade,-1,,11,2026,08,8,Number 8,0,,0,,1001668,Motonori Mizutani,1001798,Shuhei Hamada,1001968,Ryosuke Yamatani,1000999,Yosuke Kimura,421,Japan Rugby League One D1,N,L,0,,0,,
4,948810,58103,Inoke Burua,5203,Kobelco Kobe Steelers,4.16,4.16,6,1,77,37,0,0,18,Collection,437,Tap Back,278,Fail,798,Kick Receipt Contested,1091,Kicking Team,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-03-14T05:30:28Z,1,0,1,0,0,5203,Kobelco Kobe Steelers,594,Mitsubishi Sagamihara Dynaboars,14/03/2026,14:30,47,0,61,10,0,0,491,Kobe Universiade,-1,,11,2026,11,11,Left Wing,0,,0,,1001668,Motonori Mizutani,1001798,Shuhei Hamada,1001968,Ryosuke Yamatani,1000999,Yosuke Kimura,421,Japan Rugby League One D1,Y,W,0,,0,,
5,948810,58103,Inoke Burua,5203,Kobelco Kobe Steelers,4.16,4.68,6,1,77,37,79,34,3,Pass,174,Incomplete,0,,679,Short Pass,681,Left Pass,700,0th Receiver,0,,0,,0,,0,,0,,2,3,2,0,2026-03-14T05:30:28Z,1,0,1,0,0,5203,Kobelco Kobe Steelers,594,Mitsubishi Sagamihara Dynaboars,14/03/2026,14:30,47,0,61,10,0,0,491,Kobe Universiade,-1,,11,2026,11,11,Left Wing,0,,0,,1001668,Motonori Mizutani,1001798,Shuhei Hamada,1001968,Ryosuke Yamatani,1000999,Yosuke Kimura,421,Japan Rugby League One D1,Y,W,58103,Inoke Burua,5203,Kobelco Kobe Steelers,6
6,948810,58103,Inoke Burua,5203,Kobelco Kobe Steelers,4.68,4.68,6,1,79,34,0,0,8,Turnover,254,Dropped Ball Unforced,677,Error on Attack,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-03-14T05:30:28Z,1,0,1,0,0,5203,Kobelco Kobe Steelers,594,Mitsubishi Sagamihara Dynaboars,14/03/2026,14:30,47,0,61,10,0,0,491,Kobe Universiade,-1,,11,2026,11,11,Left Wing,0,,0,,1001668,Motonori Mizutani,1001798,Shuhei Hamada,1001968,Ryosuke Yamatani,1000999,Yosuke Kimura,421,Japan Rugby League One D1,Y,W,0,,0,,
7,948810,24043,Pieter Scholtz,594,Mitsubishi Sagamihara Dynaboars,5.52,5.52,7,1,21,41,0,0,18,Collection,274,Defensive Loose Ball,277,Success,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-03-14T05:30:29Z,1,1,1,0,0,5203,Kobelco Kobe Steelers,594,Mitsubishi Sagamihara Dynaboars,14/03/2026,14:30,47,0,61,10,0,0,491,Kobe Universiade,-1,,11,2026,03,3,Tighthead Prop,0,,0,,1001668,Motonori Mizutani,1001798,Shuhei Hamada,1001968,Ryosuke Yamatani,1000999,Yosuke Kimura,421,Japan Rugby League One D1,N,L,0,,0,,
8,948810,0,,594,Mitsubishi Sagamihara Dynaboars,5.52,5.52,7,1,21,41,0,0,45,Defensive Exits,630,Kicked out of 22,0,,0,,0,,0,,0,,0,,0,,0,,0,,22,0,0,0,2026-03-14T05:30:29Z,1,1,1,0,0,5203,Kobelco Kobe Steelers,594,Mitsubishi Sagamihara Dynaboars,14/03/2026,14:30,47,0,61,10,0,0,491,Kobe Universiade,-1,,11,2026,,,,0,,0,,1001668,Motonori Mizutani,1001798,Shuhei Hamada,1001968,Ryosuke Yamatani,1000999,Yosuke Kimura,421,Japan Rugby League One D1,N,L,0,,0,,
9,948810,24043,Pieter Scholtz,594,Mitsubishi Sagamihara Dynaboars,5.52,7.36,7,1,21,41,23,41,1,Carry,105,Restart Return,108,Tackled Neutral,109,Crossed Gain line,461,Neutral Contact,501,1 Tacklers Committed,700,0th Receiver,0,,0,,0,,0,,3,3,2,2,2026-03-14T05:30:29Z,1,1,1,0,0,5203,Kobelco Kobe Steelers,594,Mitsubishi Sagamihara Dynaboars,14/03/2026,14:30,47,0,61,10,0,0,491,Kobe Universiade,-1,,11,2026,03,3,Tighthead Prop,0,,0,,1001668,Motonori Mizutani,1001798,Shuhei Hamada,1001968,Ryosuke Yamatani,1000999,Yosuke Kimura,421,Japan Rugby League One D1,N,L,58972,Tiennan Costley,5203,Kobelco Kobe Steelers,10
