ID,FXID,PLID,playerName,team_id,teamName,ps_timestamp,ps_endstamp,MatchTime,period,x_coord,y_coord,x_coord_end,y_coord_end,action,actionName,ActionType,ActionTypeName,Actionresult,ActionResultName,qualifier3,qualifier3Name,qualifier4,qualifier4Name,qualifier5,qualifier5Name,qualifier6,qualifier6Name,qualifier7,qualifier7Name,qualifier8,qualifier8Name,qualifier9,qualifier9Name,qualifier10,qualifier10Name,Metres,Metres2,Metres3,Metres4,UTCTime,PlayNum,SetNum,sequence_id,player_advantage,score_advantage,homeTeamID,homeTeamName,awayTeamID,awayTeamName,datePlayed,kickofftime,hometeamHTscore,awayteamHTscore,hometeamFTscore,awayteamFTscore,hometeamCurrentScore,awayteamCurrentScore,venueID,venueName,cityID,cityName,roundNumber,season,playerShirtNumber,playerpositionID,playerpositionName,homecoachID,homecoachName,awaycoachID,awaycoachName,refereeID,refereeName,assistantreferee1ID,assistantreferee1Name,assistantreferee2ID,assistantreferee2Name,videoReferee1ID,videoreferee1Name,competitionID,competitionName,isHome,result,assoc_player,assoc_playerName,assoc_playerTeam,assoc_playerTeamName,assoc_event_id
0,948813,5203,,5203,Kobelco Kobe Steelers,0.00,3.48,0,1,50,34,0,0,17,,407,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-03-20T05:30:25Z,0,0,0,0,0,5203,Kobelco Kobe Steelers,5200,Yokohama Canon Eagles,20/03/2026,14:30,10,24,29,38,0,0,491,Kobe Universiade,-1,,12,2026,,,,0,,0,,1001683,Masaki Kondo,1001799,Souta Ouchi,1001100,Atsushi Yamamoto,1000999,Yosuke Kimura,421,Japan Rugby League One D1,Y,L,0,,0,,
1,948813,37841,Seungsin Lee,5203,Kobelco Kobe Steelers,0.00,3.48,0,1,50,34,85,10,14,Restart,281,50m Restart,285,Restart Opp Error,288,Long,752,Kicked Left,795,Kick Receipt Not Contested,0,,0,,0,,0,,0,,36,44,25,0,2026-03-20T05:30:25Z,1,1,1,0,0,5203,Kobelco Kobe Steelers,5200,Yokohama Canon Eagles,20/03/2026,14:30,10,24,29,38,0,0,491,Kobe Universiade,-1,,12,2026,10,10,Fly Half,0,,0,,1001683,Masaki Kondo,1001799,Souta Ouchi,1001100,Atsushi Yamamoto,1000999,Yosuke Kimura,421,Japan Rugby League One D1,Y,L,0,,0,,
2,948813,28966,Amanaki Saumaki,5200,Yokohama Canon Eagles,3.48,3.48,4,1,15,58,0,0,18,Collection,275,Restart Catch,278,Fail,797,Kick Receipt Not Contested,1092,Non-Kicking Team,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-03-20T05:30:29Z,1,1,1,0,0,5203,Kobelco Kobe Steelers,5200,Yokohama Canon Eagles,20/03/2026,14:30,10,24,29,38,0,0,491,Kobe Universiade,-1,,12,2026,08,8,Number 8,0,,0,,1001683,Masaki Kondo,1001799,Souta Ouchi,1001100,Atsushi Yamamoto,1000999,Yosuke Kimura,421,Japan Rugby League One D1,N,W,0,,0,,
3,948813,28966,Amanaki Saumaki,5200,Yokohama Canon Eagles,3.68,3.68,4,1,15,58,0,0,8,Turnover,254,Dropped Ball Unforced,678,Error on Defence,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-03-20T05:30:29Z,1,1,1,0,0,5203,Kobelco Kobe Steelers,5200,Yokohama Canon Eagles,20/03/2026,14:30,10,24,29,38,0,0,491,Kobe Universiade,-1,,12,2026,08,8,Number 8,0,,0,,1001683,Masaki Kondo,1001799,Souta Ouchi,1001100,Atsushi Yamamoto,1000999,Yosuke Kimura,421,Japan Rugby League One D1,N,W,0,,0,,
4,948813,0,,5203,Kobelco Kobe Steelers,0.00,6.08,6,1,50,34,85,10,15,Possession,350,50m Restart Retained,317,Scrum,0,,684,Fails to enter into Opposition 22,0,,0,,0,,0,,0,,0,,36,0,0,0,2026-03-20T05:30:25Z,1,1,1,0,0,5203,Kobelco Kobe Steelers,5200,Yokohama Canon Eagles,20/03/2026,14:30,10,24,29,38,0,0,491,Kobe Universiade,-1,,12,2026,,,,0,,0,,1001683,Masaki Kondo,1001799,Souta Ouchi,1001100,Atsushi Yamamoto,1000999,Yosuke Kimura,421,Japan Rugby League One D1,Y,L,0,,0,,
5,948813,0,,5203,Kobelco Kobe Steelers,0.00,6.08,6,1,50,34,85,10,26,Sequences,307,50m Restart,317,Scrum,0,,0,,0,,0,,0,,0,,0,,0,,36,0,0,0,2026-03-20T05:30:25Z,1,1,1,0,0,5203,Kobelco Kobe Steelers,5200,Yokohama Canon Eagles,20/03/2026,14:30,10,24,29,38,0,0,491,Kobe Universiade,-1,,12,2026,,,,0,,0,,1001683,Masaki Kondo,1001799,Souta Ouchi,1001100,Atsushi Yamamoto,1000999,Yosuke Kimura,421,Japan Rugby League One D1,Y,L,0,,0,,
6,948813,19096,Atsushi Hiwasa,5203,Kobelco Kobe Steelers,85.40,92.80,126,1,85,10,0,0,5,Scrum,410,No 8 Pass,357,Won Penalty,366,Negative,362,Anti-Clockwise,662,Mid Right Open Movement Scrum,0,,0,,0,,0,,0,,0,0,-5,13,2026-03-20T05:31:51Z,1,2,2,0,0,5203,Kobelco Kobe Steelers,5200,Yokohama Canon Eagles,20/03/2026,14:30,10,24,29,38,0,0,491,Kobe Universiade,-1,,12,2026,09,9,Scrum Half,0,,0,,1001683,Masaki Kondo,1001799,Souta Ouchi,1001100,Atsushi Yamamoto,1000999,Yosuke Kimura,421,Japan Rugby League One D1,Y,L,0,,0,,
7,948813,36558,Shigure Takao,5203,Kobelco Kobe Steelers,85.40,92.80,126,1,85,10,0,0,28,,410,No 8 Pass,357,Won Penalty,366,Negative,362,Anti-Clockwise,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-03-20T05:31:51Z,1,2,2,0,0,5203,Kobelco Kobe Steelers,5200,Yokohama Canon Eagles,20/03/2026,14:30,10,24,29,38,0,0,491,Kobe Universiade,-1,,12,2026,01,1,Loosehead Prop,0,,0,,1001683,Masaki Kondo,1001799,Souta Ouchi,1001100,Atsushi Yamamoto,1000999,Yosuke Kimura,421,Japan Rugby League One D1,Y,L,0,,0,,
8,948813,10648,Ash Dixon,5203,Kobelco Kobe Steelers,85.40,92.80,126,1,85,10,0,0,28,,410,No 8 Pass,357,Won Penalty,366,Negative,362,Anti-Clockwise,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-03-20T05:31:51Z,1,2,2,0,0,5203,Kobelco Kobe Steelers,5200,Yokohama Canon Eagles,20/03/2026,14:30,10,24,29,38,0,0,491,Kobe Universiade,-1,,12,2026,02,2,Hooker,0,,0,,1001683,Masaki Kondo,1001799,Souta Ouchi,1001100,Atsushi Yamamoto,1000999,Yosuke Kimura,421,Japan Rugby League One D1,Y,L,0,,0,,
9,948813,19940,Hiroshi Yamashita,5203,Kobelco Kobe Steelers,85.40,92.80,126,1,85,10,0,0,28,,410,No 8 Pass,357,Won Penalty,366,Negative,362,Anti-Clockwise,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-03-20T05:31:51Z,1,2,2,0,0,5203,Kobelco Kobe Steelers,5200,Yokohama Canon Eagles,20/03/2026,14:30,10,24,29,38,0,0,491,Kobe Universiade,-1,,12,2026,03,3,Tighthead Prop,0,,0,,1001683,Masaki Kondo,1001799,Souta Ouchi,1001100,Atsushi Yamamoto,1000999,Yosuke Kimura,421,Japan Rugby League One D1,Y,L,0,,0,,
