ID,FXID,PLID,playerName,team_id,teamName,ps_timestamp,ps_endstamp,MatchTime,period,x_coord,y_coord,x_coord_end,y_coord_end,action,actionName,ActionType,ActionTypeName,Actionresult,ActionResultName,qualifier3,qualifier3Name,qualifier4,qualifier4Name,qualifier5,qualifier5Name,qualifier6,qualifier6Name,qualifier7,qualifier7Name,qualifier8,qualifier8Name,qualifier9,qualifier9Name,qualifier10,qualifier10Name,Metres,Metres2,Metres3,Metres4,UTCTime,PlayNum,SetNum,sequence_id,player_advantage,score_advantage,homeTeamID,homeTeamName,awayTeamID,awayTeamName,datePlayed,kickofftime,hometeamHTscore,awayteamHTscore,hometeamFTscore,awayteamFTscore,hometeamCurrentScore,awayteamCurrentScore,venueID,venueName,cityID,cityName,roundNumber,season,playerShirtNumber,playerpositionID,playerpositionName,homecoachID,homecoachName,awaycoachID,awaycoachName,refereeID,refereeName,assistantreferee1ID,assistantreferee1Name,assistantreferee2ID,assistantreferee2Name,videoReferee1ID,videoreferee1Name,competitionID,competitionName,isHome,result,assoc_player,assoc_playerName,assoc_playerTeam,assoc_playerTeamName,assoc_event_id
0,948822,5200,,5200,Yokohama Canon Eagles,0.00,3.96,0,1,49,34,0,0,17,,407,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-03-28T05:31:02Z,0,0,0,0,0,5200,Yokohama Canon Eagles,5211,Toyota Verblitz,28/03/2026,14:30,10,21,27,33,0,0,496,Nissan Stadium,-1,,13,2026,,,,0,,0,,1001491,Katsuki Furuse,1001810,Kohei Yoshino,1001986,Yuma Higashimura,1000818,Tasuku Kawahara,421,Japan Rugby League One D1,Y,L,0,,0,,
1,948822,25307,Rikiya Matsuda,5211,Toyota Verblitz,0.00,3.96,0,1,49,34,83,56,14,Restart,281,50m Restart,286,Restart Opp Collection,288,Long,753,Kicked Right,795,Kick Receipt Not Contested,0,,0,,0,,0,,0,,33,40,23,0,2026-03-28T05:31:02Z,1,0,1,0,0,5200,Yokohama Canon Eagles,5211,Toyota Verblitz,28/03/2026,14:30,10,21,27,33,0,0,496,Nissan Stadium,-1,,13,2026,10,10,Fly Half,0,,0,,1001491,Katsuki Furuse,1001810,Kohei Yoshino,1001986,Yuma Higashimura,1000818,Tasuku Kawahara,421,Japan Rugby League One D1,N,W,0,,0,,
2,948822,32409,Masayoshi Takezawa,5200,Yokohama Canon Eagles,3.96,3.96,4,1,18,12,0,0,18,Collection,275,Restart Catch,277,Success,797,Kick Receipt Not Contested,1092,Non-Kicking Team,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-03-28T05:31:06Z,1,1,1,0,0,5200,Yokohama Canon Eagles,5211,Toyota Verblitz,28/03/2026,14:30,10,21,27,33,0,0,496,Nissan Stadium,-1,,13,2026,11,11,Left Wing,0,,0,,1001491,Katsuki Furuse,1001810,Kohei Yoshino,1001986,Yuma Higashimura,1000818,Tasuku Kawahara,421,Japan Rugby League One D1,Y,L,0,,0,,
3,948822,0,,5200,Yokohama Canon Eagles,3.96,3.96,4,1,18,12,0,0,45,Defensive Exits,629,Carried out of 22,0,,0,,0,,0,,0,,0,,0,,0,,0,,35,0,0,0,2026-03-28T05:31:06Z,1,1,1,0,0,5200,Yokohama Canon Eagles,5211,Toyota Verblitz,28/03/2026,14:30,10,21,27,33,0,0,496,Nissan Stadium,-1,,13,2026,,,,0,,0,,1001491,Katsuki Furuse,1001810,Kohei Yoshino,1001986,Yuma Higashimura,1000818,Tasuku Kawahara,421,Japan Rugby League One D1,Y,L,0,,0,,
4,948822,32409,Masayoshi Takezawa,5200,Yokohama Canon Eagles,3.96,6.80,4,1,18,12,26,14,1,Carry,105,Restart Return,107,Tackled Dominant,109,Crossed Gain line,460,Dominant Contact,503,3 Tacklers Committed,700,0th Receiver,0,,0,,0,,0,,9,9,7,0,2026-03-28T05:31:06Z,1,1,1,0,0,5200,Yokohama Canon Eagles,5211,Toyota Verblitz,28/03/2026,14:30,10,21,27,33,0,0,496,Nissan Stadium,-1,,13,2026,11,11,Left Wing,0,,0,,1001491,Katsuki Furuse,1001810,Kohei Yoshino,1001986,Yuma Higashimura,1000818,Tasuku Kawahara,421,Japan Rugby League One D1,Y,L,22735,Lourens Erasmus,5211,Toyota Verblitz,11
5,948822,28191,Viliame Tuidraki,5211,Toyota Verblitz,4.00,4.00,4,1,81,57,0,0,2,Tackle,142,Chase,161,Missed,0,,475,Ineffective Tackle,708,1st Tackler,713,Legs,0,,0,,0,,0,,0,0,0,0,2026-03-28T05:31:06Z,1,1,1,0,0,5200,Yokohama Canon Eagles,5211,Toyota Verblitz,28/03/2026,14:30,10,21,27,33,0,0,496,Nissan Stadium,-1,,13,2026,11,11,Left Wing,0,,0,,1001491,Katsuki Furuse,1001810,Kohei Yoshino,1001986,Yuma Higashimura,1000818,Tasuku Kawahara,421,Japan Rugby League One D1,N,W,32409,Masayoshi Takezawa,5200,Yokohama Canon Eagles,4
6,948822,28191,Viliame Tuidraki,5211,Toyota Verblitz,4.00,4.00,4,1,81,57,0,0,12,Missed Tackle,165,Positional,166,Tackled,0,,0,,0,,713,Legs,0,,0,,0,,0,,0,0,0,0,2026-03-28T05:31:06Z,1,1,1,0,0,5200,Yokohama Canon Eagles,5211,Toyota Verblitz,28/03/2026,14:30,10,21,27,33,0,0,496,Nissan Stadium,-1,,13,2026,11,11,Left Wing,0,,0,,1001491,Katsuki Furuse,1001810,Kohei Yoshino,1001986,Yuma Higashimura,1000818,Tasuku Kawahara,421,Japan Rugby League One D1,N,W,32409,Masayoshi Takezawa,5200,Yokohama Canon Eagles,4
7,948822,32409,Masayoshi Takezawa,5200,Yokohama Canon Eagles,4.64,4.64,4,1,19,11,0,0,10,Attacking Qualities,116,Defender Beaten,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-03-28T05:31:06Z,1,1,1,0,0,5200,Yokohama Canon Eagles,5211,Toyota Verblitz,28/03/2026,14:30,10,21,27,33,0,0,496,Nissan Stadium,-1,,13,2026,11,11,Left Wing,0,,0,,1001491,Katsuki Furuse,1001810,Kohei Yoshino,1001986,Yuma Higashimura,1000818,Tasuku Kawahara,421,Japan Rugby League One D1,Y,L,0,,0,,
8,948822,26309,Yoshikatsu Hikosaka,5211,Toyota Verblitz,5.60,5.60,5,1,78,55,0,0,2,Tackle,142,Chase,161,Missed,441,Assist,475,Ineffective Tackle,709,2nd Tackler,713,Legs,0,,0,,0,,0,,0,0,0,0,2026-03-28T05:31:07Z,1,1,1,0,0,5200,Yokohama Canon Eagles,5211,Toyota Verblitz,28/03/2026,14:30,10,21,27,33,0,0,496,Nissan Stadium,-1,,13,2026,02,2,Hooker,0,,0,,1001491,Katsuki Furuse,1001810,Kohei Yoshino,1001986,Yuma Higashimura,1000818,Tasuku Kawahara,421,Japan Rugby League One D1,N,W,32409,Masayoshi Takezawa,5200,Yokohama Canon Eagles,4
9,948822,26309,Yoshikatsu Hikosaka,5211,Toyota Verblitz,5.60,5.60,5,1,78,55,0,0,12,Missed Tackle,165,Positional,166,Tackled,0,,0,,0,,713,Legs,0,,0,,0,,0,,0,0,0,0,2026-03-28T05:31:07Z,1,1,1,0,0,5200,Yokohama Canon Eagles,5211,Toyota Verblitz,28/03/2026,14:30,10,21,27,33,0,0,496,Nissan Stadium,-1,,13,2026,02,2,Hooker,0,,0,,1001491,Katsuki Furuse,1001810,Kohei Yoshino,1001986,Yuma Higashimura,1000818,Tasuku Kawahara,421,Japan Rugby League One D1,N,W,32409,Masayoshi Takezawa,5200,Yokohama Canon Eagles,4
10,948822,32409,Masayoshi Takezawa,5200,Yokohama Canon Eagles,5.68,5.68,5,1,22,13,0,0,10,Attacking Qualities,116,Defender Beaten,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-03-28T05:31:07Z,1,1,1,0,0,5200,Yokohama Canon Eagles,5211,Toyota Verblitz,28/03/2026,14:30,10,21,27,33,0,0,496,Nissan Stadium,-1,,13,2026,11,11,Left Wing,0,,0,,1001491,Katsuki Furuse,1001810,Kohei Yoshino,1001986,Yuma Higashimura,1000818,Tasuku Kawahara,421,Japan Rugby League One D1,Y,L,0,,0,,
11,948822,22735,Lourens Erasmus,5211,Toyota Verblitz,6.08,6.08,6,1,74,55,0,0,2,Tackle,142,Chase,160,Passive,441,Assist,475,Ineffective Tackle,710,3rd Tackler,715,Upper Torso,0,,0,,0,,0,,0,0,0,0,2026-03-28T05:31:08Z,1,1,1,0,0,5200,Yokohama Canon Eagles,5211,Toyota Verblitz,28/03/2026,14:30,10,21,27,33,0,0,496,Nissan Stadium,-1,,13,2026,05,5,Lock (5),0,,0,,1001491,Katsuki Furuse,1001810,Kohei Yoshino,1001986,Yuma Higashimura,1000818,Tasuku Kawahara,421,Japan Rugby League One D1,N,W,32409,Masayoshi Takezawa,5200,Yokohama Canon Eagles,4
12,948822,32409,Masayoshi Takezawa,5200,Yokohama Canon Eagles,6.80,7.96,6,1,26,14,0,0,23,Ruck,0,,401,Won Outright,551,N/A Gainline,553,1-2 Seconds,662,Mid Right Open Movement Ruck,0,,0,,0,,0,,0,,0,0,2,11,2026-03-28T05:31:08Z,1,1,1,0,0,5200,Yokohama Canon Eagles,5211,Toyota Verblitz,28/03/2026,14:30,10,21,27,33,0,0,496,Nissan Stadium,-1,,13,2026,11,11,Left Wing,0,,0,,1001491,Katsuki Furuse,1001810,Kohei Yoshino,1001986,Yuma Higashimura,1000818,Tasuku Kawahara,421,Japan Rugby League One D1,Y,L,21626,Faf de Klerk,5200,Yokohama Canon Eagles,15
13,948822,26111,Billy Harmon,5200,Yokohama Canon Eagles,7.12,7.12,7,1,26,14,0,0,43,Ruck OOA,574,Secured,583,Own Team 1st Entry,588,OOA Entry 1st Entry- Att,632,Attacking OOA,0,,0,1,0,,0,,0,,0,,0,0,0,0,2026-03-28T05:31:09Z,1,1,1,0,0,5200,Yokohama Canon Eagles,5211,Toyota Verblitz,28/03/2026,14:30,10,21,27,33,0,0,496,Nissan Stadium,-1,,13,2026,07,7,Openside Flanker,0,,0,,1001491,Katsuki Furuse,1001810,Kohei Yoshino,1001986,Yuma Higashimura,1000818,Tasuku Kawahara,421,Japan Rugby League One D1,Y,L,0,,0,,
14,948822,28401,Cormac Daly,5200,Yokohama Canon Eagles,7.88,7.88,7,1,26,14,0,0,43,Ruck OOA,574,Secured,584,Own Team 2nd Entry,589,OOA Entry 2nd Entry- Att,632,Attacking OOA,0,,0,2,0,,0,,0,,0,,0,0,0,0,2026-03-28T05:31:10Z,1,1,1,0,0,5200,Yokohama Canon Eagles,5211,Toyota Verblitz,28/03/2026,14:30,10,21,27,33,0,0,496,Nissan Stadium,-1,,13,2026,04,4,Lock (4),0,,0,,1001491,Katsuki Furuse,1001810,Kohei Yoshino,1001986,Yuma Higashimura,1000818,Tasuku Kawahara,421,Japan Rugby League One D1,Y,L,0,,0,,
15,948822,21626,Faf de Klerk,5200,Yokohama Canon Eagles,7.96,7.96,8,1,27,14,0,0,18,Collection,631,General Catch,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-03-28T05:31:11Z,2,1,1,0,0,5200,Yokohama Canon Eagles,5211,Toyota Verblitz,28/03/2026,14:30,10,21,27,33,0,0,496,Nissan Stadium,-1,,13,2026,09,9,Scrum Half,0,,0,,1001491,Katsuki Furuse,1001810,Kohei Yoshino,1001986,Yuma Higashimura,1000818,Tasuku Kawahara,421,Japan Rugby League One D1,Y,L,0,,0,,
16,948822,21626,Faf de Klerk,5200,Yokohama Canon Eagles,7.96,7.96,8,1,27,14,0,0,47,Playmaker Options,671,Halfback at Breakdown,675,Playmaker Option - Pass,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-03-28T05:31:11Z,2,1,1,0,0,5200,Yokohama Canon Eagles,5211,Toyota Verblitz,28/03/2026,14:30,10,21,27,33,0,0,496,Nissan Stadium,-1,,13,2026,09,9,Scrum Half,0,,0,,1001491,Katsuki Furuse,1001810,Kohei Yoshino,1001986,Yuma Higashimura,1000818,Tasuku Kawahara,421,Japan Rugby League One D1,Y,L,0,,0,,
17,948822,21626,Faf de Klerk,5200,Yokohama Canon Eagles,9.36,9.92,9,1,26,14,23,23,3,Pass,169,Complete,0,,686,Medium Pass,682,Right Pass,700,0th Receiver,0,,0,,0,,0,,0,,9,9,3,0,2026-03-28T05:31:11Z,2,1,1,0,0,5200,Yokohama Canon Eagles,5211,Toyota Verblitz,28/03/2026,14:30,10,21,27,33,0,0,496,Nissan Stadium,-1,,13,2026,09,9,Scrum Half,0,,0,,1001491,Katsuki Furuse,1001810,Kohei Yoshino,1001986,Yuma Higashimura,1000818,Tasuku Kawahara,421,Japan Rugby League One D1,Y,L,26603,Shunta Nakamura,5200,Yokohama Canon Eagles,18
18,948822,26603,Shunta Nakamura,5200,Yokohama Canon Eagles,9.92,9.92,10,1,23,23,0,0,18,Collection,631,General Catch,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-03-28T05:31:12Z,2,1,1,0,0,5200,Yokohama Canon Eagles,5211,Toyota Verblitz,28/03/2026,14:30,10,21,27,33,0,0,496,Nissan Stadium,-1,,13,2026,02,2,Hooker,0,,0,,1001491,Katsuki Furuse,1001810,Kohei Yoshino,1001986,Yuma Higashimura,1000818,Tasuku Kawahara,421,Japan Rugby League One D1,Y,L,0,,0,,
19,948822,26603,Shunta Nakamura,5200,Yokohama Canon Eagles,9.92,9.92,10,1,23,23,0,0,47,Playmaker Options,656,First Receiver,673,Playmaker Option - Carry,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-03-28T05:31:12Z,2,1,1,0,0,5200,Yokohama Canon Eagles,5211,Toyota Verblitz,28/03/2026,14:30,10,21,27,33,0,0,496,Nissan Stadium,-1,,13,2026,02,2,Hooker,0,,0,,1001491,Katsuki Furuse,1001810,Kohei Yoshino,1001986,Yuma Higashimura,1000818,Tasuku Kawahara,421,Japan Rugby League One D1,Y,L,0,,0,,
20,948822,26603,Shunta Nakamura,5200,Yokohama Canon Eagles,9.92,11.52,10,1,23,23,29,24,1,Carry,101,One Out Drive,108,Tackled Neutral,109,Crossed Gain line,461,Neutral Contact,502,2 Tacklers Committed,701,1st Receiver,0,,0,,0,,0,,2,6,1,1,2026-03-28T05:31:12Z,2,1,1,0,0,5200,Yokohama Canon Eagles,5211,Toyota Verblitz,28/03/2026,14:30,10,21,27,33,0,0,496,Nissan Stadium,-1,,13,2026,02,2,Hooker,0,,0,,1001491,Katsuki Furuse,1001810,Kohei Yoshino,1001986,Yuma Higashimura,1000818,Tasuku Kawahara,421,Japan Rugby League One D1,Y,L,23418,Shogo Miura,5211,Toyota Verblitz,21
21,948822,23418,Shogo Miura,5211,Toyota Verblitz,10.40,10.40,10,1,73,45,0,0,2,Tackle,144,Line,153,Complete,0,,474,Neutral Tackle,708,1st Tackler,715,Upper Torso,0,,0,,0,,0,,0,0,0,0,2026-03-28T05:31:12Z,2,1,1,0,0,5200,Yokohama Canon Eagles,5211,Toyota Verblitz,28/03/2026,14:30,10,21,27,33,0,0,496,Nissan Stadium,-1,,13,2026,01,1,Loosehead Prop,0,,0,,1001491,Katsuki Furuse,1001810,Kohei Yoshino,1001986,Yuma Higashimura,1000818,Tasuku Kawahara,421,Japan Rugby League One D1,N,W,26603,Shunta Nakamura,5200,Yokohama Canon Eagles,20
22,948822,28962,Kazuki Himeno,5211,Toyota Verblitz,10.72,10.72,10,1,73,45,0,0,2,Tackle,144,Line,153,Complete,441,Assist,474,Neutral Tackle,709,2nd Tackler,715,Upper Torso,0,,0,,0,,0,,0,0,0,0,2026-03-28T05:31:12Z,2,1,1,0,0,5200,Yokohama Canon Eagles,5211,Toyota Verblitz,28/03/2026,14:30,10,21,27,33,0,0,496,Nissan Stadium,-1,,13,2026,08,8,Number 8,0,,0,,1001491,Katsuki Furuse,1001810,Kohei Yoshino,1001986,Yuma Higashimura,1000818,Tasuku Kawahara,421,Japan Rugby League One D1,N,W,26603,Shunta Nakamura,5200,Yokohama Canon Eagles,20
23,948822,26603,Shunta Nakamura,5200,Yokohama Canon Eagles,11.52,19.12,11,1,29,24,0,0,23,Ruck,0,,401,Won Outright,548,Over Previous Gainline,558,6+ Seconds,668,Tight Right Open Movement Ruck,0,,0,,0,,0,,0,,0,0,-1,1,2026-03-28T05:31:13Z,2,1,1,0,0,5200,Yokohama Canon Eagles,5211,Toyota Verblitz,28/03/2026,14:30,10,21,27,33,0,0,496,Nissan Stadium,-1,,13,2026,02,2,Hooker,0,,0,,1001491,Katsuki Furuse,1001810,Kohei Yoshino,1001986,Yuma Higashimura,1000818,Tasuku Kawahara,421,Japan Rugby League One D1,Y,L,21626,Faf de Klerk,5200,Yokohama Canon Eagles,29
