ID,FXID,PLID,playerName,team_id,teamName,ps_timestamp,ps_endstamp,MatchTime,period,x_coord,y_coord,x_coord_end,y_coord_end,action,actionName,ActionType,ActionTypeName,Actionresult,ActionResultName,qualifier3,qualifier3Name,qualifier4,qualifier4Name,qualifier5,qualifier5Name,qualifier6,qualifier6Name,qualifier7,qualifier7Name,qualifier8,qualifier8Name,qualifier9,qualifier9Name,qualifier10,qualifier10Name,Metres,Metres2,Metres3,Metres4,UTCTime,PlayNum,SetNum,sequence_id,player_advantage,score_advantage,homeTeamID,homeTeamName,awayTeamID,awayTeamName,datePlayed,kickofftime,hometeamHTscore,awayteamHTscore,hometeamFTscore,awayteamFTscore,hometeamCurrentScore,awayteamCurrentScore,venueID,venueName,cityID,cityName,roundNumber,season,playerShirtNumber,playerpositionID,playerpositionName,homecoachID,homecoachName,awaycoachID,awaycoachName,refereeID,refereeName,assistantreferee1ID,assistantreferee1Name,assistantreferee2ID,assistantreferee2Name,videoReferee1ID,videoreferee1Name,competitionID,competitionName,isHome,result,assoc_player,assoc_playerName,assoc_playerTeam,assoc_playerTeamName,assoc_event_id
0,948823,5208,,5208,BlackRams Tokyo,0.00,3.44,1,1,49,33,0,0,17,,407,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-03-29T05:30:42Z,0,0,0,0,0,5208,BlackRams Tokyo,594,Mitsubishi Sagamihara Dynaboars,29/03/2026,14:30,21,0,33,7,0,0,69,Prince Chichibu Memorial Stadium,-1,,13,2026,,,,0,,0,,1001683,Masaki Kondo,1001490,Ibuki Tetsuka,1001985,Rikito Nobehara,1000818,Tasuku Kawahara,421,Japan Rugby League One D1,Y,W,0,,0,,
1,948823,23723,James Grayson,594,Mitsubishi Sagamihara Dynaboars,0.00,3.44,1,1,49,33,85,10,14,Restart,281,50m Restart,286,Restart Opp Collection,288,Long,752,Kicked Left,795,Kick Receipt Not Contested,0,,0,,0,,0,,0,,36,44,25,0,2026-03-29T05:30:42Z,1,0,1,0,0,5208,BlackRams Tokyo,594,Mitsubishi Sagamihara Dynaboars,29/03/2026,14:30,21,0,33,7,0,0,69,Prince Chichibu Memorial Stadium,-1,,13,2026,10,10,Fly Half,0,,0,,1001683,Masaki Kondo,1001490,Ibuki Tetsuka,1001985,Rikito Nobehara,1000818,Tasuku Kawahara,421,Japan Rugby League One D1,N,L,0,,0,,
2,948823,36500,Amato Fakatava,5208,BlackRams Tokyo,3.44,3.44,4,1,15,58,0,0,18,Collection,275,Restart Catch,277,Success,797,Kick Receipt Not Contested,1092,Non-Kicking Team,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-03-29T05:30:47Z,1,1,1,0,0,5208,BlackRams Tokyo,594,Mitsubishi Sagamihara Dynaboars,29/03/2026,14:30,21,0,33,7,0,0,69,Prince Chichibu Memorial Stadium,-1,,13,2026,08,8,Number 8,0,,0,,1001683,Masaki Kondo,1001490,Ibuki Tetsuka,1001985,Rikito Nobehara,1000818,Tasuku Kawahara,421,Japan Rugby League One D1,Y,W,0,,0,,
3,948823,0,,5208,BlackRams Tokyo,3.44,3.44,4,1,15,58,0,0,45,Defensive Exits,629,Carried out of 22,0,,0,,0,,0,,0,,0,,0,,0,,0,,38,0,0,0,2026-03-29T05:30:47Z,1,1,1,0,0,5208,BlackRams Tokyo,594,Mitsubishi Sagamihara Dynaboars,29/03/2026,14:30,21,0,33,7,0,0,69,Prince Chichibu Memorial Stadium,-1,,13,2026,,,,0,,0,,1001683,Masaki Kondo,1001490,Ibuki Tetsuka,1001985,Rikito Nobehara,1000818,Tasuku Kawahara,421,Japan Rugby League One D1,Y,W,0,,0,,
4,948823,36500,Amato Fakatava,5208,BlackRams Tokyo,3.44,4.92,4,1,15,58,26,56,1,Carry,105,Restart Return,108,Tackled Neutral,109,Crossed Gain line,461,Neutral Contact,501,1 Tacklers Committed,700,0th Receiver,0,,0,,0,,0,,11,11,0,0,2026-03-29T05:30:47Z,1,1,1,0,0,5208,BlackRams Tokyo,594,Mitsubishi Sagamihara Dynaboars,29/03/2026,14:30,21,0,33,7,0,0,69,Prince Chichibu Memorial Stadium,-1,,13,2026,08,8,Number 8,0,,0,,1001683,Masaki Kondo,1001490,Ibuki Tetsuka,1001985,Rikito Nobehara,1000818,Tasuku Kawahara,421,Japan Rugby League One D1,Y,W,36571,Yuki Miyazato,594,Mitsubishi Sagamihara Dynaboars,5
5,948823,36571,Yuki Miyazato,594,Mitsubishi Sagamihara Dynaboars,4.84,4.84,5,1,75,12,0,0,2,Tackle,142,Chase,153,Complete,0,,474,Neutral Tackle,708,1st Tackler,713,Legs,0,,0,,0,,0,,0,0,0,0,2026-03-29T05:30:49Z,1,1,1,0,0,5208,BlackRams Tokyo,594,Mitsubishi Sagamihara Dynaboars,29/03/2026,14:30,21,0,33,7,0,0,69,Prince Chichibu Memorial Stadium,-1,,13,2026,02,2,Hooker,0,,0,,1001683,Masaki Kondo,1001490,Ibuki Tetsuka,1001985,Rikito Nobehara,1000818,Tasuku Kawahara,421,Japan Rugby League One D1,N,L,36500,Amato Fakatava,5208,BlackRams Tokyo,4
6,948823,36500,Amato Fakatava,5208,BlackRams Tokyo,4.92,11.00,5,1,26,56,0,0,23,Ruck,0,,401,Won Outright,551,N/A Gainline,558,6+ Seconds,667,Tight Left Open Movement Ruck,0,,0,,0,,0,,0,,0,0,-2,0,2026-03-29T05:30:48Z,1,1,1,0,0,5208,BlackRams Tokyo,594,Mitsubishi Sagamihara Dynaboars,29/03/2026,14:30,21,0,33,7,0,0,69,Prince Chichibu Memorial Stadium,-1,,13,2026,08,8,Number 8,0,,0,,1001683,Masaki Kondo,1001490,Ibuki Tetsuka,1001985,Rikito Nobehara,1000818,Tasuku Kawahara,421,Japan Rugby League One D1,Y,W,18502,TJ Perenara,5208,BlackRams Tokyo,12
7,948823,28937,Masashi Onishi,5208,BlackRams Tokyo,6.76,6.76,7,1,26,56,0,0,43,Ruck OOA,574,Secured,583,Own Team 1st Entry,588,OOA Entry 1st Entry- Att,632,Attacking OOA,0,,0,1,0,,0,,0,,0,,0,0,0,0,2026-03-29T05:30:44Z,1,1,1,0,0,5208,BlackRams Tokyo,594,Mitsubishi Sagamihara Dynaboars,29/03/2026,14:30,21,0,33,7,0,0,69,Prince Chichibu Memorial Stadium,-1,,13,2026,02,2,Hooker,0,,0,,1001683,Masaki Kondo,1001490,Ibuki Tetsuka,1001985,Rikito Nobehara,1000818,Tasuku Kawahara,421,Japan Rugby League One D1,Y,W,0,,0,,
8,948823,20104,Michael Allardice,5208,BlackRams Tokyo,6.96,6.96,8,1,26,56,0,0,43,Ruck OOA,574,Secured,584,Own Team 2nd Entry,589,OOA Entry 2nd Entry- Att,632,Attacking OOA,0,,0,2,0,,0,,0,,0,,0,0,0,0,2026-03-29T05:30:44Z,1,1,1,0,0,5208,BlackRams Tokyo,594,Mitsubishi Sagamihara Dynaboars,29/03/2026,14:30,21,0,33,7,0,0,69,Prince Chichibu Memorial Stadium,-1,,13,2026,05,5,Lock (5),0,,0,,1001683,Masaki Kondo,1001490,Ibuki Tetsuka,1001985,Rikito Nobehara,1000818,Tasuku Kawahara,421,Japan Rugby League One D1,Y,W,0,,0,,
9,948823,61944,Reijiro Yamamoto,5208,BlackRams Tokyo,10.28,10.28,11,1,26,56,0,0,43,Ruck OOA,574,Secured,585,Own Team 3rd Entry,590,OOA Entry 3rd Entry- Att,632,Attacking OOA,0,,0,3,0,,0,,0,,0,,0,0,0,0,2026-03-29T05:30:47Z,1,1,1,0,0,5208,BlackRams Tokyo,594,Mitsubishi Sagamihara Dynaboars,29/03/2026,14:30,21,0,33,7,0,0,69,Prince Chichibu Memorial Stadium,-1,,13,2026,04,4,Lock (4),0,,0,,1001683,Masaki Kondo,1001490,Ibuki Tetsuka,1001985,Rikito Nobehara,1000818,Tasuku Kawahara,421,Japan Rugby League One D1,Y,W,0,,0,,
