ID,FXID,PLID,playerName,team_id,teamName,ps_timestamp,ps_endstamp,MatchTime,period,x_coord,y_coord,x_coord_end,y_coord_end,action,actionName,ActionType,ActionTypeName,Actionresult,ActionResultName,qualifier3,qualifier3Name,qualifier4,qualifier4Name,qualifier5,qualifier5Name,qualifier6,qualifier6Name,qualifier7,qualifier7Name,qualifier8,qualifier8Name,qualifier9,qualifier9Name,qualifier10,qualifier10Name,Metres,Metres2,Metres3,Metres4,UTCTime,PlayNum,SetNum,sequence_id,player_advantage,score_advantage,homeTeamID,homeTeamName,awayTeamID,awayTeamName,datePlayed,kickofftime,hometeamHTscore,awayteamHTscore,hometeamFTscore,awayteamFTscore,hometeamCurrentScore,awayteamCurrentScore,venueID,venueName,cityID,cityName,roundNumber,season,playerShirtNumber,playerpositionID,playerpositionName,homecoachID,homecoachName,awaycoachID,awaycoachName,refereeID,refereeName,assistantreferee1ID,assistantreferee1Name,assistantreferee2ID,assistantreferee2Name,videoReferee1ID,videoreferee1Name,competitionID,competitionName,isHome,result,assoc_player,assoc_playerName,assoc_playerTeam,assoc_playerTeamName,assoc_event_id
0,948826,19567,,19567,Saitama Wild Knights,0.00,3.64,0,1,50,33,0,0,17,,407,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-04-04T05:31:37Z,0,0,0,0,0,19567,Saitama Wild Knights,5200,Yokohama Canon Eagles,04/04/2026,14:30,14,3,42,15,0,0,505,Kumagaya Rugby Stadium,-1,,14,2026,,,,0,,0,,1001683,Masaki Kondo,1001115,Kohei Osawa,1001809,Ryotaro Shindo,1001507,Daiki Kako,421,Japan Rugby League One D1,Y,W,0,,0,,
1,948826,20577,Yu Tamura,5200,Yokohama Canon Eagles,0.00,3.64,0,1,50,33,89,37,14,Restart,281,50m Restart,286,Restart Opp Collection,288,Long,754,Kicked Straight,795,Kick Receipt Not Contested,0,,0,,0,,0,,0,,39,39,4,0,2026-04-04T05:31:37Z,1,0,1,0,0,19567,Saitama Wild Knights,5200,Yokohama Canon Eagles,04/04/2026,14:30,14,3,42,15,0,0,505,Kumagaya Rugby Stadium,-1,,14,2026,10,10,Fly Half,0,,0,,1001683,Masaki Kondo,1001115,Kohei Osawa,1001809,Ryotaro Shindo,1001507,Daiki Kako,421,Japan Rugby League One D1,N,L,0,,0,,
2,948826,66532,Juan Wilson,19567,Saitama Wild Knights,3.64,3.64,4,1,12,31,0,0,18,Collection,275,Restart Catch,277,Success,797,Kick Receipt Not Contested,1092,Non-Kicking Team,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-04-04T05:31:41Z,1,1,1,0,0,19567,Saitama Wild Knights,5200,Yokohama Canon Eagles,04/04/2026,14:30,14,3,42,15,0,0,505,Kumagaya Rugby Stadium,-1,,14,2026,08,8,Number 8,0,,0,,1001683,Masaki Kondo,1001115,Kohei Osawa,1001809,Ryotaro Shindo,1001507,Daiki Kako,421,Japan Rugby League One D1,Y,W,0,,0,,
3,948826,0,,19567,Saitama Wild Knights,3.64,3.64,4,1,12,31,0,0,45,Defensive Exits,630,Kicked out of 22,0,,0,,0,,0,,0,,0,,0,,0,,0,,52,0,0,0,2026-04-04T05:31:41Z,1,1,1,0,0,19567,Saitama Wild Knights,5200,Yokohama Canon Eagles,04/04/2026,14:30,14,3,42,15,0,0,505,Kumagaya Rugby Stadium,-1,,14,2026,,,,0,,0,,1001683,Masaki Kondo,1001115,Kohei Osawa,1001809,Ryotaro Shindo,1001507,Daiki Kako,421,Japan Rugby League One D1,Y,W,0,,0,,
4,948826,66532,Juan Wilson,19567,Saitama Wild Knights,3.64,7.92,4,1,12,31,20,26,1,Carry,105,Restart Return,108,Tackled Neutral,109,Crossed Gain line,461,Neutral Contact,503,3 Tacklers Committed,700,0th Receiver,0,,0,,0,,0,,8,8,7,1,2026-04-04T05:31:41Z,1,1,1,0,0,19567,Saitama Wild Knights,5200,Yokohama Canon Eagles,04/04/2026,14:30,14,3,42,15,0,0,505,Kumagaya Rugby Stadium,-1,,14,2026,08,8,Number 8,0,,0,,1001683,Masaki Kondo,1001115,Kohei Osawa,1001809,Ryotaro Shindo,1001507,Daiki Kako,421,Japan Rugby League One D1,Y,W,17148,Liakimatagi Moli,5200,Yokohama Canon Eagles,11
5,948826,26111,Billy Harmon,5200,Yokohama Canon Eagles,4.80,4.80,5,1,87,38,0,0,2,Tackle,142,Chase,161,Missed,0,,475,Ineffective Tackle,708,1st Tackler,0,,0,,0,,0,,0,,0,0,0,0,2026-04-04T05:31:42Z,1,1,1,0,0,19567,Saitama Wild Knights,5200,Yokohama Canon Eagles,04/04/2026,14:30,14,3,42,15,0,0,505,Kumagaya Rugby Stadium,-1,,14,2026,07,7,Openside Flanker,0,,0,,1001683,Masaki Kondo,1001115,Kohei Osawa,1001809,Ryotaro Shindo,1001507,Daiki Kako,421,Japan Rugby League One D1,N,L,66532,Juan Wilson,19567,Saitama Wild Knights,4
6,948826,26111,Billy Harmon,5200,Yokohama Canon Eagles,4.80,4.80,5,1,87,38,0,0,12,Missed Tackle,163,Stepped,166,Tackled,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-04-04T05:31:42Z,1,1,1,0,0,19567,Saitama Wild Knights,5200,Yokohama Canon Eagles,04/04/2026,14:30,14,3,42,15,0,0,505,Kumagaya Rugby Stadium,-1,,14,2026,07,7,Openside Flanker,0,,0,,1001683,Masaki Kondo,1001115,Kohei Osawa,1001809,Ryotaro Shindo,1001507,Daiki Kako,421,Japan Rugby League One D1,N,L,66532,Juan Wilson,19567,Saitama Wild Knights,4
7,948826,66532,Juan Wilson,19567,Saitama Wild Knights,5.00,5.00,5,1,13,30,0,0,10,Attacking Qualities,116,Defender Beaten,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-04-04T05:31:42Z,1,1,1,0,0,19567,Saitama Wild Knights,5200,Yokohama Canon Eagles,04/04/2026,14:30,14,3,42,15,0,0,505,Kumagaya Rugby Stadium,-1,,14,2026,08,8,Number 8,0,,0,,1001683,Masaki Kondo,1001115,Kohei Osawa,1001809,Ryotaro Shindo,1001507,Daiki Kako,421,Japan Rugby League One D1,Y,W,0,,0,,
8,948826,32321,Takato Okabe,5200,Yokohama Canon Eagles,5.48,5.48,6,1,86,40,0,0,2,Tackle,142,Chase,161,Missed,441,Assist,475,Ineffective Tackle,709,2nd Tackler,0,,0,,0,,0,,0,,0,0,0,0,2026-04-04T05:31:43Z,1,1,1,0,0,19567,Saitama Wild Knights,5200,Yokohama Canon Eagles,04/04/2026,14:30,14,3,42,15,0,0,505,Kumagaya Rugby Stadium,-1,,14,2026,01,1,Loosehead Prop,0,,0,,1001683,Masaki Kondo,1001115,Kohei Osawa,1001809,Ryotaro Shindo,1001507,Daiki Kako,421,Japan Rugby League One D1,N,L,66532,Juan Wilson,19567,Saitama Wild Knights,4
9,948826,32321,Takato Okabe,5200,Yokohama Canon Eagles,5.48,5.48,6,1,86,40,0,0,12,Missed Tackle,163,Stepped,166,Tackled,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-04-04T05:31:43Z,1,1,1,0,0,19567,Saitama Wild Knights,5200,Yokohama Canon Eagles,04/04/2026,14:30,14,3,42,15,0,0,505,Kumagaya Rugby Stadium,-1,,14,2026,01,1,Loosehead Prop,0,,0,,1001683,Masaki Kondo,1001115,Kohei Osawa,1001809,Ryotaro Shindo,1001507,Daiki Kako,421,Japan Rugby League One D1,N,L,66532,Juan Wilson,19567,Saitama Wild Knights,4
