ID,FXID,PLID,playerName,team_id,teamName,ps_timestamp,ps_endstamp,MatchTime,period,x_coord,y_coord,x_coord_end,y_coord_end,action,actionName,ActionType,ActionTypeName,Actionresult,ActionResultName,qualifier3,qualifier3Name,qualifier4,qualifier4Name,qualifier5,qualifier5Name,qualifier6,qualifier6Name,qualifier7,qualifier7Name,qualifier8,qualifier8Name,qualifier9,qualifier9Name,qualifier10,qualifier10Name,Metres,Metres2,Metres3,Metres4,UTCTime,PlayNum,SetNum,sequence_id,player_advantage,score_advantage,homeTeamID,homeTeamName,awayTeamID,awayTeamName,datePlayed,kickofftime,hometeamHTscore,awayteamHTscore,hometeamFTscore,awayteamFTscore,hometeamCurrentScore,awayteamCurrentScore,venueID,venueName,cityID,cityName,roundNumber,season,playerShirtNumber,playerpositionID,playerpositionName,homecoachID,homecoachName,awaycoachID,awaycoachName,refereeID,refereeName,assistantreferee1ID,assistantreferee1Name,assistantreferee2ID,assistantreferee2Name,videoReferee1ID,videoreferee1Name,competitionID,competitionName,isHome,result,assoc_player,assoc_playerName,assoc_playerTeam,assoc_playerTeamName,assoc_event_id
0,948827,5211,,5211,Toyota Verblitz,0.00,4.28,3,1,50,34,0,0,17,,407,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-04-04T05:40:28Z,0,0,0,0,0,5211,Toyota Verblitz,5204,Kubota Spears,04/04/2026,14:40,17,0,24,7,0,0,524,Himalaya Stadium Gifu,-1,,14,2026,,,,0,,0,,1001500,Koki Yamauchi,1002085,Meitetsu Shimizu,1001506,Shinji Iida,1001490,Ibuki Tetsuka,421,Japan Rugby League One D1,Y,W,0,,0,,
1,948827,19015,Bernard Foley,5204,Kubota Spears,0.00,4.28,3,1,50,34,86,23,14,Restart,281,50m Restart,286,Restart Opp Collection,288,Long,752,Kicked Left,795,Kick Receipt Not Contested,0,,0,,0,,0,,0,,36,38,12,0,2026-04-04T05:40:28Z,1,0,1,0,0,5211,Toyota Verblitz,5204,Kubota Spears,04/04/2026,14:40,17,0,24,7,0,0,524,Himalaya Stadium Gifu,-1,,14,2026,10,10,Fly Half,0,,0,,1001500,Koki Yamauchi,1002085,Meitetsu Shimizu,1001506,Shinji Iida,1001490,Ibuki Tetsuka,421,Japan Rugby League One D1,N,L,0,,0,,
2,948827,25307,Rikiya Matsuda,5211,Toyota Verblitz,4.28,4.28,7,1,14,45,0,0,18,Collection,275,Restart Catch,277,Success,797,Kick Receipt Not Contested,1092,Non-Kicking Team,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-04-04T05:40:33Z,1,1,1,0,0,5211,Toyota Verblitz,5204,Kubota Spears,04/04/2026,14:40,17,0,24,7,0,0,524,Himalaya Stadium Gifu,-1,,14,2026,10,10,Fly Half,0,,0,,1001500,Koki Yamauchi,1002085,Meitetsu Shimizu,1001506,Shinji Iida,1001490,Ibuki Tetsuka,421,Japan Rugby League One D1,Y,W,0,,0,,
3,948827,0,,5211,Toyota Verblitz,4.28,4.28,7,1,14,45,0,0,45,Defensive Exits,630,Kicked out of 22,0,,0,,0,,0,,0,,0,,0,,0,,0,,43,0,0,0,2026-04-04T05:40:33Z,1,1,1,0,0,5211,Toyota Verblitz,5204,Kubota Spears,04/04/2026,14:40,17,0,24,7,0,0,524,Himalaya Stadium Gifu,-1,,14,2026,,,,0,,0,,1001500,Koki Yamauchi,1002085,Meitetsu Shimizu,1001506,Shinji Iida,1001490,Ibuki Tetsuka,421,Japan Rugby League One D1,Y,W,0,,0,,
4,948827,25307,Rikiya Matsuda,5211,Toyota Verblitz,4.28,5.88,7,1,14,45,17,48,1,Carry,105,Restart Return,120,Kick,109,Crossed Gain line,0,,500,0 Tacklers Committed,700,0th Receiver,0,,0,,0,,0,,3,3,0,0,2026-04-04T05:40:33Z,1,1,1,0,0,5211,Toyota Verblitz,5204,Kubota Spears,04/04/2026,14:40,17,0,24,7,0,0,524,Himalaya Stadium Gifu,-1,,14,2026,10,10,Fly Half,0,,0,,1001500,Koki Yamauchi,1002085,Meitetsu Shimizu,1001506,Shinji Iida,1001490,Ibuki Tetsuka,421,Japan Rugby League One D1,Y,W,0,,0,,
5,948827,25307,Rikiya Matsuda,5211,Toyota Verblitz,5.88,8.52,9,1,17,48,57,68,4,Kick,347,Touch Kick,193,Kick in Touch (Full),186,Kick in Play (Own 22),0,,795,Kick Receipt Not Contested,0,,0,,0,,0,,0,,40,45,0,0,2026-04-04T05:40:34Z,1,1,1,0,0,5211,Toyota Verblitz,5204,Kubota Spears,04/04/2026,14:40,17,0,24,7,0,0,524,Himalaya Stadium Gifu,-1,,14,2026,10,10,Fly Half,0,,0,,1001500,Koki Yamauchi,1002085,Meitetsu Shimizu,1001506,Shinji Iida,1001490,Ibuki Tetsuka,421,Japan Rugby League One D1,Y,W,0,,0,,
6,948827,0,,5204,Kubota Spears,0.00,8.52,11,1,50,34,43,0,26,Sequences,307,50m Restart,315,Kick Out of Play,0,,0,,0,,0,,0,,0,,0,,0,,-7,0,0,0,2026-04-04T05:40:28Z,1,1,1,0,0,5211,Toyota Verblitz,5204,Kubota Spears,04/04/2026,14:40,17,0,24,7,0,0,524,Himalaya Stadium Gifu,-1,,14,2026,,,,0,,0,,1001500,Koki Yamauchi,1002085,Meitetsu Shimizu,1001506,Shinji Iida,1001490,Ibuki Tetsuka,421,Japan Rugby League One D1,N,L,0,,0,,
7,948827,0,,5211,Toyota Verblitz,4.28,8.52,11,1,14,45,57,68,15,Possession,307,50m Restart,315,Kick Out of Play,0,,684,Fails to enter into Opposition 22,0,,0,,0,,0,,0,,0,,43,0,0,0,2026-04-04T05:40:33Z,1,1,1,0,0,5211,Toyota Verblitz,5204,Kubota Spears,04/04/2026,14:40,17,0,24,7,0,0,524,Himalaya Stadium Gifu,-1,,14,2026,,,,0,,0,,1001500,Koki Yamauchi,1002085,Meitetsu Shimizu,1001506,Shinji Iida,1001490,Ibuki Tetsuka,421,Japan Rugby League One D1,Y,W,0,,0,,
8,948827,58092,Rikuto Fukuda,5204,Kubota Spears,35.48,37.76,38,1,43,0,43,11,6,Lineout Throw,372,Throw Middle,376,Won Clean Catch,207,Catch and Drive,0,5+1,676,N/A Movement Lineout,730,5 Players,725,Forward at Halfback (+1),0,,0,,0,,11,0,0,0,2026-04-04T05:41:05Z,1,2,2,0,0,5211,Toyota Verblitz,5204,Kubota Spears,04/04/2026,14:40,17,0,24,7,0,0,524,Himalaya Stadium Gifu,-1,,14,2026,02,2,Hooker,0,,0,,1001500,Koki Yamauchi,1002085,Meitetsu Shimizu,1001506,Shinji Iida,1001490,Ibuki Tetsuka,421,Japan Rugby League One D1,N,L,60139,Akira Ieremia,5204,Kubota Spears,9
9,948827,60139,Akira Ieremia,5204,Kubota Spears,37.76,37.76,40,1,43,11,0,0,27,Lineout Take,387,Lineout Win Middle,376,Won Clean,207,Catch and Drive,396,Clean Catch,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-04-04T05:41:06Z,1,2,2,0,0,5211,Toyota Verblitz,5204,Kubota Spears,04/04/2026,14:40,17,0,24,7,0,0,524,Himalaya Stadium Gifu,-1,,14,2026,04,4,Lock (4),0,,0,,1001500,Koki Yamauchi,1002085,Meitetsu Shimizu,1001506,Shinji Iida,1001490,Ibuki Tetsuka,421,Japan Rugby League One D1,N,L,58092,Rikuto Fukuda,5204,Kubota Spears,8
