ID,FXID,PLID,playerName,team_id,teamName,ps_timestamp,ps_endstamp,MatchTime,period,x_coord,y_coord,x_coord_end,y_coord_end,action,actionName,ActionType,ActionTypeName,Actionresult,ActionResultName,qualifier3,qualifier3Name,qualifier4,qualifier4Name,qualifier5,qualifier5Name,qualifier6,qualifier6Name,qualifier7,qualifier7Name,qualifier8,qualifier8Name,qualifier9,qualifier9Name,qualifier10,qualifier10Name,Metres,Metres2,Metres3,Metres4,UTCTime,PlayNum,SetNum,sequence_id,player_advantage,score_advantage,homeTeamID,homeTeamName,awayTeamID,awayTeamName,datePlayed,kickofftime,hometeamHTscore,awayteamHTscore,hometeamFTscore,awayteamFTscore,hometeamCurrentScore,awayteamCurrentScore,venueID,venueName,cityID,cityName,roundNumber,season,playerShirtNumber,playerpositionID,playerpositionName,homecoachID,homecoachName,awaycoachID,awaycoachName,refereeID,refereeName,assistantreferee1ID,assistantreferee1Name,assistantreferee2ID,assistantreferee2Name,videoReferee1ID,videoreferee1Name,competitionID,competitionName,isHome,result,assoc_player,assoc_playerName,assoc_playerTeam,assoc_playerTeamName,assoc_event_id
0,948831,5202,,5202,Mie Honda Heat,0.00,0.00,2,1,50,34,0,0,17,,407,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-04-17T10:00:25Z,0,0,0,0,0,5202,Mie Honda Heat,5208,BlackRams Tokyo,17/04/2026,19:00,0,39,5,49,0,0,69,Prince Chichibu Memorial Stadium,-1,,15,2026,,,,0,,0,,1000990,Toshimasa Sekiya,1001505,Tetsuya Hirakawa,1002085,Meitetsu Shimizu,1000758,Minoru Fuji,421,Japan Rugby League One D1,Y,L,0,,0,,
1,948831,24193,Lomano Lemeki,5202,Mie Honda Heat,0.00,0.00,2,1,50,34,0,0,8,Turnover,261,Kick Error,677,Error on Attack,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-04-17T10:00:25Z,1,0,1,0,0,5202,Mie Honda Heat,5208,BlackRams Tokyo,17/04/2026,19:00,0,39,5,49,0,0,69,Prince Chichibu Memorial Stadium,-1,,15,2026,15,15,Full Back,0,,0,,1000990,Toshimasa Sekiya,1001505,Tetsuya Hirakawa,1002085,Meitetsu Shimizu,1000758,Minoru Fuji,421,Japan Rugby League One D1,Y,L,0,,0,,
2,948831,24193,Lomano Lemeki,5202,Mie Honda Heat,0.00,3.96,2,1,50,34,50,34,14,Restart,281,50m Restart,287,Restart Own Error,289,Short,754,Kicked Straight,795,Kick Receipt Not Contested,0,,0,,0,,0,,0,,0,0,0,0,2026-04-17T10:00:25Z,1,0,1,0,0,5202,Mie Honda Heat,5208,BlackRams Tokyo,17/04/2026,19:00,0,39,5,49,0,0,69,Prince Chichibu Memorial Stadium,-1,,15,2026,15,15,Full Back,0,,0,,1000990,Toshimasa Sekiya,1001505,Tetsuya Hirakawa,1002085,Meitetsu Shimizu,1000758,Minoru Fuji,421,Japan Rugby League One D1,Y,L,0,,0,,
3,948831,0,,5202,Mie Honda Heat,0.00,3.96,6,1,50,34,50,34,26,Sequences,307,50m Restart,413,Kick Error,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-04-17T10:00:25Z,1,0,1,0,0,5202,Mie Honda Heat,5208,BlackRams Tokyo,17/04/2026,19:00,0,39,5,49,0,0,69,Prince Chichibu Memorial Stadium,-1,,15,2026,,,,0,,0,,1000990,Toshimasa Sekiya,1001505,Tetsuya Hirakawa,1002085,Meitetsu Shimizu,1000758,Minoru Fuji,421,Japan Rugby League One D1,Y,L,0,,0,,
4,948831,18502,TJ Perenara,5208,BlackRams Tokyo,58.88,61.96,101,1,50,34,0,0,5,Scrum,367,Scrum Half Pass,353,Won Outright,365,Neutral,0,,663,Close Left Open Movement Scrum,0,,0,,0,,0,,0,,0,0,3,9,2026-04-17T10:01:24Z,1,1,2,0,0,5202,Mie Honda Heat,5208,BlackRams Tokyo,17/04/2026,19:00,0,39,5,49,0,0,69,Prince Chichibu Memorial Stadium,-1,,15,2026,09,9,Scrum Half,0,,0,,1000990,Toshimasa Sekiya,1001505,Tetsuya Hirakawa,1002085,Meitetsu Shimizu,1000758,Minoru Fuji,421,Japan Rugby League One D1,N,W,0,,0,,
5,948831,30975,Yuichiro Taniguchi,5208,BlackRams Tokyo,58.88,61.96,101,1,50,34,0,0,28,,367,Scrum Half Pass,353,Won Outright,365,Neutral,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-04-17T10:01:24Z,1,1,2,0,0,5202,Mie Honda Heat,5208,BlackRams Tokyo,17/04/2026,19:00,0,39,5,49,0,0,69,Prince Chichibu Memorial Stadium,-1,,15,2026,01,1,Loosehead Prop,0,,0,,1000990,Toshimasa Sekiya,1001505,Tetsuya Hirakawa,1002085,Meitetsu Shimizu,1000758,Minoru Fuji,421,Japan Rugby League One D1,N,W,0,,0,,
6,948831,28937,Masashi Onishi,5208,BlackRams Tokyo,58.88,61.96,101,1,50,34,0,0,28,,367,Scrum Half Pass,353,Won Outright,365,Neutral,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-04-17T10:01:24Z,1,1,2,0,0,5202,Mie Honda Heat,5208,BlackRams Tokyo,17/04/2026,19:00,0,39,5,49,0,0,69,Prince Chichibu Memorial Stadium,-1,,15,2026,02,2,Hooker,0,,0,,1000990,Toshimasa Sekiya,1001505,Tetsuya Hirakawa,1002085,Meitetsu Shimizu,1000758,Minoru Fuji,421,Japan Rugby League One D1,N,W,0,,0,,
7,948831,37807,Daigo Sasagawa,5208,BlackRams Tokyo,58.88,61.96,101,1,50,34,0,0,28,,367,Scrum Half Pass,353,Won Outright,365,Neutral,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-04-17T10:01:24Z,1,1,2,0,0,5202,Mie Honda Heat,5208,BlackRams Tokyo,17/04/2026,19:00,0,39,5,49,0,0,69,Prince Chichibu Memorial Stadium,-1,,15,2026,03,3,Tighthead Prop,0,,0,,1000990,Toshimasa Sekiya,1001505,Tetsuya Hirakawa,1002085,Meitetsu Shimizu,1000758,Minoru Fuji,421,Japan Rugby League One D1,N,W,0,,0,,
8,948831,61944,Reijiro Yamamoto,5208,BlackRams Tokyo,58.88,61.96,101,1,50,34,0,0,28,,367,Scrum Half Pass,353,Won Outright,365,Neutral,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-04-17T10:01:24Z,1,1,2,0,0,5202,Mie Honda Heat,5208,BlackRams Tokyo,17/04/2026,19:00,0,39,5,49,0,0,69,Prince Chichibu Memorial Stadium,-1,,15,2026,04,4,Lock (4),0,,0,,1000990,Toshimasa Sekiya,1001505,Tetsuya Hirakawa,1002085,Meitetsu Shimizu,1000758,Minoru Fuji,421,Japan Rugby League One D1,N,W,0,,0,,
9,948831,20104,Michael Allardice,5208,BlackRams Tokyo,58.88,61.96,101,1,50,34,0,0,28,,367,Scrum Half Pass,353,Won Outright,365,Neutral,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-04-17T10:01:24Z,1,1,2,0,0,5202,Mie Honda Heat,5208,BlackRams Tokyo,17/04/2026,19:00,0,39,5,49,0,0,69,Prince Chichibu Memorial Stadium,-1,,15,2026,05,5,Lock (5),0,,0,,1000990,Toshimasa Sekiya,1001505,Tetsuya Hirakawa,1002085,Meitetsu Shimizu,1000758,Minoru Fuji,421,Japan Rugby League One D1,N,W,0,,0,,
10,948831,36538,Brodi McCurran,5208,BlackRams Tokyo,58.88,61.96,101,1,50,34,0,0,28,,367,Scrum Half Pass,353,Won Outright,365,Neutral,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-04-17T10:01:24Z,1,1,2,0,0,5202,Mie Honda Heat,5208,BlackRams Tokyo,17/04/2026,19:00,0,39,5,49,0,0,69,Prince Chichibu Memorial Stadium,-1,,15,2026,06,6,Blindside Flanker,0,,0,,1000990,Toshimasa Sekiya,1001505,Tetsuya Hirakawa,1002085,Meitetsu Shimizu,1000758,Minoru Fuji,421,Japan Rugby League One D1,N,W,0,,0,,
11,948831,26435,Shuhei Matsuhashi,5208,BlackRams Tokyo,58.88,61.96,101,1,50,34,0,0,28,,367,Scrum Half Pass,353,Won Outright,365,Neutral,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-04-17T10:01:24Z,1,1,2,0,0,5202,Mie Honda Heat,5208,BlackRams Tokyo,17/04/2026,19:00,0,39,5,49,0,0,69,Prince Chichibu Memorial Stadium,-1,,15,2026,07,7,Openside Flanker,0,,0,,1000990,Toshimasa Sekiya,1001505,Tetsuya Hirakawa,1002085,Meitetsu Shimizu,1000758,Minoru Fuji,421,Japan Rugby League One D1,N,W,0,,0,,
12,948831,36500,Amato Fakatava,5208,BlackRams Tokyo,58.88,61.96,101,1,50,34,0,0,28,,367,Scrum Half Pass,353,Won Outright,365,Neutral,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-04-17T10:01:24Z,1,1,2,0,0,5202,Mie Honda Heat,5208,BlackRams Tokyo,17/04/2026,19:00,0,39,5,49,0,0,69,Prince Chichibu Memorial Stadium,-1,,15,2026,08,8,Number 8,0,,0,,1000990,Toshimasa Sekiya,1001505,Tetsuya Hirakawa,1002085,Meitetsu Shimizu,1000758,Minoru Fuji,421,Japan Rugby League One D1,N,W,0,,0,,
13,948831,36508,Tatsuhiko Tsurukawa,5202,Mie Honda Heat,58.88,61.96,101,1,50,34,0,0,29,,367,Scrum Half Pass,353,Won Outright,365,Neutral,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-04-17T10:01:24Z,1,1,2,0,0,5202,Mie Honda Heat,5208,BlackRams Tokyo,17/04/2026,19:00,0,39,5,49,0,0,69,Prince Chichibu Memorial Stadium,-1,,15,2026,01,1,Loosehead Prop,0,,0,,1000990,Toshimasa Sekiya,1001505,Tetsuya Hirakawa,1002085,Meitetsu Shimizu,1000758,Minoru Fuji,421,Japan Rugby League One D1,Y,L,0,,0,,
