ID,FXID,PLID,playerName,team_id,teamName,ps_timestamp,ps_endstamp,MatchTime,period,x_coord,y_coord,x_coord_end,y_coord_end,action,actionName,ActionType,ActionTypeName,Actionresult,ActionResultName,qualifier3,qualifier3Name,qualifier4,qualifier4Name,qualifier5,qualifier5Name,qualifier6,qualifier6Name,qualifier7,qualifier7Name,qualifier8,qualifier8Name,qualifier9,qualifier9Name,qualifier10,qualifier10Name,Metres,Metres2,Metres3,Metres4,UTCTime,PlayNum,SetNum,sequence_id,player_advantage,score_advantage,homeTeamID,homeTeamName,awayTeamID,awayTeamName,datePlayed,kickofftime,hometeamHTscore,awayteamHTscore,hometeamFTscore,awayteamFTscore,hometeamCurrentScore,awayteamCurrentScore,venueID,venueName,cityID,cityName,roundNumber,season,playerShirtNumber,playerpositionID,playerpositionName,homecoachID,homecoachName,awaycoachID,awaycoachName,refereeID,refereeName,assistantreferee1ID,assistantreferee1Name,assistantreferee2ID,assistantreferee2Name,videoReferee1ID,videoreferee1Name,competitionID,competitionName,isHome,result,assoc_player,assoc_playerName,assoc_playerTeam,assoc_playerTeamName,assoc_event_id
0,948833,5200,,5200,Yokohama Canon Eagles,0.00,3.96,2,1,50,34,0,0,17,,407,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-04-18T04:05:35Z,0,0,0,0,0,5200,Yokohama Canon Eagles,5207,Urayasu D-Rocks,18/04/2026,13:05,21,7,33,15,0,0,512,Showa Denko Dome Oita,-1,,15,2026,,,,0,,0,,1001491,Katsuki Furuse,1001807,Teruki Inanishi,1001506,Shinji Iida,1001626,Tomohiro Koyama,421,Japan Rugby League One D1,Y,W,0,,0,,
1,948833,20577,Yu Tamura,5200,Yokohama Canon Eagles,0.00,3.96,2,1,50,34,82,61,14,Restart,281,50m Restart,286,Restart Opp Collection,288,Long,753,Kicked Right,795,Kick Receipt Not Contested,0,,0,,0,,0,,0,,32,42,28,0,2026-04-18T04:05:35Z,1,0,1,0,0,5200,Yokohama Canon Eagles,5207,Urayasu D-Rocks,18/04/2026,13:05,21,7,33,15,0,0,512,Showa Denko Dome Oita,-1,,15,2026,10,10,Fly Half,0,,0,,1001491,Katsuki Furuse,1001807,Teruki Inanishi,1001506,Shinji Iida,1001626,Tomohiro Koyama,421,Japan Rugby League One D1,Y,W,0,,0,,
2,948833,26334,Kai Ishii,5207,Urayasu D-Rocks,3.96,3.96,6,1,18,7,0,0,18,Collection,275,Restart Catch,277,Success,797,Kick Receipt Not Contested,1092,Non-Kicking Team,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-04-18T04:05:40Z,1,1,1,0,0,5200,Yokohama Canon Eagles,5207,Urayasu D-Rocks,18/04/2026,13:05,21,7,33,15,0,0,512,Showa Denko Dome Oita,-1,,15,2026,11,11,Left Wing,0,,0,,1001491,Katsuki Furuse,1001807,Teruki Inanishi,1001506,Shinji Iida,1001626,Tomohiro Koyama,421,Japan Rugby League One D1,N,L,0,,0,,
3,948833,0,,5207,Urayasu D-Rocks,3.96,3.96,6,1,18,7,0,0,45,Defensive Exits,630,Kicked out of 22,0,,0,,0,,0,,0,,0,,0,,0,,0,,26,0,0,0,2026-04-18T04:05:40Z,1,1,1,0,0,5200,Yokohama Canon Eagles,5207,Urayasu D-Rocks,18/04/2026,13:05,21,7,33,15,0,0,512,Showa Denko Dome Oita,-1,,15,2026,,,,0,,0,,1001491,Katsuki Furuse,1001807,Teruki Inanishi,1001506,Shinji Iida,1001626,Tomohiro Koyama,421,Japan Rugby League One D1,N,L,0,,0,,
4,948833,26334,Kai Ishii,5207,Urayasu D-Rocks,3.96,7.92,6,1,18,7,21,9,1,Carry,105,Restart Return,108,Tackled Neutral,109,Crossed Gain line,461,Neutral Contact,502,2 Tacklers Committed,700,0th Receiver,0,,0,,0,,0,,3,3,2,1,2026-04-18T04:05:40Z,1,1,1,0,0,5200,Yokohama Canon Eagles,5207,Urayasu D-Rocks,18/04/2026,13:05,21,7,33,15,0,0,512,Showa Denko Dome Oita,-1,,15,2026,11,11,Left Wing,0,,0,,1001491,Katsuki Furuse,1001807,Teruki Inanishi,1001506,Shinji Iida,1001626,Tomohiro Koyama,421,Japan Rugby League One D1,N,L,20669,Jesse Kriel,5200,Yokohama Canon Eagles,8
5,948833,28966,Amanaki Saumaki,5200,Yokohama Canon Eagles,4.96,4.96,7,1,81,61,0,0,2,Tackle,142,Chase,161,Missed,0,,475,Ineffective Tackle,708,1st Tackler,713,Legs,0,,0,,0,,0,,0,0,0,0,2026-04-18T04:05:41Z,1,1,1,0,0,5200,Yokohama Canon Eagles,5207,Urayasu D-Rocks,18/04/2026,13:05,21,7,33,15,0,0,512,Showa Denko Dome Oita,-1,,15,2026,08,8,Number 8,0,,0,,1001491,Katsuki Furuse,1001807,Teruki Inanishi,1001506,Shinji Iida,1001626,Tomohiro Koyama,421,Japan Rugby League One D1,Y,W,26334,Kai Ishii,5207,Urayasu D-Rocks,4
6,948833,28966,Amanaki Saumaki,5200,Yokohama Canon Eagles,4.96,4.96,7,1,81,61,0,0,12,Missed Tackle,163,Stepped,166,Tackled,0,,0,,0,,713,Legs,0,,0,,0,,0,,0,0,0,0,2026-04-18T04:05:41Z,1,1,1,0,0,5200,Yokohama Canon Eagles,5207,Urayasu D-Rocks,18/04/2026,13:05,21,7,33,15,0,0,512,Showa Denko Dome Oita,-1,,15,2026,08,8,Number 8,0,,0,,1001491,Katsuki Furuse,1001807,Teruki Inanishi,1001506,Shinji Iida,1001626,Tomohiro Koyama,421,Japan Rugby League One D1,Y,W,26334,Kai Ishii,5207,Urayasu D-Rocks,4
7,948833,26334,Kai Ishii,5207,Urayasu D-Rocks,5.60,5.60,7,1,19,7,0,0,10,Attacking Qualities,116,Defender Beaten,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-04-18T04:05:42Z,1,1,1,0,0,5200,Yokohama Canon Eagles,5207,Urayasu D-Rocks,18/04/2026,13:05,21,7,33,15,0,0,512,Showa Denko Dome Oita,-1,,15,2026,11,11,Left Wing,0,,0,,1001491,Katsuki Furuse,1001807,Teruki Inanishi,1001506,Shinji Iida,1001626,Tomohiro Koyama,421,Japan Rugby League One D1,N,L,0,,0,,
8,948833,20669,Jesse Kriel,5200,Yokohama Canon Eagles,7.20,7.20,9,1,80,60,0,0,2,Tackle,142,Chase,153,Complete,441,Assist,474,Neutral Tackle,709,2nd Tackler,713,Legs,0,,0,,0,,0,,0,0,0,0,2026-04-18T04:05:44Z,1,1,1,0,0,5200,Yokohama Canon Eagles,5207,Urayasu D-Rocks,18/04/2026,13:05,21,7,33,15,0,0,512,Showa Denko Dome Oita,-1,,15,2026,13,13,Outside Centre,0,,0,,1001491,Katsuki Furuse,1001807,Teruki Inanishi,1001506,Shinji Iida,1001626,Tomohiro Koyama,421,Japan Rugby League One D1,Y,W,26334,Kai Ishii,5207,Urayasu D-Rocks,4
9,948833,26334,Kai Ishii,5207,Urayasu D-Rocks,7.92,12.08,9,1,21,9,0,0,23,Ruck,0,,401,Won Outright,551,N/A Gainline,556,4-5 Seconds,664,Close Right Open Movement Ruck,0,,0,,0,,0,,0,,0,0,2,9,2026-04-18T04:05:44Z,1,1,1,0,0,5200,Yokohama Canon Eagles,5207,Urayasu D-Rocks,18/04/2026,13:05,21,7,33,15,0,0,512,Showa Denko Dome Oita,-1,,15,2026,11,11,Left Wing,0,,0,,1001491,Katsuki Furuse,1001807,Teruki Inanishi,1001506,Shinji Iida,1001626,Tomohiro Koyama,421,Japan Rugby League One D1,N,L,32417,Norifumi Hashimoto,5207,Urayasu D-Rocks,14
