ID,FXID,PLID,playerName,team_id,teamName,ps_timestamp,ps_endstamp,MatchTime,period,x_coord,y_coord,x_coord_end,y_coord_end,action,actionName,ActionType,ActionTypeName,Actionresult,ActionResultName,qualifier3,qualifier3Name,qualifier4,qualifier4Name,qualifier5,qualifier5Name,qualifier6,qualifier6Name,qualifier7,qualifier7Name,qualifier8,qualifier8Name,qualifier9,qualifier9Name,qualifier10,qualifier10Name,Metres,Metres2,Metres3,Metres4,UTCTime,PlayNum,SetNum,sequence_id,player_advantage,score_advantage,homeTeamID,homeTeamName,awayTeamID,awayTeamName,datePlayed,kickofftime,hometeamHTscore,awayteamHTscore,hometeamFTscore,awayteamFTscore,hometeamCurrentScore,awayteamCurrentScore,venueID,venueName,cityID,cityName,roundNumber,season,playerShirtNumber,playerpositionID,playerpositionName,homecoachID,homecoachName,awaycoachID,awaycoachName,refereeID,refereeName,assistantreferee1ID,assistantreferee1Name,assistantreferee2ID,assistantreferee2Name,videoReferee1ID,videoreferee1Name,competitionID,competitionName,isHome,result,assoc_player,assoc_playerName,assoc_playerTeam,assoc_playerTeamName,assoc_event_id
0,948835,5209,,5209,Tokyo Sungoliath,0.00,4.44,1,1,50,36,0,0,17,,407,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-04-18T05:05:27Z,0,0,0,0,0,5209,Tokyo Sungoliath,5204,Kubota Spears,18/04/2026,14:05,19,12,22,27,0,0,492,EGAO Kenko Stadium,-1,,15,2026,,,,0,,0,,1001473,Takehito Namekawa,1001993,Yusaku Murata,1002109,Taiga Hirose,1000818,Tasuku Kawahara,421,Japan Rugby League One D1,Y,L,0,,0,,
1,948835,58028,Atsushi Oshikawa,5204,Kubota Spears,0.00,4.44,1,1,50,36,96,55,14,Restart,281,50m Restart,286,Restart Opp Collection,288,Long,753,Kicked Right,795,Kick Receipt Not Contested,0,,0,,0,,0,,0,,46,50,20,0,2026-04-18T05:05:27Z,1,0,1,0,0,5209,Tokyo Sungoliath,5204,Kubota Spears,18/04/2026,14:05,19,12,22,27,0,0,492,EGAO Kenko Stadium,-1,,15,2026,10,10,Fly Half,0,,0,,1001473,Takehito Namekawa,1001993,Yusaku Murata,1002109,Taiga Hirose,1000818,Tasuku Kawahara,421,Japan Rugby League One D1,N,W,0,,0,,
2,948835,30784,Kaleb Trask,5209,Tokyo Sungoliath,4.44,4.44,5,1,4,13,0,0,18,Collection,275,Restart Catch,277,Success,797,Kick Receipt Not Contested,1092,Non-Kicking Team,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-04-18T05:05:31Z,1,1,1,0,0,5209,Tokyo Sungoliath,5204,Kubota Spears,18/04/2026,14:05,19,12,22,27,0,0,492,EGAO Kenko Stadium,-1,,15,2026,10,10,Fly Half,0,,0,,1001473,Takehito Namekawa,1001993,Yusaku Murata,1002109,Taiga Hirose,1000818,Tasuku Kawahara,421,Japan Rugby League One D1,Y,L,0,,0,,
3,948835,0,,5209,Tokyo Sungoliath,4.44,4.44,5,1,4,13,0,0,45,Defensive Exits,630,Kicked out of 22,0,,0,,0,,0,,0,,0,,0,,0,,0,,52,0,0,0,2026-04-18T05:05:31Z,1,1,1,0,0,5209,Tokyo Sungoliath,5204,Kubota Spears,18/04/2026,14:05,19,12,22,27,0,0,492,EGAO Kenko Stadium,-1,,15,2026,,,,0,,0,,1001473,Takehito Namekawa,1001993,Yusaku Murata,1002109,Taiga Hirose,1000818,Tasuku Kawahara,421,Japan Rugby League One D1,Y,L,0,,0,,
4,948835,30784,Kaleb Trask,5209,Tokyo Sungoliath,5.56,9.16,6,1,6,13,56,3,4,Kick,190,Territorial,198,Caught Full,186,Kick in Play (Own 22),0,,795,Kick Receipt Not Contested,0,,0,,0,,0,,0,,50,51,0,0,2026-04-18T05:05:33Z,1,1,1,0,0,5209,Tokyo Sungoliath,5204,Kubota Spears,18/04/2026,14:05,19,12,22,27,0,0,492,EGAO Kenko Stadium,-1,,15,2026,10,10,Fly Half,0,,0,,1001473,Takehito Namekawa,1001993,Yusaku Murata,1002109,Taiga Hirose,1000818,Tasuku Kawahara,421,Japan Rugby League One D1,Y,L,0,,0,,
5,948835,0,,5209,Tokyo Sungoliath,4.44,9.16,10,1,4,13,56,3,15,Possession,307,50m Restart,351,Kick in Play,0,,684,Fails to enter into Opposition 22,0,,0,,0,,0,,0,,0,,52,0,0,0,2026-04-18T05:05:31Z,1,1,1,0,0,5209,Tokyo Sungoliath,5204,Kubota Spears,18/04/2026,14:05,19,12,22,27,0,0,492,EGAO Kenko Stadium,-1,,15,2026,,,,0,,0,,1001473,Takehito Namekawa,1001993,Yusaku Murata,1002109,Taiga Hirose,1000818,Tasuku Kawahara,421,Japan Rugby League One D1,Y,L,0,,0,,
6,948835,23599,Shaun Stevenson,5204,Kubota Spears,9.16,9.16,10,1,44,65,0,0,18,Collection,273,Defensive Catch,277,Success,797,Kick Receipt Not Contested,1092,Non-Kicking Team,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-04-18T05:05:36Z,1,2,1,0,0,5209,Tokyo Sungoliath,5204,Kubota Spears,18/04/2026,14:05,19,12,22,27,0,0,492,EGAO Kenko Stadium,-1,,15,2026,15,15,Full Back,0,,0,,1001473,Takehito Namekawa,1001993,Yusaku Murata,1002109,Taiga Hirose,1000818,Tasuku Kawahara,421,Japan Rugby League One D1,N,W,0,,0,,
7,948835,23599,Shaun Stevenson,5204,Kubota Spears,9.16,9.16,10,1,44,65,0,0,44,Counter Attack,626,Outcome - Turnover,0,,0,,0,,0,,0,,0,,0,,0,,0,,12,6,0,0,2026-04-18T05:05:36Z,1,2,1,0,0,5209,Tokyo Sungoliath,5204,Kubota Spears,18/04/2026,14:05,19,12,22,27,0,0,492,EGAO Kenko Stadium,-1,,15,2026,15,15,Full Back,0,,0,,1001473,Takehito Namekawa,1001993,Yusaku Murata,1002109,Taiga Hirose,1000818,Tasuku Kawahara,421,Japan Rugby League One D1,N,W,0,,0,,
8,948835,23599,Shaun Stevenson,5204,Kubota Spears,9.40,11.80,10,1,46,64,43,49,3,Pass,169,Complete,0,,680,Long Pass,681,Left Pass,700,0th Receiver,0,,0,,0,,0,,0,,16,16,3,0,2026-04-18T05:05:36Z,1,2,1,0,0,5209,Tokyo Sungoliath,5204,Kubota Spears,18/04/2026,14:05,19,12,22,27,0,0,492,EGAO Kenko Stadium,-1,,15,2026,15,15,Full Back,0,,0,,1001473,Takehito Namekawa,1001993,Yusaku Murata,1002109,Taiga Hirose,1000818,Tasuku Kawahara,421,Japan Rugby League One D1,N,W,58028,Atsushi Oshikawa,5204,Kubota Spears,9
9,948835,58028,Atsushi Oshikawa,5204,Kubota Spears,11.80,11.80,12,1,43,49,0,0,18,Collection,631,General Catch,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-04-18T05:05:39Z,1,2,1,0,0,5209,Tokyo Sungoliath,5204,Kubota Spears,18/04/2026,14:05,19,12,22,27,0,0,492,EGAO Kenko Stadium,-1,,15,2026,10,10,Fly Half,0,,0,,1001473,Takehito Namekawa,1001993,Yusaku Murata,1002109,Taiga Hirose,1000818,Tasuku Kawahara,421,Japan Rugby League One D1,N,W,0,,0,,
10,948835,58028,Atsushi Oshikawa,5204,Kubota Spears,11.84,15.12,12,1,46,47,44,32,3,Pass,169,Complete,0,,680,Long Pass,681,Left Pass,701,1st Receiver,0,,0,,0,,0,,0,,15,16,2,0,2026-04-18T05:05:39Z,1,2,1,0,0,5209,Tokyo Sungoliath,5204,Kubota Spears,18/04/2026,14:05,19,12,22,27,0,0,492,EGAO Kenko Stadium,-1,,15,2026,10,10,Fly Half,0,,0,,1001473,Takehito Namekawa,1001993,Yusaku Murata,1002109,Taiga Hirose,1000818,Tasuku Kawahara,421,Japan Rugby League One D1,N,W,34476,Haruto Kida,5204,Kubota Spears,11
11,948835,34476,Haruto Kida,5204,Kubota Spears,15.12,15.12,16,1,44,32,0,0,18,Collection,631,General Catch,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-04-18T05:05:42Z,1,2,1,0,0,5209,Tokyo Sungoliath,5204,Kubota Spears,18/04/2026,14:05,19,12,22,27,0,0,492,EGAO Kenko Stadium,-1,,15,2026,11,11,Left Wing,0,,0,,1001473,Takehito Namekawa,1001993,Yusaku Murata,1002109,Taiga Hirose,1000818,Tasuku Kawahara,421,Japan Rugby League One D1,N,W,0,,0,,
12,948835,34476,Haruto Kida,5204,Kubota Spears,15.12,16.32,16,1,44,32,56,28,1,Carry,104,Kick Return,108,Tackled Neutral,109,Crossed Gain line,461,Neutral Contact,502,2 Tacklers Committed,702,2nd Receiver,0,,0,,0,,0,,9,11,3,3,2026-04-18T05:05:42Z,1,2,1,0,0,5209,Tokyo Sungoliath,5204,Kubota Spears,18/04/2026,14:05,19,12,22,27,0,0,492,EGAO Kenko Stadium,-1,,15,2026,11,11,Left Wing,0,,0,,1001473,Takehito Namekawa,1001993,Yusaku Murata,1002109,Taiga Hirose,1000818,Tasuku Kawahara,421,Japan Rugby League One D1,N,W,24957,Harry Hockings,5209,Tokyo Sungoliath,13
13,948835,24957,Harry Hockings,5209,Tokyo Sungoliath,15.84,15.84,16,1,48,39,0,0,2,Tackle,142,Chase,153,Complete,0,,474,Neutral Tackle,708,1st Tackler,715,Upper Torso,0,,0,,0,,0,,0,0,0,0,2026-04-18T05:05:42Z,1,2,1,0,0,5209,Tokyo Sungoliath,5204,Kubota Spears,18/04/2026,14:05,19,12,22,27,0,0,492,EGAO Kenko Stadium,-1,,15,2026,05,5,Lock (5),0,,0,,1001473,Takehito Namekawa,1001993,Yusaku Murata,1002109,Taiga Hirose,1000818,Tasuku Kawahara,421,Japan Rugby League One D1,Y,L,34476,Haruto Kida,5204,Kubota Spears,12
