ID,FXID,PLID,playerName,team_id,teamName,ps_timestamp,ps_endstamp,MatchTime,period,x_coord,y_coord,x_coord_end,y_coord_end,action,actionName,ActionType,ActionTypeName,Actionresult,ActionResultName,qualifier3,qualifier3Name,qualifier4,qualifier4Name,qualifier5,qualifier5Name,qualifier6,qualifier6Name,qualifier7,qualifier7Name,qualifier8,qualifier8Name,qualifier9,qualifier9Name,qualifier10,qualifier10Name,Metres,Metres2,Metres3,Metres4,UTCTime,PlayNum,SetNum,sequence_id,player_advantage,score_advantage,homeTeamID,homeTeamName,awayTeamID,awayTeamName,datePlayed,kickofftime,hometeamHTscore,awayteamHTscore,hometeamFTscore,awayteamFTscore,hometeamCurrentScore,awayteamCurrentScore,venueID,venueName,cityID,cityName,roundNumber,season,playerShirtNumber,playerpositionID,playerpositionName,homecoachID,homecoachName,awaycoachID,awaycoachName,refereeID,refereeName,assistantreferee1ID,assistantreferee1Name,assistantreferee2ID,assistantreferee2Name,videoReferee1ID,videoreferee1Name,competitionID,competitionName,isHome,result,assoc_player,assoc_playerName,assoc_playerTeam,assoc_playerTeamName,assoc_event_id
0,948838,19567,,19567,Saitama Wild Knights,0.00,3.72,1,1,50,34,0,0,17,,407,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-04-25T05:31:27Z,0,0,0,0,0,19567,Saitama Wild Knights,594,Mitsubishi Sagamihara Dynaboars,25/04/2026,14:30,26,7,57,19,0,0,505,Kumagaya Rugby Stadium,-1,,16,2026,,,,0,,0,,1001505,Tetsuya Hirakawa,1001683,Masaki Kondo,1002085,Meitetsu Shimizu,1000758,Minoru Fuji,421,Japan Rugby League One D1,Y,W,0,,0,,
1,948838,26760,Takuya Yamasawa,19567,Saitama Wild Knights,0.00,3.72,1,1,50,34,80,5,14,Restart,281,50m Restart,286,Restart Opp Collection,288,Long,752,Kicked Left,795,Kick Receipt Not Contested,0,,0,,0,,0,,0,,30,42,30,0,2026-04-25T05:31:27Z,1,0,1,0,0,19567,Saitama Wild Knights,594,Mitsubishi Sagamihara Dynaboars,25/04/2026,14:30,26,7,57,19,0,0,505,Kumagaya Rugby Stadium,-1,,16,2026,10,10,Fly Half,0,,0,,1001505,Tetsuya Hirakawa,1001683,Masaki Kondo,1002085,Meitetsu Shimizu,1000758,Minoru Fuji,421,Japan Rugby League One D1,Y,W,0,,0,,
2,948838,66234,Naco Joape,594,Mitsubishi Sagamihara Dynaboars,3.72,3.72,4,1,20,63,0,0,18,Collection,275,Restart Catch,277,Success,797,Kick Receipt Not Contested,1092,Non-Kicking Team,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-04-25T05:31:30Z,1,1,1,0,0,19567,Saitama Wild Knights,594,Mitsubishi Sagamihara Dynaboars,25/04/2026,14:30,26,7,57,19,0,0,505,Kumagaya Rugby Stadium,-1,,16,2026,14,14,Right Wing,0,,0,,1001505,Tetsuya Hirakawa,1001683,Masaki Kondo,1002085,Meitetsu Shimizu,1000758,Minoru Fuji,421,Japan Rugby League One D1,N,L,0,,0,,
3,948838,0,,594,Mitsubishi Sagamihara Dynaboars,3.72,3.72,4,1,20,63,0,0,45,Defensive Exits,630,Kicked out of 22,0,,0,,0,,0,,0,,0,,0,,0,,0,,20,0,0,0,2026-04-25T05:31:30Z,1,1,1,0,0,19567,Saitama Wild Knights,594,Mitsubishi Sagamihara Dynaboars,25/04/2026,14:30,26,7,57,19,0,0,505,Kumagaya Rugby Stadium,-1,,16,2026,,,,0,,0,,1001505,Tetsuya Hirakawa,1001683,Masaki Kondo,1002085,Meitetsu Shimizu,1000758,Minoru Fuji,421,Japan Rugby League One D1,N,L,0,,0,,
4,948838,66234,Naco Joape,594,Mitsubishi Sagamihara Dynaboars,3.72,6.80,4,1,20,63,22,66,1,Carry,105,Restart Return,108,Tackled Neutral,109,Crossed Gain line,461,Neutral Contact,502,2 Tacklers Committed,700,0th Receiver,0,,0,,0,,0,,2,2,2,1,2026-04-25T05:31:30Z,1,1,1,0,0,19567,Saitama Wild Knights,594,Mitsubishi Sagamihara Dynaboars,25/04/2026,14:30,26,7,57,19,0,0,505,Kumagaya Rugby Stadium,-1,,16,2026,14,14,Right Wing,0,,0,,1001505,Tetsuya Hirakawa,1001683,Masaki Kondo,1002085,Meitetsu Shimizu,1000758,Minoru Fuji,421,Japan Rugby League One D1,N,L,27083,Marika Koroibete,19567,Saitama Wild Knights,8
5,948838,54263,Maurice Marks,19567,Saitama Wild Knights,4.28,4.28,5,1,80,3,0,0,2,Tackle,142,Chase,161,Missed,0,,475,Ineffective Tackle,708,1st Tackler,714,Lower Torso,0,,0,,0,,0,,0,0,0,0,2026-04-25T05:31:32Z,1,1,1,0,0,19567,Saitama Wild Knights,594,Mitsubishi Sagamihara Dynaboars,25/04/2026,14:30,26,7,57,19,0,0,505,Kumagaya Rugby Stadium,-1,,16,2026,13,13,Outside Centre,0,,0,,1001505,Tetsuya Hirakawa,1001683,Masaki Kondo,1002085,Meitetsu Shimizu,1000758,Minoru Fuji,421,Japan Rugby League One D1,Y,W,66234,Naco Joape,594,Mitsubishi Sagamihara Dynaboars,4
6,948838,54263,Maurice Marks,19567,Saitama Wild Knights,4.28,4.28,5,1,80,3,0,0,12,Missed Tackle,162,Bumped Off,166,Tackled,0,,0,,0,,714,Lower Torso,0,,0,,0,,0,,0,0,0,0,2026-04-25T05:31:32Z,1,1,1,0,0,19567,Saitama Wild Knights,594,Mitsubishi Sagamihara Dynaboars,25/04/2026,14:30,26,7,57,19,0,0,505,Kumagaya Rugby Stadium,-1,,16,2026,13,13,Outside Centre,0,,0,,1001505,Tetsuya Hirakawa,1001683,Masaki Kondo,1002085,Meitetsu Shimizu,1000758,Minoru Fuji,421,Japan Rugby League One D1,Y,W,66234,Naco Joape,594,Mitsubishi Sagamihara Dynaboars,4
7,948838,66234,Naco Joape,594,Mitsubishi Sagamihara Dynaboars,4.36,4.36,5,1,20,65,0,0,10,Attacking Qualities,116,Defender Beaten,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-04-25T05:31:32Z,1,1,1,0,0,19567,Saitama Wild Knights,594,Mitsubishi Sagamihara Dynaboars,25/04/2026,14:30,26,7,57,19,0,0,505,Kumagaya Rugby Stadium,-1,,16,2026,14,14,Right Wing,0,,0,,1001505,Tetsuya Hirakawa,1001683,Masaki Kondo,1002085,Meitetsu Shimizu,1000758,Minoru Fuji,421,Japan Rugby League One D1,N,L,0,,0,,
8,948838,27083,Marika Koroibete,19567,Saitama Wild Knights,4.96,4.96,6,1,79,2,0,0,2,Tackle,142,Chase,153,Complete,441,Assist,474,Neutral Tackle,709,2nd Tackler,715,Upper Torso,0,,0,,0,,0,,0,0,0,0,2026-04-25T05:31:31Z,1,1,1,0,0,19567,Saitama Wild Knights,594,Mitsubishi Sagamihara Dynaboars,25/04/2026,14:30,26,7,57,19,0,0,505,Kumagaya Rugby Stadium,-1,,16,2026,11,11,Left Wing,0,,0,,1001505,Tetsuya Hirakawa,1001683,Masaki Kondo,1002085,Meitetsu Shimizu,1000758,Minoru Fuji,421,Japan Rugby League One D1,Y,W,66234,Naco Joape,594,Mitsubishi Sagamihara Dynaboars,4
9,948838,66234,Naco Joape,594,Mitsubishi Sagamihara Dynaboars,6.80,11.56,8,1,22,66,0,0,23,Ruck,0,,401,Won Outright,551,N/A Gainline,556,4-5 Seconds,663,Close Left Open Movement Ruck,0,,0,,0,,0,,0,,0,0,-3,6,2026-04-25T05:31:33Z,1,1,1,0,0,19567,Saitama Wild Knights,594,Mitsubishi Sagamihara Dynaboars,25/04/2026,14:30,26,7,57,19,0,0,505,Kumagaya Rugby Stadium,-1,,16,2026,14,14,Right Wing,0,,0,,1001505,Tetsuya Hirakawa,1001683,Masaki Kondo,1002085,Meitetsu Shimizu,1000758,Minoru Fuji,421,Japan Rugby League One D1,N,L,18813,Brad Weber,594,Mitsubishi Sagamihara Dynaboars,14
