ID,FXID,PLID,playerName,team_id,teamName,ps_timestamp,ps_endstamp,MatchTime,period,x_coord,y_coord,x_coord_end,y_coord_end,action,actionName,ActionType,ActionTypeName,Actionresult,ActionResultName,qualifier3,qualifier3Name,qualifier4,qualifier4Name,qualifier5,qualifier5Name,qualifier6,qualifier6Name,qualifier7,qualifier7Name,qualifier8,qualifier8Name,qualifier9,qualifier9Name,qualifier10,qualifier10Name,Metres,Metres2,Metres3,Metres4,UTCTime,PlayNum,SetNum,sequence_id,player_advantage,score_advantage,homeTeamID,homeTeamName,awayTeamID,awayTeamName,datePlayed,kickofftime,hometeamHTscore,awayteamHTscore,hometeamFTscore,awayteamFTscore,hometeamCurrentScore,awayteamCurrentScore,venueID,venueName,cityID,cityName,roundNumber,season,playerShirtNumber,playerpositionID,playerpositionName,homecoachID,homecoachName,awaycoachID,awaycoachName,refereeID,refereeName,assistantreferee1ID,assistantreferee1Name,assistantreferee2ID,assistantreferee2Name,videoReferee1ID,videoreferee1Name,competitionID,competitionName,isHome,result,assoc_player,assoc_playerName,assoc_playerTeam,assoc_playerTeamName,assoc_event_id
0,948841,5203,,5203,Kobelco Kobe Steelers,0.00,2.80,1,1,50,34,0,0,17,,407,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-04-25T05:30:31Z,0,0,0,0,0,5203,Kobelco Kobe Steelers,5209,Tokyo Sungoliath,25/04/2026,14:30,28,14,49,28,0,0,491,Kobe Universiade,-1,,16,2026,,,,0,,0,,1001491,Katsuki Furuse,1001993,Yusaku Murata,1001506,Shinji Iida,1000999,Yosuke Kimura,421,Japan Rugby League One D1,Y,W,0,,0,,
1,948841,37841,Seungsin Lee,5203,Kobelco Kobe Steelers,0.00,2.80,1,1,50,34,84,40,14,Restart,281,50m Restart,286,Restart Opp Collection,288,Long,753,Kicked Right,795,Kick Receipt Not Contested,0,,0,,0,,0,,0,,35,35,7,0,2026-04-25T05:30:31Z,1,0,1,0,0,5203,Kobelco Kobe Steelers,5209,Tokyo Sungoliath,25/04/2026,14:30,28,14,49,28,0,0,491,Kobe Universiade,-1,,16,2026,10,10,Fly Half,0,,0,,1001491,Katsuki Furuse,1001993,Yusaku Murata,1001506,Shinji Iida,1000999,Yosuke Kimura,421,Japan Rugby League One D1,Y,W,0,,0,,
2,948841,20584,Cheslin Kolbe,5209,Tokyo Sungoliath,2.80,2.80,3,1,16,28,0,0,18,Collection,275,Restart Catch,277,Success,797,Kick Receipt Not Contested,1092,Non-Kicking Team,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-04-25T05:30:34Z,1,1,1,0,0,5203,Kobelco Kobe Steelers,5209,Tokyo Sungoliath,25/04/2026,14:30,28,14,49,28,0,0,491,Kobe Universiade,-1,,16,2026,15,15,Full Back,0,,0,,1001491,Katsuki Furuse,1001993,Yusaku Murata,1001506,Shinji Iida,1000999,Yosuke Kimura,421,Japan Rugby League One D1,N,L,0,,0,,
3,948841,0,,5209,Tokyo Sungoliath,2.80,2.80,3,1,16,28,0,0,45,Defensive Exits,630,Kicked out of 22,0,,0,,0,,0,,0,,0,,0,,0,,0,,45,0,0,0,2026-04-25T05:30:34Z,1,1,1,0,0,5203,Kobelco Kobe Steelers,5209,Tokyo Sungoliath,25/04/2026,14:30,28,14,49,28,0,0,491,Kobe Universiade,-1,,16,2026,,,,0,,0,,1001491,Katsuki Furuse,1001993,Yusaku Murata,1001506,Shinji Iida,1000999,Yosuke Kimura,421,Japan Rugby League One D1,N,L,0,,0,,
4,948841,20584,Cheslin Kolbe,5209,Tokyo Sungoliath,2.80,5.12,3,1,16,28,17,29,1,Carry,105,Restart Return,108,Tackled Neutral,109,Crossed Gain line,461,Neutral Contact,502,2 Tacklers Committed,700,0th Receiver,0,,0,,0,,0,,2,2,0,0,2026-04-25T05:30:34Z,1,1,1,0,0,5203,Kobelco Kobe Steelers,5209,Tokyo Sungoliath,25/04/2026,14:30,28,14,49,28,0,0,491,Kobe Universiade,-1,,16,2026,15,15,Full Back,0,,0,,1001491,Katsuki Furuse,1001993,Yusaku Murata,1001506,Shinji Iida,1000999,Yosuke Kimura,421,Japan Rugby League One D1,N,L,58103,Inoke Burua,5203,Kobelco Kobe Steelers,5
5,948841,58103,Inoke Burua,5203,Kobelco Kobe Steelers,4.16,4.16,5,1,83,39,0,0,2,Tackle,142,Chase,153,Complete,0,,474,Neutral Tackle,708,1st Tackler,715,Upper Torso,0,,0,,0,,0,,0,0,0,0,2026-04-25T05:30:36Z,1,1,1,0,0,5203,Kobelco Kobe Steelers,5209,Tokyo Sungoliath,25/04/2026,14:30,28,14,49,28,0,0,491,Kobe Universiade,-1,,16,2026,11,11,Left Wing,0,,0,,1001491,Katsuki Furuse,1001993,Yusaku Murata,1001506,Shinji Iida,1000999,Yosuke Kimura,421,Japan Rugby League One D1,Y,W,20584,Cheslin Kolbe,5209,Tokyo Sungoliath,4
6,948841,20064,Ardie Savea,5203,Kobelco Kobe Steelers,4.88,4.88,6,1,83,39,0,0,2,Tackle,142,Chase,153,Complete,441,Assist,474,Neutral Tackle,709,2nd Tackler,715,Upper Torso,0,,0,,0,,0,,0,0,0,0,2026-04-25T05:30:37Z,1,1,1,0,0,5203,Kobelco Kobe Steelers,5209,Tokyo Sungoliath,25/04/2026,14:30,28,14,49,28,0,0,491,Kobe Universiade,-1,,16,2026,07,7,Openside Flanker,0,,0,,1001491,Katsuki Furuse,1001993,Yusaku Murata,1001506,Shinji Iida,1000999,Yosuke Kimura,421,Japan Rugby League One D1,Y,W,20584,Cheslin Kolbe,5209,Tokyo Sungoliath,4
7,948841,20584,Cheslin Kolbe,5209,Tokyo Sungoliath,5.12,8.64,6,1,17,29,0,0,23,Ruck,0,,401,Won Outright,551,N/A Gainline,555,3-4 Seconds,662,Mid Right Open Movement Ruck,0,,0,,0,,0,,0,,0,0,2,14,2026-04-25T05:30:39Z,1,1,1,0,0,5203,Kobelco Kobe Steelers,5209,Tokyo Sungoliath,25/04/2026,14:30,28,14,49,28,0,0,491,Kobe Universiade,-1,,16,2026,15,15,Full Back,0,,0,,1001491,Katsuki Furuse,1001993,Yusaku Murata,1001506,Shinji Iida,1000999,Yosuke Kimura,421,Japan Rugby League One D1,N,L,26492,Yutaka Nagare,5209,Tokyo Sungoliath,14
8,948841,58103,Inoke Burua,5203,Kobelco Kobe Steelers,5.28,5.28,6,1,83,39,0,0,43,Ruck OOA,800,Other Defensive Arrival,583,Own Team 1st Entry,603,OOA Entry 1st Entry- Def,633,Defensive OOA,802,Counter Ruck Attempt,0,1,0,,0,,0,,0,,0,0,0,0,2026-04-25T05:30:36Z,1,1,1,0,0,5203,Kobelco Kobe Steelers,5209,Tokyo Sungoliath,25/04/2026,14:30,28,14,49,28,0,0,491,Kobe Universiade,-1,,16,2026,11,11,Left Wing,0,,0,,1001491,Katsuki Furuse,1001993,Yusaku Murata,1001506,Shinji Iida,1000999,Yosuke Kimura,421,Japan Rugby League One D1,Y,W,0,,0,,
9,948841,20064,Ardie Savea,5203,Kobelco Kobe Steelers,5.32,5.32,6,1,83,39,0,0,43,Ruck OOA,800,Other Defensive Arrival,584,Own Team 2nd Entry,604,OOA Entry 2nd Entry- Def,633,Defensive OOA,802,Counter Ruck Attempt,0,2,0,,0,,0,,0,,0,0,0,0,2026-04-25T05:30:36Z,1,1,1,0,0,5203,Kobelco Kobe Steelers,5209,Tokyo Sungoliath,25/04/2026,14:30,28,14,49,28,0,0,491,Kobe Universiade,-1,,16,2026,07,7,Openside Flanker,0,,0,,1001491,Katsuki Furuse,1001993,Yusaku Murata,1001506,Shinji Iida,1000999,Yosuke Kimura,421,Japan Rugby League One D1,Y,W,0,,0,,
