ID,FXID,PLID,playerName,team_id,teamName,ps_timestamp,ps_endstamp,MatchTime,period,x_coord,y_coord,x_coord_end,y_coord_end,action,actionName,ActionType,ActionTypeName,Actionresult,ActionResultName,qualifier3,qualifier3Name,qualifier4,qualifier4Name,qualifier5,qualifier5Name,qualifier6,qualifier6Name,qualifier7,qualifier7Name,qualifier8,qualifier8Name,qualifier9,qualifier9Name,qualifier10,qualifier10Name,Metres,Metres2,Metres3,Metres4,UTCTime,PlayNum,SetNum,sequence_id,player_advantage,score_advantage,homeTeamID,homeTeamName,awayTeamID,awayTeamName,datePlayed,kickofftime,hometeamHTscore,awayteamHTscore,hometeamFTscore,awayteamFTscore,hometeamCurrentScore,awayteamCurrentScore,venueID,venueName,cityID,cityName,roundNumber,season,playerShirtNumber,playerpositionID,playerpositionName,homecoachID,homecoachName,awaycoachID,awaycoachName,refereeID,refereeName,assistantreferee1ID,assistantreferee1Name,assistantreferee2ID,assistantreferee2Name,videoReferee1ID,videoreferee1Name,competitionID,competitionName,isHome,result,assoc_player,assoc_playerName,assoc_playerTeam,assoc_playerTeamName,assoc_event_id
0,948842,5204,,5204,Kubota Spears,0.00,3.60,0,1,50,34,0,0,17,,407,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-04-25T05:30:25Z,0,0,0,0,0,5204,Kubota Spears,5202,Mie Honda Heat,25/04/2026,14:30,20,7,54,21,0,0,729,Edogawa Stadium,-1,,16,2026,,,,0,,0,,1001490,Ibuki Tetsuka,1001810,Kohei Yoshino,1001100,Atsushi Yamamoto,1000818,Tasuku Kawahara,421,Japan Rugby League One D1,Y,W,0,,0,,
1,948842,58028,Atsushi Oshikawa,5204,Kubota Spears,0.00,3.60,0,1,50,34,75,1,14,Restart,281,50m Restart,286,Restart Opp Collection,289,Short,752,Kicked Left,795,Kick Receipt Not Contested,0,,0,,0,,0,,0,,26,42,33,0,2026-04-25T05:30:25Z,1,0,1,0,0,5204,Kubota Spears,5202,Mie Honda Heat,25/04/2026,14:30,20,7,54,21,0,0,729,Edogawa Stadium,-1,,16,2026,10,10,Fly Half,0,,0,,1001490,Ibuki Tetsuka,1001810,Kohei Yoshino,1001100,Atsushi Yamamoto,1000818,Tasuku Kawahara,421,Japan Rugby League One D1,Y,W,0,,0,,
2,948842,70096,Manu Akauola,5202,Mie Honda Heat,3.60,3.60,4,1,25,67,0,0,18,Collection,275,Restart Catch,277,Success,797,Kick Receipt Not Contested,1092,Non-Kicking Team,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-04-25T05:30:29Z,1,1,1,0,0,5204,Kubota Spears,5202,Mie Honda Heat,25/04/2026,14:30,20,7,54,21,0,0,729,Edogawa Stadium,-1,,16,2026,14,14,Right Wing,0,,0,,1001490,Ibuki Tetsuka,1001810,Kohei Yoshino,1001100,Atsushi Yamamoto,1000818,Tasuku Kawahara,421,Japan Rugby League One D1,N,L,0,,0,,
3,948842,70096,Manu Akauola,5202,Mie Honda Heat,3.60,4.68,4,1,25,67,23,66,1,Carry,105,Restart Return,122,Off Load,111,Failed Gain line,462,Ineffective Contact,501,1 Tacklers Committed,700,0th Receiver,0,,0,,0,,0,,0,0,0,0,2026-04-25T05:30:29Z,1,1,1,0,0,5204,Kubota Spears,5202,Mie Honda Heat,25/04/2026,14:30,20,7,54,21,0,0,729,Edogawa Stadium,-1,,16,2026,14,14,Right Wing,0,,0,,1001490,Ibuki Tetsuka,1001810,Kohei Yoshino,1001100,Atsushi Yamamoto,1000818,Tasuku Kawahara,421,Japan Rugby League One D1,N,L,34476,Haruto Kida,5204,Kubota Spears,4
4,948842,34476,Haruto Kida,5204,Kubota Spears,4.52,4.52,5,1,76,1,0,0,2,Tackle,142,Chase,155,Offload Allowed,0,,473,Dominant Tackle,708,1st Tackler,714,Lower Torso,0,,0,,0,,0,,0,0,0,0,2026-04-25T05:30:30Z,1,1,1,0,0,5204,Kubota Spears,5202,Mie Honda Heat,25/04/2026,14:30,20,7,54,21,0,0,729,Edogawa Stadium,-1,,16,2026,11,11,Left Wing,0,,0,,1001490,Ibuki Tetsuka,1001810,Kohei Yoshino,1001100,Atsushi Yamamoto,1000818,Tasuku Kawahara,421,Japan Rugby League One D1,Y,W,70096,Manu Akauola,5202,Mie Honda Heat,3
5,948842,70096,Manu Akauola,5202,Mie Honda Heat,4.68,5.72,5,1,23,66,20,63,3,Pass,151,Offload,128,Own Player,679,Short Pass,681,Left Pass,700,0th Receiver,0,,0,,0,,0,,0,,3,4,2,0,2026-04-25T05:30:30Z,1,1,1,0,0,5204,Kubota Spears,5202,Mie Honda Heat,25/04/2026,14:30,20,7,54,21,0,0,729,Edogawa Stadium,-1,,16,2026,14,14,Right Wing,0,,0,,1001490,Ibuki Tetsuka,1001810,Kohei Yoshino,1001100,Atsushi Yamamoto,1000818,Tasuku Kawahara,421,Japan Rugby League One D1,N,L,24193,Lomano Lemeki,5202,Mie Honda Heat,6
6,948842,24193,Lomano Lemeki,5202,Mie Honda Heat,5.72,5.72,6,1,20,63,0,0,18,Collection,631,General Catch,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-04-25T05:30:31Z,1,1,1,0,0,5204,Kubota Spears,5202,Mie Honda Heat,25/04/2026,14:30,20,7,54,21,0,0,729,Edogawa Stadium,-1,,16,2026,15,15,Full Back,0,,0,,1001490,Ibuki Tetsuka,1001810,Kohei Yoshino,1001100,Atsushi Yamamoto,1000818,Tasuku Kawahara,421,Japan Rugby League One D1,N,L,0,,0,,
7,948842,0,,5202,Mie Honda Heat,5.72,5.72,6,1,20,63,0,0,45,Defensive Exits,630,Kicked out of 22,0,,0,,0,,0,,0,,0,,0,,0,,0,,21,0,0,0,2026-04-25T05:30:31Z,1,1,1,0,0,5204,Kubota Spears,5202,Mie Honda Heat,25/04/2026,14:30,20,7,54,21,0,0,729,Edogawa Stadium,-1,,16,2026,,,,0,,0,,1001490,Ibuki Tetsuka,1001810,Kohei Yoshino,1001100,Atsushi Yamamoto,1000818,Tasuku Kawahara,421,Japan Rugby League One D1,N,L,0,,0,,
8,948842,24193,Lomano Lemeki,5202,Mie Honda Heat,5.72,9.60,6,1,20,63,24,66,1,Carry,106,Support Carry,107,Tackled Dominant,111,Failed Gain line,460,Dominant Contact,503,3 Tacklers Committed,701,1st Receiver,0,,0,,0,,0,,0,3,2,2,2026-04-25T05:30:31Z,1,1,1,0,0,5204,Kubota Spears,5202,Mie Honda Heat,25/04/2026,14:30,20,7,54,21,0,0,729,Edogawa Stadium,-1,,16,2026,15,15,Full Back,0,,0,,1001490,Ibuki Tetsuka,1001810,Kohei Yoshino,1001100,Atsushi Yamamoto,1000818,Tasuku Kawahara,421,Japan Rugby League One D1,N,L,61922,Yuya Hirose,5204,Kubota Spears,13
9,948842,60139,Akira Ieremia,5204,Kubota Spears,5.76,5.76,6,1,79,4,0,0,2,Tackle,142,Chase,161,Missed,0,,475,Ineffective Tackle,708,1st Tackler,714,Lower Torso,0,,0,,0,,0,,0,0,0,0,2026-04-25T05:30:31Z,1,1,1,0,0,5204,Kubota Spears,5202,Mie Honda Heat,25/04/2026,14:30,20,7,54,21,0,0,729,Edogawa Stadium,-1,,16,2026,04,4,Lock (4),0,,0,,1001490,Ibuki Tetsuka,1001810,Kohei Yoshino,1001100,Atsushi Yamamoto,1000818,Tasuku Kawahara,421,Japan Rugby League One D1,Y,W,24193,Lomano Lemeki,5202,Mie Honda Heat,8
