ID,FXID,PLID,playerName,team_id,teamName,ps_timestamp,ps_endstamp,MatchTime,period,x_coord,y_coord,x_coord_end,y_coord_end,action,actionName,ActionType,ActionTypeName,Actionresult,ActionResultName,qualifier3,qualifier3Name,qualifier4,qualifier4Name,qualifier5,qualifier5Name,qualifier6,qualifier6Name,qualifier7,qualifier7Name,qualifier8,qualifier8Name,qualifier9,qualifier9Name,qualifier10,qualifier10Name,Metres,Metres2,Metres3,Metres4,UTCTime,PlayNum,SetNum,sequence_id,player_advantage,score_advantage,homeTeamID,homeTeamName,awayTeamID,awayTeamName,datePlayed,kickofftime,hometeamHTscore,awayteamHTscore,hometeamFTscore,awayteamFTscore,hometeamCurrentScore,awayteamCurrentScore,venueID,venueName,cityID,cityName,roundNumber,season,playerShirtNumber,playerpositionID,playerpositionName,homecoachID,homecoachName,awaycoachID,awaycoachName,refereeID,refereeName,assistantreferee1ID,assistantreferee1Name,assistantreferee2ID,assistantreferee2Name,videoReferee1ID,videoreferee1Name,competitionID,competitionName,isHome,result,assoc_player,assoc_playerName,assoc_playerTeam,assoc_playerTeamName,assoc_event_id
0,948845,19702,,19702,Toshiba Brave Lupus Tokyo,0.00,3.68,1,1,49,34,0,0,17,,407,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-05-02T05:30:27Z,0,0,0,0,0,19702,Toshiba Brave Lupus Tokyo,5212,Shizuoka BlueRevs,02/05/2026,14:30,22,22,35,29,0,0,69,Prince Chichibu Memorial Stadium,-1,,17,2026,,,,0,,0,,1001500,Koki Yamauchi,1001993,Yusaku Murata,1001115,Kohei Osawa,1001507,Daiki Kako,421,Japan Rugby League One D1,Y,W,0,,0,,
1,948845,38476,Kakeru Okumura,5212,Shizuoka BlueRevs,0.00,3.68,1,1,49,34,89,54,14,Restart,281,50m Restart,286,Restart Opp Collection,288,Long,753,Kicked Right,795,Kick Receipt Not Contested,0,,0,,0,,0,,0,,40,45,21,0,2026-05-02T05:30:27Z,1,0,1,0,0,19702,Toshiba Brave Lupus Tokyo,5212,Shizuoka BlueRevs,02/05/2026,14:30,22,22,35,29,0,0,69,Prince Chichibu Memorial Stadium,-1,,17,2026,10,10,Fly Half,0,,0,,1001500,Koki Yamauchi,1001993,Yusaku Murata,1001115,Kohei Osawa,1001507,Daiki Kako,421,Japan Rugby League One D1,N,L,0,,0,,
2,948845,36536,Kohei Takahashi,19702,Toshiba Brave Lupus Tokyo,3.68,3.68,5,1,11,14,0,0,18,Collection,275,Restart Catch,277,Success,797,Kick Receipt Not Contested,1092,Non-Kicking Team,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-05-02T05:30:30Z,1,1,1,0,0,19702,Toshiba Brave Lupus Tokyo,5212,Shizuoka BlueRevs,02/05/2026,14:30,22,22,35,29,0,0,69,Prince Chichibu Memorial Stadium,-1,,17,2026,09,9,Scrum Half,0,,0,,1001500,Koki Yamauchi,1001993,Yusaku Murata,1001115,Kohei Osawa,1001507,Daiki Kako,421,Japan Rugby League One D1,Y,W,0,,0,,
3,948845,0,,19702,Toshiba Brave Lupus Tokyo,3.68,3.68,5,1,11,14,0,0,45,Defensive Exits,628,Failed Exit From 22,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-05-02T05:30:30Z,1,1,1,0,0,19702,Toshiba Brave Lupus Tokyo,5212,Shizuoka BlueRevs,02/05/2026,14:30,22,22,35,29,0,0,69,Prince Chichibu Memorial Stadium,-1,,17,2026,,,,0,,0,,1001500,Koki Yamauchi,1001993,Yusaku Murata,1001115,Kohei Osawa,1001507,Daiki Kako,421,Japan Rugby League One D1,Y,W,0,,0,,
4,948845,36536,Kohei Takahashi,19702,Toshiba Brave Lupus Tokyo,4.32,6.56,6,1,13,14,11,19,3,Pass,169,Complete,0,,686,Medium Pass,682,Right Pass,700,0th Receiver,0,,0,,0,,0,,0,,5,5,1,0,2026-05-02T05:30:31Z,1,1,1,0,0,19702,Toshiba Brave Lupus Tokyo,5212,Shizuoka BlueRevs,02/05/2026,14:30,22,22,35,29,0,0,69,Prince Chichibu Memorial Stadium,-1,,17,2026,09,9,Scrum Half,0,,0,,1001500,Koki Yamauchi,1001993,Yusaku Murata,1001115,Kohei Osawa,1001507,Daiki Kako,421,Japan Rugby League One D1,Y,W,11306,Michael Leitch,19702,Toshiba Brave Lupus Tokyo,5
5,948845,11306,Michael Leitch,19702,Toshiba Brave Lupus Tokyo,6.56,6.56,8,1,11,19,0,0,18,Collection,631,General Catch,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-05-02T05:30:33Z,1,1,1,0,0,19702,Toshiba Brave Lupus Tokyo,5212,Shizuoka BlueRevs,02/05/2026,14:30,22,22,35,29,0,0,69,Prince Chichibu Memorial Stadium,-1,,17,2026,08,8,Number 8,0,,0,,1001500,Koki Yamauchi,1001993,Yusaku Murata,1001115,Kohei Osawa,1001507,Daiki Kako,421,Japan Rugby League One D1,Y,W,0,,0,,
6,948845,11306,Michael Leitch,19702,Toshiba Brave Lupus Tokyo,6.56,7.24,8,1,11,19,16,17,1,Carry,105,Restart Return,108,Tackled Neutral,109,Crossed Gain line,461,Neutral Contact,502,2 Tacklers Committed,701,1st Receiver,0,,0,,0,,0,,3,4,1,1,2026-05-02T05:30:33Z,1,1,1,0,0,19702,Toshiba Brave Lupus Tokyo,5212,Shizuoka BlueRevs,02/05/2026,14:30,22,22,35,29,0,0,69,Prince Chichibu Memorial Stadium,-1,,17,2026,08,8,Number 8,0,,0,,1001500,Koki Yamauchi,1001993,Yusaku Murata,1001115,Kohei Osawa,1001507,Daiki Kako,421,Japan Rugby League One D1,Y,W,26310,Takeshi Hino,5212,Shizuoka BlueRevs,7
7,948845,26310,Takeshi Hino,5212,Shizuoka BlueRevs,6.64,6.64,8,1,85,51,0,0,2,Tackle,142,Chase,153,Complete,0,,474,Neutral Tackle,708,1st Tackler,713,Legs,0,,0,,0,,0,,0,0,0,0,2026-05-02T05:30:33Z,1,1,1,0,0,19702,Toshiba Brave Lupus Tokyo,5212,Shizuoka BlueRevs,02/05/2026,14:30,22,22,35,29,0,0,69,Prince Chichibu Memorial Stadium,-1,,17,2026,02,2,Hooker,0,,0,,1001500,Koki Yamauchi,1001993,Yusaku Murata,1001115,Kohei Osawa,1001507,Daiki Kako,421,Japan Rugby League One D1,N,L,11306,Michael Leitch,19702,Toshiba Brave Lupus Tokyo,6
8,948845,58068,Futo Yamaguchi,5212,Shizuoka BlueRevs,7.04,7.04,8,1,85,51,0,0,2,Tackle,142,Chase,153,Complete,441,Assist,474,Neutral Tackle,709,2nd Tackler,714,Lower Torso,0,,0,,0,,0,,0,0,0,0,2026-05-02T05:30:34Z,1,1,1,0,0,19702,Toshiba Brave Lupus Tokyo,5212,Shizuoka BlueRevs,02/05/2026,14:30,22,22,35,29,0,0,69,Prince Chichibu Memorial Stadium,-1,,17,2026,14,14,Right Wing,0,,0,,1001500,Koki Yamauchi,1001993,Yusaku Murata,1001115,Kohei Osawa,1001507,Daiki Kako,421,Japan Rugby League One D1,N,L,11306,Michael Leitch,19702,Toshiba Brave Lupus Tokyo,6
9,948845,11306,Michael Leitch,19702,Toshiba Brave Lupus Tokyo,7.24,12.36,9,1,16,17,0,0,23,Ruck,0,,401,Won Outright,551,N/A Gainline,557,5-6 Seconds,664,Close Right Open Movement Ruck,0,,0,,0,,0,,0,,0,0,-9,6,2026-05-02T05:30:34Z,1,1,1,0,0,19702,Toshiba Brave Lupus Tokyo,5212,Shizuoka BlueRevs,02/05/2026,14:30,22,22,35,29,0,0,69,Prince Chichibu Memorial Stadium,-1,,17,2026,08,8,Number 8,0,,0,,1001500,Koki Yamauchi,1001993,Yusaku Murata,1001115,Kohei Osawa,1001507,Daiki Kako,421,Japan Rugby League One D1,Y,W,36536,Kohei Takahashi,19702,Toshiba Brave Lupus Tokyo,13
