ID,FXID,PLID,playerName,team_id,teamName,ps_timestamp,ps_endstamp,MatchTime,period,x_coord,y_coord,x_coord_end,y_coord_end,action,actionName,ActionType,ActionTypeName,Actionresult,ActionResultName,qualifier3,qualifier3Name,qualifier4,qualifier4Name,qualifier5,qualifier5Name,qualifier6,qualifier6Name,qualifier7,qualifier7Name,qualifier8,qualifier8Name,qualifier9,qualifier9Name,qualifier10,qualifier10Name,Metres,Metres2,Metres3,Metres4,UTCTime,PlayNum,SetNum,sequence_id,player_advantage,score_advantage,homeTeamID,homeTeamName,awayTeamID,awayTeamName,datePlayed,kickofftime,hometeamHTscore,awayteamHTscore,hometeamFTscore,awayteamFTscore,hometeamCurrentScore,awayteamCurrentScore,venueID,venueName,cityID,cityName,roundNumber,season,playerShirtNumber,playerpositionID,playerpositionName,homecoachID,homecoachName,awaycoachID,awaycoachName,refereeID,refereeName,assistantreferee1ID,assistantreferee1Name,assistantreferee2ID,assistantreferee2Name,videoReferee1ID,videoreferee1Name,competitionID,competitionName,isHome,result,assoc_player,assoc_playerName,assoc_playerTeam,assoc_playerTeamName,assoc_event_id
0,948847,5203,,5203,Kobelco Kobe Steelers,0.00,3.76,0,1,50,35,0,0,17,,407,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-05-02T05:30:26Z,0,0,0,0,0,5203,Kobelco Kobe Steelers,5202,Mie Honda Heat,02/05/2026,14:30,17,14,24,19,0,0,171,Hanazono Rugby Stadium,-1,,17,2026,,,,0,,0,,1001473,Takehito Namekawa,1002085,Meitetsu Shimizu,1001100,Atsushi Yamamoto,396,Mayumi Takahashi,421,Japan Rugby League One D1,Y,W,0,,0,,
1,948847,22478,Bryn Gatland,5203,Kobelco Kobe Steelers,0.00,3.76,0,1,50,35,81,61,14,Restart,281,50m Restart,286,Restart Opp Collection,288,Long,753,Kicked Right,795,Kick Receipt Not Contested,0,,0,,0,,0,,0,,31,41,27,0,2026-05-02T05:30:26Z,1,0,1,0,0,5203,Kobelco Kobe Steelers,5202,Mie Honda Heat,02/05/2026,14:30,17,14,24,19,0,0,171,Hanazono Rugby Stadium,-1,,17,2026,10,10,Fly Half,0,,0,,1001473,Takehito Namekawa,1002085,Meitetsu Shimizu,1001100,Atsushi Yamamoto,396,Mayumi Takahashi,421,Japan Rugby League One D1,Y,W,0,,0,,
2,948847,58208,Fraser Quirk,5202,Mie Honda Heat,3.76,3.76,4,1,19,7,0,0,18,Collection,275,Restart Catch,277,Success,797,Kick Receipt Not Contested,1092,Non-Kicking Team,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-05-02T05:30:29Z,1,1,1,0,0,5203,Kobelco Kobe Steelers,5202,Mie Honda Heat,02/05/2026,14:30,17,14,24,19,0,0,171,Hanazono Rugby Stadium,-1,,17,2026,12,12,Inside Centre,0,,0,,1001473,Takehito Namekawa,1002085,Meitetsu Shimizu,1001100,Atsushi Yamamoto,396,Mayumi Takahashi,421,Japan Rugby League One D1,N,L,0,,0,,
3,948847,0,,5202,Mie Honda Heat,3.76,3.76,4,1,19,7,0,0,45,Defensive Exits,628,Failed Exit From 22,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-05-02T05:30:29Z,1,1,1,0,0,5203,Kobelco Kobe Steelers,5202,Mie Honda Heat,02/05/2026,14:30,17,14,24,19,0,0,171,Hanazono Rugby Stadium,-1,,17,2026,,,,0,,0,,1001473,Takehito Namekawa,1002085,Meitetsu Shimizu,1001100,Atsushi Yamamoto,396,Mayumi Takahashi,421,Japan Rugby League One D1,N,L,0,,0,,
4,948847,58208,Fraser Quirk,5202,Mie Honda Heat,3.76,4.76,4,1,19,7,17,4,1,Carry,105,Restart Return,409,Tackled Ineffective,111,Failed Gain line,462,Ineffective Contact,501,1 Tacklers Committed,700,0th Receiver,0,,0,,0,,0,,0,0,0,0,2026-05-02T05:30:29Z,1,1,1,0,0,5203,Kobelco Kobe Steelers,5202,Mie Honda Heat,02/05/2026,14:30,17,14,24,19,0,0,171,Hanazono Rugby Stadium,-1,,17,2026,12,12,Inside Centre,0,,0,,1001473,Takehito Namekawa,1002085,Meitetsu Shimizu,1001100,Atsushi Yamamoto,396,Mayumi Takahashi,421,Japan Rugby League One D1,N,L,58096,Kanta Matsunaga,5203,Kobelco Kobe Steelers,5
5,948847,58096,Kanta Matsunaga,5203,Kobelco Kobe Steelers,4.20,4.20,4,1,80,61,0,0,2,Tackle,142,Chase,159,Sack,0,,473,Dominant Tackle,708,1st Tackler,713,Legs,0,,0,,0,,0,,0,0,0,0,2026-05-02T05:30:30Z,1,1,1,0,0,5203,Kobelco Kobe Steelers,5202,Mie Honda Heat,02/05/2026,14:30,17,14,24,19,0,0,171,Hanazono Rugby Stadium,-1,,17,2026,14,14,Right Wing,0,,0,,1001473,Takehito Namekawa,1002085,Meitetsu Shimizu,1001100,Atsushi Yamamoto,396,Mayumi Takahashi,421,Japan Rugby League One D1,Y,W,58208,Fraser Quirk,5202,Mie Honda Heat,4
6,948847,58208,Fraser Quirk,5202,Mie Honda Heat,4.76,10.88,5,1,17,4,0,0,23,Ruck,0,,401,Won Outright,551,N/A Gainline,558,6+ Seconds,662,Mid Right Open Movement Ruck,0,,0,,0,,0,,0,,0,0,-2,11,2026-05-02T05:30:30Z,1,1,1,0,0,5203,Kobelco Kobe Steelers,5202,Mie Honda Heat,02/05/2026,14:30,17,14,24,19,0,0,171,Hanazono Rugby Stadium,-1,,17,2026,12,12,Inside Centre,0,,0,,1001473,Takehito Namekawa,1002085,Meitetsu Shimizu,1001100,Atsushi Yamamoto,396,Mayumi Takahashi,421,Japan Rugby League One D1,N,L,62198,Takuro Hojo,5202,Mie Honda Heat,13
7,948847,61614,Tali Ioasa,5203,Kobelco Kobe Steelers,5.76,5.76,6,1,83,64,0,0,43,Ruck OOA,800,Other Defensive Arrival,583,Own Team 1st Entry,603,OOA Entry 1st Entry- Def,633,Defensive OOA,802,Counter Ruck Attempt,0,1,0,,0,,0,,0,,0,0,0,0,2026-05-02T05:30:31Z,1,1,1,0,0,5203,Kobelco Kobe Steelers,5202,Mie Honda Heat,02/05/2026,14:30,17,14,24,19,0,0,171,Hanazono Rugby Stadium,-1,,17,2026,12,12,Inside Centre,0,,0,,1001473,Takehito Namekawa,1002085,Meitetsu Shimizu,1001100,Atsushi Yamamoto,396,Mayumi Takahashi,421,Japan Rugby League One D1,Y,W,0,,0,,
8,948847,25550,Trevor Hosea,5202,Mie Honda Heat,6.36,6.36,7,1,17,4,0,0,43,Ruck OOA,574,Secured,583,Own Team 1st Entry,588,OOA Entry 1st Entry- Att,632,Attacking OOA,0,,0,2,0,,0,,0,,0,,0,0,0,0,2026-05-02T05:30:32Z,1,1,1,0,0,5203,Kobelco Kobe Steelers,5202,Mie Honda Heat,02/05/2026,14:30,17,14,24,19,0,0,171,Hanazono Rugby Stadium,-1,,17,2026,05,5,Lock (5),0,,0,,1001473,Takehito Namekawa,1002085,Meitetsu Shimizu,1001100,Atsushi Yamamoto,396,Mayumi Takahashi,421,Japan Rugby League One D1,N,L,0,,0,,
9,948847,26071,Matthys Basson,5202,Mie Honda Heat,6.88,6.88,7,1,17,4,0,0,43,Ruck OOA,574,Secured,584,Own Team 2nd Entry,589,OOA Entry 2nd Entry- Att,632,Attacking OOA,0,,0,3,0,,0,,0,,0,,0,0,0,0,2026-05-02T05:30:32Z,1,1,1,0,0,5203,Kobelco Kobe Steelers,5202,Mie Honda Heat,02/05/2026,14:30,17,14,24,19,0,0,171,Hanazono Rugby Stadium,-1,,17,2026,03,3,Tighthead Prop,0,,0,,1001473,Takehito Namekawa,1002085,Meitetsu Shimizu,1001100,Atsushi Yamamoto,396,Mayumi Takahashi,421,Japan Rugby League One D1,N,L,0,,0,,
