ID,FXID,PLID,playerName,team_id,teamName,ps_timestamp,ps_endstamp,MatchTime,period,x_coord,y_coord,x_coord_end,y_coord_end,action,actionName,ActionType,ActionTypeName,Actionresult,ActionResultName,qualifier3,qualifier3Name,qualifier4,qualifier4Name,qualifier5,qualifier5Name,qualifier6,qualifier6Name,qualifier7,qualifier7Name,qualifier8,qualifier8Name,qualifier9,qualifier9Name,qualifier10,qualifier10Name,Metres,Metres2,Metres3,Metres4,UTCTime,PlayNum,SetNum,sequence_id,player_advantage,score_advantage,homeTeamID,homeTeamName,awayTeamID,awayTeamName,datePlayed,kickofftime,hometeamHTscore,awayteamHTscore,hometeamFTscore,awayteamFTscore,hometeamCurrentScore,awayteamCurrentScore,venueID,venueName,cityID,cityName,roundNumber,season,playerShirtNumber,playerpositionID,playerpositionName,homecoachID,homecoachName,awaycoachID,awaycoachName,refereeID,refereeName,assistantreferee1ID,assistantreferee1Name,assistantreferee2ID,assistantreferee2Name,videoReferee1ID,videoreferee1Name,competitionID,competitionName,isHome,result,assoc_player,assoc_playerName,assoc_playerTeam,assoc_playerTeamName,assoc_event_id
0,948853,5209,,5209,Tokyo Sungoliath,0.00,4.44,0,1,50,33,0,0,17,,407,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-05-10T05:30:23Z,0,0,0,0,0,5209,Tokyo Sungoliath,5208,BlackRams Tokyo,10/05/2026,14:30,19,10,39,22,0,0,69,Prince Chichibu Memorial Stadium,-1,,18,2026,,,,0,,0,,1001473,Takehito Namekawa,1001668,Motonori Mizutani,1001836,Morgan White,1001491,Katsuki Furuse,421,Japan Rugby League One D1,Y,W,0,,0,,
1,948853,20584,Cheslin Kolbe,5209,Tokyo Sungoliath,0.00,4.44,0,1,50,33,78,41,14,Restart,281,50m Restart,286,Restart Opp Collection,289,Short,753,Kicked Right,795,Kick Receipt Not Contested,0,,0,,0,,0,,0,,28,29,8,0,2026-05-10T05:30:23Z,1,0,1,0,0,5209,Tokyo Sungoliath,5208,BlackRams Tokyo,10/05/2026,14:30,19,10,39,22,0,0,69,Prince Chichibu Memorial Stadium,-1,,18,2026,14,14,Right Wing,0,,0,,1001473,Takehito Namekawa,1001668,Motonori Mizutani,1001836,Morgan White,1001491,Katsuki Furuse,421,Japan Rugby League One D1,Y,W,0,,0,,
2,948853,25514,Isaac Lucas,5208,BlackRams Tokyo,4.44,4.44,4,1,22,27,0,0,18,Collection,275,Restart Catch,277,Success,797,Kick Receipt Not Contested,1092,Non-Kicking Team,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-05-10T05:30:28Z,1,1,1,0,0,5209,Tokyo Sungoliath,5208,BlackRams Tokyo,10/05/2026,14:30,19,10,39,22,0,0,69,Prince Chichibu Memorial Stadium,-1,,18,2026,15,15,Full Back,0,,0,,1001473,Takehito Namekawa,1001668,Motonori Mizutani,1001836,Morgan White,1001491,Katsuki Furuse,421,Japan Rugby League One D1,N,L,0,,0,,
3,948853,0,,5208,BlackRams Tokyo,4.44,4.44,4,1,22,27,0,0,45,Defensive Exits,630,Kicked out of 22,0,,0,,0,,0,,0,,0,,0,,0,,0,,33,0,0,0,2026-05-10T05:30:28Z,1,1,1,0,0,5209,Tokyo Sungoliath,5208,BlackRams Tokyo,10/05/2026,14:30,19,10,39,22,0,0,69,Prince Chichibu Memorial Stadium,-1,,18,2026,,,,0,,0,,1001473,Takehito Namekawa,1001668,Motonori Mizutani,1001836,Morgan White,1001491,Katsuki Furuse,421,Japan Rugby League One D1,N,L,0,,0,,
4,948853,25514,Isaac Lucas,5208,BlackRams Tokyo,4.44,5.12,4,1,22,27,19,25,1,Carry,105,Restart Return,409,Tackled Ineffective,111,Failed Gain line,462,Ineffective Contact,502,2 Tacklers Committed,700,0th Receiver,0,,0,,0,,0,,0,0,0,0,2026-05-10T05:30:28Z,1,1,1,0,0,5209,Tokyo Sungoliath,5208,BlackRams Tokyo,10/05/2026,14:30,19,10,39,22,0,0,69,Prince Chichibu Memorial Stadium,-1,,18,2026,15,15,Full Back,0,,0,,1001473,Takehito Namekawa,1001668,Motonori Mizutani,1001836,Morgan White,1001491,Katsuki Furuse,421,Japan Rugby League One D1,N,L,19825,Sean McMahon,5209,Tokyo Sungoliath,5
5,948853,19825,Sean McMahon,5209,Tokyo Sungoliath,4.76,4.76,4,1,80,43,0,0,2,Tackle,142,Chase,159,Sack,0,,473,Dominant Tackle,708,1st Tackler,715,Upper Torso,0,,0,,0,,0,,0,0,0,0,2026-05-10T05:30:29Z,1,1,1,0,0,5209,Tokyo Sungoliath,5208,BlackRams Tokyo,10/05/2026,14:30,19,10,39,22,0,0,69,Prince Chichibu Memorial Stadium,-1,,18,2026,07,7,Openside Flanker,0,,0,,1001473,Takehito Namekawa,1001668,Motonori Mizutani,1001836,Morgan White,1001491,Katsuki Furuse,421,Japan Rugby League One D1,Y,W,25514,Isaac Lucas,5208,BlackRams Tokyo,4
6,948853,30962,Kanji Shimokawa,5209,Tokyo Sungoliath,5.08,5.08,5,1,80,43,0,0,2,Tackle,142,Chase,159,Sack,441,Assist,473,Dominant Tackle,709,2nd Tackler,715,Upper Torso,0,,0,,0,,0,,0,0,0,0,2026-05-10T05:30:29Z,1,1,1,0,0,5209,Tokyo Sungoliath,5208,BlackRams Tokyo,10/05/2026,14:30,19,10,39,22,0,0,69,Prince Chichibu Memorial Stadium,-1,,18,2026,06,6,Blindside Flanker,0,,0,,1001473,Takehito Namekawa,1001668,Motonori Mizutani,1001836,Morgan White,1001491,Katsuki Furuse,421,Japan Rugby League One D1,Y,W,25514,Isaac Lucas,5208,BlackRams Tokyo,4
7,948853,25514,Isaac Lucas,5208,BlackRams Tokyo,5.12,7.56,5,1,19,25,0,0,23,Ruck,0,,401,Won Outright,551,N/A Gainline,554,2-3 Seconds,661,Mid Left Open Movement Ruck,0,,0,,0,,0,,0,,0,0,2,16,2026-05-10T05:30:28Z,1,1,1,0,0,5209,Tokyo Sungoliath,5208,BlackRams Tokyo,10/05/2026,14:30,19,10,39,22,0,0,69,Prince Chichibu Memorial Stadium,-1,,18,2026,15,15,Full Back,0,,0,,1001473,Takehito Namekawa,1001668,Motonori Mizutani,1001836,Morgan White,1001491,Katsuki Furuse,421,Japan Rugby League One D1,N,L,18502,TJ Perenara,5208,BlackRams Tokyo,12
8,948853,30962,Kanji Shimokawa,5209,Tokyo Sungoliath,5.64,5.64,5,1,81,43,0,0,43,Ruck OOA,800,Other Defensive Arrival,583,Own Team 1st Entry,603,OOA Entry 1st Entry- Def,633,Defensive OOA,802,Counter Ruck Attempt,0,1,0,,0,,0,,0,,0,0,0,0,2026-05-10T05:30:26Z,1,1,1,0,0,5209,Tokyo Sungoliath,5208,BlackRams Tokyo,10/05/2026,14:30,19,10,39,22,0,0,69,Prince Chichibu Memorial Stadium,-1,,18,2026,06,6,Blindside Flanker,0,,0,,1001473,Takehito Namekawa,1001668,Motonori Mizutani,1001836,Morgan White,1001491,Katsuki Furuse,421,Japan Rugby League One D1,Y,W,0,,0,,
9,948853,17208,Liam Gill,5208,BlackRams Tokyo,6.28,6.28,6,1,19,25,0,0,43,Ruck OOA,575,Attended,583,Own Team 1st Entry,588,OOA Entry 1st Entry- Att,632,Attacking OOA,0,,0,2,0,,0,,0,,0,,0,0,0,0,2026-05-10T05:30:27Z,1,1,1,0,0,5209,Tokyo Sungoliath,5208,BlackRams Tokyo,10/05/2026,14:30,19,10,39,22,0,0,69,Prince Chichibu Memorial Stadium,-1,,18,2026,07,7,Openside Flanker,0,,0,,1001473,Takehito Namekawa,1001668,Motonori Mizutani,1001836,Morgan White,1001491,Katsuki Furuse,421,Japan Rugby League One D1,N,L,0,,0,,
