ID,FXID,PLID,playerName,team_id,teamName,ps_timestamp,ps_endstamp,MatchTime,period,x_coord,y_coord,x_coord_end,y_coord_end,action,actionName,ActionType,ActionTypeName,Actionresult,ActionResultName,qualifier3,qualifier3Name,qualifier4,qualifier4Name,qualifier5,qualifier5Name,qualifier6,qualifier6Name,qualifier7,qualifier7Name,qualifier8,qualifier8Name,qualifier9,qualifier9Name,qualifier10,qualifier10Name,Metres,Metres2,Metres3,Metres4,UTCTime,PlayNum,SetNum,sequence_id,player_advantage,score_advantage,homeTeamID,homeTeamName,awayTeamID,awayTeamName,datePlayed,kickofftime,hometeamHTscore,awayteamHTscore,hometeamFTscore,awayteamFTscore,hometeamCurrentScore,awayteamCurrentScore,venueID,venueName,cityID,cityName,roundNumber,season,playerShirtNumber,playerpositionID,playerpositionName,homecoachID,homecoachName,awaycoachID,awaycoachName,refereeID,refereeName,assistantreferee1ID,assistantreferee1Name,assistantreferee2ID,assistantreferee2Name,videoReferee1ID,videoreferee1Name,competitionID,competitionName,isHome,result,assoc_player,assoc_playerName,assoc_playerTeam,assoc_playerTeamName,assoc_event_id
0,948862,5206,,5206,Green Rockets Tokatsu,0.00,2.44,2,1,50,34,0,0,17,,407,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,,0,0,0,0,0,5206,Green Rockets Tokatsu,5213,RedHurricanes Osaka,13/12/2025,14:30,17,7,31,14,0,0,510,Kashiwanoha Park Stadium,-1,,1,2026,,,,0,,0,,1001807,Teruki Inanishi,1001809,Ryotaro Shindo,1000727,Tomohiro Ogawa,-1,,422,Japan Rugby League One D2,Y,W,0,,0,,
1,948862,61963,Taiki Yamaguchi,5213,RedHurricanes Osaka,0.00,2.44,2,1,50,34,84,50,14,Restart,281,50m Restart,286,Restart Opp Collection,288,Long,753,Kicked Right,795,Kick Receipt Not Contested,0,,0,,0,,0,,0,,35,38,16,0,,1,0,1,0,0,5206,Green Rockets Tokatsu,5213,RedHurricanes Osaka,13/12/2025,14:30,17,7,31,14,0,0,510,Kashiwanoha Park Stadium,-1,,1,2026,15,15,Full Back,0,,0,,1001807,Teruki Inanishi,1001809,Ryotaro Shindo,1000727,Tomohiro Ogawa,-1,,422,Japan Rugby League One D2,N,L,0,,0,,
2,948862,27036,Dylan Nel,5206,Green Rockets Tokatsu,2.44,2.44,4,1,16,18,0,0,18,Collection,275,Restart Catch,278,Fail,797,Kick Receipt Not Contested,1092,Non-Kicking Team,0,,0,,0,,0,,0,,0,,0,0,0,0,,1,0,1,0,0,5206,Green Rockets Tokatsu,5213,RedHurricanes Osaka,13/12/2025,14:30,17,7,31,14,0,0,510,Kashiwanoha Park Stadium,-1,,1,2026,08,8,Number 8,0,,0,,1001807,Teruki Inanishi,1001809,Ryotaro Shindo,1000727,Tomohiro Ogawa,-1,,422,Japan Rugby League One D2,Y,W,0,,0,,
3,948862,27036,Dylan Nel,5206,Green Rockets Tokatsu,3.72,3.72,5,1,20,18,0,0,18,Collection,274,Defensive Loose Ball,277,Success,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,,1,1,1,0,0,5206,Green Rockets Tokatsu,5213,RedHurricanes Osaka,13/12/2025,14:30,17,7,31,14,0,0,510,Kashiwanoha Park Stadium,-1,,1,2026,08,8,Number 8,0,,0,,1001807,Teruki Inanishi,1001809,Ryotaro Shindo,1000727,Tomohiro Ogawa,-1,,422,Japan Rugby League One D2,Y,W,0,,0,,
4,948862,0,,5206,Green Rockets Tokatsu,3.72,3.72,5,1,20,18,0,0,45,Defensive Exits,630,Kicked out of 22,0,,0,,0,,0,,0,,0,,0,,0,,0,,37,0,0,0,,1,1,1,0,0,5206,Green Rockets Tokatsu,5213,RedHurricanes Osaka,13/12/2025,14:30,17,7,31,14,0,0,510,Kashiwanoha Park Stadium,-1,,1,2026,,,,0,,0,,1001807,Teruki Inanishi,1001809,Ryotaro Shindo,1000727,Tomohiro Ogawa,-1,,422,Japan Rugby League One D2,Y,W,0,,0,,
5,948862,27036,Dylan Nel,5206,Green Rockets Tokatsu,3.72,5.80,5,1,20,18,24,21,1,Carry,105,Restart Return,108,Tackled Neutral,109,Crossed Gain line,461,Neutral Contact,501,1 Tacklers Committed,700,0th Receiver,0,,0,,0,,0,,5,5,2,2,,1,1,1,0,0,5206,Green Rockets Tokatsu,5213,RedHurricanes Osaka,13/12/2025,14:30,17,7,31,14,0,0,510,Kashiwanoha Park Stadium,-1,,1,2026,08,8,Number 8,0,,0,,1001807,Teruki Inanishi,1001809,Ryotaro Shindo,1000727,Tomohiro Ogawa,-1,,422,Japan Rugby League One D2,Y,W,61527,Fumiya Dobashi,5213,RedHurricanes Osaka,6
6,948862,61527,Fumiya Dobashi,5213,RedHurricanes Osaka,4.72,4.72,6,1,78,49,0,0,2,Tackle,142,Chase,153,Complete,0,,474,Neutral Tackle,708,1st Tackler,713,Legs,0,,0,,0,,0,,0,0,0,0,,1,1,1,0,0,5206,Green Rockets Tokatsu,5213,RedHurricanes Osaka,13/12/2025,14:30,17,7,31,14,0,0,510,Kashiwanoha Park Stadium,-1,,1,2026,14,14,Right Wing,0,,0,,1001807,Teruki Inanishi,1001809,Ryotaro Shindo,1000727,Tomohiro Ogawa,-1,,422,Japan Rugby League One D2,N,L,27036,Dylan Nel,5206,Green Rockets Tokatsu,5
7,948862,27036,Dylan Nel,5206,Green Rockets Tokatsu,5.80,11.12,7,1,24,21,0,0,23,Ruck,0,,401,Won Outright,551,N/A Gainline,557,5-6 Seconds,665,Close Left Blindside Movement Ruck,0,,0,,0,,0,,0,,0,0,-12,2,,1,1,1,0,0,5206,Green Rockets Tokatsu,5213,RedHurricanes Osaka,13/12/2025,14:30,17,7,31,14,0,0,510,Kashiwanoha Park Stadium,-1,,1,2026,08,8,Number 8,0,,0,,1001807,Teruki Inanishi,1001809,Ryotaro Shindo,1000727,Tomohiro Ogawa,-1,,422,Japan Rugby League One D2,Y,W,36567,Tatsuya Fujii,5206,Green Rockets Tokatsu,12
8,948862,65256,Shunsuke Abe,5213,RedHurricanes Osaka,5.88,5.88,7,1,76,47,0,0,43,Ruck OOA,800,Other Defensive Arrival,583,Own Team 1st Entry,603,OOA Entry 1st Entry- Def,633,Defensive OOA,802,Counter Ruck Attempt,0,1,0,,0,,0,,0,,0,0,0,0,,1,1,1,0,0,5206,Green Rockets Tokatsu,5213,RedHurricanes Osaka,13/12/2025,14:30,17,7,31,14,0,0,510,Kashiwanoha Park Stadium,-1,,1,2026,03,3,Tighthead Prop,0,,0,,1001807,Teruki Inanishi,1001809,Ryotaro Shindo,1000727,Tomohiro Ogawa,-1,,422,Japan Rugby League One D2,N,L,0,,0,,
9,948862,58085,Keita Kobayasi,5206,Green Rockets Tokatsu,5.92,5.92,7,1,24,21,0,0,43,Ruck OOA,572,Cleaned Out,583,Own Team 1st Entry,588,OOA Entry 1st Entry- Att,632,Attacking OOA,0,,0,2,0,,0,,0,,0,,0,0,0,0,,1,1,1,0,0,5206,Green Rockets Tokatsu,5213,RedHurricanes Osaka,13/12/2025,14:30,17,7,31,14,0,0,510,Kashiwanoha Park Stadium,-1,,1,2026,02,2,Hooker,0,,0,,1001807,Teruki Inanishi,1001809,Ryotaro Shindo,1000727,Tomohiro Ogawa,-1,,422,Japan Rugby League One D2,Y,W,0,,0,,
