ID,FXID,PLID,playerName,team_id,teamName,ps_timestamp,ps_endstamp,MatchTime,period,x_coord,y_coord,x_coord_end,y_coord_end,action,actionName,ActionType,ActionTypeName,Actionresult,ActionResultName,qualifier3,qualifier3Name,qualifier4,qualifier4Name,qualifier5,qualifier5Name,qualifier6,qualifier6Name,qualifier7,qualifier7Name,qualifier8,qualifier8Name,qualifier9,qualifier9Name,qualifier10,qualifier10Name,Metres,Metres2,Metres3,Metres4,UTCTime,PlayNum,SetNum,sequence_id,player_advantage,score_advantage,homeTeamID,homeTeamName,awayTeamID,awayTeamName,datePlayed,kickofftime,hometeamHTscore,awayteamHTscore,hometeamFTscore,awayteamFTscore,hometeamCurrentScore,awayteamCurrentScore,venueID,venueName,cityID,cityName,roundNumber,season,playerShirtNumber,playerpositionID,playerpositionName,homecoachID,homecoachName,awaycoachID,awaycoachName,refereeID,refereeName,assistantreferee1ID,assistantreferee1Name,assistantreferee2ID,assistantreferee2Name,videoReferee1ID,videoreferee1Name,competitionID,competitionName,isHome,result,assoc_player,assoc_playerName,assoc_playerTeam,assoc_playerTeamName,assoc_event_id
0,948864,5214,,5214,Hino Red Dolphins,0.00,3.84,0,1,50,34,0,0,17,,407,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,,0,0,0,0,0,5214,Hino Red Dolphins,590,Kyushudenryoku KyudenVoltex,14/12/2025,12:00,14,10,22,25,0,0,1036,Otashi Sports Park,-1,,1,2026,,,,0,,0,,1001799,Souta Ouchi,1001489,Masamichi Tatekawa,1001962,Yosuke Matsui,-1,,422,Japan Rugby League One D2,Y,L,0,,0,,
1,948864,40676,Shogo Matsushita,590,Kyushudenryoku KyudenVoltex,0.00,3.84,0,1,50,34,86,61,14,Restart,281,50m Restart,286,Restart Opp Collection,288,Long,753,Kicked Right,795,Kick Receipt Not Contested,0,,0,,0,,0,,0,,36,45,28,0,,1,0,1,0,0,5214,Hino Red Dolphins,590,Kyushudenryoku KyudenVoltex,14/12/2025,12:00,14,10,22,25,0,0,1036,Otashi Sports Park,-1,,1,2026,10,10,Fly Half,0,,0,,1001799,Souta Ouchi,1001489,Masamichi Tatekawa,1001962,Yosuke Matsui,-1,,422,Japan Rugby League One D2,N,W,0,,0,,
2,948864,34484,Moeki Fukushi,5214,Hino Red Dolphins,3.84,3.84,4,1,15,7,0,0,18,Collection,275,Restart Catch,277,Success,797,Kick Receipt Not Contested,1092,Non-Kicking Team,0,,0,,0,,0,,0,,0,,0,0,0,0,,1,1,1,0,0,5214,Hino Red Dolphins,590,Kyushudenryoku KyudenVoltex,14/12/2025,12:00,14,10,22,25,0,0,1036,Otashi Sports Park,-1,,1,2026,11,11,Left Wing,0,,0,,1001799,Souta Ouchi,1001489,Masamichi Tatekawa,1001962,Yosuke Matsui,-1,,422,Japan Rugby League One D2,Y,L,0,,0,,
3,948864,0,,5214,Hino Red Dolphins,3.84,3.84,4,1,15,7,0,0,45,Defensive Exits,628,Failed Exit From 22,0,,0,,0,,0,,0,,0,,0,,0,,0,,3,0,0,0,,1,1,1,0,0,5214,Hino Red Dolphins,590,Kyushudenryoku KyudenVoltex,14/12/2025,12:00,14,10,22,25,0,0,1036,Otashi Sports Park,-1,,1,2026,,,,0,,0,,1001799,Souta Ouchi,1001489,Masamichi Tatekawa,1001962,Yosuke Matsui,-1,,422,Japan Rugby League One D2,Y,L,0,,0,,
4,948864,34484,Moeki Fukushi,5214,Hino Red Dolphins,4.92,5.16,5,1,15,7,9,13,3,Pass,169,Complete,0,,686,Medium Pass,682,Right Pass,700,0th Receiver,0,,0,,0,,0,,0,,5,7,5,0,,1,1,1,0,0,5214,Hino Red Dolphins,590,Kyushudenryoku KyudenVoltex,14/12/2025,12:00,14,10,22,25,0,0,1036,Otashi Sports Park,-1,,1,2026,11,11,Left Wing,0,,0,,1001799,Souta Ouchi,1001489,Masamichi Tatekawa,1001962,Yosuke Matsui,-1,,422,Japan Rugby League One D2,Y,L,25868,Josh Fenner,5214,Hino Red Dolphins,5
5,948864,25868,Josh Fenner,5214,Hino Red Dolphins,5.16,5.16,6,1,9,13,0,0,18,Collection,631,General Catch,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,,1,1,1,0,0,5214,Hino Red Dolphins,590,Kyushudenryoku KyudenVoltex,14/12/2025,12:00,14,10,22,25,0,0,1036,Otashi Sports Park,-1,,1,2026,08,8,Number 8,0,,0,,1001799,Souta Ouchi,1001489,Masamichi Tatekawa,1001962,Yosuke Matsui,-1,,422,Japan Rugby League One D2,Y,L,0,,0,,
6,948864,25868,Josh Fenner,5214,Hino Red Dolphins,5.16,7.92,6,1,9,13,17,15,1,Carry,105,Restart Return,124,Penalty Conceded,109,Crossed Gain line,461,Neutral Contact,502,2 Tacklers Committed,701,1st Receiver,0,,0,,0,,0,,3,8,0,0,,1,1,1,0,0,5214,Hino Red Dolphins,590,Kyushudenryoku KyudenVoltex,14/12/2025,12:00,14,10,22,25,0,0,1036,Otashi Sports Park,-1,,1,2026,08,8,Number 8,0,,0,,1001799,Souta Ouchi,1001489,Masamichi Tatekawa,1001962,Yosuke Matsui,-1,,422,Japan Rugby League One D2,Y,L,28964,Shinichi Tanaka,590,Kyushudenryoku KyudenVoltex,7
7,948864,28964,Shinichi Tanaka,590,Kyushudenryoku KyudenVoltex,7.32,7.32,8,1,83,53,0,0,2,Tackle,142,Chase,153,Complete,0,,474,Neutral Tackle,708,1st Tackler,713,Legs,0,,0,,0,,0,,0,0,0,0,,1,1,1,0,0,5214,Hino Red Dolphins,590,Kyushudenryoku KyudenVoltex,14/12/2025,12:00,14,10,22,25,0,0,1036,Otashi Sports Park,-1,,1,2026,06,6,Blindside Flanker,0,,0,,1001799,Souta Ouchi,1001489,Masamichi Tatekawa,1001962,Yosuke Matsui,-1,,422,Japan Rugby League One D2,N,W,25868,Josh Fenner,5214,Hino Red Dolphins,6
8,948864,61523,Kim Kihyun,590,Kyushudenryoku KyudenVoltex,7.60,7.60,8,1,83,53,0,0,2,Tackle,142,Chase,153,Complete,441,Assist,474,Neutral Tackle,709,2nd Tackler,715,Upper Torso,0,,0,,0,,0,,0,0,0,0,,1,1,1,0,0,5214,Hino Red Dolphins,590,Kyushudenryoku KyudenVoltex,14/12/2025,12:00,14,10,22,25,0,0,1036,Otashi Sports Park,-1,,1,2026,08,8,Number 8,0,,0,,1001799,Souta Ouchi,1001489,Masamichi Tatekawa,1001962,Yosuke Matsui,-1,,422,Japan Rugby League One D2,N,W,25868,Josh Fenner,5214,Hino Red Dolphins,6
9,948864,25868,Josh Fenner,5214,Hino Red Dolphins,7.92,11.28,8,1,17,15,0,0,23,Ruck,0,,404,Penalty Conceded,551,N/A Gainline,559,N/A Ruck Speed,676,N/A Movement Ruck,0,,0,,0,,0,,0,,0,0,0,0,,1,1,1,0,0,5214,Hino Red Dolphins,590,Kyushudenryoku KyudenVoltex,14/12/2025,12:00,14,10,22,25,0,0,1036,Otashi Sports Park,-1,,1,2026,08,8,Number 8,0,,0,,1001799,Souta Ouchi,1001489,Masamichi Tatekawa,1001962,Yosuke Matsui,-1,,422,Japan Rugby League One D2,Y,L,0,,0,,
