ID,FXID,PLID,playerName,team_id,teamName,ps_timestamp,ps_endstamp,MatchTime,period,x_coord,y_coord,x_coord_end,y_coord_end,action,actionName,ActionType,ActionTypeName,Actionresult,ActionResultName,qualifier3,qualifier3Name,qualifier4,qualifier4Name,qualifier5,qualifier5Name,qualifier6,qualifier6Name,qualifier7,qualifier7Name,qualifier8,qualifier8Name,qualifier9,qualifier9Name,qualifier10,qualifier10Name,Metres,Metres2,Metres3,Metres4,UTCTime,PlayNum,SetNum,sequence_id,player_advantage,score_advantage,homeTeamID,homeTeamName,awayTeamID,awayTeamName,datePlayed,kickofftime,hometeamHTscore,awayteamHTscore,hometeamFTscore,awayteamFTscore,hometeamCurrentScore,awayteamCurrentScore,venueID,venueName,cityID,cityName,roundNumber,season,playerShirtNumber,playerpositionID,playerpositionName,homecoachID,homecoachName,awaycoachID,awaycoachName,refereeID,refereeName,assistantreferee1ID,assistantreferee1Name,assistantreferee2ID,assistantreferee2Name,videoReferee1ID,videoreferee1Name,competitionID,competitionName,isHome,result,assoc_player,assoc_playerName,assoc_playerTeam,assoc_playerTeamName,assoc_event_id
0,948872,5206,,5206,Green Rockets Tokatsu,0.00,3.04,1,1,50,33,0,0,17,,407,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,,0,0,0,0,0,5206,Green Rockets Tokatsu,5210,Toyota Industries Shuttles Aichi,10/01/2026,14:30,12,19,24,40,0,0,510,Kashiwanoha Park Stadium,-1,,3,2026,,,,0,,0,,1001505,Tetsuya Hirakawa,1001961,Asahi Takara,1001962,Yosuke Matsui,396,Mayumi Takahashi,422,Japan Rugby League One D2,Y,L,0,,0,,
1,948872,34561,James Mollentze,5210,Toyota Industries Shuttles Aichi,0.00,3.04,1,1,50,33,70,60,14,Restart,281,50m Restart,285,Restart Opp Error,289,Short,753,Kicked Right,795,Kick Receipt Not Contested,0,,0,,0,,0,,0,,21,34,28,0,,1,1,1,0,0,5206,Green Rockets Tokatsu,5210,Toyota Industries Shuttles Aichi,10/01/2026,14:30,12,19,24,40,0,0,510,Kashiwanoha Park Stadium,-1,,3,2026,10,10,Fly Half,0,,0,,1001505,Tetsuya Hirakawa,1001961,Asahi Takara,1001962,Yosuke Matsui,396,Mayumi Takahashi,422,Japan Rugby League One D2,N,W,0,,0,,
2,948872,32443,Kanta Omata,5206,Green Rockets Tokatsu,3.04,3.04,4,1,30,8,0,0,18,Collection,275,Restart Catch,278,Fail,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,,1,1,1,0,0,5206,Green Rockets Tokatsu,5210,Toyota Industries Shuttles Aichi,10/01/2026,14:30,12,19,24,40,0,0,510,Kashiwanoha Park Stadium,-1,,3,2026,11,11,Left Wing,0,,0,,1001505,Tetsuya Hirakawa,1001961,Asahi Takara,1001962,Yosuke Matsui,396,Mayumi Takahashi,422,Japan Rugby League One D2,Y,L,0,,0,,
3,948872,32443,Kanta Omata,5206,Green Rockets Tokatsu,3.08,3.08,4,1,30,8,0,0,8,Turnover,254,Dropped Ball Unforced,678,Error on Defence,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,,1,1,1,0,0,5206,Green Rockets Tokatsu,5210,Toyota Industries Shuttles Aichi,10/01/2026,14:30,12,19,24,40,0,0,510,Kashiwanoha Park Stadium,-1,,3,2026,11,11,Left Wing,0,,0,,1001505,Tetsuya Hirakawa,1001961,Asahi Takara,1001962,Yosuke Matsui,396,Mayumi Takahashi,422,Japan Rugby League One D2,Y,L,0,,0,,
4,948872,0,,5210,Toyota Industries Shuttles Aichi,3.48,3.48,4,1,70,60,0,0,20,Ref Review,245,Advantage,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,,1,1,1,0,0,5206,Green Rockets Tokatsu,5210,Toyota Industries Shuttles Aichi,10/01/2026,14:30,12,19,24,40,0,0,510,Kashiwanoha Park Stadium,-1,,3,2026,,,,0,,0,,1001505,Tetsuya Hirakawa,1001961,Asahi Takara,1001962,Yosuke Matsui,396,Mayumi Takahashi,422,Japan Rugby League One D2,N,W,0,,0,,
5,948872,61876,Cheng Chao Yi,5210,Toyota Industries Shuttles Aichi,4.24,4.24,5,1,67,57,0,0,18,Collection,272,Attacking Loose Ball,277,Success,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,,1,1,1,0,0,5206,Green Rockets Tokatsu,5210,Toyota Industries Shuttles Aichi,10/01/2026,14:30,12,19,24,40,0,0,510,Kashiwanoha Park Stadium,-1,,3,2026,07,7,Openside Flanker,0,,0,,1001505,Tetsuya Hirakawa,1001961,Asahi Takara,1001962,Yosuke Matsui,396,Mayumi Takahashi,422,Japan Rugby League One D2,N,W,0,,0,,
6,948872,61876,Cheng Chao Yi,5210,Toyota Industries Shuttles Aichi,4.24,6.56,5,1,67,57,70,56,1,Carry,103,Other Carry,108,Tackled Neutral,109,Crossed Gain line,461,Neutral Contact,501,1 Tacklers Committed,700,0th Receiver,0,,0,,0,,0,,3,3,1,1,,1,1,1,0,0,5206,Green Rockets Tokatsu,5210,Toyota Industries Shuttles Aichi,10/01/2026,14:30,12,19,24,40,0,0,510,Kashiwanoha Park Stadium,-1,,3,2026,07,7,Openside Flanker,0,,0,,1001505,Tetsuya Hirakawa,1001961,Asahi Takara,1001962,Yosuke Matsui,396,Mayumi Takahashi,422,Japan Rugby League One D2,N,W,23393,Orbyn Leger,5206,Green Rockets Tokatsu,8
7,948872,27036,Dylan Nel,5206,Green Rockets Tokatsu,5.80,5.80,7,1,31,11,0,0,40,Defensive Action,560,Tackle Arrival,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,,1,1,1,0,0,5206,Green Rockets Tokatsu,5210,Toyota Industries Shuttles Aichi,10/01/2026,14:30,12,19,24,40,0,0,510,Kashiwanoha Park Stadium,-1,,3,2026,08,8,Number 8,0,,0,,1001505,Tetsuya Hirakawa,1001961,Asahi Takara,1001962,Yosuke Matsui,396,Mayumi Takahashi,422,Japan Rugby League One D2,Y,L,0,,0,,
8,948872,23393,Orbyn Leger,5206,Green Rockets Tokatsu,6.04,6.04,7,1,31,11,0,0,2,Tackle,147,Other,153,Complete,0,,474,Neutral Tackle,708,1st Tackler,713,Legs,0,,0,,0,,0,,0,0,0,0,,1,1,1,0,0,5206,Green Rockets Tokatsu,5210,Toyota Industries Shuttles Aichi,10/01/2026,14:30,12,19,24,40,0,0,510,Kashiwanoha Park Stadium,-1,,3,2026,12,12,Inside Centre,0,,0,,1001505,Tetsuya Hirakawa,1001961,Asahi Takara,1001962,Yosuke Matsui,396,Mayumi Takahashi,422,Japan Rugby League One D2,Y,L,61876,Cheng Chao Yi,5210,Toyota Industries Shuttles Aichi,6
9,948872,61876,Cheng Chao Yi,5210,Toyota Industries Shuttles Aichi,6.56,8.20,7,1,70,56,0,0,23,Ruck,0,,401,Won Outright,551,N/A Gainline,553,1-2 Seconds,661,Mid Left Open Movement Ruck,0,,0,,0,,0,,0,,0,0,1,10,,1,1,1,0,0,5206,Green Rockets Tokatsu,5210,Toyota Industries Shuttles Aichi,10/01/2026,14:30,12,19,24,40,0,0,510,Kashiwanoha Park Stadium,-1,,3,2026,07,7,Openside Flanker,0,,0,,1001505,Tetsuya Hirakawa,1001961,Asahi Takara,1001962,Yosuke Matsui,396,Mayumi Takahashi,422,Japan Rugby League One D2,N,W,29263,Takumi Sue,5210,Toyota Industries Shuttles Aichi,13
