ID,FXID,PLID,playerName,team_id,teamName,ps_timestamp,ps_endstamp,MatchTime,period,x_coord,y_coord,x_coord_end,y_coord_end,action,actionName,ActionType,ActionTypeName,Actionresult,ActionResultName,qualifier3,qualifier3Name,qualifier4,qualifier4Name,qualifier5,qualifier5Name,qualifier6,qualifier6Name,qualifier7,qualifier7Name,qualifier8,qualifier8Name,qualifier9,qualifier9Name,qualifier10,qualifier10Name,Metres,Metres2,Metres3,Metres4,UTCTime,PlayNum,SetNum,sequence_id,player_advantage,score_advantage,homeTeamID,homeTeamName,awayTeamID,awayTeamName,datePlayed,kickofftime,hometeamHTscore,awayteamHTscore,hometeamFTscore,awayteamFTscore,hometeamCurrentScore,awayteamCurrentScore,venueID,venueName,cityID,cityName,roundNumber,season,playerShirtNumber,playerpositionID,playerpositionName,homecoachID,homecoachName,awaycoachID,awaycoachName,refereeID,refereeName,assistantreferee1ID,assistantreferee1Name,assistantreferee2ID,assistantreferee2Name,videoReferee1ID,videoreferee1Name,competitionID,competitionName,isHome,result,assoc_player,assoc_playerName,assoc_playerTeam,assoc_playerTeamName,assoc_event_id
0,948874,5210,,5210,Toyota Industries Shuttles Aichi,0.00,3.28,3,1,50,34,0,0,17,,407,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,,0,0,0,0,0,5210,Toyota Industries Shuttles Aichi,591,Kamaishi Seawaves,17/01/2026,12:00,21,33,52,54,0,0,511,Wave Stadium Kariya,-1,,4,2026,,,,0,,0,,1001668,Motonori Mizutani,1002084,Ryutaro Hayashi,1001992,Tomohiro Abe,1002023,Nobutsugu Oda,422,Japan Rugby League One D2,Y,L,0,,0,,
1,948874,9023,Christian Leali'ifano,5210,Toyota Industries Shuttles Aichi,0.00,3.28,3,1,50,34,86,54,14,Restart,281,50m Restart,286,Restart Opp Collection,288,Long,753,Kicked Right,795,Kick Receipt Not Contested,0,,0,,0,,0,,0,,36,42,21,0,,1,0,1,0,0,5210,Toyota Industries Shuttles Aichi,591,Kamaishi Seawaves,17/01/2026,12:00,21,33,52,54,0,0,511,Wave Stadium Kariya,-1,,4,2026,10,10,Fly Half,0,,0,,1001668,Motonori Mizutani,1002084,Ryutaro Hayashi,1001992,Tomohiro Abe,1002023,Nobutsugu Oda,422,Japan Rugby League One D2,Y,L,0,,0,,
2,948874,19256,Sam Henwood,591,Kamaishi Seawaves,3.28,3.28,7,1,14,14,0,0,18,Collection,275,Restart Catch,277,Success,797,Kick Receipt Not Contested,1092,Non-Kicking Team,0,,0,,0,,0,,0,,0,,0,0,0,0,,1,1,1,0,0,5210,Toyota Industries Shuttles Aichi,591,Kamaishi Seawaves,17/01/2026,12:00,21,33,52,54,0,0,511,Wave Stadium Kariya,-1,,4,2026,08,8,Number 8,0,,0,,1001668,Motonori Mizutani,1002084,Ryutaro Hayashi,1001992,Tomohiro Abe,1002023,Nobutsugu Oda,422,Japan Rugby League One D2,N,W,0,,0,,
3,948874,0,,591,Kamaishi Seawaves,3.28,3.28,7,1,14,14,0,0,45,Defensive Exits,630,Kicked out of 22,0,,0,,0,,0,,0,,0,,0,,0,,0,,48,0,0,0,,1,1,1,0,0,5210,Toyota Industries Shuttles Aichi,591,Kamaishi Seawaves,17/01/2026,12:00,21,33,52,54,0,0,511,Wave Stadium Kariya,-1,,4,2026,,,,0,,0,,1001668,Motonori Mizutani,1002084,Ryutaro Hayashi,1001992,Tomohiro Abe,1002023,Nobutsugu Oda,422,Japan Rugby League One D2,N,W,0,,0,,
4,948874,19256,Sam Henwood,591,Kamaishi Seawaves,3.28,8.08,7,1,14,14,25,23,1,Carry,105,Restart Return,107,Tackled Dominant,109,Crossed Gain line,460,Dominant Contact,502,2 Tacklers Committed,700,0th Receiver,0,,0,,0,,0,,11,11,6,4,,1,1,1,0,0,5210,Toyota Industries Shuttles Aichi,591,Kamaishi Seawaves,17/01/2026,12:00,21,33,52,54,0,0,511,Wave Stadium Kariya,-1,,4,2026,08,8,Number 8,0,,0,,1001668,Motonori Mizutani,1002084,Ryutaro Hayashi,1001992,Tomohiro Abe,1002023,Nobutsugu Oda,422,Japan Rugby League One D2,N,W,62202,Takuma Oyama,5210,Toyota Industries Shuttles Aichi,8
5,948874,61876,Cheng Chao Yi,5210,Toyota Industries Shuttles Aichi,5.56,5.56,9,1,80,50,0,0,2,Tackle,142,Chase,161,Missed,0,,475,Ineffective Tackle,708,1st Tackler,0,,0,,0,,0,,0,,0,0,0,0,,1,1,1,0,0,5210,Toyota Industries Shuttles Aichi,591,Kamaishi Seawaves,17/01/2026,12:00,21,33,52,54,0,0,511,Wave Stadium Kariya,-1,,4,2026,07,7,Openside Flanker,0,,0,,1001668,Motonori Mizutani,1002084,Ryutaro Hayashi,1001992,Tomohiro Abe,1002023,Nobutsugu Oda,422,Japan Rugby League One D2,Y,L,19256,Sam Henwood,591,Kamaishi Seawaves,4
6,948874,61876,Cheng Chao Yi,5210,Toyota Industries Shuttles Aichi,5.56,5.56,9,1,80,50,0,0,12,Missed Tackle,163,Stepped,166,Tackled,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,,1,1,1,0,0,5210,Toyota Industries Shuttles Aichi,591,Kamaishi Seawaves,17/01/2026,12:00,21,33,52,54,0,0,511,Wave Stadium Kariya,-1,,4,2026,07,7,Openside Flanker,0,,0,,1001668,Motonori Mizutani,1002084,Ryutaro Hayashi,1001992,Tomohiro Abe,1002023,Nobutsugu Oda,422,Japan Rugby League One D2,Y,L,19256,Sam Henwood,591,Kamaishi Seawaves,4
7,948874,19256,Sam Henwood,591,Kamaishi Seawaves,5.60,5.60,9,1,20,18,0,0,10,Attacking Qualities,116,Defender Beaten,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,,1,1,1,0,0,5210,Toyota Industries Shuttles Aichi,591,Kamaishi Seawaves,17/01/2026,12:00,21,33,52,54,0,0,511,Wave Stadium Kariya,-1,,4,2026,08,8,Number 8,0,,0,,1001668,Motonori Mizutani,1002084,Ryutaro Hayashi,1001992,Tomohiro Abe,1002023,Nobutsugu Oda,422,Japan Rugby League One D2,N,W,0,,0,,
8,948874,62202,Takuma Oyama,5210,Toyota Industries Shuttles Aichi,6.04,6.04,9,1,78,47,0,0,2,Tackle,142,Chase,160,Passive,441,Assist,475,Ineffective Tackle,709,2nd Tackler,713,Legs,0,,0,,0,,0,,0,0,0,0,,1,1,1,0,0,5210,Toyota Industries Shuttles Aichi,591,Kamaishi Seawaves,17/01/2026,12:00,21,33,52,54,0,0,511,Wave Stadium Kariya,-1,,4,2026,02,2,Hooker,0,,0,,1001668,Motonori Mizutani,1002084,Ryutaro Hayashi,1001992,Tomohiro Abe,1002023,Nobutsugu Oda,422,Japan Rugby League One D2,Y,L,19256,Sam Henwood,591,Kamaishi Seawaves,4
9,948874,26762,Ryota Fukamura,5210,Toyota Industries Shuttles Aichi,6.28,6.28,10,1,78,47,0,0,40,Defensive Action,560,Tackle Arrival,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,,1,1,1,0,0,5210,Toyota Industries Shuttles Aichi,591,Kamaishi Seawaves,17/01/2026,12:00,21,33,52,54,0,0,511,Wave Stadium Kariya,-1,,4,2026,03,3,Tighthead Prop,0,,0,,1001668,Motonori Mizutani,1002084,Ryutaro Hayashi,1001992,Tomohiro Abe,1002023,Nobutsugu Oda,422,Japan Rugby League One D2,Y,L,0,,0,,
