ID,FXID,PLID,playerName,team_id,teamName,ps_timestamp,ps_endstamp,MatchTime,period,x_coord,y_coord,x_coord_end,y_coord_end,action,actionName,ActionType,ActionTypeName,Actionresult,ActionResultName,qualifier3,qualifier3Name,qualifier4,qualifier4Name,qualifier5,qualifier5Name,qualifier6,qualifier6Name,qualifier7,qualifier7Name,qualifier8,qualifier8Name,qualifier9,qualifier9Name,qualifier10,qualifier10Name,Metres,Metres2,Metres3,Metres4,UTCTime,PlayNum,SetNum,sequence_id,player_advantage,score_advantage,homeTeamID,homeTeamName,awayTeamID,awayTeamName,datePlayed,kickofftime,hometeamHTscore,awayteamHTscore,hometeamFTscore,awayteamFTscore,hometeamCurrentScore,awayteamCurrentScore,venueID,venueName,cityID,cityName,roundNumber,season,playerShirtNumber,playerpositionID,playerpositionName,homecoachID,homecoachName,awaycoachID,awaycoachName,refereeID,refereeName,assistantreferee1ID,assistantreferee1Name,assistantreferee2ID,assistantreferee2Name,videoReferee1ID,videoreferee1Name,competitionID,competitionName,isHome,result,assoc_player,assoc_playerName,assoc_playerTeam,assoc_playerTeamName,assoc_event_id
0,948876,590,,590,Kyushudenryoku KyudenVoltex,0.00,3.44,1,1,50,34,0,0,17,,407,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,,0,0,0,0,0,590,Kyushudenryoku KyudenVoltex,5206,Green Rockets Tokatsu,24/01/2026,12:00,7,12,19,21,0,0,898,Hakatanomori Athletic Stadium,-1,,4,2026,,,,0,,0,,1001799,Souta Ouchi,1001969,Junichiro Yotsuji,1002084,Ryutaro Hayashi,1001626,Tomohiro Koyama,422,Japan Rugby League One D2,Y,L,0,,0,,
1,948876,31841,Jude Gibbs,590,Kyushudenryoku KyudenVoltex,0.00,3.44,1,1,50,34,88,51,14,Restart,281,50m Restart,286,Restart Opp Collection,288,Long,753,Kicked Right,795,Kick Receipt Not Contested,0,,0,,0,,0,,0,,38,42,17,0,,1,0,1,0,0,590,Kyushudenryoku KyudenVoltex,5206,Green Rockets Tokatsu,24/01/2026,12:00,7,12,19,21,0,0,898,Hakatanomori Athletic Stadium,-1,,4,2026,10,10,Fly Half,0,,0,,1001799,Souta Ouchi,1001969,Junichiro Yotsuji,1002084,Ryutaro Hayashi,1001626,Tomohiro Koyama,422,Japan Rugby League One D2,Y,L,0,,0,,
2,948876,27036,Dylan Nel,5206,Green Rockets Tokatsu,3.44,3.44,5,1,12,17,0,0,18,Collection,275,Restart Catch,277,Success,797,Kick Receipt Not Contested,1092,Non-Kicking Team,0,,0,,0,,0,,0,,0,,0,0,0,0,,1,1,1,0,0,590,Kyushudenryoku KyudenVoltex,5206,Green Rockets Tokatsu,24/01/2026,12:00,7,12,19,21,0,0,898,Hakatanomori Athletic Stadium,-1,,4,2026,08,8,Number 8,0,,0,,1001799,Souta Ouchi,1001969,Junichiro Yotsuji,1002084,Ryutaro Hayashi,1001626,Tomohiro Koyama,422,Japan Rugby League One D2,N,W,0,,0,,
3,948876,0,,5206,Green Rockets Tokatsu,3.44,3.44,5,1,12,17,0,0,45,Defensive Exits,630,Kicked out of 22,0,,0,,0,,0,,0,,0,,0,,0,,0,,47,0,0,0,,1,1,1,0,0,590,Kyushudenryoku KyudenVoltex,5206,Green Rockets Tokatsu,24/01/2026,12:00,7,12,19,21,0,0,898,Hakatanomori Athletic Stadium,-1,,4,2026,,,,0,,0,,1001799,Souta Ouchi,1001969,Junichiro Yotsuji,1002084,Ryutaro Hayashi,1001626,Tomohiro Koyama,422,Japan Rugby League One D2,N,W,0,,0,,
4,948876,27036,Dylan Nel,5206,Green Rockets Tokatsu,3.44,7.92,5,1,12,17,23,14,1,Carry,105,Restart Return,107,Tackled Dominant,109,Crossed Gain line,460,Dominant Contact,501,1 Tacklers Committed,700,0th Receiver,0,,0,,0,,0,,11,11,3,3,,1,1,1,0,0,590,Kyushudenryoku KyudenVoltex,5206,Green Rockets Tokatsu,24/01/2026,12:00,7,12,19,21,0,0,898,Hakatanomori Athletic Stadium,-1,,4,2026,08,8,Number 8,0,,0,,1001799,Souta Ouchi,1001969,Junichiro Yotsuji,1002084,Ryutaro Hayashi,1001626,Tomohiro Koyama,422,Japan Rugby League One D2,N,W,28964,Shinichi Tanaka,590,Kyushudenryoku KyudenVoltex,5
5,948876,28964,Shinichi Tanaka,590,Kyushudenryoku KyudenVoltex,5.84,5.84,7,1,81,52,0,0,2,Tackle,142,Chase,160,Passive,0,,475,Ineffective Tackle,708,1st Tackler,713,Legs,0,,0,,0,,0,,0,0,0,0,,1,1,1,0,0,590,Kyushudenryoku KyudenVoltex,5206,Green Rockets Tokatsu,24/01/2026,12:00,7,12,19,21,0,0,898,Hakatanomori Athletic Stadium,-1,,4,2026,06,6,Blindside Flanker,0,,0,,1001799,Souta Ouchi,1001969,Junichiro Yotsuji,1002084,Ryutaro Hayashi,1001626,Tomohiro Koyama,422,Japan Rugby League One D2,Y,L,27036,Dylan Nel,5206,Green Rockets Tokatsu,4
6,948876,61523,Kim Kihyun,590,Kyushudenryoku KyudenVoltex,7.48,7.48,9,1,81,52,0,0,40,Defensive Action,560,Tackle Arrival,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,,1,1,1,0,0,590,Kyushudenryoku KyudenVoltex,5206,Green Rockets Tokatsu,24/01/2026,12:00,7,12,19,21,0,0,898,Hakatanomori Athletic Stadium,-1,,4,2026,08,8,Number 8,0,,0,,1001799,Souta Ouchi,1001969,Junichiro Yotsuji,1002084,Ryutaro Hayashi,1001626,Tomohiro Koyama,422,Japan Rugby League One D2,Y,L,0,,0,,
7,948876,27036,Dylan Nel,5206,Green Rockets Tokatsu,7.92,10.12,9,1,23,14,0,0,23,Ruck,0,,401,Won Outright,551,N/A Gainline,554,2-3 Seconds,664,Close Right Open Movement Ruck,0,,0,,0,,0,,0,,0,0,-11,5,,1,1,1,0,0,590,Kyushudenryoku KyudenVoltex,5206,Green Rockets Tokatsu,24/01/2026,12:00,7,12,19,21,0,0,898,Hakatanomori Athletic Stadium,-1,,4,2026,08,8,Number 8,0,,0,,1001799,Souta Ouchi,1001969,Junichiro Yotsuji,1002084,Ryutaro Hayashi,1001626,Tomohiro Koyama,422,Japan Rugby League One D2,N,W,61504,Yusuke Maruo,5206,Green Rockets Tokatsu,10
8,948876,70013,Keita Kimura,5206,Green Rockets Tokatsu,8.48,8.48,10,1,23,14,0,0,43,Ruck OOA,572,Cleaned Out,583,Own Team 1st Entry,588,OOA Entry 1st Entry- Att,632,Attacking OOA,0,,0,1,0,,0,,0,,0,,0,0,0,0,,1,1,1,0,0,590,Kyushudenryoku KyudenVoltex,5206,Green Rockets Tokatsu,24/01/2026,12:00,7,12,19,21,0,0,898,Hakatanomori Athletic Stadium,-1,,4,2026,01,1,Loosehead Prop,0,,0,,1001799,Souta Ouchi,1001969,Junichiro Yotsuji,1002084,Ryutaro Hayashi,1001626,Tomohiro Koyama,422,Japan Rugby League One D2,N,W,0,,0,,
9,948876,39096,Frank Lochore,5206,Green Rockets Tokatsu,8.72,8.72,10,1,23,14,0,0,43,Ruck OOA,572,Cleaned Out,584,Own Team 2nd Entry,589,OOA Entry 2nd Entry- Att,632,Attacking OOA,0,,0,2,0,,0,,0,,0,,0,0,0,0,,1,1,1,0,0,590,Kyushudenryoku KyudenVoltex,5206,Green Rockets Tokatsu,24/01/2026,12:00,7,12,19,21,0,0,898,Hakatanomori Athletic Stadium,-1,,4,2026,04,4,Lock (4),0,,0,,1001799,Souta Ouchi,1001969,Junichiro Yotsuji,1002084,Ryutaro Hayashi,1001626,Tomohiro Koyama,422,Japan Rugby League One D2,N,W,0,,0,,
