ID,FXID,PLID,playerName,team_id,teamName,ps_timestamp,ps_endstamp,MatchTime,period,x_coord,y_coord,x_coord_end,y_coord_end,action,actionName,ActionType,ActionTypeName,Actionresult,ActionResultName,qualifier3,qualifier3Name,qualifier4,qualifier4Name,qualifier5,qualifier5Name,qualifier6,qualifier6Name,qualifier7,qualifier7Name,qualifier8,qualifier8Name,qualifier9,qualifier9Name,qualifier10,qualifier10Name,Metres,Metres2,Metres3,Metres4,UTCTime,PlayNum,SetNum,sequence_id,player_advantage,score_advantage,homeTeamID,homeTeamName,awayTeamID,awayTeamName,datePlayed,kickofftime,hometeamHTscore,awayteamHTscore,hometeamFTscore,awayteamFTscore,hometeamCurrentScore,awayteamCurrentScore,venueID,venueName,cityID,cityName,roundNumber,season,playerShirtNumber,playerpositionID,playerpositionName,homecoachID,homecoachName,awaycoachID,awaycoachName,refereeID,refereeName,assistantreferee1ID,assistantreferee1Name,assistantreferee2ID,assistantreferee2Name,videoReferee1ID,videoreferee1Name,competitionID,competitionName,isHome,result,assoc_player,assoc_playerName,assoc_playerTeam,assoc_playerTeamName,assoc_event_id
0,948879,590,,590,Kyushudenryoku KyudenVoltex,0.00,3.56,1,1,50,33,0,0,17,,407,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,,0,0,0,0,0,590,Kyushudenryoku KyudenVoltex,5213,RedHurricanes Osaka,08/02/2026,14:30,0,7,3,7,0,0,898,Hakatanomori Athletic Stadium,-1,,5,2026,,,,0,,0,,1001807,Teruki Inanishi,1001985,Rikito Nobehara,1002109,Taiga Hirose,1001626,Tomohiro Koyama,422,Japan Rugby League One D2,Y,L,0,,0,,
1,948879,61963,Taiki Yamaguchi,5213,RedHurricanes Osaka,0.00,3.56,1,1,50,33,74,6,14,Restart,281,50m Restart,286,Restart Opp Collection,289,Short,752,Kicked Left,795,Kick Receipt Not Contested,0,,0,,0,,0,,0,,24,37,28,0,,1,0,1,0,0,590,Kyushudenryoku KyudenVoltex,5213,RedHurricanes Osaka,08/02/2026,14:30,0,7,3,7,0,0,898,Hakatanomori Athletic Stadium,-1,,5,2026,15,15,Full Back,0,,0,,1001807,Teruki Inanishi,1001985,Rikito Nobehara,1002109,Taiga Hirose,1001626,Tomohiro Koyama,422,Japan Rugby League One D2,N,W,0,,0,,
2,948879,22020,Sean Robinson,590,Kyushudenryoku KyudenVoltex,3.56,3.56,5,1,26,62,0,0,18,Collection,275,Restart Catch,277,Success,797,Kick Receipt Not Contested,1092,Non-Kicking Team,0,,0,,0,,0,,0,,0,,0,0,0,0,,1,1,1,0,0,590,Kyushudenryoku KyudenVoltex,5213,RedHurricanes Osaka,08/02/2026,14:30,0,7,3,7,0,0,898,Hakatanomori Athletic Stadium,-1,,5,2026,04,4,Lock (4),0,,0,,1001807,Teruki Inanishi,1001985,Rikito Nobehara,1002109,Taiga Hirose,1001626,Tomohiro Koyama,422,Japan Rugby League One D2,Y,L,0,,0,,
3,948879,22020,Sean Robinson,590,Kyushudenryoku KyudenVoltex,3.56,8.44,5,1,26,62,50,67,1,Carry,105,Restart Return,107,Tackled Dominant,109,Crossed Gain line,460,Dominant Contact,502,2 Tacklers Committed,700,0th Receiver,0,,0,,0,,0,,24,24,15,3,,1,1,1,0,0,590,Kyushudenryoku KyudenVoltex,5213,RedHurricanes Osaka,08/02/2026,14:30,0,7,3,7,0,0,898,Hakatanomori Athletic Stadium,-1,,5,2026,04,4,Lock (4),0,,0,,1001807,Teruki Inanishi,1001985,Rikito Nobehara,1002109,Taiga Hirose,1001626,Tomohiro Koyama,422,Japan Rugby League One D2,Y,L,29000,Akira Inoue,5213,RedHurricanes Osaka,8
4,948879,22020,Sean Robinson,590,Kyushudenryoku KyudenVoltex,5.40,5.40,7,1,32,65,0,0,10,Attacking Qualities,112,Initial Break,530,Line Break,749,No Points Scored,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,,1,1,1,0,0,590,Kyushudenryoku KyudenVoltex,5213,RedHurricanes Osaka,08/02/2026,14:30,0,7,3,7,0,0,898,Hakatanomori Athletic Stadium,-1,,5,2026,04,4,Lock (4),0,,0,,1001807,Teruki Inanishi,1001985,Rikito Nobehara,1002109,Taiga Hirose,1001626,Tomohiro Koyama,422,Japan Rugby League One D2,Y,L,0,,0,,
5,948879,29000,Akira Inoue,5213,RedHurricanes Osaka,6.16,6.16,7,1,65,3,0,0,2,Tackle,143,Cover,161,Missed,0,,475,Ineffective Tackle,708,1st Tackler,715,Upper Torso,0,,0,,0,,0,,0,0,0,0,,1,1,1,0,0,590,Kyushudenryoku KyudenVoltex,5213,RedHurricanes Osaka,08/02/2026,14:30,0,7,3,7,0,0,898,Hakatanomori Athletic Stadium,-1,,5,2026,09,9,Scrum Half,0,,0,,1001807,Teruki Inanishi,1001985,Rikito Nobehara,1002109,Taiga Hirose,1001626,Tomohiro Koyama,422,Japan Rugby League One D2,N,W,22020,Sean Robinson,590,Kyushudenryoku KyudenVoltex,3
6,948879,29000,Akira Inoue,5213,RedHurricanes Osaka,6.16,6.16,7,1,65,3,0,0,12,Missed Tackle,162,Bumped Off,167,Clean Break,0,,0,,0,,715,Upper Torso,0,,0,,0,,0,,0,0,0,0,,1,1,1,0,0,590,Kyushudenryoku KyudenVoltex,5213,RedHurricanes Osaka,08/02/2026,14:30,0,7,3,7,0,0,898,Hakatanomori Athletic Stadium,-1,,5,2026,09,9,Scrum Half,0,,0,,1001807,Teruki Inanishi,1001985,Rikito Nobehara,1002109,Taiga Hirose,1001626,Tomohiro Koyama,422,Japan Rugby League One D2,N,W,22020,Sean Robinson,590,Kyushudenryoku KyudenVoltex,3
7,948879,22020,Sean Robinson,590,Kyushudenryoku KyudenVoltex,6.32,6.32,7,1,35,65,0,0,10,Attacking Qualities,116,Defender Beaten,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,,1,1,1,0,0,590,Kyushudenryoku KyudenVoltex,5213,RedHurricanes Osaka,08/02/2026,14:30,0,7,3,7,0,0,898,Hakatanomori Athletic Stadium,-1,,5,2026,04,4,Lock (4),0,,0,,1001807,Teruki Inanishi,1001985,Rikito Nobehara,1002109,Taiga Hirose,1001626,Tomohiro Koyama,422,Japan Rugby League One D2,Y,L,0,,0,,
8,948879,29000,Akira Inoue,5213,RedHurricanes Osaka,8.00,8.00,9,1,54,2,0,0,2,Tackle,143,Cover,160,Passive,0,,475,Ineffective Tackle,709,2nd Tackler,713,Legs,0,,0,,0,,0,,0,0,0,0,,1,1,1,0,0,590,Kyushudenryoku KyudenVoltex,5213,RedHurricanes Osaka,08/02/2026,14:30,0,7,3,7,0,0,898,Hakatanomori Athletic Stadium,-1,,5,2026,09,9,Scrum Half,0,,0,,1001807,Teruki Inanishi,1001985,Rikito Nobehara,1002109,Taiga Hirose,1001626,Tomohiro Koyama,422,Japan Rugby League One D2,N,W,22020,Sean Robinson,590,Kyushudenryoku KyudenVoltex,3
9,948879,22020,Sean Robinson,590,Kyushudenryoku KyudenVoltex,8.44,12.76,10,1,50,67,0,0,23,Ruck,0,,401,Won Outright,551,N/A Gainline,556,4-5 Seconds,661,Mid Left Open Movement Ruck,0,,0,,0,,0,,0,,0,0,-2,10,,1,1,1,0,0,590,Kyushudenryoku KyudenVoltex,5213,RedHurricanes Osaka,08/02/2026,14:30,0,7,3,7,0,0,898,Hakatanomori Athletic Stadium,-1,,5,2026,04,4,Lock (4),0,,0,,1001807,Teruki Inanishi,1001985,Rikito Nobehara,1002109,Taiga Hirose,1001626,Tomohiro Koyama,422,Japan Rugby League One D2,Y,L,61521,Yusaku Kanda,590,Kyushudenryoku KyudenVoltex,14
