ID,FXID,PLID,playerName,team_id,teamName,ps_timestamp,ps_endstamp,MatchTime,period,x_coord,y_coord,x_coord_end,y_coord_end,action,actionName,ActionType,ActionTypeName,Actionresult,ActionResultName,qualifier3,qualifier3Name,qualifier4,qualifier4Name,qualifier5,qualifier5Name,qualifier6,qualifier6Name,qualifier7,qualifier7Name,qualifier8,qualifier8Name,qualifier9,qualifier9Name,qualifier10,qualifier10Name,Metres,Metres2,Metres3,Metres4,UTCTime,PlayNum,SetNum,sequence_id,player_advantage,score_advantage,homeTeamID,homeTeamName,awayTeamID,awayTeamName,datePlayed,kickofftime,hometeamHTscore,awayteamHTscore,hometeamFTscore,awayteamFTscore,hometeamCurrentScore,awayteamCurrentScore,venueID,venueName,cityID,cityName,roundNumber,season,playerShirtNumber,playerpositionID,playerpositionName,homecoachID,homecoachName,awaycoachID,awaycoachName,refereeID,refereeName,assistantreferee1ID,assistantreferee1Name,assistantreferee2ID,assistantreferee2Name,videoReferee1ID,videoreferee1Name,competitionID,competitionName,isHome,result,assoc_player,assoc_playerName,assoc_playerTeam,assoc_playerTeamName,assoc_event_id
0,948885,5210,,5210,Toyota Industries Shuttles Aichi,0.00,3.12,2,1,50,34,0,0,17,,407,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,,0,0,0,0,0,5210,Toyota Industries Shuttles Aichi,590,Kyushudenryoku KyudenVoltex,28/02/2026,14:30,42,7,68,28,0,0,173,Paloma Mizuho Rugby Stadium,-1,,7,2026,,,,0,,0,,1001799,Souta Ouchi,1001489,Masamichi Tatekawa,1002084,Ryutaro Hayashi,1002023,Nobutsugu Oda,422,Japan Rugby League One D2,Y,W,0,,0,,
1,948885,43686,Kiichi Uezato,590,Kyushudenryoku KyudenVoltex,0.00,3.12,2,1,50,34,64,56,14,Restart,281,50m Restart,286,Restart Opp Collection,289,Short,753,Kicked Right,796,Kick Receipt Contested,0,,0,,0,,0,,0,,14,26,22,0,,1,0,1,0,0,5210,Toyota Industries Shuttles Aichi,590,Kyushudenryoku KyudenVoltex,28/02/2026,14:30,42,7,68,28,0,0,173,Paloma Mizuho Rugby Stadium,-1,,7,2026,10,10,Fly Half,0,,0,,1001799,Souta Ouchi,1001489,Masamichi Tatekawa,1002084,Ryutaro Hayashi,1002023,Nobutsugu Oda,422,Japan Rugby League One D2,N,L,0,,0,,
2,948885,22020,Sean Robinson,590,Kyushudenryoku KyudenVoltex,3.04,3.04,5,1,64,56,0,0,40,Defensive Action,561,Aerial Kick Contest,0,,798,Kick Receipt Contested,1091,Kicking Team,0,,0,,0,,0,,0,,0,,0,0,0,0,,1,0,1,0,0,5210,Toyota Industries Shuttles Aichi,590,Kyushudenryoku KyudenVoltex,28/02/2026,14:30,42,7,68,28,0,0,173,Paloma Mizuho Rugby Stadium,-1,,7,2026,05,5,Lock (5),0,,0,,1001799,Souta Ouchi,1001489,Masamichi Tatekawa,1002084,Ryutaro Hayashi,1002023,Nobutsugu Oda,422,Japan Rugby League One D2,N,L,0,,0,,
3,948885,32518,Taishi Nakamura,5210,Toyota Industries Shuttles Aichi,3.12,3.12,5,1,36,12,0,0,18,Collection,437,Tap Back,277,Success,798,Kick Receipt Contested,1092,Non-Kicking Team,0,,0,,0,,0,,0,,0,,0,0,0,0,,1,1,1,0,0,5210,Toyota Industries Shuttles Aichi,590,Kyushudenryoku KyudenVoltex,28/02/2026,14:30,42,7,68,28,0,0,173,Paloma Mizuho Rugby Stadium,-1,,7,2026,04,4,Lock (4),0,,0,,1001799,Souta Ouchi,1001489,Masamichi Tatekawa,1002084,Ryutaro Hayashi,1002023,Nobutsugu Oda,422,Japan Rugby League One D2,Y,W,0,,0,,
4,948885,32518,Taishi Nakamura,5210,Toyota Industries Shuttles Aichi,3.12,5.24,5,1,36,12,35,17,3,Pass,169,Complete,0,,679,Short Pass,682,Right Pass,700,0th Receiver,0,,0,,0,,0,,0,,5,5,2,0,,1,1,1,0,0,5210,Toyota Industries Shuttles Aichi,590,Kyushudenryoku KyudenVoltex,28/02/2026,14:30,42,7,68,28,0,0,173,Paloma Mizuho Rugby Stadium,-1,,7,2026,04,4,Lock (4),0,,0,,1001799,Souta Ouchi,1001489,Masamichi Tatekawa,1002084,Ryutaro Hayashi,1002023,Nobutsugu Oda,422,Japan Rugby League One D2,Y,W,28972,Tom Florence,5210,Toyota Industries Shuttles Aichi,5
5,948885,28972,Tom Florence,5210,Toyota Industries Shuttles Aichi,5.24,5.24,7,1,35,17,0,0,18,Collection,274,Defensive Loose Ball,277,Success,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,,1,1,1,0,0,5210,Toyota Industries Shuttles Aichi,590,Kyushudenryoku KyudenVoltex,28/02/2026,14:30,42,7,68,28,0,0,173,Paloma Mizuho Rugby Stadium,-1,,7,2026,06,6,Blindside Flanker,0,,0,,1001799,Souta Ouchi,1001489,Masamichi Tatekawa,1002084,Ryutaro Hayashi,1002023,Nobutsugu Oda,422,Japan Rugby League One D2,Y,W,0,,0,,
6,948885,28972,Tom Florence,5210,Toyota Industries Shuttles Aichi,5.24,6.00,7,1,35,17,35,17,1,Carry,105,Restart Return,108,Tackled Neutral,111,Failed Gain line,461,Neutral Contact,501,1 Tacklers Committed,701,1st Receiver,0,,0,,0,,0,,0,0,0,0,,1,1,1,0,0,5210,Toyota Industries Shuttles Aichi,590,Kyushudenryoku KyudenVoltex,28/02/2026,14:30,42,7,68,28,0,0,173,Paloma Mizuho Rugby Stadium,-1,,7,2026,06,6,Blindside Flanker,0,,0,,1001799,Souta Ouchi,1001489,Masamichi Tatekawa,1002084,Ryutaro Hayashi,1002023,Nobutsugu Oda,422,Japan Rugby League One D2,Y,W,26485,Hiroki Murakawa,590,Kyushudenryoku KyudenVoltex,7
7,948885,26485,Hiroki Murakawa,590,Kyushudenryoku KyudenVoltex,5.52,5.52,7,1,66,51,0,0,2,Tackle,142,Chase,153,Complete,0,,474,Neutral Tackle,708,1st Tackler,715,Upper Torso,0,,0,,0,,0,,0,0,0,0,,1,1,1,0,0,5210,Toyota Industries Shuttles Aichi,590,Kyushudenryoku KyudenVoltex,28/02/2026,14:30,42,7,68,28,0,0,173,Paloma Mizuho Rugby Stadium,-1,,7,2026,02,2,Hooker,0,,0,,1001799,Souta Ouchi,1001489,Masamichi Tatekawa,1002084,Ryutaro Hayashi,1002023,Nobutsugu Oda,422,Japan Rugby League One D2,N,L,28972,Tom Florence,5210,Toyota Industries Shuttles Aichi,6
8,948885,28972,Tom Florence,5210,Toyota Industries Shuttles Aichi,6.00,9.92,8,1,35,17,0,0,23,Ruck,0,,401,Won Outright,551,N/A Gainline,555,3-4 Seconds,665,Close Left Blindside Movement Ruck,0,,0,,0,,0,,0,,0,0,3,6,,1,1,1,0,0,5210,Toyota Industries Shuttles Aichi,590,Kyushudenryoku KyudenVoltex,28/02/2026,14:30,42,7,68,28,0,0,173,Paloma Mizuho Rugby Stadium,-1,,7,2026,06,6,Blindside Flanker,0,,0,,1001799,Souta Ouchi,1001489,Masamichi Tatekawa,1002084,Ryutaro Hayashi,1002023,Nobutsugu Oda,422,Japan Rugby League One D2,Y,W,28932,Atsushi Yumoto,5210,Toyota Industries Shuttles Aichi,13
9,948885,26578,Yasuo Saruwatari,590,Kyushudenryoku KyudenVoltex,6.04,6.04,8,1,66,51,0,0,43,Ruck OOA,800,Other Defensive Arrival,583,Own Team 1st Entry,603,OOA Entry 1st Entry- Def,633,Defensive OOA,801,Jackal Attempt,0,1,0,,0,,0,,0,,0,0,0,0,,1,1,1,0,0,5210,Toyota Industries Shuttles Aichi,590,Kyushudenryoku KyudenVoltex,28/02/2026,14:30,42,7,68,28,0,0,173,Paloma Mizuho Rugby Stadium,-1,,7,2026,01,1,Loosehead Prop,0,,0,,1001799,Souta Ouchi,1001489,Masamichi Tatekawa,1002084,Ryutaro Hayashi,1002023,Nobutsugu Oda,422,Japan Rugby League One D2,N,L,0,,0,,
10,948885,28998,Tomoki Yamaguchi,5210,Toyota Industries Shuttles Aichi,6.72,6.72,8,1,35,17,0,0,43,Ruck OOA,574,Secured,583,Own Team 1st Entry,588,OOA Entry 1st Entry- Att,632,Attacking OOA,0,,0,2,0,,0,,0,,0,,0,0,0,0,,1,1,1,0,0,5210,Toyota Industries Shuttles Aichi,590,Kyushudenryoku KyudenVoltex,28/02/2026,14:30,42,7,68,28,0,0,173,Paloma Mizuho Rugby Stadium,-1,,7,2026,01,1,Loosehead Prop,0,,0,,1001799,Souta Ouchi,1001489,Masamichi Tatekawa,1002084,Ryutaro Hayashi,1002023,Nobutsugu Oda,422,Japan Rugby League One D2,Y,W,0,,0,,
11,948885,26485,Hiroki Murakawa,590,Kyushudenryoku KyudenVoltex,8.40,8.40,10,1,66,51,0,0,43,Ruck OOA,800,Other Defensive Arrival,584,Own Team 2nd Entry,604,OOA Entry 2nd Entry- Def,633,Defensive OOA,802,Counter Ruck Attempt,0,3,0,,0,,0,,0,,0,0,0,0,,1,1,1,0,0,5210,Toyota Industries Shuttles Aichi,590,Kyushudenryoku KyudenVoltex,28/02/2026,14:30,42,7,68,28,0,0,173,Paloma Mizuho Rugby Stadium,-1,,7,2026,02,2,Hooker,0,,0,,1001799,Souta Ouchi,1001489,Masamichi Tatekawa,1002084,Ryutaro Hayashi,1002023,Nobutsugu Oda,422,Japan Rugby League One D2,N,L,0,,0,,
