ID,FXID,PLID,playerName,team_id,teamName,ps_timestamp,ps_endstamp,MatchTime,period,x_coord,y_coord,x_coord_end,y_coord_end,action,actionName,ActionType,ActionTypeName,Actionresult,ActionResultName,qualifier3,qualifier3Name,qualifier4,qualifier4Name,qualifier5,qualifier5Name,qualifier6,qualifier6Name,qualifier7,qualifier7Name,qualifier8,qualifier8Name,qualifier9,qualifier9Name,qualifier10,qualifier10Name,Metres,Metres2,Metres3,Metres4,UTCTime,PlayNum,SetNum,sequence_id,player_advantage,score_advantage,homeTeamID,homeTeamName,awayTeamID,awayTeamName,datePlayed,kickofftime,hometeamHTscore,awayteamHTscore,hometeamFTscore,awayteamFTscore,hometeamCurrentScore,awayteamCurrentScore,venueID,venueName,cityID,cityName,roundNumber,season,playerShirtNumber,playerpositionID,playerpositionName,homecoachID,homecoachName,awaycoachID,awaycoachName,refereeID,refereeName,assistantreferee1ID,assistantreferee1Name,assistantreferee2ID,assistantreferee2Name,videoReferee1ID,videoreferee1Name,competitionID,competitionName,isHome,result,assoc_player,assoc_playerName,assoc_playerTeam,assoc_playerTeamName,assoc_event_id
0,948887,589,,589,Shimizu Koto Blue Sharks,0.00,4.68,1,1,50,34,0,0,17,,407,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,,0,0,0,0,0,589,Shimizu Koto Blue Sharks,5206,Green Rockets Tokatsu,28/02/2026,14:30,17,7,22,14,0,0,787,Koto Ward Yumenoshima Stadium,-1,,7,2026,,,,0,,0,,1001683,Masaki Kondo,1001664,Yohei Yonekura,1001506,Shinji Iida,1000818,Tasuku Kawahara,422,Japan Rugby League One D2,Y,W,0,,0,,
1,948887,32990,Reece MacDonald,5206,Green Rockets Tokatsu,0.00,4.68,1,1,50,34,77,57,14,Restart,281,50m Restart,286,Restart Opp Collection,289,Short,753,Kicked Right,795,Kick Receipt Not Contested,0,,0,,0,,0,,0,,27,35,23,0,,1,0,1,0,0,589,Shimizu Koto Blue Sharks,5206,Green Rockets Tokatsu,28/02/2026,14:30,17,7,22,14,0,0,787,Koto Ward Yumenoshima Stadium,-1,,7,2026,10,10,Fly Half,0,,0,,1001683,Masaki Kondo,1001664,Yohei Yonekura,1001506,Shinji Iida,1000818,Tasuku Kawahara,422,Japan Rugby League One D2,N,L,0,,0,,
2,948887,61533,Yushi Takai,589,Shimizu Koto Blue Sharks,4.68,4.68,5,1,24,11,0,0,18,Collection,275,Restart Catch,277,Success,797,Kick Receipt Not Contested,1092,Non-Kicking Team,0,,0,,0,,0,,0,,0,,0,0,0,0,,1,1,1,0,0,589,Shimizu Koto Blue Sharks,5206,Green Rockets Tokatsu,28/02/2026,14:30,17,7,22,14,0,0,787,Koto Ward Yumenoshima Stadium,-1,,7,2026,11,11,Left Wing,0,,0,,1001683,Masaki Kondo,1001664,Yohei Yonekura,1001506,Shinji Iida,1000818,Tasuku Kawahara,422,Japan Rugby League One D2,Y,W,0,,0,,
3,948887,61533,Yushi Takai,589,Shimizu Koto Blue Sharks,4.68,6.04,5,1,24,11,23,8,1,Carry,105,Restart Return,409,Tackled Ineffective,110,Neutral Gain line,462,Ineffective Contact,501,1 Tacklers Committed,700,0th Receiver,0,,0,,0,,0,,0,0,0,0,,1,1,1,0,0,589,Shimizu Koto Blue Sharks,5206,Green Rockets Tokatsu,28/02/2026,14:30,17,7,22,14,0,0,787,Koto Ward Yumenoshima Stadium,-1,,7,2026,11,11,Left Wing,0,,0,,1001683,Masaki Kondo,1001664,Yohei Yonekura,1001506,Shinji Iida,1000818,Tasuku Kawahara,422,Japan Rugby League One D2,Y,W,24192,Teruya Goto,5206,Green Rockets Tokatsu,4
4,948887,24192,Teruya Goto,5206,Green Rockets Tokatsu,4.96,4.96,5,1,77,57,0,0,2,Tackle,142,Chase,159,Sack,0,,473,Dominant Tackle,708,1st Tackler,715,Upper Torso,0,,0,,0,,0,,0,0,0,0,,1,1,1,0,0,589,Shimizu Koto Blue Sharks,5206,Green Rockets Tokatsu,28/02/2026,14:30,17,7,22,14,0,0,787,Koto Ward Yumenoshima Stadium,-1,,7,2026,14,14,Right Wing,0,,0,,1001683,Masaki Kondo,1001664,Yohei Yonekura,1001506,Shinji Iida,1000818,Tasuku Kawahara,422,Japan Rugby League One D2,N,L,61533,Yushi Takai,589,Shimizu Koto Blue Sharks,3
5,948887,61533,Yushi Takai,589,Shimizu Koto Blue Sharks,6.04,11.68,7,1,23,8,0,0,23,Ruck,0,,401,Won Outright,551,N/A Gainline,557,5-6 Seconds,662,Mid Right Open Movement Ruck,0,,0,,0,,0,,0,,0,0,0,10,,1,1,1,0,0,589,Shimizu Koto Blue Sharks,5206,Green Rockets Tokatsu,28/02/2026,14:30,17,7,22,14,0,0,787,Koto Ward Yumenoshima Stadium,-1,,7,2026,11,11,Left Wing,0,,0,,1001683,Masaki Kondo,1001664,Yohei Yonekura,1001506,Shinji Iida,1000818,Tasuku Kawahara,422,Japan Rugby League One D2,Y,W,26896,Harrison Goddard,589,Shimizu Koto Blue Sharks,10
6,948887,24345,Amanaki Taiyo Lotoahea,5206,Green Rockets Tokatsu,6.12,6.12,7,1,77,60,0,0,43,Ruck OOA,800,Other Defensive Arrival,583,Own Team 1st Entry,603,OOA Entry 1st Entry- Def,633,Defensive OOA,801,Jackal Attempt,0,1,0,,0,,0,,0,,0,0,0,0,,1,1,1,0,0,589,Shimizu Koto Blue Sharks,5206,Green Rockets Tokatsu,28/02/2026,14:30,17,7,22,14,0,0,787,Koto Ward Yumenoshima Stadium,-1,,7,2026,13,13,Outside Centre,0,,0,,1001683,Masaki Kondo,1001664,Yohei Yonekura,1001506,Shinji Iida,1000818,Tasuku Kawahara,422,Japan Rugby League One D2,N,L,0,,0,,
7,948887,59667,Sanshiro Nomura,589,Shimizu Koto Blue Sharks,6.48,6.48,7,1,23,8,0,0,43,Ruck OOA,572,Cleaned Out,583,Own Team 1st Entry,588,OOA Entry 1st Entry- Att,632,Attacking OOA,0,,0,2,0,,0,,0,,0,,0,0,0,0,,1,1,1,0,0,589,Shimizu Koto Blue Sharks,5206,Green Rockets Tokatsu,28/02/2026,14:30,17,7,22,14,0,0,787,Koto Ward Yumenoshima Stadium,-1,,7,2026,01,1,Loosehead Prop,0,,0,,1001683,Masaki Kondo,1001664,Yohei Yonekura,1001506,Shinji Iida,1000818,Tasuku Kawahara,422,Japan Rugby League One D2,Y,W,0,,0,,
8,948887,22829,Ed Holmes,589,Shimizu Koto Blue Sharks,6.68,6.68,7,1,23,8,0,0,43,Ruck OOA,572,Cleaned Out,584,Own Team 2nd Entry,589,OOA Entry 2nd Entry- Att,632,Attacking OOA,0,,0,3,0,,0,,0,,0,,0,0,0,0,,1,1,1,0,0,589,Shimizu Koto Blue Sharks,5206,Green Rockets Tokatsu,28/02/2026,14:30,17,7,22,14,0,0,787,Koto Ward Yumenoshima Stadium,-1,,7,2026,04,4,Lock (4),0,,0,,1001683,Masaki Kondo,1001664,Yohei Yonekura,1001506,Shinji Iida,1000818,Tasuku Kawahara,422,Japan Rugby League One D2,Y,W,0,,0,,
9,948887,29249,Sione Havili Talitui,589,Shimizu Koto Blue Sharks,8.24,8.24,9,1,23,8,0,0,43,Ruck OOA,574,Secured,585,Own Team 3rd Entry,590,OOA Entry 3rd Entry- Att,632,Attacking OOA,0,,0,4,0,,0,,0,,0,,0,0,0,0,,1,1,1,0,0,589,Shimizu Koto Blue Sharks,5206,Green Rockets Tokatsu,28/02/2026,14:30,17,7,22,14,0,0,787,Koto Ward Yumenoshima Stadium,-1,,7,2026,07,7,Openside Flanker,0,,0,,1001683,Masaki Kondo,1001664,Yohei Yonekura,1001506,Shinji Iida,1000818,Tasuku Kawahara,422,Japan Rugby League One D2,Y,W,0,,0,,
