ID,FXID,PLID,playerName,team_id,teamName,ps_timestamp,ps_endstamp,MatchTime,period,x_coord,y_coord,x_coord_end,y_coord_end,action,actionName,ActionType,ActionTypeName,Actionresult,ActionResultName,qualifier3,qualifier3Name,qualifier4,qualifier4Name,qualifier5,qualifier5Name,qualifier6,qualifier6Name,qualifier7,qualifier7Name,qualifier8,qualifier8Name,qualifier9,qualifier9Name,qualifier10,qualifier10Name,Metres,Metres2,Metres3,Metres4,UTCTime,PlayNum,SetNum,sequence_id,player_advantage,score_advantage,homeTeamID,homeTeamName,awayTeamID,awayTeamName,datePlayed,kickofftime,hometeamHTscore,awayteamHTscore,hometeamFTscore,awayteamFTscore,hometeamCurrentScore,awayteamCurrentScore,venueID,venueName,cityID,cityName,roundNumber,season,playerShirtNumber,playerpositionID,playerpositionName,homecoachID,homecoachName,awaycoachID,awaycoachName,refereeID,refereeName,assistantreferee1ID,assistantreferee1Name,assistantreferee2ID,assistantreferee2Name,videoReferee1ID,videoreferee1Name,competitionID,competitionName,isHome,result,assoc_player,assoc_playerName,assoc_playerTeam,assoc_playerTeamName,assoc_event_id
0,948897,19568,,19568,Hanazono Kintetsu Liners,0.00,7.40,0,1,50,34,0,0,17,,407,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,,0,0,0,0,0,19568,Hanazono Kintetsu Liners,5213,RedHurricanes Osaka,04/04/2026,14:30,17,19,36,31,0,0,171,Hanazono Rugby Stadium,-1,,10,2026,,,,0,,0,,1001505,Tetsuya Hirakawa,1001807,Teruki Inanishi,1002084,Ryutaro Hayashi,1002143,Kenji Koide,422,Japan Rugby League One D2,Y,W,0,,0,,
1,948897,24843,Manie Libbok,19568,Hanazono Kintetsu Liners,0.00,7.40,0,1,50,34,78,60,14,Restart,281,50m Restart,286,Restart Opp Collection,289,Short,753,Kicked Right,795,Kick Receipt Not Contested,0,,0,,0,,0,,0,,28,39,27,0,,1,0,1,0,0,19568,Hanazono Kintetsu Liners,5213,RedHurricanes Osaka,04/04/2026,14:30,17,19,36,31,0,0,171,Hanazono Rugby Stadium,-1,,10,2026,10,10,Fly Half,0,,0,,1001505,Tetsuya Hirakawa,1001807,Teruki Inanishi,1002084,Ryutaro Hayashi,1002143,Kenji Koide,422,Japan Rugby League One D2,Y,W,0,,0,,
2,948897,36575,Kanta Yamamoto,5213,RedHurricanes Osaka,7.40,7.40,7,1,22,8,0,0,18,Collection,275,Restart Catch,277,Success,797,Kick Receipt Not Contested,1092,Non-Kicking Team,0,,0,,0,,0,,0,,0,,0,0,0,0,,1,1,1,0,0,19568,Hanazono Kintetsu Liners,5213,RedHurricanes Osaka,04/04/2026,14:30,17,19,36,31,0,0,171,Hanazono Rugby Stadium,-1,,10,2026,11,11,Left Wing,0,,0,,1001505,Tetsuya Hirakawa,1001807,Teruki Inanishi,1002084,Ryutaro Hayashi,1002143,Kenji Koide,422,Japan Rugby League One D2,N,L,0,,0,,
3,948897,36575,Kanta Yamamoto,5213,RedHurricanes Osaka,7.40,8.96,7,1,22,8,26,8,1,Carry,105,Restart Return,107,Tackled Dominant,109,Crossed Gain line,460,Dominant Contact,501,1 Tacklers Committed,700,0th Receiver,0,,0,,0,,0,,4,4,1,1,,1,1,1,0,0,19568,Hanazono Kintetsu Liners,5213,RedHurricanes Osaka,04/04/2026,14:30,17,19,36,31,0,0,171,Hanazono Rugby Stadium,-1,,10,2026,11,11,Left Wing,0,,0,,1001505,Tetsuya Hirakawa,1001807,Teruki Inanishi,1002084,Ryutaro Hayashi,1002143,Kenji Koide,422,Japan Rugby League One D2,N,L,56001,Takahiro Hayashi,19568,Hanazono Kintetsu Liners,4
4,948897,56001,Takahiro Hayashi,19568,Hanazono Kintetsu Liners,8.44,8.44,8,1,75,60,0,0,2,Tackle,142,Chase,160,Passive,0,,475,Ineffective Tackle,708,1st Tackler,714,Lower Torso,0,,0,,0,,0,,0,0,0,0,,1,1,1,0,0,19568,Hanazono Kintetsu Liners,5213,RedHurricanes Osaka,04/04/2026,14:30,17,19,36,31,0,0,171,Hanazono Rugby Stadium,-1,,10,2026,11,11,Left Wing,0,,0,,1001505,Tetsuya Hirakawa,1001807,Teruki Inanishi,1002084,Ryutaro Hayashi,1002143,Kenji Koide,422,Japan Rugby League One D2,Y,W,36575,Kanta Yamamoto,5213,RedHurricanes Osaka,3
5,948897,27249,Patrick Stehlin,19568,Hanazono Kintetsu Liners,8.56,8.56,8,1,75,60,0,0,40,Defensive Action,560,Tackle Arrival,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,,1,1,1,0,0,19568,Hanazono Kintetsu Liners,5213,RedHurricanes Osaka,04/04/2026,14:30,17,19,36,31,0,0,171,Hanazono Rugby Stadium,-1,,10,2026,12,12,Inside Centre,0,,0,,1001505,Tetsuya Hirakawa,1001807,Teruki Inanishi,1002084,Ryutaro Hayashi,1002143,Kenji Koide,422,Japan Rugby League One D2,Y,W,0,,0,,
6,948897,36575,Kanta Yamamoto,5213,RedHurricanes Osaka,8.96,13.36,9,1,26,8,0,0,23,Ruck,0,,401,Won Outright,551,N/A Gainline,556,4-5 Seconds,662,Mid Right Open Movement Ruck,0,,0,,0,,0,,0,,0,0,-7,14,,1,1,1,0,0,19568,Hanazono Kintetsu Liners,5213,RedHurricanes Osaka,04/04/2026,14:30,17,19,36,31,0,0,171,Hanazono Rugby Stadium,-1,,10,2026,11,11,Left Wing,0,,0,,1001505,Tetsuya Hirakawa,1001807,Teruki Inanishi,1002084,Ryutaro Hayashi,1002143,Kenji Koide,422,Japan Rugby League One D2,N,L,66854,Yukito Akasako,5213,RedHurricanes Osaka,12
7,948897,27249,Patrick Stehlin,19568,Hanazono Kintetsu Liners,9.44,9.44,9,1,74,60,0,0,43,Ruck OOA,800,Other Defensive Arrival,583,Own Team 1st Entry,603,OOA Entry 1st Entry- Def,633,Defensive OOA,802,Counter Ruck Attempt,0,1,0,,0,,0,,0,,0,0,0,0,,1,1,1,0,0,19568,Hanazono Kintetsu Liners,5213,RedHurricanes Osaka,04/04/2026,14:30,17,19,36,31,0,0,171,Hanazono Rugby Stadium,-1,,10,2026,12,12,Inside Centre,0,,0,,1001505,Tetsuya Hirakawa,1001807,Teruki Inanishi,1002084,Ryutaro Hayashi,1002143,Kenji Koide,422,Japan Rugby League One D2,Y,W,0,,0,,
8,948897,66159,Ryusei Kaneko,5213,RedHurricanes Osaka,9.60,9.60,9,1,26,8,0,0,43,Ruck OOA,574,Secured,583,Own Team 1st Entry,588,OOA Entry 1st Entry- Att,632,Attacking OOA,0,,0,2,0,,0,,0,,0,,0,0,0,0,,1,1,1,0,0,19568,Hanazono Kintetsu Liners,5213,RedHurricanes Osaka,04/04/2026,14:30,17,19,36,31,0,0,171,Hanazono Rugby Stadium,-1,,10,2026,04,4,Lock (4),0,,0,,1001505,Tetsuya Hirakawa,1001807,Teruki Inanishi,1002084,Ryutaro Hayashi,1002143,Kenji Koide,422,Japan Rugby League One D2,N,L,0,,0,,
9,948897,37796,Hiromichi Sakamoto,5213,RedHurricanes Osaka,9.64,9.64,9,1,26,8,0,0,43,Ruck OOA,574,Secured,584,Own Team 2nd Entry,589,OOA Entry 2nd Entry- Att,632,Attacking OOA,0,,0,3,0,,0,,0,,0,,0,0,0,0,,1,1,1,0,0,19568,Hanazono Kintetsu Liners,5213,RedHurricanes Osaka,04/04/2026,14:30,17,19,36,31,0,0,171,Hanazono Rugby Stadium,-1,,10,2026,01,1,Loosehead Prop,0,,0,,1001505,Tetsuya Hirakawa,1001807,Teruki Inanishi,1002084,Ryutaro Hayashi,1002143,Kenji Koide,422,Japan Rugby League One D2,N,L,0,,0,,
