ID,FXID,PLID,playerName,team_id,teamName,ps_timestamp,ps_endstamp,MatchTime,period,x_coord,y_coord,x_coord_end,y_coord_end,action,actionName,ActionType,ActionTypeName,Actionresult,ActionResultName,qualifier3,qualifier3Name,qualifier4,qualifier4Name,qualifier5,qualifier5Name,qualifier6,qualifier6Name,qualifier7,qualifier7Name,qualifier8,qualifier8Name,qualifier9,qualifier9Name,qualifier10,qualifier10Name,Metres,Metres2,Metres3,Metres4,UTCTime,PlayNum,SetNum,sequence_id,player_advantage,score_advantage,homeTeamID,homeTeamName,awayTeamID,awayTeamName,datePlayed,kickofftime,hometeamHTscore,awayteamHTscore,hometeamFTscore,awayteamFTscore,hometeamCurrentScore,awayteamCurrentScore,venueID,venueName,cityID,cityName,roundNumber,season,playerShirtNumber,playerpositionID,playerpositionName,homecoachID,homecoachName,awaycoachID,awaycoachName,refereeID,refereeName,assistantreferee1ID,assistantreferee1Name,assistantreferee2ID,assistantreferee2Name,videoReferee1ID,videoreferee1Name,competitionID,competitionName,isHome,result,assoc_player,assoc_playerName,assoc_playerTeam,assoc_playerTeamName,assoc_event_id
0,948900,591,,591,Kamaishi Seawaves,0.00,4.20,0,1,50,33,0,0,17,,407,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,,0,0,0,0,0,591,Kamaishi Seawaves,5210,Toyota Industries Shuttles Aichi,04/04/2026,12:00,8,12,27,52,0,0,517,Iwagin Stadium,-1,,10,2026,,,,0,,0,,1001799,Souta Ouchi,1001968,Ryosuke Yamatani,1001961,Asahi Takara,396,Mayumi Takahashi,422,Japan Rugby League One D2,Y,L,0,,0,,
1,948900,59059,Kazushi Ochi,591,Kamaishi Seawaves,0.00,4.20,0,1,50,33,73,27,14,Restart,281,50m Restart,286,Restart Opp Collection,289,Short,752,Kicked Left,795,Kick Receipt Not Contested,0,,0,,0,,0,,0,,24,24,7,0,,1,0,1,0,0,591,Kamaishi Seawaves,5210,Toyota Industries Shuttles Aichi,04/04/2026,12:00,8,12,27,52,0,0,517,Iwagin Stadium,-1,,10,2026,10,10,Fly Half,0,,0,,1001799,Souta Ouchi,1001968,Ryosuke Yamatani,1001961,Asahi Takara,396,Mayumi Takahashi,422,Japan Rugby League One D2,Y,L,0,,0,,
2,948900,33336,Fritz Jahnke-Tavana,5210,Toyota Industries Shuttles Aichi,4.20,4.20,4,1,27,41,0,0,18,Collection,275,Restart Catch,277,Success,797,Kick Receipt Not Contested,1092,Non-Kicking Team,0,,0,,0,,0,,0,,0,,0,0,0,0,,1,1,1,0,0,591,Kamaishi Seawaves,5210,Toyota Industries Shuttles Aichi,04/04/2026,12:00,8,12,27,52,0,0,517,Iwagin Stadium,-1,,10,2026,05,5,Lock (5),0,,0,,1001799,Souta Ouchi,1001968,Ryosuke Yamatani,1001961,Asahi Takara,396,Mayumi Takahashi,422,Japan Rugby League One D2,N,W,0,,0,,
3,948900,33336,Fritz Jahnke-Tavana,5210,Toyota Industries Shuttles Aichi,4.20,7.96,4,1,27,41,25,42,1,Carry,105,Restart Return,409,Tackled Ineffective,111,Failed Gain line,462,Ineffective Contact,501,1 Tacklers Committed,700,0th Receiver,0,,0,,0,,0,,0,0,0,0,,1,1,1,0,0,591,Kamaishi Seawaves,5210,Toyota Industries Shuttles Aichi,04/04/2026,12:00,8,12,27,52,0,0,517,Iwagin Stadium,-1,,10,2026,05,5,Lock (5),0,,0,,1001799,Souta Ouchi,1001968,Ryosuke Yamatani,1001961,Asahi Takara,396,Mayumi Takahashi,422,Japan Rugby League One D2,N,W,58069,Satoshi Hatazawa,591,Kamaishi Seawaves,4
4,948900,58069,Satoshi Hatazawa,591,Kamaishi Seawaves,4.48,4.48,4,1,73,27,0,0,2,Tackle,142,Chase,159,Sack,0,,473,Dominant Tackle,708,1st Tackler,714,Lower Torso,0,,0,,0,,0,,0,0,0,0,,1,1,1,0,0,591,Kamaishi Seawaves,5210,Toyota Industries Shuttles Aichi,04/04/2026,12:00,8,12,27,52,0,0,517,Iwagin Stadium,-1,,10,2026,05,5,Lock (5),0,,0,,1001799,Souta Ouchi,1001968,Ryosuke Yamatani,1001961,Asahi Takara,396,Mayumi Takahashi,422,Japan Rugby League One D2,Y,L,33336,Fritz Jahnke-Tavana,5210,Toyota Industries Shuttles Aichi,3
5,948900,33336,Fritz Jahnke-Tavana,5210,Toyota Industries Shuttles Aichi,7.96,12.56,8,1,25,42,0,0,23,Ruck,0,,401,Won Outright,551,N/A Gainline,556,4-5 Seconds,662,Mid Right Open Movement Ruck,0,,0,,0,,0,,0,,0,0,1,10,,1,1,1,0,0,591,Kamaishi Seawaves,5210,Toyota Industries Shuttles Aichi,04/04/2026,12:00,8,12,27,52,0,0,517,Iwagin Stadium,-1,,10,2026,05,5,Lock (5),0,,0,,1001799,Souta Ouchi,1001968,Ryosuke Yamatani,1001961,Asahi Takara,396,Mayumi Takahashi,422,Japan Rugby League One D2,N,W,29263,Takumi Sue,5210,Toyota Industries Shuttles Aichi,9
6,948900,62202,Takuma Oyama,5210,Toyota Industries Shuttles Aichi,8.16,8.16,8,1,25,42,0,0,43,Ruck OOA,574,Secured,583,Own Team 1st Entry,588,OOA Entry 1st Entry- Att,632,Attacking OOA,0,,0,1,0,,0,,0,,0,,0,0,0,0,,1,1,1,0,0,591,Kamaishi Seawaves,5210,Toyota Industries Shuttles Aichi,04/04/2026,12:00,8,12,27,52,0,0,517,Iwagin Stadium,-1,,10,2026,02,2,Hooker,0,,0,,1001799,Souta Ouchi,1001968,Ryosuke Yamatani,1001961,Asahi Takara,396,Mayumi Takahashi,422,Japan Rugby League One D2,N,W,0,,0,,
7,948900,28993,Nobuhisa Takahashi,5210,Toyota Industries Shuttles Aichi,8.72,8.72,9,1,25,42,0,0,43,Ruck OOA,574,Secured,584,Own Team 2nd Entry,589,OOA Entry 2nd Entry- Att,632,Attacking OOA,0,,0,2,0,,0,,0,,0,,0,0,0,0,,1,1,1,0,0,591,Kamaishi Seawaves,5210,Toyota Industries Shuttles Aichi,04/04/2026,12:00,8,12,27,52,0,0,517,Iwagin Stadium,-1,,10,2026,03,3,Tighthead Prop,0,,0,,1001799,Souta Ouchi,1001968,Ryosuke Yamatani,1001961,Asahi Takara,396,Mayumi Takahashi,422,Japan Rugby League One D2,N,W,0,,0,,
8,948900,39120,Isileli Manu,5210,Toyota Industries Shuttles Aichi,9.92,9.92,10,1,25,42,0,0,43,Ruck OOA,574,Secured,585,Own Team 3rd Entry,590,OOA Entry 3rd Entry- Att,632,Attacking OOA,0,,0,3,0,,0,,0,,0,,0,0,0,0,,1,1,1,0,0,591,Kamaishi Seawaves,5210,Toyota Industries Shuttles Aichi,04/04/2026,12:00,8,12,27,52,0,0,517,Iwagin Stadium,-1,,10,2026,08,8,Number 8,0,,0,,1001799,Souta Ouchi,1001968,Ryosuke Yamatani,1001961,Asahi Takara,396,Mayumi Takahashi,422,Japan Rugby League One D2,N,W,0,,0,,
9,948900,29263,Takumi Sue,5210,Toyota Industries Shuttles Aichi,12.56,12.56,12,1,25,42,0,0,18,Collection,631,General Catch,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,,2,1,1,0,0,591,Kamaishi Seawaves,5210,Toyota Industries Shuttles Aichi,04/04/2026,12:00,8,12,27,52,0,0,517,Iwagin Stadium,-1,,10,2026,09,9,Scrum Half,0,,0,,1001799,Souta Ouchi,1001968,Ryosuke Yamatani,1001961,Asahi Takara,396,Mayumi Takahashi,422,Japan Rugby League One D2,N,W,0,,0,,
10,948900,29263,Takumi Sue,5210,Toyota Industries Shuttles Aichi,12.56,12.56,12,1,25,42,0,0,47,Playmaker Options,671,Halfback at Breakdown,675,Playmaker Option - Pass,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,,2,1,1,0,0,591,Kamaishi Seawaves,5210,Toyota Industries Shuttles Aichi,04/04/2026,12:00,8,12,27,52,0,0,517,Iwagin Stadium,-1,,10,2026,09,9,Scrum Half,0,,0,,1001799,Souta Ouchi,1001968,Ryosuke Yamatani,1001961,Asahi Takara,396,Mayumi Takahashi,422,Japan Rugby League One D2,N,W,0,,0,,
11,948900,29263,Takumi Sue,5210,Toyota Industries Shuttles Aichi,12.64,13.32,13,1,25,42,19,51,3,Pass,169,Complete,0,,686,Medium Pass,682,Right Pass,700,0th Receiver,0,,0,,0,,0,,0,,9,11,6,0,,2,1,1,0,0,591,Kamaishi Seawaves,5210,Toyota Industries Shuttles Aichi,04/04/2026,12:00,8,12,27,52,0,0,517,Iwagin Stadium,-1,,10,2026,09,9,Scrum Half,0,,0,,1001799,Souta Ouchi,1001968,Ryosuke Yamatani,1001961,Asahi Takara,396,Mayumi Takahashi,422,Japan Rugby League One D2,N,W,61828,Otuhouma Siale,5210,Toyota Industries Shuttles Aichi,12
12,948900,61828,Otuhouma Siale,5210,Toyota Industries Shuttles Aichi,13.32,13.32,13,1,19,51,0,0,18,Collection,631,General Catch,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,,2,1,1,0,0,591,Kamaishi Seawaves,5210,Toyota Industries Shuttles Aichi,04/04/2026,12:00,8,12,27,52,0,0,517,Iwagin Stadium,-1,,10,2026,1,1,Loosehead Prop,0,,0,,1001799,Souta Ouchi,1001968,Ryosuke Yamatani,1001961,Asahi Takara,396,Mayumi Takahashi,422,Japan Rugby League One D2,N,W,0,,0,,
13,948900,0,,5210,Toyota Industries Shuttles Aichi,13.32,13.32,13,1,19,51,0,0,45,Defensive Exits,629,Carried out of 22,0,,0,,0,,0,,0,,0,,0,,0,,0,,46,0,0,0,,2,1,1,0,0,591,Kamaishi Seawaves,5210,Toyota Industries Shuttles Aichi,04/04/2026,12:00,8,12,27,52,0,0,517,Iwagin Stadium,-1,,10,2026,,,,0,,0,,1001799,Souta Ouchi,1001968,Ryosuke Yamatani,1001961,Asahi Takara,396,Mayumi Takahashi,422,Japan Rugby League One D2,N,W,0,,0,,
14,948900,61828,Otuhouma Siale,5210,Toyota Industries Shuttles Aichi,13.32,13.32,13,1,19,51,0,0,47,Playmaker Options,656,First Receiver,673,Playmaker Option - Carry,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,,2,1,1,0,0,591,Kamaishi Seawaves,5210,Toyota Industries Shuttles Aichi,04/04/2026,12:00,8,12,27,52,0,0,517,Iwagin Stadium,-1,,10,2026,1,1,Loosehead Prop,0,,0,,1001799,Souta Ouchi,1001968,Ryosuke Yamatani,1001961,Asahi Takara,396,Mayumi Takahashi,422,Japan Rugby League One D2,N,W,0,,0,,
15,948900,61828,Otuhouma Siale,5210,Toyota Industries Shuttles Aichi,13.32,16.48,13,1,19,51,26,52,1,Carry,101,One Out Drive,108,Tackled Neutral,109,Crossed Gain line,461,Neutral Contact,502,2 Tacklers Committed,701,1st Receiver,0,,0,,0,,0,,1,7,0,0,,2,1,1,0,0,591,Kamaishi Seawaves,5210,Toyota Industries Shuttles Aichi,04/04/2026,12:00,8,12,27,52,0,0,517,Iwagin Stadium,-1,,10,2026,1,1,Loosehead Prop,0,,0,,1001799,Souta Ouchi,1001968,Ryosuke Yamatani,1001961,Asahi Takara,396,Mayumi Takahashi,422,Japan Rugby League One D2,N,W,23992,Benjamin Nee-Nee,591,Kamaishi Seawaves,16
16,948900,23992,Benjamin Nee-Nee,591,Kamaishi Seawaves,14.36,14.36,14,1,74,16,0,0,2,Tackle,144,Line,153,Complete,0,,474,Neutral Tackle,708,1st Tackler,715,Upper Torso,0,,0,,0,,0,,0,0,0,0,,2,1,1,0,0,591,Kamaishi Seawaves,5210,Toyota Industries Shuttles Aichi,04/04/2026,12:00,8,12,27,52,0,0,517,Iwagin Stadium,-1,,10,2026,04,4,Lock (4),0,,0,,1001799,Souta Ouchi,1001968,Ryosuke Yamatani,1001961,Asahi Takara,396,Mayumi Takahashi,422,Japan Rugby League One D2,Y,L,61828,Otuhouma Siale,5210,Toyota Industries Shuttles Aichi,15
17,948900,40654,Taiki Ito,591,Kamaishi Seawaves,14.52,14.52,14,1,74,16,0,0,2,Tackle,144,Line,153,Complete,441,Assist,474,Neutral Tackle,709,2nd Tackler,713,Legs,0,,0,,0,,0,,0,0,0,0,,2,1,1,0,0,591,Kamaishi Seawaves,5210,Toyota Industries Shuttles Aichi,04/04/2026,12:00,8,12,27,52,0,0,517,Iwagin Stadium,-1,,10,2026,02,2,Hooker,0,,0,,1001799,Souta Ouchi,1001968,Ryosuke Yamatani,1001961,Asahi Takara,396,Mayumi Takahashi,422,Japan Rugby League One D2,Y,L,61828,Otuhouma Siale,5210,Toyota Industries Shuttles Aichi,15
