ID,FXID,PLID,playerName,team_id,teamName,ps_timestamp,ps_endstamp,MatchTime,period,x_coord,y_coord,x_coord_end,y_coord_end,action,actionName,ActionType,ActionTypeName,Actionresult,ActionResultName,qualifier3,qualifier3Name,qualifier4,qualifier4Name,qualifier5,qualifier5Name,qualifier6,qualifier6Name,qualifier7,qualifier7Name,qualifier8,qualifier8Name,qualifier9,qualifier9Name,qualifier10,qualifier10Name,Metres,Metres2,Metres3,Metres4,UTCTime,PlayNum,SetNum,sequence_id,player_advantage,score_advantage,homeTeamID,homeTeamName,awayTeamID,awayTeamName,datePlayed,kickofftime,hometeamHTscore,awayteamHTscore,hometeamFTscore,awayteamFTscore,hometeamCurrentScore,awayteamCurrentScore,venueID,venueName,cityID,cityName,roundNumber,season,playerShirtNumber,playerpositionID,playerpositionName,homecoachID,homecoachName,awaycoachID,awaycoachName,refereeID,refereeName,assistantreferee1ID,assistantreferee1Name,assistantreferee2ID,assistantreferee2Name,videoReferee1ID,videoreferee1Name,competitionID,competitionName,isHome,result,assoc_player,assoc_playerName,assoc_playerTeam,assoc_playerTeamName,assoc_event_id
0,948901,5210,,5210,Toyota Industries Shuttles Aichi,0.00,5.48,4,1,50,34,0,0,17,,407,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,,0,0,0,0,0,5210,Toyota Industries Shuttles Aichi,5206,Green Rockets Tokatsu,11/04/2026,12:00,19,19,59,31,0,0,511,Wave Stadium Kariya,-1,,11,2026,,,,0,,0,,1001473,Takehito Namekawa,1001668,Motonori Mizutani,1001506,Shinji Iida,396,Mayumi Takahashi,422,Japan Rugby League One D2,Y,W,0,,0,,
1,948901,26101,Noah Lolesio,5210,Toyota Industries Shuttles Aichi,0.00,5.48,4,1,50,34,80,46,14,Restart,281,50m Restart,286,Restart Opp Collection,288,Long,753,Kicked Right,795,Kick Receipt Not Contested,0,,0,,0,,0,,0,,30,32,12,0,,1,0,1,0,0,5210,Toyota Industries Shuttles Aichi,5206,Green Rockets Tokatsu,11/04/2026,12:00,19,19,59,31,0,0,511,Wave Stadium Kariya,-1,,11,2026,10,10,Fly Half,0,,0,,1001473,Takehito Namekawa,1001668,Motonori Mizutani,1001506,Shinji Iida,396,Mayumi Takahashi,422,Japan Rugby League One D2,Y,W,0,,0,,
2,948901,27128,Chance Peni,5210,Toyota Industries Shuttles Aichi,3.96,3.96,8,1,72,44,0,0,40,Defensive Action,561,Aerial Kick Contest,0,,797,Kick Receipt Not Contested,1091,Kicking Team,0,,0,,0,,0,,0,,0,,0,0,0,0,,1,0,1,0,0,5210,Toyota Industries Shuttles Aichi,5206,Green Rockets Tokatsu,11/04/2026,12:00,19,19,59,31,0,0,511,Wave Stadium Kariya,-1,,11,2026,14,14,Right Wing,0,,0,,1001473,Takehito Namekawa,1001668,Motonori Mizutani,1001506,Shinji Iida,396,Mayumi Takahashi,422,Japan Rugby League One D2,Y,W,0,,0,,
3,948901,36567,Tatsuya Fujii,5206,Green Rockets Tokatsu,5.48,5.48,10,1,20,22,0,0,18,Collection,275,Restart Catch,277,Success,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,,1,1,1,0,0,5210,Toyota Industries Shuttles Aichi,5206,Green Rockets Tokatsu,11/04/2026,12:00,19,19,59,31,0,0,511,Wave Stadium Kariya,-1,,11,2026,09,9,Scrum Half,0,,0,,1001473,Takehito Namekawa,1001668,Motonori Mizutani,1001506,Shinji Iida,396,Mayumi Takahashi,422,Japan Rugby League One D2,N,L,0,,0,,
4,948901,0,,5206,Green Rockets Tokatsu,5.48,5.48,10,1,20,22,0,0,45,Defensive Exits,630,Kicked out of 22,0,,0,,0,,0,,0,,0,,0,,0,,0,,36,0,0,0,,1,1,1,0,0,5210,Toyota Industries Shuttles Aichi,5206,Green Rockets Tokatsu,11/04/2026,12:00,19,19,59,31,0,0,511,Wave Stadium Kariya,-1,,11,2026,,,,0,,0,,1001473,Takehito Namekawa,1001668,Motonori Mizutani,1001506,Shinji Iida,396,Mayumi Takahashi,422,Japan Rugby League One D2,N,L,0,,0,,
5,948901,36567,Tatsuya Fujii,5206,Green Rockets Tokatsu,5.76,7.40,10,1,18,23,10,32,3,Pass,174,Incomplete,0,,686,Medium Pass,682,Right Pass,700,0th Receiver,0,,0,,0,,0,,0,,9,12,8,0,,1,1,1,0,0,5210,Toyota Industries Shuttles Aichi,5206,Green Rockets Tokatsu,11/04/2026,12:00,19,19,59,31,0,0,511,Wave Stadium Kariya,-1,,11,2026,09,9,Scrum Half,0,,0,,1001473,Takehito Namekawa,1001668,Motonori Mizutani,1001506,Shinji Iida,396,Mayumi Takahashi,422,Japan Rugby League One D2,N,L,32990,Reece MacDonald,5206,Green Rockets Tokatsu,6
6,948901,32990,Reece MacDonald,5206,Green Rockets Tokatsu,7.40,7.40,12,1,10,32,0,0,18,Collection,272,Attacking Loose Ball,277,Success,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,,1,1,1,0,0,5210,Toyota Industries Shuttles Aichi,5206,Green Rockets Tokatsu,11/04/2026,12:00,19,19,59,31,0,0,511,Wave Stadium Kariya,-1,,11,2026,10,10,Fly Half,0,,0,,1001473,Takehito Namekawa,1001668,Motonori Mizutani,1001506,Shinji Iida,396,Mayumi Takahashi,422,Japan Rugby League One D2,N,L,0,,0,,
7,948901,32990,Reece MacDonald,5206,Green Rockets Tokatsu,8.32,11.56,13,1,11,37,56,46,4,Kick,190,Territorial,199,Collected Bounce,186,Kick in Play (Own 22),0,,795,Kick Receipt Not Contested,0,,0,,0,,0,,0,,45,46,0,0,,1,1,1,0,0,5210,Toyota Industries Shuttles Aichi,5206,Green Rockets Tokatsu,11/04/2026,12:00,19,19,59,31,0,0,511,Wave Stadium Kariya,-1,,11,2026,10,10,Fly Half,0,,0,,1001473,Takehito Namekawa,1001668,Motonori Mizutani,1001506,Shinji Iida,396,Mayumi Takahashi,422,Japan Rugby League One D2,N,L,0,,0,,
8,948901,0,,5206,Green Rockets Tokatsu,5.48,11.56,16,1,20,22,56,46,15,Possession,307,50m Restart,351,Kick in Play,0,,684,Fails to enter into Opposition 22,0,,0,,0,,0,,0,,0,,36,0,0,0,,1,1,1,0,0,5210,Toyota Industries Shuttles Aichi,5206,Green Rockets Tokatsu,11/04/2026,12:00,19,19,59,31,0,0,511,Wave Stadium Kariya,-1,,11,2026,,,,0,,0,,1001473,Takehito Namekawa,1001668,Motonori Mizutani,1001506,Shinji Iida,396,Mayumi Takahashi,422,Japan Rugby League One D2,N,L,0,,0,,
9,948901,19908,Josua Kerevi,5210,Toyota Industries Shuttles Aichi,11.56,11.56,16,1,44,22,0,0,18,Collection,274,Defensive Loose Ball,277,Success,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,,1,2,1,0,0,5210,Toyota Industries Shuttles Aichi,5206,Green Rockets Tokatsu,11/04/2026,12:00,19,19,59,31,0,0,511,Wave Stadium Kariya,-1,,11,2026,15,15,Full Back,0,,0,,1001473,Takehito Namekawa,1001668,Motonori Mizutani,1001506,Shinji Iida,396,Mayumi Takahashi,422,Japan Rugby League One D2,Y,W,0,,0,,
