ID,FXID,PLID,playerName,team_id,teamName,ps_timestamp,ps_endstamp,MatchTime,period,x_coord,y_coord,x_coord_end,y_coord_end,action,actionName,ActionType,ActionTypeName,Actionresult,ActionResultName,qualifier3,qualifier3Name,qualifier4,qualifier4Name,qualifier5,qualifier5Name,qualifier6,qualifier6Name,qualifier7,qualifier7Name,qualifier8,qualifier8Name,qualifier9,qualifier9Name,qualifier10,qualifier10Name,Metres,Metres2,Metres3,Metres4,UTCTime,PlayNum,SetNum,sequence_id,player_advantage,score_advantage,homeTeamID,homeTeamName,awayTeamID,awayTeamName,datePlayed,kickofftime,hometeamHTscore,awayteamHTscore,hometeamFTscore,awayteamFTscore,hometeamCurrentScore,awayteamCurrentScore,venueID,venueName,cityID,cityName,roundNumber,season,playerShirtNumber,playerpositionID,playerpositionName,homecoachID,homecoachName,awaycoachID,awaycoachName,refereeID,refereeName,assistantreferee1ID,assistantreferee1Name,assistantreferee2ID,assistantreferee2Name,videoReferee1ID,videoreferee1Name,competitionID,competitionName,isHome,result,assoc_player,assoc_playerName,assoc_playerTeam,assoc_playerTeamName,assoc_event_id
0,948902,590,,590,Kyushudenryoku KyudenVoltex,0.00,3.52,2,1,50,34,0,0,17,,407,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,,0,0,0,0,0,590,Kyushudenryoku KyudenVoltex,591,Kamaishi Seawaves,12/04/2026,12:00,15,10,36,24,0,0,786,Ekimae Real Estate Stadium,-1,,11,2026,,,,0,,0,,1001985,Rikito Nobehara,1001490,Ibuki Tetsuka,1001798,Shuhei Hamada,1001609,Eri Kamimura,422,Japan Rugby League One D2,Y,W,0,,0,,
1,948902,43686,Kiichi Uezato,590,Kyushudenryoku KyudenVoltex,0.00,3.52,2,1,50,34,84,53,14,Restart,281,50m Restart,286,Restart Opp Collection,288,Long,753,Kicked Right,795,Kick Receipt Not Contested,0,,0,,0,,0,,0,,34,39,20,0,,1,0,1,0,0,590,Kyushudenryoku KyudenVoltex,591,Kamaishi Seawaves,12/04/2026,12:00,15,10,36,24,0,0,786,Ekimae Real Estate Stadium,-1,,11,2026,10,10,Fly Half,0,,0,,1001985,Rikito Nobehara,1001490,Ibuki Tetsuka,1001798,Shuhei Hamada,1001609,Eri Kamimura,422,Japan Rugby League One D2,Y,W,0,,0,,
2,948902,59059,Kazushi Ochi,591,Kamaishi Seawaves,3.52,3.52,5,1,16,15,0,0,18,Collection,275,Restart Catch,277,Success,797,Kick Receipt Not Contested,1092,Non-Kicking Team,0,,0,,0,,0,,0,,0,,0,0,0,0,,1,1,1,0,0,590,Kyushudenryoku KyudenVoltex,591,Kamaishi Seawaves,12/04/2026,12:00,15,10,36,24,0,0,786,Ekimae Real Estate Stadium,-1,,11,2026,15,15,Full Back,0,,0,,1001985,Rikito Nobehara,1001490,Ibuki Tetsuka,1001798,Shuhei Hamada,1001609,Eri Kamimura,422,Japan Rugby League One D2,N,L,0,,0,,
3,948902,0,,591,Kamaishi Seawaves,3.52,3.52,5,1,16,15,0,0,45,Defensive Exits,630,Kicked out of 22,0,,0,,0,,0,,0,,0,,0,,0,,0,,32,0,0,0,,1,1,1,0,0,590,Kyushudenryoku KyudenVoltex,591,Kamaishi Seawaves,12/04/2026,12:00,15,10,36,24,0,0,786,Ekimae Real Estate Stadium,-1,,11,2026,,,,0,,0,,1001985,Rikito Nobehara,1001490,Ibuki Tetsuka,1001798,Shuhei Hamada,1001609,Eri Kamimura,422,Japan Rugby League One D2,N,L,0,,0,,
4,948902,59059,Kazushi Ochi,591,Kamaishi Seawaves,3.52,5.92,5,1,16,15,19,14,1,Carry,105,Restart Return,108,Tackled Neutral,109,Crossed Gain line,461,Neutral Contact,501,1 Tacklers Committed,700,0th Receiver,0,,0,,0,,0,,3,3,0,0,,1,1,1,0,0,590,Kyushudenryoku KyudenVoltex,591,Kamaishi Seawaves,12/04/2026,12:00,15,10,36,24,0,0,786,Ekimae Real Estate Stadium,-1,,11,2026,15,15,Full Back,0,,0,,1001985,Rikito Nobehara,1001490,Ibuki Tetsuka,1001798,Shuhei Hamada,1001609,Eri Kamimura,422,Japan Rugby League One D2,N,L,26706,Rahboni Vosayaco,590,Kyushudenryoku KyudenVoltex,5
5,948902,26706,Rahboni Vosayaco,590,Kyushudenryoku KyudenVoltex,4.88,4.88,7,1,81,54,0,0,2,Tackle,142,Chase,153,Complete,0,,474,Neutral Tackle,708,1st Tackler,714,Lower Torso,0,,0,,0,,0,,0,0,0,0,,1,1,1,0,0,590,Kyushudenryoku KyudenVoltex,591,Kamaishi Seawaves,12/04/2026,12:00,15,10,36,24,0,0,786,Ekimae Real Estate Stadium,-1,,11,2026,08,8,Number 8,0,,0,,1001985,Rikito Nobehara,1001490,Ibuki Tetsuka,1001798,Shuhei Hamada,1001609,Eri Kamimura,422,Japan Rugby League One D2,Y,W,59059,Kazushi Ochi,591,Kamaishi Seawaves,4
6,948902,59059,Kazushi Ochi,591,Kamaishi Seawaves,5.92,12.12,8,1,19,14,0,0,23,Ruck,0,,401,Won Outright,551,N/A Gainline,558,6+ Seconds,664,Close Right Open Movement Ruck,0,,0,,0,,0,,0,,0,0,0,8,,1,1,1,0,0,590,Kyushudenryoku KyudenVoltex,591,Kamaishi Seawaves,12/04/2026,12:00,15,10,36,24,0,0,786,Ekimae Real Estate Stadium,-1,,11,2026,15,15,Full Back,0,,0,,1001985,Rikito Nobehara,1001490,Ibuki Tetsuka,1001798,Shuhei Hamada,1001609,Eri Kamimura,422,Japan Rugby League One D2,N,L,43646,Yohei Murakami,591,Kamaishi Seawaves,11
7,948902,58069,Satoshi Hatazawa,591,Kamaishi Seawaves,6.76,6.76,8,1,19,14,0,0,43,Ruck OOA,574,Secured,583,Own Team 1st Entry,588,OOA Entry 1st Entry- Att,632,Attacking OOA,0,,0,1,0,,0,,0,,0,,0,0,0,0,,1,1,1,0,0,590,Kyushudenryoku KyudenVoltex,591,Kamaishi Seawaves,12/04/2026,12:00,15,10,36,24,0,0,786,Ekimae Real Estate Stadium,-1,,11,2026,05,5,Lock (5),0,,0,,1001985,Rikito Nobehara,1001490,Ibuki Tetsuka,1001798,Shuhei Hamada,1001609,Eri Kamimura,422,Japan Rugby League One D2,N,L,0,,0,,
8,948902,63465,Hayato Nishibayashi,591,Kamaishi Seawaves,7.44,7.44,9,1,19,14,0,0,43,Ruck OOA,574,Secured,584,Own Team 2nd Entry,589,OOA Entry 2nd Entry- Att,632,Attacking OOA,0,,0,2,0,,0,,0,,0,,0,0,0,0,,1,1,1,0,0,590,Kyushudenryoku KyudenVoltex,591,Kamaishi Seawaves,12/04/2026,12:00,15,10,36,24,0,0,786,Ekimae Real Estate Stadium,-1,,11,2026,02,2,Hooker,0,,0,,1001985,Rikito Nobehara,1001490,Ibuki Tetsuka,1001798,Shuhei Hamada,1001609,Eri Kamimura,422,Japan Rugby League One D2,N,L,0,,0,,
9,948902,62159,Riku Takahashi,591,Kamaishi Seawaves,7.88,7.88,10,1,19,14,0,0,43,Ruck OOA,574,Secured,585,Own Team 3rd Entry,590,OOA Entry 3rd Entry- Att,632,Attacking OOA,0,,0,3,0,,0,,0,,0,,0,0,0,0,,1,1,1,0,0,590,Kyushudenryoku KyudenVoltex,591,Kamaishi Seawaves,12/04/2026,12:00,15,10,36,24,0,0,786,Ekimae Real Estate Stadium,-1,,11,2026,03,3,Tighthead Prop,0,,0,,1001985,Rikito Nobehara,1001490,Ibuki Tetsuka,1001798,Shuhei Hamada,1001609,Eri Kamimura,422,Japan Rugby League One D2,N,L,0,,0,,
