ID,FXID,PLID,playerName,team_id,teamName,ps_timestamp,ps_endstamp,MatchTime,period,x_coord,y_coord,x_coord_end,y_coord_end,action,actionName,ActionType,ActionTypeName,Actionresult,ActionResultName,qualifier3,qualifier3Name,qualifier4,qualifier4Name,qualifier5,qualifier5Name,qualifier6,qualifier6Name,qualifier7,qualifier7Name,qualifier8,qualifier8Name,qualifier9,qualifier9Name,qualifier10,qualifier10Name,Metres,Metres2,Metres3,Metres4,UTCTime,PlayNum,SetNum,sequence_id,player_advantage,score_advantage,homeTeamID,homeTeamName,awayTeamID,awayTeamName,datePlayed,kickofftime,hometeamHTscore,awayteamHTscore,hometeamFTscore,awayteamFTscore,hometeamCurrentScore,awayteamCurrentScore,venueID,venueName,cityID,cityName,roundNumber,season,playerShirtNumber,playerpositionID,playerpositionName,homecoachID,homecoachName,awaycoachID,awaycoachName,refereeID,refereeName,assistantreferee1ID,assistantreferee1Name,assistantreferee2ID,assistantreferee2Name,videoReferee1ID,videoreferee1Name,competitionID,competitionName,isHome,result,assoc_player,assoc_playerName,assoc_playerTeam,assoc_playerTeamName,assoc_event_id
0,948903,5214,,5214,Hino Red Dolphins,0.00,3.60,0,1,50,34,0,0,17,,407,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,,0,0,0,0,0,5214,Hino Red Dolphins,19568,Hanazono Kintetsu Liners,11/04/2026,13:00,12,28,36,77,0,0,848,Ajinomoto Stadium AGF Field,-1,,11,2026,,,,0,,0,,1001807,Teruki Inanishi,1000990,Toshimasa Sekiya,1001115,Kohei Osawa,1000832,Yuichi Machida,422,Japan Rugby League One D2,Y,L,0,,0,,
1,948903,24843,Manie Libbok,19568,Hanazono Kintetsu Liners,0.00,3.60,0,1,50,34,74,6,14,Restart,281,50m Restart,286,Restart Opp Collection,289,Short,752,Kicked Left,795,Kick Receipt Not Contested,0,,0,,0,,0,,0,,24,38,29,0,,1,0,1,0,0,5214,Hino Red Dolphins,19568,Hanazono Kintetsu Liners,11/04/2026,13:00,12,28,36,77,0,0,848,Ajinomoto Stadium AGF Field,-1,,11,2026,10,10,Fly Half,0,,0,,1001807,Teruki Inanishi,1000990,Toshimasa Sekiya,1001115,Kohei Osawa,1000832,Yuichi Machida,422,Japan Rugby League One D2,N,W,0,,0,,
2,948903,58221,AJ Woulf,5214,Hino Red Dolphins,3.60,3.60,3,1,26,62,0,0,18,Collection,275,Restart Catch,277,Success,797,Kick Receipt Not Contested,1092,Non-Kicking Team,0,,0,,0,,0,,0,,0,,0,0,0,0,,1,1,1,0,0,5214,Hino Red Dolphins,19568,Hanazono Kintetsu Liners,11/04/2026,13:00,12,28,36,77,0,0,848,Ajinomoto Stadium AGF Field,-1,,11,2026,05,5,Lock (5),0,,0,,1001807,Teruki Inanishi,1000990,Toshimasa Sekiya,1001115,Kohei Osawa,1000832,Yuichi Machida,422,Japan Rugby League One D2,Y,L,0,,0,,
3,948903,58221,AJ Woulf,5214,Hino Red Dolphins,3.60,5.32,3,1,26,62,27,62,1,Carry,105,Restart Return,108,Tackled Neutral,109,Crossed Gain line,461,Neutral Contact,501,1 Tacklers Committed,700,0th Receiver,0,,0,,0,,0,,1,1,1,1,,1,1,1,0,0,5214,Hino Red Dolphins,19568,Hanazono Kintetsu Liners,11/04/2026,13:00,12,28,36,77,0,0,848,Ajinomoto Stadium AGF Field,-1,,11,2026,05,5,Lock (5),0,,0,,1001807,Teruki Inanishi,1000990,Toshimasa Sekiya,1001115,Kohei Osawa,1000832,Yuichi Machida,422,Japan Rugby League One D2,Y,L,24574,Peter Umaga-Jensen,19568,Hanazono Kintetsu Liners,4
4,948903,24574,Peter Umaga-Jensen,19568,Hanazono Kintetsu Liners,4.56,4.56,4,1,74,6,0,0,2,Tackle,142,Chase,153,Complete,0,,474,Neutral Tackle,708,1st Tackler,715,Upper Torso,0,,0,,0,,0,,0,0,0,0,,1,1,1,0,0,5214,Hino Red Dolphins,19568,Hanazono Kintetsu Liners,11/04/2026,13:00,12,28,36,77,0,0,848,Ajinomoto Stadium AGF Field,-1,,11,2026,12,12,Inside Centre,0,,0,,1001807,Teruki Inanishi,1000990,Toshimasa Sekiya,1001115,Kohei Osawa,1000832,Yuichi Machida,422,Japan Rugby League One D2,N,W,58221,AJ Woulf,5214,Hino Red Dolphins,3
5,948903,58221,AJ Woulf,5214,Hino Red Dolphins,5.32,9.32,5,1,27,62,0,0,23,Ruck,0,,401,Won Outright,551,N/A Gainline,555,3-4 Seconds,663,Close Left Open Movement Ruck,0,,0,,0,,0,,0,,0,0,-1,6,,1,1,1,0,0,5214,Hino Red Dolphins,19568,Hanazono Kintetsu Liners,11/04/2026,13:00,12,28,36,77,0,0,848,Ajinomoto Stadium AGF Field,-1,,11,2026,05,5,Lock (5),0,,0,,1001807,Teruki Inanishi,1000990,Toshimasa Sekiya,1001115,Kohei Osawa,1000832,Yuichi Machida,422,Japan Rugby League One D2,Y,L,26350,Yuki Kagoshima,5214,Hino Red Dolphins,9
6,948903,61547,Towa Taniguchi,5214,Hino Red Dolphins,6.04,6.04,6,1,27,62,0,0,43,Ruck OOA,574,Secured,583,Own Team 1st Entry,588,OOA Entry 1st Entry- Att,632,Attacking OOA,0,,0,1,0,,0,,0,,0,,0,0,0,0,,1,1,1,0,0,5214,Hino Red Dolphins,19568,Hanazono Kintetsu Liners,11/04/2026,13:00,12,28,36,77,0,0,848,Ajinomoto Stadium AGF Field,-1,,11,2026,02,2,Hooker,0,,0,,1001807,Teruki Inanishi,1000990,Toshimasa Sekiya,1001115,Kohei Osawa,1000832,Yuichi Machida,422,Japan Rugby League One D2,Y,L,0,,0,,
7,948903,36486,Shosuke Funaki,5214,Hino Red Dolphins,6.08,6.08,6,1,27,62,0,0,43,Ruck OOA,574,Secured,584,Own Team 2nd Entry,589,OOA Entry 2nd Entry- Att,632,Attacking OOA,0,,0,2,0,,0,,0,,0,,0,0,0,0,,1,1,1,0,0,5214,Hino Red Dolphins,19568,Hanazono Kintetsu Liners,11/04/2026,13:00,12,28,36,77,0,0,848,Ajinomoto Stadium AGF Field,-1,,11,2026,03,3,Tighthead Prop,0,,0,,1001807,Teruki Inanishi,1000990,Toshimasa Sekiya,1001115,Kohei Osawa,1000832,Yuichi Machida,422,Japan Rugby League One D2,Y,L,0,,0,,
8,948903,24574,Peter Umaga-Jensen,19568,Hanazono Kintetsu Liners,6.56,6.56,6,1,73,6,0,0,43,Ruck OOA,800,Other Defensive Arrival,583,Own Team 1st Entry,603,OOA Entry 1st Entry- Def,633,Defensive OOA,802,Counter Ruck Attempt,0,3,0,,0,,0,,0,,0,0,0,0,,1,1,1,0,0,5214,Hino Red Dolphins,19568,Hanazono Kintetsu Liners,11/04/2026,13:00,12,28,36,77,0,0,848,Ajinomoto Stadium AGF Field,-1,,11,2026,12,12,Inside Centre,0,,0,,1001807,Teruki Inanishi,1000990,Toshimasa Sekiya,1001115,Kohei Osawa,1000832,Yuichi Machida,422,Japan Rugby League One D2,N,W,0,,0,,
9,948903,26350,Yuki Kagoshima,5214,Hino Red Dolphins,9.32,9.32,9,1,27,62,0,0,18,Collection,631,General Catch,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,,2,1,1,0,0,5214,Hino Red Dolphins,19568,Hanazono Kintetsu Liners,11/04/2026,13:00,12,28,36,77,0,0,848,Ajinomoto Stadium AGF Field,-1,,11,2026,09,9,Scrum Half,0,,0,,1001807,Teruki Inanishi,1000990,Toshimasa Sekiya,1001115,Kohei Osawa,1000832,Yuichi Machida,422,Japan Rugby League One D2,Y,L,0,,0,,
