ID,FXID,PLID,playerName,team_id,teamName,ps_timestamp,ps_endstamp,MatchTime,period,x_coord,y_coord,x_coord_end,y_coord_end,action,actionName,ActionType,ActionTypeName,Actionresult,ActionResultName,qualifier3,qualifier3Name,qualifier4,qualifier4Name,qualifier5,qualifier5Name,qualifier6,qualifier6Name,qualifier7,qualifier7Name,qualifier8,qualifier8Name,qualifier9,qualifier9Name,qualifier10,qualifier10Name,Metres,Metres2,Metres3,Metres4,UTCTime,PlayNum,SetNum,sequence_id,player_advantage,score_advantage,homeTeamID,homeTeamName,awayTeamID,awayTeamName,datePlayed,kickofftime,hometeamHTscore,awayteamHTscore,hometeamFTscore,awayteamFTscore,hometeamCurrentScore,awayteamCurrentScore,venueID,venueName,cityID,cityName,roundNumber,season,playerShirtNumber,playerpositionID,playerpositionName,homecoachID,homecoachName,awaycoachID,awaycoachName,refereeID,refereeName,assistantreferee1ID,assistantreferee1Name,assistantreferee2ID,assistantreferee2Name,videoReferee1ID,videoreferee1Name,competitionID,competitionName,isHome,result,assoc_player,assoc_playerName,assoc_playerTeam,assoc_playerTeamName,assoc_event_id
0,948907,5213,,5213,RedHurricanes Osaka,0.00,3.48,0,1,50,34,0,0,17,,407,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,,0,0,0,0,0,5213,RedHurricanes Osaka,5214,Hino Red Dolphins,25/04/2026,12:00,19,21,59,26,0,0,527,YANMAR HANASAKA STADIUM,-1,,12,2026,,,,0,,0,,1000990,Toshimasa Sekiya,1001798,Shuhei Hamada,1002109,Taiga Hirose,1001609,Eri Kamimura,422,Japan Rugby League One D2,Y,W,0,,0,,
1,948907,61963,Taiki Yamaguchi,5213,RedHurricanes Osaka,0.00,3.48,0,1,50,34,78,65,14,Restart,281,50m Restart,286,Restart Opp Collection,288,Long,753,Kicked Right,795,Kick Receipt Not Contested,0,,0,,0,,0,,0,,28,42,31,0,,1,0,1,0,0,5213,RedHurricanes Osaka,5214,Hino Red Dolphins,25/04/2026,12:00,19,21,59,26,0,0,527,YANMAR HANASAKA STADIUM,-1,,12,2026,15,15,Full Back,0,,0,,1000990,Toshimasa Sekiya,1001798,Shuhei Hamada,1002109,Taiga Hirose,1001609,Eri Kamimura,422,Japan Rugby League One D2,Y,W,0,,0,,
2,948907,62262,Yujiro Yano,5214,Hino Red Dolphins,3.08,3.08,3,1,26,7,0,0,40,Defensive Action,561,Aerial Kick Contest,0,,797,Kick Receipt Not Contested,1092,Non-Kicking Team,0,,0,,0,,0,,0,,0,,0,0,0,0,,1,0,1,0,0,5213,RedHurricanes Osaka,5214,Hino Red Dolphins,25/04/2026,12:00,19,21,59,26,0,0,527,YANMAR HANASAKA STADIUM,-1,,12,2026,04,4,Lock (4),0,,0,,1000990,Toshimasa Sekiya,1001798,Shuhei Hamada,1002109,Taiga Hirose,1001609,Eri Kamimura,422,Japan Rugby League One D2,N,L,0,,0,,
3,948907,34484,Moeki Fukushi,5214,Hino Red Dolphins,3.48,3.48,4,1,22,3,0,0,18,Collection,275,Restart Catch,277,Success,797,Kick Receipt Not Contested,1092,Non-Kicking Team,0,,0,,0,,0,,0,,0,,0,0,0,0,,1,1,1,0,0,5213,RedHurricanes Osaka,5214,Hino Red Dolphins,25/04/2026,12:00,19,21,59,26,0,0,527,YANMAR HANASAKA STADIUM,-1,,12,2026,11,11,Left Wing,0,,0,,1000990,Toshimasa Sekiya,1001798,Shuhei Hamada,1002109,Taiga Hirose,1001609,Eri Kamimura,422,Japan Rugby League One D2,N,L,0,,0,,
4,948907,34484,Moeki Fukushi,5214,Hino Red Dolphins,3.48,5.52,4,1,22,3,24,2,1,Carry,105,Restart Return,108,Tackled Neutral,109,Crossed Gain line,461,Neutral Contact,501,1 Tacklers Committed,700,0th Receiver,0,,0,,0,,0,,2,2,0,0,,1,1,1,0,0,5213,RedHurricanes Osaka,5214,Hino Red Dolphins,25/04/2026,12:00,19,21,59,26,0,0,527,YANMAR HANASAKA STADIUM,-1,,12,2026,11,11,Left Wing,0,,0,,1000990,Toshimasa Sekiya,1001798,Shuhei Hamada,1002109,Taiga Hirose,1001609,Eri Kamimura,422,Japan Rugby League One D2,N,L,61527,Fumiya Dobashi,5213,RedHurricanes Osaka,5
5,948907,61527,Fumiya Dobashi,5213,RedHurricanes Osaka,4.20,4.20,4,1,76,66,0,0,2,Tackle,142,Chase,153,Complete,0,,474,Neutral Tackle,708,1st Tackler,713,Legs,0,,0,,0,,0,,0,0,0,0,,1,1,1,0,0,5213,RedHurricanes Osaka,5214,Hino Red Dolphins,25/04/2026,12:00,19,21,59,26,0,0,527,YANMAR HANASAKA STADIUM,-1,,12,2026,14,14,Right Wing,0,,0,,1000990,Toshimasa Sekiya,1001798,Shuhei Hamada,1002109,Taiga Hirose,1001609,Eri Kamimura,422,Japan Rugby League One D2,Y,W,34484,Moeki Fukushi,5214,Hino Red Dolphins,4
6,948907,20725,Henry Taefu,5213,RedHurricanes Osaka,4.92,4.92,5,1,76,66,0,0,40,Defensive Action,560,Tackle Arrival,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,,1,1,1,0,0,5213,RedHurricanes Osaka,5214,Hino Red Dolphins,25/04/2026,12:00,19,21,59,26,0,0,527,YANMAR HANASAKA STADIUM,-1,,12,2026,13,13,Outside Centre,0,,0,,1000990,Toshimasa Sekiya,1001798,Shuhei Hamada,1002109,Taiga Hirose,1001609,Eri Kamimura,422,Japan Rugby League One D2,Y,W,0,,0,,
7,948907,34484,Moeki Fukushi,5214,Hino Red Dolphins,5.52,8.72,6,1,24,2,0,0,23,Ruck,0,,401,Won Outright,551,N/A Gainline,555,3-4 Seconds,664,Close Right Open Movement Ruck,0,,0,,0,,0,,0,,0,0,-9,10,,1,1,1,0,0,5213,RedHurricanes Osaka,5214,Hino Red Dolphins,25/04/2026,12:00,19,21,59,26,0,0,527,YANMAR HANASAKA STADIUM,-1,,12,2026,11,11,Left Wing,0,,0,,1000990,Toshimasa Sekiya,1001798,Shuhei Hamada,1002109,Taiga Hirose,1001609,Eri Kamimura,422,Japan Rugby League One D2,N,L,65692,Kanta Hattori,5214,Hino Red Dolphins,11
8,948907,20725,Henry Taefu,5213,RedHurricanes Osaka,6.04,6.04,6,1,76,66,0,0,43,Ruck OOA,800,Other Defensive Arrival,583,Own Team 1st Entry,603,OOA Entry 1st Entry- Def,633,Defensive OOA,801,Jackal Attempt,0,1,0,,0,,0,,0,,0,0,0,0,,1,1,1,0,0,5213,RedHurricanes Osaka,5214,Hino Red Dolphins,25/04/2026,12:00,19,21,59,26,0,0,527,YANMAR HANASAKA STADIUM,-1,,12,2026,13,13,Outside Centre,0,,0,,1000990,Toshimasa Sekiya,1001798,Shuhei Hamada,1002109,Taiga Hirose,1001609,Eri Kamimura,422,Japan Rugby League One D2,Y,W,0,,0,,
9,948907,62262,Yujiro Yano,5214,Hino Red Dolphins,6.36,6.36,6,1,24,2,0,0,43,Ruck OOA,572,Cleaned Out,583,Own Team 1st Entry,588,OOA Entry 1st Entry- Att,632,Attacking OOA,0,,0,2,0,,0,,0,,0,,0,0,0,0,,1,1,1,0,0,5213,RedHurricanes Osaka,5214,Hino Red Dolphins,25/04/2026,12:00,19,21,59,26,0,0,527,YANMAR HANASAKA STADIUM,-1,,12,2026,04,4,Lock (4),0,,0,,1000990,Toshimasa Sekiya,1001798,Shuhei Hamada,1002109,Taiga Hirose,1001609,Eri Kamimura,422,Japan Rugby League One D2,N,L,0,,0,,
