ID,FXID,PLID,playerName,team_id,teamName,ps_timestamp,ps_endstamp,MatchTime,period,x_coord,y_coord,x_coord_end,y_coord_end,action,actionName,ActionType,ActionTypeName,Actionresult,ActionResultName,qualifier3,qualifier3Name,qualifier4,qualifier4Name,qualifier5,qualifier5Name,qualifier6,qualifier6Name,qualifier7,qualifier7Name,qualifier8,qualifier8Name,qualifier9,qualifier9Name,qualifier10,qualifier10Name,Metres,Metres2,Metres3,Metres4,UTCTime,PlayNum,SetNum,sequence_id,player_advantage,score_advantage,homeTeamID,homeTeamName,awayTeamID,awayTeamName,datePlayed,kickofftime,hometeamHTscore,awayteamHTscore,hometeamFTscore,awayteamFTscore,hometeamCurrentScore,awayteamCurrentScore,venueID,venueName,cityID,cityName,roundNumber,season,playerShirtNumber,playerpositionID,playerpositionName,homecoachID,homecoachName,awaycoachID,awaycoachName,refereeID,refereeName,assistantreferee1ID,assistantreferee1Name,assistantreferee2ID,assistantreferee2Name,videoReferee1ID,videoreferee1Name,competitionID,competitionName,isHome,result,assoc_player,assoc_playerName,assoc_playerTeam,assoc_playerTeamName,assoc_event_id
0,948915,590,,590,Kyushudenryoku KyudenVoltex,0.00,2.96,1,1,50,34,0,0,17,,407,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,,0,0,0,0,0,590,Kyushudenryoku KyudenVoltex,5214,Hino Red Dolphins,09/05/2026,13:00,12,5,31,25,0,0,1040,Miyazaki Prefectural Yamanokuchi Athletics Stadium,-1,,14,2026,,,,0,,0,,1001807,Teruki Inanishi,1001798,Shuhei Hamada,1002109,Taiga Hirose,396,Mayumi Takahashi,422,Japan Rugby League One D2,Y,W,0,,0,,
1,948915,61548,Keita Doi,5214,Hino Red Dolphins,0.00,2.96,1,1,50,34,82,35,14,Restart,281,50m Restart,286,Restart Opp Collection,288,Long,754,Kicked Straight,795,Kick Receipt Not Contested,0,,0,,0,,0,,0,,31,31,2,0,,1,0,1,0,0,590,Kyushudenryoku KyudenVoltex,5214,Hino Red Dolphins,09/05/2026,13:00,12,5,31,25,0,0,1040,Miyazaki Prefectural Yamanokuchi Athletics Stadium,-1,,14,2026,10,10,Fly Half,0,,0,,1001807,Teruki Inanishi,1001798,Shuhei Hamada,1002109,Taiga Hirose,396,Mayumi Takahashi,422,Japan Rugby League One D2,N,L,0,,0,,
2,948915,31841,Jude Gibbs,590,Kyushudenryoku KyudenVoltex,2.96,2.96,3,1,19,33,0,0,18,Collection,275,Restart Catch,277,Success,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,,1,1,1,0,0,590,Kyushudenryoku KyudenVoltex,5214,Hino Red Dolphins,09/05/2026,13:00,12,5,31,25,0,0,1040,Miyazaki Prefectural Yamanokuchi Athletics Stadium,-1,,14,2026,15,15,Full Back,0,,0,,1001807,Teruki Inanishi,1001798,Shuhei Hamada,1002109,Taiga Hirose,396,Mayumi Takahashi,422,Japan Rugby League One D2,Y,W,0,,0,,
3,948915,0,,590,Kyushudenryoku KyudenVoltex,2.96,2.96,3,1,19,33,0,0,45,Defensive Exits,630,Kicked out of 22,0,,0,,0,,0,,0,,0,,0,,0,,0,,37,0,0,0,,1,1,1,0,0,590,Kyushudenryoku KyudenVoltex,5214,Hino Red Dolphins,09/05/2026,13:00,12,5,31,25,0,0,1040,Miyazaki Prefectural Yamanokuchi Athletics Stadium,-1,,14,2026,,,,0,,0,,1001807,Teruki Inanishi,1001798,Shuhei Hamada,1002109,Taiga Hirose,396,Mayumi Takahashi,422,Japan Rugby League One D2,Y,W,0,,0,,
4,948915,31841,Jude Gibbs,590,Kyushudenryoku KyudenVoltex,4.96,8.60,5,1,21,31,55,0,4,Kick,347,Touch Kick,193,Kick in Touch (Full),186,Kick in Play (Own 22),0,,795,Kick Receipt Not Contested,0,,0,,0,,0,,0,,34,47,0,0,,1,1,1,0,0,590,Kyushudenryoku KyudenVoltex,5214,Hino Red Dolphins,09/05/2026,13:00,12,5,31,25,0,0,1040,Miyazaki Prefectural Yamanokuchi Athletics Stadium,-1,,14,2026,15,15,Full Back,0,,0,,1001807,Teruki Inanishi,1001798,Shuhei Hamada,1002109,Taiga Hirose,396,Mayumi Takahashi,422,Japan Rugby League One D2,Y,W,0,,0,,
5,948915,0,,5214,Hino Red Dolphins,0.00,8.60,9,1,50,34,45,68,26,Sequences,307,50m Restart,315,Kick Out of Play,0,,0,,0,,0,,0,,0,,0,,0,,-5,0,0,0,,1,1,1,0,0,590,Kyushudenryoku KyudenVoltex,5214,Hino Red Dolphins,09/05/2026,13:00,12,5,31,25,0,0,1040,Miyazaki Prefectural Yamanokuchi Athletics Stadium,-1,,14,2026,,,,0,,0,,1001807,Teruki Inanishi,1001798,Shuhei Hamada,1002109,Taiga Hirose,396,Mayumi Takahashi,422,Japan Rugby League One D2,N,L,0,,0,,
6,948915,0,,590,Kyushudenryoku KyudenVoltex,2.96,8.60,9,1,19,33,55,0,15,Possession,307,50m Restart,315,Kick Out of Play,0,,684,Fails to enter into Opposition 22,0,,0,,0,,0,,0,,0,,37,0,0,0,,1,1,1,0,0,590,Kyushudenryoku KyudenVoltex,5214,Hino Red Dolphins,09/05/2026,13:00,12,5,31,25,0,0,1040,Miyazaki Prefectural Yamanokuchi Athletics Stadium,-1,,14,2026,,,,0,,0,,1001807,Teruki Inanishi,1001798,Shuhei Hamada,1002109,Taiga Hirose,396,Mayumi Takahashi,422,Japan Rugby League One D2,Y,W,0,,0,,
7,948915,61808,Kousei Tamaki,5214,Hino Red Dolphins,35.44,36.24,36,1,45,68,45,59,6,Lineout Throw,372,Throw Middle,376,Won Clean Catch,211,Off The Top,0,5,670,Tight Right Blindside Movement Lineout,730,5 Players,724,Halfback in Position,0,,0,,0,,9,0,-3,1,,1,2,2,0,0,590,Kyushudenryoku KyudenVoltex,5214,Hino Red Dolphins,09/05/2026,13:00,12,5,31,25,0,0,1040,Miyazaki Prefectural Yamanokuchi Athletics Stadium,-1,,14,2026,02,2,Hooker,0,,0,,1001807,Teruki Inanishi,1001798,Shuhei Hamada,1002109,Taiga Hirose,396,Mayumi Takahashi,422,Japan Rugby League One D2,N,L,36513,Shun Tomonaga,5214,Hino Red Dolphins,8
8,948915,36513,Shun Tomonaga,5214,Hino Red Dolphins,36.24,36.24,37,1,45,59,0,0,27,Lineout Take,387,Lineout Win Middle,376,Won Clean,211,Off The Top,396,Clean Catch,0,,0,,0,,0,,0,,0,,0,0,0,0,,1,2,2,0,0,590,Kyushudenryoku KyudenVoltex,5214,Hino Red Dolphins,09/05/2026,13:00,12,5,31,25,0,0,1040,Miyazaki Prefectural Yamanokuchi Athletics Stadium,-1,,14,2026,07,7,Openside Flanker,0,,0,,1001807,Teruki Inanishi,1001798,Shuhei Hamada,1002109,Taiga Hirose,396,Mayumi Takahashi,422,Japan Rugby League One D2,N,L,61808,Kousei Tamaki,5214,Hino Red Dolphins,7
9,948915,36513,Shun Tomonaga,5214,Hino Red Dolphins,36.48,36.92,37,1,45,59,42,61,3,Pass,174,Incomplete,0,,679,Short Pass,682,Right Pass,700,0th Receiver,0,,0,,0,,0,,0,,1,4,3,0,,1,2,2,0,0,590,Kyushudenryoku KyudenVoltex,5214,Hino Red Dolphins,09/05/2026,13:00,12,5,31,25,0,0,1040,Miyazaki Prefectural Yamanokuchi Athletics Stadium,-1,,14,2026,07,7,Openside Flanker,0,,0,,1001807,Teruki Inanishi,1001798,Shuhei Hamada,1002109,Taiga Hirose,396,Mayumi Takahashi,422,Japan Rugby League One D2,N,L,26350,Yuki Kagoshima,5214,Hino Red Dolphins,10
